"Location","Source","Target"
"51188213-0-5245","Crafting Motif 66: Silver Dawn Maces","제작 디자인 66: 실버 던 둔기"
"51188213-0-5244","Crafting Motif 66: Silver Dawn Legs","제작 디자인 66: 실버 던 다리 보호구"
"51188213-0-5247","Crafting Motif 66: Silver Dawn Shoulders","제작 디자인 66: 실버 던 어깨 보호구"
"51188213-0-3068","Crafting Motif 16: Glass Axes","제작 디자인 16: 글래스 도끼"
"51188213-0-3069","Crafting Motif 16: Glass Belts","제작 디자인 16: 글래스 허리띠"
"51188213-0-5246","Crafting Motif 66: Silver Dawn Shields","제작 디자인 66: 실버 던 방패"
"51188213-0-5249","Crafting Motif 66: Silver Dawn Swords","제작 디자인 66: 실버 던 검"
"51188213-0-5248","Crafting Motif 66: Silver Dawn Staves","제작 디자인 66: 실버 던 지팡이"
"51188213-0-5241","Crafting Motif 66: Silver Dawn Daggers","제작 디자인 66: 실버 던 장갑"
"51188213-0-5240","Crafting Motif 66: Silver Dawn Chests","제작 디자인 66: 실버 던 가슴 보호구"
"51188213-0-5243","Crafting Motif 66: Silver Dawn Helmets","제작 디자인 66: 실버 던 투구"
"51188213-0-5242","Crafting Motif 66: Silver Dawn Gloves","제작 디자인 66: 실버 던 장갑"
"51188213-0-5256","Crafting Motif 67: Welkynar Daggers","제작 디자인 67: 웰키나 단검"
"51188213-0-3077","Crafting Motif 16: Glass Maces","제작 디자인 16: 글래스 둔기"
"51188213-0-5255","Crafting Motif 67: Welkynar Chests","제작 디자인 67: 웰키나 흉갑"
"51188213-0-3078","Crafting Motif 16: Glass Shields","제작 디자인 16: 글래스 방패"
"51188213-0-3079","Crafting Motif 16: Glass Shoulders","제작 디자인 16: 글래스 어깨보호구"
"51188213-0-5258","Crafting Motif 67: Welkynar Helmets","제작 디자인 67: 웰키나 투구"
"51188213-0-5257","Crafting Motif 67: Welkynar Gloves","제작 디자인 67: 웰키나 장갑"
"51188213-0-5259","Crafting Motif 67: Welkynar Legs","제작 디자인 67: 웰키나 다리보호구"
"51188213-0-3070","Crafting Motif 16: Glass Boots","제작 디자인 16: 글래스 신발"
"51188213-0-3071","Crafting Motif 16: Glass Bows","제작 디자인 16: 글래스 활"
"51188213-0-5250","Crafting Motif 67: Welkynar Style","제작 디자인 67: 웰키나 스타일"
"51188213-0-3072","Crafting Motif 16: Glass Chests","제작 디자인 16: 글래스 가슴보호구"
"51188213-0-5252","Crafting Motif 67: Welkynar Belts","제작 디자인 67: 웰키나 벨트"
"51188213-0-3073","Crafting Motif 16: Glass Daggers","제작 디자인 16: 글래스 단검"
"51188213-0-3074","Crafting Motif 16: Glass Gloves","제작 디자인 16: 글래스 장갑"
"51188213-0-5251","Crafting Motif 67: Welkynar Axes","제작 디자인 67: 웰키나 도끼"
"51188213-0-5254","Crafting Motif 67: Welkynar Bows","제작 디자인 67: 웰키나 활"
"51188213-0-3075","Crafting Motif 16: Glass Helmets","제작 디자인 16: 글래스 머리보호구"
"51188213-0-3076","Crafting Motif 16: Glass Legs","제작 디자인 16: 글래스 다리보호구"
"51188213-0-5253","Crafting Motif 67: Welkynar Boots","제작 디자인 67: 웰키나 부츠"
"51188213-0-6100","Crafting Motif 84: Blackreach Vanguard Swords","Crafting Motif 84: Blackreach Vanguard Swords"
"21337012-0-3539","At-Addin Syndicate Memo: Outfitting the Abah's Landing Watch\n\nI just sold that Iron Wheel outfit a load of first-quality arms and armor—good enough that our own Abah's Landing guards are going to look shabby in comparison, and that's not going to do. We need to show a united front to the Wheel, with a standardized look to our guards. Based on what we've got in the warehouses, let's equip them as indicated below. \n\n—Merchant Lord Orahan at-Addin\n\nBELTS\n\nThat shipment of heavy wool sashes we got from Rihad will do fine as belts: just put a round metal boss on front to cinch it through, and hang metal tassets at the hips for the more heavily-armored guards.","아투 아딘 연합체 메모: 아바스 랜딩 감시소의 장비\n\n방금 쇠바퀴에게 최고급 무기와 방어구를 팔았다. 거기 비하면 아바스 랜딩의 경비병들은 초라해 보인다. 그래선 안 된다. 쇠바퀴에게 맞서는 자세를 보이기 위해 경비병 장비를 표준화해야 한다. 창고에서 얻은 것에 따라, 아래의 장비를 지급해야겠다.\n\n—상인왕 오라한 아트 아딘\n\n벨트\n\n이 헤비울 띠는 리하드의 수입품으로 벨트로도 도움이 된다. 앞에 금속을 장식하면 좋을 텐데, 중갑 경비병은 엉덩이 부분도 금속으로 지키도록 하자."
"21337012-0-3538","At-Addin Syndicate Memo: Outfitting the Abah's Landing Watch\n\nI just sold that Iron Wheel outfit a load of first-quality arms and armor—good enough that our own Abah's Landing guards are going to look shabby in comparison, and that's not going to do. We need to show a united front to the Wheel, with a standardized look to our guards. Based on what we've got in the warehouses, let's equip them as indicated below. \n\n—Merchant Lord Orahan at-Addin\n\nAXES\n\nWe have a number of those axes with the double-crescent blades down in the water-level warehouse. They're very similar to what I sold the Iron Wheel; let's equip our own axe-wielders with those arms.","아투 아딘 연합체 메모: 아바스 랜딩 감시소의 장비\n\n방금 쇠바퀴에게 최고급 무기와 방어구를 팔았다. 거기 비하면 아바스 랜딩의 경비병들은 초라해 보인다. 그래선 안 된다. 쇠바퀴에게 맞서는 자세를 보이기 위해 경비병 장비를 표준화해야 한다. 창고에서 얻은 것에 따라, 아래의 장비를 지급해야겠다.\n\n—상인왕 오라한 아트 아딘\n\n도끼\n\n이중 초승달 날이 붙은 다수의 도끼가, 수중 창고에서 발견되었다. 쇠바퀴에게 팔았던 것과 흡사하다. 도끼병에게 지급해야겠다."
