"Location","Source","Target"
"51188213-0-704","Aluvus' Final Notes","알루버스의 마지막 기록"
"21337012-0-934","Another villager moved away today, after another incident with that batty old mage. The former resident was turned bright purple for several hours. \n\nTwo more residences have made complaints about Merormo—this time because of a barking sound coming from the trees around his tower.","오늘 또 다른 주민이 떠났다. 그 살짝 맛이 간 늙은 마법사가 또다시 사고를 친 뒤였다. 예전에 살던 주민이 일곱 시간동안 밝은 보라색으로 변했던 적도 있었다.\n\n메로모에 대해서 불평하는 주민들이 두 명 늘었다. 이번에는 메로모의 탑 주변에 있는 나무에서 짖어대는 소리가 들려왔기 때문이다."
"21337012-0-1738","1) Only targets Altmer\n			— Racial motives? Grudge? Fraud?\n\n2) Only steals objects of personal value\n			— Ransom? Revenge?\n\n3) Leaves messages for victims\n			— Victims refuse to discuss them! Why?\n\nRemaining citizens to question:\nMendreval\nRilding\nKuralit\nTalqua\nZuzik","1) 알트머만 목표로 삼음\n            — 인종적인 동기일까? 원한? 기만책?\n\n2) 개인적인 가치가 있는 물건만 훔침 \n            — 협박? 복수?\n\n3) 피해자에게 전언을 남김\n            — 피해자들은 전언의 내용을 밝히기를 거부한다! 이유가 뭘까?\n\n탐문해봐야 할 시민들:\n멘드레발\n릴딩\n쿠랄릿\n탈쿠아\n주직"
"51188213-0-4438","Arowende's Diary Page 23","아로웬데의 일기 23쪽"
"21337012-0-1332","After visiting Cousin Idirfa in Fort Amol, I decided to take the family to visit Icehammer's Vault. My intention was to leave my wife and child outside the tomb while I went in to collect whatever gold and relics I could carry. I'm a fairly good treasure hunter, if I do say so myself, but those moneylenders are making it difficult for me and my family. I need to collect enough treasure to pay off the moneylenders before things get ugly.\n\n***\nI survived my first foray into the vault. I had to dispatch one draugr I wasn't able to sneak past, but at least a found a small coffer that contained a few pieces of gold. Nowhere near enough to pay off my debts, but a good start nevertheless. \n\nWhen I returned to our camp, I saw that the weather had taken a turn for the worse. My poor wife was freezing and the baby wasn't doing much better. I couldn't leave them out in the elements, but it was also too treacherous to try to travel. My only choice was to take them with me back into Icehammer's Vault.\n\n***\nAt least it's relatively warm and dry within the tomb. And the hunting has been going well. A few more days and I might actually have enough to pay my debts with a little left to spare! \n\nThe draugr are becoming more and more of a problem, however. They seem to be searching the tomb for us. I know that sounds crazy. They are mindless walking corpses, after all. But it really seems like they're making a concerted effort to find us. \n\nDamn the weather! The storm raging outside is still too intense for us to chance—and I really should collect a few more items from these burial chambers. One more night, and then I'm getting my family out of here.\n\n***\nWhat a fool I was! A complete and utter fool! While I was rooting around in one of the burial chambers, a horde of draugr broke through the barricade I had set up and attacked my poor, poor wife. I can see that she died valiantly, trying to defend our child from the monsters. For all the good it did! Now both my wife and baby are dead, and I am alone in this cursed vault! \n\nI saw another exit down a deserted corridor. I'll try to avoid the draugr and escape through there.","아몰 요새의 사촌 이디파를 방문한 후 나는 가족을 아이스해머 저장소로 데려가기로 결심했다. 아내와 아이를 무덤 밖에서 기다리게 하고 운반할 수 있는 만큼의 황금과 유물을 찾으러 갈 것이다. 스스로 말하는 것도 그렇지만, 난 솜씨 좋은 보물 사냥꾼이다. 하지만 대금업자 때문에 가족들 곤란한 상태다. 더 이상 추심이 심해지기 전에, 충분한 보물을 구해 빚을 갚아야 한다.\n\n***\n나는 저장고를 털어버리는 첫번째 시도에서 살아남았다. 살금살금 지나치지 못하고 드라우그 1마리를 쓰러뜨려야 했지만 적어도 금이 몇개 담긴 작은 궤짝을 찾을 수 있었다. 빚을 갚기에는 턱없이 부족하지만 그래도 기분 좋은 출발이다.\n\n캠프에 돌아와 보니 날씨가 나빠져 있었다. 불쌍한 아내는 얼어 있었고 아기도 보채고 있었다. 두 사람을 비바람 속에 두고 갈 수는 없지만 그렇다고 해서 폭우 속을 이동하는 것도 위험하다. 결국 두 사람을 데리고 아이스해머 저장소에 되돌아가는 것 외의 다른 방법이 없었다.\n\n***\n무덤 안은 적어도 밖보다는 따뜻하고 건조하다. 게다가 보물찾기도 잘 되고 있다. 며칠만 있으면 빚을 값기에 충분한 양이 모일 것이다. 조금은 거스름돈이 나올지도 모른다!\n\n하지만 드라우그가 점점 귀찮은 존재가 되고 있다. 놈들은 우리 가족을 찾아다니는 것처럼 보인다. 바보같은 생각인 건 안다. 놈들은 사고력이 없는 걷는 시체일 뿐이다. 그래도 협력해서 우리를 찾는 것으로밖에 보이지 않는다.\n\n망할 날씨! 바깥을 휘몰아치는 폭풍은 운에 맡기지 못할 정도로 심하다. 게다가 무덤 속에서 조금만 더 보물을 모을 필요가 있다. 하룻밤만 더 있다가, 하룻밤 더 자고 나면 가족을 데리고 여기서 나가자.\n\n***\n나는 바보였다! 존나 등신이었다! 내가 무덤 하나를 탐색하는 동안 드라우그 무리가 내가 쌓아 놓은 바리케이드를 뚫고 불쌍한 아내를 덮쳤다. 괴물들 사이에서 우리 두 아이를 지키며 용감하게 죽어 간 아내의 모습이 눈에 선하다. 하지만 그런 아내의 노력도 허사였다! 결국 아내도 아기도 살아남지 못했고 나는 이렇게 이 저주받은 저장소에 남겨져 있다!\n\n아무도 없는 통로 끝에서 다른 출구를 발견했다. 드라우그를 피해서 그곳을 통해 탈출할 수 없는지 시도해 볼 것이다."
"51188213-0-4439","Arowende's Diary Page 26","아로웬데의 일기 26쪽"
"21337012-0-2029","I see the eyes looking at me. They are dead, soulless, but I still crave them.\n\nHelp me.","날 보는 눈이 있다. 죽어 있고 영혼이 없는 눈이다. 하지만 그래도 갖고 싶다.\n\n살려줘."
"21337012-0-2027","This torment is endless. Every day I perform the same tasks of depositing the soulless husks into the depths of Oblivion. I fear I am losing myself as time passes. I dearly hope I won't become one of the shriven.\n\nI hunger, and I can't be sated.","고통은 끝나지 않는다. 매일 영혼이 없는 허스크를 오블리비언의 심부에 두는 일을 계속하고 있다. 이대로 가다가는 자신을 잃어버릴 것 같다. 고해의 친구가 되어버리지 않기를 기도하고 있다.\n\n굶주리고 있다. 채워지지 않는다."
"21337012-0-2028","They keep coming. More and more of the soulless ones are drained. I feel the pangs of hunger upon me. Perhaps these husks are my answer.","녀석들은 계속 오고 있다. 영혼이 없는 자들이 점점 힘을 빼내고 있다. 내 안의 극심한 굶주림을 느낀다. 아마 저 허스크가 내 답일 것이다."
"21337012-0-1335","Damn this tomb! Damn my greed! My wife, my child, they're both dead. Killed by these walking corpses while I was out looking for treasure.\n\nI don't deserve to live. This is all my fault. But what can I do? \n\n… I can try to get out of here. Make it back to Fort Amol and my cousin Idirfa. \n\nI think there's a way out at the end of this deserted corridor. I wonder if the storm has finally abated?","망할 무덤! 망할 내 욕심! 아내와 아이를 둘 다 잃었다. 보물을 찾으러 간 동안 그 걷는 시체들에게 살해당했다.\n\n나는 살 자격이 없다. 다 내 탓이다. 하지만 내가 뭘 할 수 있지?\n\n...여기서 탈출을 시도할 수는 있다. 사촌 이디파가 있는 아몰 요새로 돌아가자.\n\n이 아무도 없는 통로 안쪽에 출구가 있는 것 같다. 폭풍우가 드디어 잦아들었을까?"
