"Location","Source","Target"
"51188213-0-2535","Here Lies Grethel","여기 그레텔이 잠들다"
"21337012-0-773","The priest of Orkey is here as part of his sacred duty to the Divines. He is not here to comfort, console, or brighten your day. Should the undead rise from their places of resting, you accept all risk and responsibility to your own safety while inside the hall. The priest is not required to save you from your own idiocy.\n\n- Hjurring","여기 있는 아케이의 사제는 디바인들께 봉사하는 신성한 의무를 맡고 있습니다. 위로나 상담, 혹은 여러분의 하루를 기분 좋게 만들어주려고 있는 것이 아닙니다. 안식처에서 언데드가 일어난다면, 회랑에 있는 동안 모든 위험과 책임은 여러분이 지게 됩니다. 사제에게는 여러분을 바보짓에서 구해줄 의무가 없습니다.\n\n- 유링"
"21337012-0-653","Fledgling Members of the Academy:\n\nRise and shine! We have another education-filled day ahead of us. Another chance to develop your gifts of mysticism and magicka, leadership and military strategy. \n\nThe first few days of study have flown by, and you have proven worthy of the honor of enrollment at this prestigious Academy. You have not only demonstrated the requisite acumen for your studies, but also confirmed your ability to keep up with the modest tuition payments that keep Shad Astula's welcoming doors open. For these reasons, we are pleased to offer you the opportunity to select your own course of study for the next ten days.\n\nPlease choose the introductory course you wish to pursue and properly petition the instructor of that art. For the next ten days, you will diligently work to master one of the following disciplines.\n\nUnderstand that these designations exist solely for the purposes of teaching. They do not represent any formal schema of organization within the Mages Guild or any similar organization.\n\nALTERATION I: This introductory course teaches simple magical methods of physical manipulation, including techniques for strengthening and weakening basic materials.\n\nCONJURATION I: In this introductory course, students learn to summon simple weapons and shields, such as daggers or bucklers. Note that knife fighting and defense are not covered in this class.\n\nDESTRUCTION I: As a prelude to later studies, students learn the basics of the elemental manipulation of flame and frost. An additional security deposit is required to cover the unlikely event of damage to persons and property.\n\nILLUSION I: Learn simple manipulation of light and shadow, sound and silence, in this introductory course. Your first project will be to create magical candlelight. \n\nRESTORATION I: This introductory course teaches the basics of the healing arts, as well as the fundamental principles of manipulating life force. The purchase of various small animals may be required, in addition to any other course-required materials.\n\nCompletion of any of these basic courses will serve as a prerequisite to later studies. A student is free to select a course from ONE of these options. Upon completion of an introductory class, the student is eligible to pursue a second introductory class, if instruction time and class size allows.\n	\nThe study of the ARCANE ARTS awaits you!\n\nNo doubt you will prove yourself worthy of the instruction and patronage you are receiving.\n\nFailure to complete a course of study may result in additional tuition charges to cover the cost of taking make-up instruction.\n\nGood luck!","우리 대학 신입생들에게:\n\n자, 눈을 뜨세요! 앞으로 학습으로 가득 찬 날들이 기다리고 있습니다. 당신의 비술과 매지카 재능, 통솔력과 전술의 재능을 키울 수 있는 좋은 기회입니다.\n\n처음 며칠은 순식간에 지나갔지만, 이 일류대학의 신입생이라는 영광에 걸맞다고 증명해 주었습니다. 필수적인 통찰력을 보여줬을 뿐만 아니라, 샤드 아스투라의 문을 열기 위해 소액으로 설정되어 있는 수업료를 낼 능력이 있다는 것도 증명해 주었습니다. 이러한 이유에서 앞으로 10일 동안의 학습 과정의 선택권을 기꺼이 제공합니다.\n\n학습을 희망하는 입문과정을 선택하고, 그 기술을 배우기 위해 강사에게 적절히 요청하세요. 앞으로 10일, 아래의 학문을 1가지 터득하기 위해 열심히 일하게 됩니다.\n\n이들 분류는 단순히 지도지침으로 존재하는 것임을 이해하시기 바랍니다. 마법사 길드나 기타 조직 내 공식 개요를 나타내는 것은 아닙니다.\n\n변성 I: 이 입문 과정에서는 물질 조작에 관한 초보적인 마법 기술을 지도합니다. 기본적인 물질 강화나 약화 등을 배웁니다.\n\n소환 I: 이 입문 과정에서는 단검이나 버클러와 같은 초보적인 무기나 방패 소환 방법을 배웁니다. 칼에 의한 공격이나 방어 지도는 포함되어 있지 않으니 주의하시기 바랍니다.\n\n파괴I: 새로운 학습을 향한 입문 과정으로서 불꽃과 얼음 속성 조작의 기본을 배웁니다. 만에 하나 사람이나 물건에 손해가 났을 경우에는 보상을 위해 추가 보증금이 필요합니다.\n\n환혹I: 이 입문 과정에서는 빛과 그림자, 소리와 정적의 기본적인 조작을 배웁니다. 첫 번째 과제는 마법의 촛불을 만들어내는 것입니다.\n\n회복I: 이 입문 과정에서는 기본적인 치유 기술 및 생명력 조작의 기본 원리를 배웁니다. 지도 과정에서 필요할 경우에는 여러 작은 동물이나 기타 물질을 구입해야 할 경우가 있습니다.\n\n새로운 학습을 하기 위해서는 이들 입문 과정의 어느 하나가 필수입니다. 학생들은 이 중에서 좋아하는 과정을 1개만 택하세요. 입문반을 수료하면 지도시간과 학생수에 여유가 있을 경우 다음 입문반으로 나아갈 자격이 주어집니다.\n\n신비술 연구가 당신을 기다리고 있습니다!\n\n여러분은 반드시 지도와 후원을 계속 받기에 적합한 능력이 있다고 증명할 수 있을 것입니다.\n\n학습과정을 수료할 수 없을 경우는 보충수업에 드는 비용으로 추가적인 수업료가 부과될 수 있습니다.\n\n힘내세요!"
"21337012-0-771","By Aicantar of Shimmerene, Sapiarch of Indoctrination\n\nThree allies whose people rarely agree on anything. Three races as diverse as any within the world. Three states at war for their very lives, but unable to reconcile their differences in moments of peace. More than allies, but less than friends.\n\nAnd that must change.\n\nOur Dominion is beset on many sides. The Ebonheart Pact and the Daggerfall Covenant attack us from the outside, but we have other enemies more deadly and more dangerous to our alliance than those external foes.\n\nIf our wartime bonds are to remain strong, we must forge relationships and alliances in peace. Our Bosmeri hunters must provide food for our civilians as well as our soldiers. Our Khajiiti traders must provide goods as well as weapons. And our Altmeri wizards must spend their magicka wisely to win the peace as well as the war.\n\nOur first step is to join together in celebration as one of our alliance members, the Bosmer, renews their divine pact with a joining between their two spiritual leaders, the Silvenar and the Green Lady. Let all members of the Aldmeri Dominion recognize this wedding and participate in the revels that follow.\n\nOur best wishes to the Silvenar, the Green Lady, and the Bosmeri people. May this new generation know a strength in peace as well as war.","교화의 사피알치, 시머린의 아이칸타 지음\n\n거의 아무것도 합의하지 못한 3국 동맹. 세계에서 가장 다른 3개의 종족. 생존을 건 전쟁 중의 세 나라가 불과 한순간도 서로의 차이로 물러설 수 없다. 동맹 이상이지만 친구 미만이다.\n\n그리고 그것은 바꿔야 한다.\n\n자치령은 여러 측면에서 공격에 노출되어 있다. 에본하트 조약과 대거폴 동맹은 밖에서 공격하지만, 그러한 외부의 적보다 우리 동맹에 더 치명적이고 더 위험한 다른 적이 있다.\n\n전시 중 유대감을 강하게 유지하려면 평시에도 동맹을 맺어야 한다. 보스머 사냥꾼은 병사뿐만 아니라 일반인들에게도 식량을 공급해야 한다. 카짓 상인은 무기와 마찬가지로 상품도 공급해야 한다. 그리고 알트머 마법사는 전쟁의 승리와 마찬가지로 평화의 획득을 위해 지혜롭게 매지카를 사용해야 한다.\n\n우리의 첫 걸음은 공동으로 축하하는 것이다. 동맹의 일원 보스머가 두 명의 정신적 지도자 실베나르와 그린 레이디의 결혼으로 신성한 조약을 재차 강조한다. 알드머 자치령의 전원에게 이 결혼을 알리고, 이어지는 축하연에 참가시키자.\n\n실베나르, 그린 레이디, 보스머 사람들의 행복을 기원한다. 이 새 세대가 전시와 마찬가지로 평시의 힘도 이해하기를."
"51188213-0-2418","Come for the Cure!","와서 병을 치유하세요!"
"21337012-0-777","Entry Donation: 1 gold\n\nWelcome to Deepwoods, abode of the former and current Green Ladies of Malabal Tor!\n\nOur first Green Lady, Finoriell, was revealed as Green Lady later than customary, by which time she lived in Velyn Harbor. She served well, and upon her passing, the search began for the next Green Lady.\n\nBlessed Deepwoods proved once again to foster the fortitude required in Finoriell's niece, Gwaering, who demonstrated the physical prowess, cunning, and strength expected of the Green Lady.\n\nWithin Deepwoods, you may see Gwaering and Finoriell's home, as well as many of the places where they once hunted. Gwaering in particular showed early aptitude with the bow, with a high kill ratio from her tenderest years.\n\nThe Green Lady is not a mere symbol of virtue, she holds within her the ability to channel her strength to the Bosmer as needed upon completion of her investiture.\n\nWithin a fortnight of her selection, preparations began for Gwaering's handfasting with the Silvenar.\n\nThe celebrations will continue for many months following the formal handfast ceremony, which takes place in the city of Silvenar.\n\nPlease enjoy your visit to Deepwoods, however long or short your stay!","입장료: 1골드\n\n말라발 토르의 전대와 현대 녹색 여군주들이 생활했던 깊은숲에 오신 것을 환영합니다!\n\n저희 마을의 첫 번째 녹색 여군주, 피노리엘님은 통례보다 늦게 녹색 여군주임이 드러나셨고, 그 무렵에는 벨린항에서 살고 계셨습니다. 피노리엘님은 여군주로서 훌륭한 모습을 보여 주셨고, 그분이 돌아가시자 다음 녹색 여군주를 찾기 위한 작업이 시작되었습니다.\n\n축복받은 깊은숲은 불굴의 용기를 키워낸다는 사실을 다시 한번 증명해냈습니다. 녹색 여군주에게 기대되는 육체적 기량, 교묘함, 힘을 보여준 피노리엘님의 조카 그웨어링님을 통해서 말이죠.\n\n깊은숲에서 그웨어링님과 피노리엘님의 거주지 뿐만 아니라 한때 그분들이 사냥하시던 장소도 볼 수 있을 것입니다. 특히 그웨어링님은 일찍부터 활에 대한 재능을 보여주셨고, 가장 귀여웠던 나이부터 높은 사살 비율을 자랑하셨습니다.\n\n녹색 여군주는 단순한 미덕의 상징이 아니며, 수여식이 완료되면 필요에 따라 자신의 힘을 보스머 민족에게 전달할 수 있는 능력을 보유하고 있습니다.\n\n그웨어링님이 선택받으신지 2주일도 안 되어 실베나님과의 서약식 준비가 시작되었습니다.\n\n축하 행사는 실베나 도시에서 열릴 서약식 이후에 몇 달 동안 계속될 것입니다.\n\n얼마나 머무시던지 깊은숲 방문을 즐겨 주세요!"
"21337012-0-776","Brigeera gra-Tor, killer of a hundred mammoths. Able to break skulls with just her thumbs.\n\nGrish the Scaled, whose breeches were made from the skins of Argonians he slew.\n\nDuzhal of the Wastes, traveling champion of the woods. Best-known for defeating the previous champion by biting through his neck while it was still encased in armor.\n\nRitrag gro-Forment, eater of spiders and poisonous snakes. Said to spew venom into his challengers' eyes.\n\nMakgruk gro-Basgurum, also known as the Healer. Reduced his opponents' suffering by removing their heads.\n\nThe Maiden Lashki. Intimidated her enemies by wearing a dress made from her victims' scalps.","브리게라 그라-토르. 100마리 매머드의 살해자. 엄지만으로 머리를 부술 수 있는 자.\n\n비늘덮인 그리시. 자신이 죽인 아르고니안 가죽으로 바지를 만들어 입은 자.\n\n황야의 두잘. 숲의 떠돌이 투사. 이전 투사가 갑옷을 입고 있었을 때 그 목을 물어뜯어 패배시킨 것으로 가장 유명한 자.\n\n리트라그 그로-포멘트. 거미와 뱀의 독을 먹는 자. 도전자의 눈에 독을 토해냈다고 전해지는 자.\n\n막그룩 그로-바스구룸. 또한 치유사로도 알려진 자. 상대의 머리를 잘라내어 고통을 줄여준 자.\n\n아가씨 라시키. 희생자의 머릿가죽으로 만든 드레스를 입고 적들에게 겁을 준 자."
"51188213-0-2099","Call for Census","인구 조사 명령"
"51188213-0-2533","Treaty of the Three Clans","세 부족의 조약"
"51188213-0-420","The Steel Shrikes Proclamation","스틸 슈라이크 선언"
