"Location","Source","Target"
"21337012-0-418","Edhelfin,\n\nIf I never see your blighted face again, it will be too soon. Sal told me all about the ""extra"" shipments. And don't think I haven't noticed your finger on the scales in our dealings.\n\nI'm giving you a warning as a courtesy. Sal likes you, and he'd mope for weeks if he saw you drawn and flayed. Next port we dock at, you've got one chance to jump ship. If I catch you, you're dead. If I see you before, during, or after, you're dead. Don't tempt me.\n\nYour adoring sister,\n\nElandora","에델핀,\n\n아직 네 건방진 얼굴을 봐야 할 것 같네. \"\"임시\"\" 화물에 대해서는 전부 살이 알려줬어. 우리 거래에 끼어들고 있던 걸 내가 눈치채지 못했다고 생각하지 마.\n\n친절하게 경고해주는 거야. 살은 널 마음에 들어하기 때문에, 껍질이 벗겨진 네 모습을 본다면 몇 주 동안은 우울해할 거야. 다음에 들어가는 항구에서, 너에게는 탈출 기회가 하나야. 나에게 잡히면 넌 끝이야, 그 전인가, 그 사이인가, 혹은 그 후에 보여도, 넌 끝. 날 매도하려 하지 마.\n\n네가 사랑하는 자매,\n\n에란도라"
"21337012-0-2548","<<1>>,\n\nI know you're busy, big brother, but I still haven't received the shipment you promised me! Please send my order as soon as you can or we'll have nothing to sell at the family shop.\n\nAnyway, I can't wait until I get up to Mournhold. I want to see this wonderful forge you wrote us about. And I can't wait to meet all of the crafters and smiths that work for you!\n\nAll my love, dear brother!\n\n—Blivisi","<<1>>,\n\n형님, 바쁜 와중에 죄송합니다. 약속한 짐이 아직 도착하지 않았어요! 집 가게에 진열할 상품이 없어져버려요. 주문 상품을 가능한 한 빨리 배송해 주세요.\n\n여하튼, 모운홀드에 도착할 때까지 기다릴 수 없어요. 편지에 있던, 엄청난 단조용품을 빨리 보고 싶어요, 그것을 만든 대장간과 생산자를 만나길 바라요! \n\n형에게, 사랑을 담아\n\n—브리비시"
"21337012-0-1338","Mother,\n\nI wish you could see what I have accomplished here. The city does not reject nature as you might expect. If anything, the relationship is more complex than we could ever have imagined. I know you think I turned my back on you, on everything you taught. I would do anything to help you understand that I have taken what I've learned and found my own place with it, as you always said I should.\n\nPlease, come speak with me. I am ready to continue the Accord. I am ready to—","어머니,\n\n내가 이 곳에서 이룬 것을 보실 수 있으면 좋겠어요. 이 도시는 어머니가 생각했던 것처럼 자연을 거부하지 않아요. 오히려, 그 관계는 우리가 상상했던 것보다 더 복잡합니다. 어머니가 언제나 말씀했던 것 처럼, 내가 배운것들로 이 도시에서 나만의 장소를 찾았다는 사실을 당신에게 이해시킬 수 있다면 어떤 것이든 하겠어요.\n\n제발, 나랑 이야기좀 해요. 나는 Accord를 계속 할 준비가 됐어요. 나는 준비가ㅡ"
"51188213-0-1208","Foreman's Letter","작업대장의 편지"
"21337012-0-659","Dearest sister,\n\nJust like we thought, Father was the one stealing the loaves from the cupboard. Mother yelled and yelled, and we laughed and laughed. We would have laughed harder with you there. \n\nGet well, little sis. Auri-El watch over you.\n\n— Camarino","가장 사랑하는 내 여동생에게,\n\n우리 예상대로 찬장에서 빵을 훔친 건 아버지였어. 어머닌 고래고래 소리 지르셨고, 우린 실컷 웃었지. 너도 함께 있었다면 더 크게, 실컷 웃을 수 있었을 거야.\n\n사랑하는 동생아, 잘 지내렴. 아우리-엘께서 널 굽어보시기를.\n\n— 카마리노"
"21337012-0-2549","Ofglog gro-Barkbite,\n\nThe entire stronghold gathered around to see what you learned at that fancy college. We closed our eyes, just like you asked. You said some fancy words, and then … nothing. When we opened our eyes, you were gone.\n\nMoramat opened her fool mouth and wondered if you'd turned invisible—and they all looked at me! Everyone knows you've been sniffing around my forge for years, and they know I've turned you away. Then Sharnag blurted out, ""Looks like he finally came to his senses,"" and they all started laughing.\n\nThis is the last time you make a fool of me. Wherever you went, I hope you never come back. I hate you.\n\n—Shakul","오프그로그 그로 바크바이트,\n\n당신이 그 멋진 대학에서 배운 것을 보고 싶다고 요새의 모두가 모여들었다. 당신의 말처럼 우리는 눈을 감고, 그리고 당신이 이상한 말들을 하자... 아무 일도 일어나지 않았다. 그리고 우리가 눈을 떴을 때, 당신은 이미 사라져 있었다.\n\n모라매트가 그 못난 입을 벌리고 당신이 투명인간이 된게 아니냐고 말하고... 모두가 나를 봤어! 몇 년 동안 당신이 내 대장간 주변을 돌아다녔던 일이나, 문전박대하고 있었다는 것을 알고 있었으니까, 그리고 샤르나그가 불쑥 \"\"드디어 정신을 차린 거군\"\"이라고 말하자 모두가 웃음을 터뜨렸다.\n\n이게 네가 나를 놀린 마지막이었군. 어디를 갔든, 다시는 돌아오지 않았으면 좋겠다. 네가 정말 싫다.\n\n—샤쿨"
"51188213-0-1206","Further Missive from the Mages","마법사들로부터 온 편지"
"51188213-0-1205","Missive from the Mages Guild","마법사 길드에서 온 편지"
"51188213-0-1567","Letter from Karpu-sa","카푸-사가 보낸 편지"
"21337012-0-1333","Cousin Idirfa,\n\nSorry for the delay in sending you this letter. I know it might not get delivered for a while, but I wanted to let you know I've had some success. It's been a long journey, but I know it's going to be worth it.\n\nThe weather turned bad and we were forced to take shelter in Icehammer's Vault. Not as ideal as a nice warm inn, but at least I can look for some treasure while we're here. As long as I'm quick and quiet, I think I can find some gold and maybe a relic or two. \n\nThe wife is not happy with the situation, of course, but she is patient and understanding. She brought a few books and she's reading to the baby. She prefers religious tomes, but if that's what it takes for her to get through this, that's fine with me.\n\nI don't feel good about bringing my family here, but you know how those moneylenders are. I actually feel safer with the family beside me than back in Windhelm where they might get harassed.\n\nWe'll return to Fort Amol as soon as we've got enough to pay off my debts. May the Divines watch over you. May they guide and protect us all.\n\n— Uggissar","사촌 Idirfa에게,\n\n너에게 이 편지를 보내는게 늦어져서 미안해. 한동안 배달되지 않을 수도 있다는 것은 알지만, 내가 어느정도 해냈다는 사실을 알려주고 싶어. 매우 긴 여정이었지만, 그만한 가치가 있을 거라는 건 알아.\n\n날씨가 나빠져서 어쩔 수 없이 Icehammer's Vault로 피신하게 되었어. 따뜻한 여관만큼 이상적이진 않지만, 여기 있는 동안 보물을 조금 찾을 수 있어. 내가 신속하고 조용하기만 하다면, 금이나 유물 한 두개쯤 찾을 수도 있겠지.\n\n물론, 아내는 이런 상황을 좋아하지 않지만, 참을성있고 이해심있는 사람이잖아. 그녀는 책 몇 권을 가져와서는 아기에게 읽어주고있어. 그녀는 종교적인 책을 선호하지만, 그녀가 이 상황을 버틸 수 있게 해준다면, 괜찮은 것 같아.\n\n내 가족들을 이곳에 데려온 것에 기분이 좋지는 않지만, 너도 사채업자들이 어떤지 알테니까. 실제로 윈드헬름에서 사채업자들에게 가족들이 시달리게 두고 온 것보다는 안전하다고 생각해.\n\n우리 가족은 빚을 갚는대로 Fort Amol로 돌아갈거야. 디바인들께서 너를 지켜봐 주시기를. 그들이 우리 모두를 인도하고 보호해주시기를.\n\nㅡUggissar"
"21337012-0-2543","Dear Laenira,\n\nEverything is as you instructed. Beware the wisps! They look like flowers, and I've had several close calls.\n\nSee you soon, love.","사랑하는 라에니라에게,\n\n전부 당신이 말한 대로 해 놨어. 위습을 조심해! 마치 꽃처럼 생겼는데, 몇 번인가 구사일생으로 살아났다니까.\n\n곧 만나자, 내 사랑."
"21337012-0-1572","<<1>>,\n\nImagine my surprise at leading the herd to the shore and finding riches of the sea spilled upon our doorstep. What a bounty!\n\nSister, bring your wagon to <<2>> with all haste. If we move swiftly, we'll have enough money to start our own plantation!\n\n— <<3>>","<<1>>,\n\n가축들을 데리고 해안가로 가다가 우리 문턱에 흘러들어온 바다의 재물을 봤을 때 내가 얼마나 놀랐을지 상상해 봐. 이 무슨 횡재람!\n\n자매여, 빨리 짐마차를 가지고 <<2>>으로 와. 빠르게 움직이면 우리 소유의 농장을 차릴 돈을 벌 수 있을거야!\n\n— <<3>>"
"51188213-0-2537","Sir Edmund's Letter","에드먼드(Edmund) 경의 편지"
"21337012-0-1210","My dearest, \n\nAnother month come and gone, and still no sign of Falinesti. I received letters from the Summer site with the same news. I fear we may never see the city in our lifetime. How does this happen? How does an entire city just vanish? Questions we've asked a hundred times and still no answer.\n\nPerhaps we should abandon our watch once and for all. We had lives, once. Lives we could return to. Please write soon and let me know what you think. I miss you and the children. We could reunite in Elden Root and at least be together—for a time. \n\nWrite soon,\nAltholmir","내 사랑,\n\n또 한 달이 지나가는데, 팔리네스티가 돌아올 조짐은 여전히 보이질 않아. 여름 땅에서도 똑같은 소식을 전하는 편지를 보냈더라고. 우리 생전에 도시를 절대 보지 못할까봐 걱정이야. 어떻게 이런 일이 일어났을까? 어떻게 도시 전체가 그냥 사라져버린 걸까? 백 번도 넘게 질문을 해 보지만 답은 여전히 보이질 않아.\n\n어쩌면 이젠 기대를 완전히 접어야 할지도 모르겠어. 우리도 한때는 삶이란게 있었지. 돌아갈 수 있는 삶 말이야. 부디 답장을 보내서 당신 생각을 알려 줘. 당신이랑 아이들이 그리워. 엘든 루트에서 다시 만나면 적어도 함께 있을 수 있을거야. 당분간은 말이야.\n\n조만간 다시 편지할게.\n알솔미어."
