"Location","Source","Target"
"21337012-0-2542","Lanalda danced through Valenwood, willing the leaves to change colors. Nothing happened, as she had no power over them.\n\nShe stomped her foot like an angry child, and saw the earth dimple beneath her. Enchanted, Lanalda stomped again and again, each time deepening the vale. When rain fell, she danced wildly within the dip she'd created.\n\nSlowly, it filled with water. Lanalda danced gleefully, though the waters covered her. They say her unseen dance creates the ripples on the lake.","이파리들이 색을 바꾸길 원했던 라날다는 춤을 추며 발렌우드를 거닐었다. 하지만 그녀에게는 이파리에게 영향을 줄 힘이 없었기 때문에, 아무런 일도 일어나지 않았다.\n\n라날다는 화난 아이처럼 발을 굴렀고, 자기 발 아래의 땅이 움푹 들어간 모습을 보았다. 그 모습에 매료된 라날다는 발을 구르고 또 구르며 계곡을 점점 더 깊게 만들어갔다. 비가 내릴 때면 라날다는 자신이 만들어낸 구덩이 안에서 격렬하게 춤을 추었다.\n\n천천히 구덩이에 물이 차올랐다. 라날다는 물에 잠기는 와중에도 즐겁게 춤을 추었다. 전해지는 말로는 라날다의 보이지 않는 춤이 호수의 잔물결을 만들어낸다고 한다."
"21337012-0-652","By Aramril\n\nNo doubt you have heard tales of my adventures. Stories carried from province to province, all of Tamriel in awe of my feats of magical prowess. More than once, I am sure, you have thought, ""If only I had Aramril's ability. Then I too could seek fame and fortune in magical duels!""\n\nIt is true, of course. Great fame and limitless fortune await those who are successful. But to be successful, one needs to learn from the best. That is why you have purchased this book, so that I may teach you. I am, of course, the best.\n\nHere, then, is my advice. Follow it, and you too can make a name for yourself throughout Tamriel.\n\n1. To know your opponent is to know his weakness.\n\nInfinitely more versatile than a simple blade of steel, a good mage has a wide array of spells at her disposal. More than that, she knows when best to use them. She knows that frost spells can stop a charging beast, or keep a savage brute from swinging his sword. She knows that shock spells can drain her opponent's magicka. She knows that illusion spells can set a group of enemies against each other (should she find herself in a less than fair fight, an all-too-common reality when her opponents know they cannot win in single combat), and that there are spells that can save her in a moment when all seems lost.\n\n2. To know yourself is to know your limits.\n\nEven the best mage has a finite reserve of magicka; none born yet have been graced with Magnus' infinite reserves of power. And so a good mage does not over-extend herself. She makes sure she always has enough magicka to keep herself safe. Failing that, she makes sure she has a sizable supply of potions at the ready. Failing that, she makes sure she always has an escape route. Not that the Great Aramril has ever fled a fight, but of course you do not necessarily share her superb natural ability. That is why you must practice.\n\n3. Wards can kill (you).\n\nThere is no question that wards are an essential tool of any aspiring mage. They can block incoming spells, negating your opponent's attack and wasting his magicka. A good mage knows, however, to not rely too heavily on her ward. Keeping a ward readied for too long will leave a caster drained of magicka, unable to retaliate, and at worst unable to maintain the ward and therefore become completely defenseless.\n\n4. Two hands are not always better than one.\n\nAny advanced spellcaster has learned to cast spells with both hands, dealing more damage. There are certainly times when this is to your advantage, such as when an opponent is already weakened, or when it is likely to draw a bigger reaction from the crowd that has no doubt gathered to watch you. It is not always the best strategy, however. Concentration spells, for example, can often be used on the ground when an opponent is especially nimble. In that instance, using both hands independently can cover more ground at the same time. A mage throwing fireballs with both hands cannot immediately raise a ward to defend herself, or heal while she continues to attack.\n\n5. Always rise to a challenge, especially when you know you can win.\n\nRemember that your first priority is, of course, to stay alive. Following closely behind, though, is your need to please the crowd. You are, after all, depending on their generosity to fund your exploits. Here, then, more than magic comes into play. If you can gain a sense of your opponent's ability before the duel begins, you can enter into the event with confidence. Knowing that you outclass your opponent is of great importance, as it means you can confidently give the crowd a better show. Likewise, knowing ahead of time that you could very well lose a duel, you are afforded an opportunity to suddenly find yourself engaged elsewhere, and be unable to attend the event. (By no means do I suggest that I have ever done such a thing; I simply find that my great fame occasionally means I am unable to respond to every single request for a duel.)\n\nKeep these few things in mind, keep your wits about you, and you too can make a name for yourself by putting on great displays of magical prowess. Take care, though. For if you become successful enough, you may find yourself facing a challenge from me!","아람릴 씀\n\n나의 모험 이야기를 들은 적이 있을 것이다. 지역에서 지역으로 전해져, 탐리엘 전역이 나의 우수한 마법의 힘으로 쌓은 공적을 향해 경외로운 마음을 품고 있지.'만약에 아람릴 (Aramril) 같은 능력이 있다면, 마법 결투로 부와 명성을 손에 넣었을 텐데!'라고 몇 번이나 생각해 본 적이 있었겠지.\n\n그것은 사실이야. 위대한 명성과 수많은 부는 승리자를 기다리고 있다. 하지만 승리자가 되려면, 최고의 사람으로부터 배울 필요가 있다. 그러니 최고인 내가 쓴 이 책을 구입했을 터, 이제 그 가르침을 받을 수 있을 것이다. \n\n내 조언을 따르면, 당신도 탐리엘 전역에서 유명해질 수 있다.\n\n1. 적을 안다는 것은 적의 약점을 안다는 것.\n\n단순한 강철 검과는 비교할 수 없는 만능이며, 우수한 마법사는 다양한 주술을 원하는 만큼 사용할 수 있다. 그뿐 아니라, 사용하는 최적의 타이밍을 알고 있다. 냉기 마법은 짐승의 돌진을 멈추게 하거나, 잔혹한 야수의 검으로부터 거리를 유지할 수 있도록 한다. 전격 마법은 적의 매지카를 감소시킨다. 환영 마법은 적의 집단을 분열시키고 (혹 정정당당한 싸움이 아니라고 생각한다면, 그들은 1대1로는 상대를 이기지 못하는 자들이라는 점을 상기하라.), 이 모든 것이 유효하지 않을 때라도, 자신을 보호할 수 있는 마법은 있기 마련이다.\n\n2. 자신을 안다는 것은 자신의 한계를 아는 것.\n\n최고의 마법사라도 매지카의 양에는 한계가 있어. 아직 마그누스의 무한한 힘을 부여 받은 자는 존재하지 않기 때문이지. 그렇기에, 우수한 마법사는 능력 이상의 일을 벌이지 않아. 안전을 유지하기 위해 충분한 매지카를 항상 확보하고 있지. 그것이 안 되더라도, 상당한 양의 포션을 항상 준비한다. 만약 그것 또한 안 되는 경우에는, 항상 탈출로를 확보한다. 위대한 아람릴은 싸움에서 도망친 일은 없지만, 허나 그렇다고 그녀처럼 천부적인 재능이 필요한 것은 아니다. 훈련을 통해 이를 만회할 수 있지.\n\n3. 보호막 마법은  (당신의) 생명을 빼앗을 수도 있다.\n\n보호막 마법은 마법사를 지망하는 어떤 사람이라도 중요한 도구라는 것에 이의를 제기하지 않지. 적의 마법을 방어하고, 공격을 무효화시켜 매지카를 낭비하게 만든다. 하지만 우수한 마법사는, 보호막 마법에 너무 의지하면 안 된다는 것을 알고 있어. 보호막 마법을 장시간 사용한다는 것은 마법사의 매지카를 소비시키고, 반격을 할 수 없게 되며, 최악의 경우에는 보호막조차 유지할 수 없게 되어 완전히 무방비 상태가 되어 버린다.\n\n4. 언제나 양손이 한손보다 좋다고는 단정할 수 없다.\n\n상급 마법사라면 누구나 마법의 피해량을 늘리기 위해 양손으로 마법을 사용하는 법을 배운다. 그것이 확실히 유리할 때는 있다. 예를 들어 상대가 이미 약해져 있을 때나, 또는 구경하러 모인 많은 수의 사람들로부터 커다란 반응을 끌어낼 때 말이야. 하지만, 이것이 언제나 최선의 전략이 되지는 않아. 예를 들자면 집중 마법은, 지상에서 특히 적이 재빠를 때 유용하지. 이 예를 빌어 이야기 하자면, 양손을 각각 따로 사용하면 동시에 사용하는 것보다 넓은 범위에 쉽게 대응할 수 있어. 화염구를 양손으로 발사하는 마법사는, 즉시 보호막 마법을 쓰지 못하게 되거나, 회복 마법을 쓸 수 없게 되는 것 처럼 말이지.\n\n5. 항상 도전을 받아 들여라, 특히 이긴다는 걸 알고 있을 때에는.\n\n최우선 사항은 당연히 살아남는 거야. 하지만 또한 중요한 것은, 관객을 기쁘게 하는 일이지. 당신의 모험은, 결국 그들의 호의에 달려 있어. 여기에는 마법 이상의 것이 영향을 끼치게 된다. 결투가 시작되기 전에 상대의 능력을 알아차렸다면, 자신을 가지고 달려들 수 있지. 자신이 상대보다 우수하다는 것을 알고 있다는 것은 대단히 중요한데, 그것은 관객에게 좋은 쇼를 제공할 수 있다는 의미를 가져. 마찬가지로, 미리 전투에서 질 것을 알고 있다면, 재빨리 어딘가의 다른 장소에서 고용될 기회를 얻어, 결투에 참가하지 않으면 된다. (나는 이런 일을 한 적은 없지만, 명성이 너무나도 높기에 모든 결투 신청에 응하지 못하는 일이 종종 있었을 뿐이지)\n\n이것들을 마음에 담아, 냉정한 판단력을 유지하고, 우수한 마법을 펼쳐 보인다면 유명해질 수 있을 거야. 다만, 충분한 명성을 떨치게 된다면, 나에게 도전을 받을 날이 올지도 모르겠지만 말이지!"
"21337012-0-5376","by High King Emeric\n\nHaving found himself in command of the Empire after the deposition of the incompetent Kastav, Reman II's first notable endeavor was to negotiate a swift end to the Winterhold Rebellion of 2804. Reader, grant this thought due consideration—a new and largely untested leader was able to make peace with angered Nords without further unnecessary bloodshed. This was no mean achievement, and truly it demonstrated the quality of the man who would bring a golden age to the Second Empire.\n\nHow could a leader of such quality, one who not only calmed the rebellious Nords, but who subdued and united nearly all of Tamriel to usher in one of the most peaceful, productive intervals in recorded history, let the Empire come to ruin? I will divulge my ruminations on the matter, but not before recognizing the accomplishments of this remarkable man and the lessons to be learned from them.\n\nReman II was a master tactician, and studying records of the battles he fought shows not only his own acumen, but his respect for his troops—and those of the enemy. When he conquered new territory for the Empire, he established rule with a careful hand, avoiding too much disruption to local customs, traditions, and particularly to established trade. The Imperial culture spread, of course, but not through forced assimilation. Rather, the people came to accept and support the Empire by reaping the benefits of free trade, stability, and the development of better infrastructure. He gathered advisers from each province, and focused on his people more than many Emperors ever had.\n\nFor long years, peace prevailed across Tamriel. Necromancy and Daedra worship were abolished. Trade flourished, and, through the careful ministrations of Reman II and his councilors, the Second Empire thrived. And yet, the great emperor desired more. He turned his eyes to the provinces of Black Marsh and Morrowind, the unconquered territory weighing heavy on him. In the 2830s, he called forth the legions in an imprudent attempt to conquer Black Marsh. The losses to the swamp itself—its diseases and deadly beasts—nearly matched the number lost in combat with the Argonians, but the Empire managed to establish footholds in the northern and eastern marches by 2837. Reman declared Black Marsh to be officially annexed.\n\nIn perhaps his most critical folly, Reman II was not satisfied. He turned next to Morrowind and initiated the Four-Score War, a long, bloody conflict devastating to both sides. The battles were ugly, and the tenuous relations with Morrowind, which had shown some promise for diplomacy, were shattered. He perished fighting the Dunmer in 2843, and his heirs continued on as the Empire began to weaken, bled dry by the cost and wracked with dissent.\n\nAnd that is, perhaps, the greatest lesson that Reman II can teach to any leader: to keep ambition in check. His success catapulted him to greater and greater visions for the Empire, but in his desire to unify all of Tamriel, he compromised the beliefs and practices that made the Second Empire's golden age great, engaging in a hopeless war unwanted by his people and unneeded to provide them with security, free trade, and a prosperous Empire.","하이 킹 에머릭 지음\n\n무능한 카스타브의 폐위 후 제국을 지배하는 입장에 놓인 레만 II세의 첫 번째 주목할 일은 2804년 윈터홀드의 반란을 신속히 종결하기 위한 협상이었다. 독자들은 이 점에 대해 잘 생각해 주었으면 한다. 새롭게 검증된 적 없는 지도자가 분노에 불탄 노르드를 상대로 불필요한 유혈사태 없이 평화를 이뤄낸 것이다. 이것은 보통 실적이 아니다. 제2제국에 황금 시대를 가져다 줄 남자의 소질을 나타낸 것이다.\n\n반역하는 노르드를 진압했을 뿐만 아니라 탐리엘의 거의 전 국토를 통일해 역사에 기록된 한 가장 평온하고 생산적인 시대를 연 이 정도의 지도자가 어떻게 제국을 파멸시키게 된 걸까? 이 점에 대해 내 주장을 말하기 전에 이 유례없이 드문 남자의 공적과 거기서 얻을 수 있는 교훈을 확인해 두고 싶다.\n\n레만 II세는 전술의 달인이었다. 그가 몸담았던 전투 기록을 살펴보면 레만 II세 자신의 통찰력뿐만 아니라 자신의 병사에게도, 적병에게도 경의를 표했음을 알 수 있다. 제국의 새 영토를 정복했을 때 그는 주의 깊게 규칙을 정해 그 지역의 풍습과 전통, 특히 확립된 교역을 가급적 방해하지 않도록 했다. 물론 임페리얼의 문화는 퍼졌지만 그것은 강제적인 동화정책에 의한 것이 아니었다. 오히려 사람들은 자유로운 교역과 안정성, 보다 뛰어난 기본설비 개발 등의 이익을 누림으로써 제국을 받아들이고 지지하게 된 것이다. 레만 II세는 각 지방에서 조언자를 모아 그 때까지의 많은 황제들보다 훨씬 더 많은 국민에게 초점을 맞추었다.\n\n오랜 세월 동안 탐리엘은 평온했다. 사령술과 데이드라 숭배는 금지됐다. 교역이 활발해지면서 레만 II세와 그 조언자들의 세심한 원조를 통해서 제2제국은 번창했다. 그러나 이 위대한 제국은 더 많은 것을 요구했다. 레만 II세는 가슴 벅찬 미정복 영역, 즉 블랙 마쉬와 모로윈드로 눈을 돌렸다. 2830년 그는 제국군을 소집하고 성급하게도 블랙 마쉬를 정복하려 했다. 병과 흉포한 짐승 때문에 목숨을 잃은 사람들은 아르고니안과의 전투에서 잃어버린 수에 맞먹을 정도였지만, 제국은 2837년까지, 북쪽과 동쪽 국경 지역에 발판을 마련하는 데 성공했다. 레만은 블랙 마쉬가 공식적으로 병합됐다고 선언했다.\n\n아마도 레만 II세의 가장 치명적인 무분별성은 이것으로 만족하지 않았을 것이다. 그는 다음으로 모로윈드로 들어가 80년 전쟁의 불을 지폈다. 양쪽 편에 괴멸적 피해를 남긴 길고 피비린내 나는 분쟁이다. 그 싸움은 끔찍한 것으로, 모로윈드와의 사이에 있던 몇 안 되는 외교의 가능성도 소멸해 버렸다. 레만은 2843년 던머와의 전쟁에서 쓰러졌다. 후계자들이 전투를 계속하면서 제국은 비용과 불화에 시달리면서 쇠약해지기 시작했다.\n\n아마 이 일이, 레만 II세가 모든 지도자에게 줄 수 있는 최대의 교훈일 것이다. 즉 야심의 폭주를 억제하라는 것이다. 그의 성공은 제국을 더 크고 더 큰 야망으로 이끌었지만 탐리엘 전역을 통일한다는 욕망 속에서 레만은 제2제국의 황금기를 위대하게 만들던 신념과 실천을 잃고 말았다. 안전과 자유로운 교역, 제국의 번영을 위해 백성이 바라지 않는 가망 없는 전쟁에 투신했던 것이다."
"51188213-0-2651","Khajiiti Honorifics","카짓의 경칭들"
"21337012-0-2651","By Lady Radurra-dra of Torval, \nSouthwest Elsweyr Representative to the Thalmor\n\nHave you met Headmaster Tanion? A most polite and correct mer, who was horrified when I informed him that he'd applied a most improper suffix to my name, instead of the appropriate ""dra."" (To spare him further embarrassment, we shall not go into details—but ask me sometime after I've had a couple of glasses of tawny port.)\n\nSo it seemed like a good idea to this one to compile a list of the most common Khajiiti name-titles—at least the proper ones—for the benefit of the College of Aldmeri Propriety, and all our new allies from Summerset and Valenwood. \n\nFeminine Honorifics\n\n""-dra"" is a title of respect awarded to one known for her wisdom and wit, or as a consolation to one who has achieved a venerable age. I prefer to think that, in my case, it is the former condition that applies. \n\n""-daro"" is for one who has achieved excellence in the nimble manipulation of loose articles, such as small decorative objects and unattached coinage. It may also be awarded to one who is lithe of tongue.\n\n""-do"" is for one who has earned renown as a warrior—usually male, but occasionally (too occasionally, in this one's opinion) a female. \n\n""-ko"" is an appellation for respected healers, mages, and scholars, and is also sometimes added to the names of learned ancestors. Perhaps, once this one has passed on, her children will refer to her as ""Radurra-ko""? …Well, it is a warm thought.\n\n""-la"" is an oh-so-fleeting title applied to graceful maidens who are unmarried, or behave as if they were. This one remembers fondly when she was ""Radurra-la""—just last year, no? \n\n""-ma"" is for a young child of either gender, a term of endearment, except when it is shouted or snarled. \n\nMasculine Honorifics\n\n""-dar"" is perhaps the most ancient of all Khajiiti titles, an appellation earned by those who are nimble in fingers and wits, and are both inquisitive and acquisitive. I have heard that it is also sometimes applied to politicians, but such usage would surely be jocular (and never employed by me, sweetness!).\n\n""-do"" is an honorific for one who has earned distinction on the field of battle or in personal duels. Beware of those strutting lions who apply the title to themselves, not waiting for others to award it. \n\n""-dro"" is a title applied to wise elders, patriarchs, grandfathers, and those who walk too slowly in front of one in the marketplace. \n\n""-jo"" is an appellation for respected physicians, scholars, and mages, though it is also frequently adopted by charlatans and mountebanks. I remember a handsome, dark panther in Corinthe who wanted to sell me a string of ""enchanted"" pearls … but that is a story for another moon. \n\n""-ra"" is for an esteemed leader of soldiers, trade, or governance. A cat-ra often has a harem of kitten-las, sometimes ostentatiously so, especially if he is making up for a deficiency in his short-tail. \n\n""-ri"" is a title rarely awarded, as it is reserved for great leaders of our people, Speakers, Kings, and Manes—and perhaps for a virile lover whilst wrestling amongst the pillows. Or so I have heard. \n\nThis one has also heard that among the faddish youth of Alabaster, it is the fashion to place the honorific before the name, rather than after. Radurra-dra likes to be fashionable, but she fears she cannot approve of this practice, as it will tend to make Khajiiti names sound far too alike. That would be boring—and we do not wish to be boring, yes?","남서부 엘스웨어 탈모어 대표,\n\n토르발의 레이디 라두라-드라 저\n\n타니온 교장을 만나본 적이 있는가? 내 이름에 적절한 \"\"드라\"\"가 아니라 가장 부적절한 접미사를 붙였다는 사실을 알려 주었을 때 충격을 받았던, 가장 공손하고 올바른 태도를 지닌 엘프를 말이다. (그에게 더 이상의 곤란을 주지 않기 위해 자세히 설명하지는 않겠다. 하지만 나는 이따금 황갈색 포도주 두어 잔을 마시니, 그 후에 물어 보아라.)\n\n그 일 이후로, 이 카짓이 가장 흔한 카짓의 명칭들(적어도 적절한 것들)을 모아서 설명해주면 좋겠다는 생각이 들었다. 알드메리 예절 학교를 위해서, 그리고 서머셋과 발렌우드 출신의 새로운 동맹들을 위해서 말이다.\n\n여성형 경칭\n\n\"\"-드라\"\"는 자신의 지혜나 재치로서 알려진 자에게 존경의 뜻으로 주어지거나, 혹은 덕망있는 어르신들께 위안의 뜻으로써 주어지는 칭호이다. 내 경우에는 이 경칭이 과거의 상태에 적용되는 것이라고 생각하는 것을 선호한다.\n\n\"\"-다로\"\"는 주인 없는 물건들을 솜씨 좋게 처리하는 일에 탁월한 사람들에게 주어진다. 작은 장식품들과 주인 없는 동전들같은 물건 말이다. 또한 혀를 잘 놀리는 사람에게 주어질 수도 있다.\n\n\"\"-도\"\"는 전사로서 명예를 얻은 자들을 위한 경칭이다. 보통은 남성이지만, 이따금(이 몸의 의견으로는 지나치게 가끔) 여성이 얻을 때도 있다.\n\n\"\"-코\"\"는 높은 평가를 받는 치유사, 마법사, 그리고 학자들을 위한 명칭이다. 또한 박식한 선조들의 이름에 추가되는 경우도 가끔 있다. 어쩌면 이 카짓이 죽고 난 뒤에, 아이들이 그녀를 \"\"라두라-코\"\"라고 부를 지도? ...음, 기분 좋은 생각이다.\n\n\"\"-라(la)\"\"는 아직 결혼하지 않았거나, 혹은 결혼하지 않은 것처럼 구는 우아한 아가씨들에게 적용되는 칭호이며, 아주 잠깐 동안만 붙어 있는다.이 카짓은 그녀가 애정이 듬뿍 담긴 \"라두라-라\"로 불렸던 날들을 기억한다. 바로 작년이 아니었던가?\n\n\"\"-마\"\"는 성별에 상관없이 어린 아이를 위한 것이며, 애정이 담긴 용어이다. 소리지르거나 으르렁거리며 부를 때를 제외하고는 말이다.\n\n남성형 경칭\n\n\"\"-다르\"\"는 어쩌면 모든 카짓의 칭호 중에서 가장 오래된 것일지도 모른다. 날렵한 손재주와 영리한 재치를 가졌고, 호기심과 소유욕을 동시에 가진 사람에게 붙는다. 그리고 가끔은 정치인에게 붙기도 한다는 말을 들은 적이 있지만, 그런 경우는 분명히 농담조로 사용되는 사례일 것이다(그리고 내가 고용한 사람들 중에는 한 명도 없다. 귀엽기도 하지!).\n\n\"\"-도\"\"는 전장이나 개인적인 결투에서 탁월함을 보인 사람에게 주어지는 존경의 호칭이다. 이 호칭을 남들이 붙여주길 기다리지 않고 자기 스스로 붙이고 다니는 허세쟁이 사자들을 조심하라.\n\n\"\"-드로\"\"는 현명한 장로, 족장, 늙은이, 그리고 장터 앞에서 너무 느리게 걷는 사람들에게 붙는 칭호이다.\n\n\"\"-조\"\"는 존경받는 의사, 학자, 그리고 마법사에게 붙는 칭호이지만, 돌팔이와 사기꾼들이 종종 스스로에게 붙이기도 한다. 코린스에서 만났던 잘생긴 검은 털 표범이 기억난다. 나에게 \"\"마법 부여된\"\" 진주 목걸이를 팔려 들었지만... 그 이야기는 다른 달에 하도록 하겠다.\n\n\"\"-라(ra)\"\"는 병사들, 상단, 또는 관리들을 이끄는 존중받는 지도자들에게 주어진다. 고양이-라는 종종 아기고양이-라들로 이루어진 하렘을 소유하며, 이따금 과시하기도 한다. 특히 그 고양이-라가 자신의 불완전한 짧은 꼬리에 보상 심리를 가지고 있다면 말이다.\n\n\"\"-리\"\"는 희귀하게 부여되는 칭호이며, 우리 민족의 위대한 지도자, 연사, 왕, 그리고 메인을 위해 보존된다. 그리고 어쩌면 배게 사이에서 씨름하는 정력적인 연인에게 붙을 수도 있다. 그렇게 들어본 적이 있다.\n\n이 몸은 알라바스터의 변덕스런 젊은이들 사이에서 이름 뒤보다는 앞에 경칭을 붙이는 것이 유행한다고도 들었다. 라두라-드라는 유행을 따르는 것을 좋아하지만, 유감스럽게도 이런 관례에는 찬성할 수 없다. 카짓들의 이름이 너무 비슷하게 들릴 것이기 때문이다. 그건 지루한 일이 될 것이다. 그리고 우리는 지루해지는 것을 원치 않지 않은가?"
"51188213-0-5376","Reman II: The Limits of Ambition","레만 II세, 야망의 한계"
"51188213-0-2542","A Folk Tale","민간 설화"
"51188213-0-652","The Apprentice's Assistant","견습생 안내서"
"51188213-0-408","Orcs: Monsters or Misunderstood?","오크: 괴물인가 오해인가?"
"51188213-0-1109","Felhorn","펠혼"
