"Location","Source","Target"
"51188213-0-5366","Lost Tales of the Famed Explorer: Fragment II","고명한 탐험가의 잃어버린 이야기: 조각 2"
"21337012-0-5374","Translated by Solis Aduro\n\nCome children, gather\nThe sun is setting\nAnd you must sleep\nFear not for your roots\nI will keep them\nAnd so when you wake\nYou will remember what I have done","솔리스 아두로 옮김\n\n얘들아, 모이거라\n해가 지고 있단다\n그만 잘 시간이야\n너의 뿌리가 두렵지 않다\n나는 그것들을 간직할 것이다\n그리고 네가 깨어났을 때\n넌 내가 한 일을 기억할 것이다"
"51188213-0-5365","Lost Tales of the Famed Explorer: Fragment I","고명한 탐험가의 잃어버린 이야기: 조각 1"
"21337012-0-5375","Translated by Solis Aduro\n\nThough bathed in radiant glory\nSkin of gold and bark\nWe have fallen short of the yolk\nAnd now it is too late\n\nBut light without darkness is blinding\nAnd the shadow always watches over us\nIt is here for us now, if we wish it\nThough the toil to pay our debt will be long\n\nWe must, scales-of-gold\nWe must join with our brothers in the deep\nNo matter how much we lose\n\nOur roots are patient\nAnd we will rise again\nIn this world or the next","솔리스 아두로 옮김\n\n비록 빛나는 영광으로 목욕했지만\n황금과 나무껍질 피부의\n우리는 노른자에 미치지 못했다\n그리고 지금은 너무 늦었다\n\n그러나 어둠없는 빛은 눈을 멀게 한다\n그리고 그림자는 항상 우리를 지켜본다\n만약 우리가 원한다면, 그것은 이곳에 있다\n빚을 갚기 위해 노력해야 한다 해도\n\n그래야만 한다, 금의 저울\n깊은 곳에서 형제들과 함께 해야 한다\n우리가 아무리 많이 잃더라도\n\n우리의 뿌리는 인내심이 있다.\n그리고 우리는 다시 일어설 것이다\n이 세상 혹은 다음 세상에서"
"51188213-0-5368","Lost Tales of the Famed Explorer: Fragment IV","고명한 탐험가의 잃어버린 이야기: 조각 4"
"51188213-0-5367","Lost Tales of the Famed Explorer: Fragment III","고명한 탐험가의 잃어버린 이야기: 조각 3"
"21337012-0-5377","We need to get out of here. I'd rather risk stowing away on a boat out of Lilmoth than remain in this place. \n\nWhiptail had us break down a wall the other day. The other side was filled with Argonian corpses. He made us go in and search through the bodies to see what they were buried with. We've robbed graves in the swamp before, but this was different. I could feel something in there. I knew as soon as moved one of the bodies that I would die here if I didn't get out.\n\nI believe you now. You said you were seeing things. Hearing things. It's starting to happen to me.\n\nI saw Argonians walking the halls. I saw them sacrificing their own kin. Those who were sacrificed seemed unafraid, willing. It was all so quiet. It scared me. Especially since I knew they weren't really there. They were like echoes of another world.\n\nAnd Whiptail isn't going to stop. He wants more. He's become convinced that some ancient weapons are hidden here, blessed by Sithis. So he says. I think this entire place is cursed.\n\nI'm going to make a run for it. I know you want out, too. Meet me in the room we set up for Kassandra at midnight tonight if you're coming. And burn this scroll after you read it. We can't risk Whiptail finding out. He'd kill us both.\n\nM","우린 여기서 탈출해야 해. 난 여기 남느니 차라리 릴모스에서 배를 타고 도망가는 위험을 무릅쓰겠어. \n\n윔테일은 얼마 전 우리에게 벽을 허물게 했어. 벽 너머로 아르고니안의 시신이 가득했지. 그놈은 우리에게 안으로 들어가서 시체를 찾고 시체와 함께 묻힌 것이 없는지 확인시켜 줬어. 전에도 늪에서 무덤을 뒤졌던 적은 있지만 이번에는 달랐어. 거기서 뭔가 느낀 게 있어. 시체를 하나 움직였을 때, 탈출하지 않으면 여기서 죽는다는 것을 알았다고.\n\n지금은 너를 믿고 있어. 이상한 것이 보인다고 했지, 뭔가가 들린다고. 나도 그렇게 되기 시작했어.\n\n아르고니안들이 넓은 거리를 걷고 있는 것이 보였어. 자신들의 친척을 제물로 바치는 게. 제물들은 두려워하지 않고, 자신의 의지로 따르고 있는 것처럼 보였어. 엄청 조용했고, 무서웠어. 실제로 거기에 누군가 있는 게 아니라는 것을 알고 있었으니까. 다른 세계의 메아리 같았어.\n\n게다가 윔테일은 그만두려고 하지 않아. 녀석은 더 많은 걸 원해. 시디스의 축복을 받은 고대 무기들이 여기 숨겨져 있다고 확신하고 있어. 녀석은 그렇게 말했어. 그 장소는 전부 저주받은 것 같아.\n\n나는 도망칠려고 생각하고 있어. 너도 도망가고 싶겠지. 오늘 한밤중에 우리가 카산드라를 위해 준비한 방에서 만나자. 다 읽으면 이 두루마리는 불태워버려. 윔테일한테 발견될 위험을 무릅쓸 수 없어. 우리 둘 다 살해당할 거야.\n\nM"
"21337012-0-5370","By Solis Aduro\n\nThe ancient Argonian strode toward Matius then, screeching in some guttural tongue. It was two heads taller than an average Saxhleel, with golden scales, bright feathers of red and purple and green, and great curving horns. Over its head was a mask of gold carved in the visage of a bird. It wore feathered robes and golden bangles, and when it spread its arms it appeared to have wings. Matius could hardly tell where the creature ended and its ornamentation began.\n\nHe had no time to ponder it, as the golden terror raked at him with painted talons. It roared a curse, though Matius could only translate three of its words: Sun, Fire, Death.\n\nMatius staggered back, unable to draw his sword as the creature bore down on him. It was clawing desperately at the yellow gemstone around his neck. Matius fell backward and managed to pull out his sword just as the bird-lizard fell atop him, screeching. He stabbed blindly at it with one hand while pressing against the creature's throat with the other, trying desperately to keep its claws from shredding him. Again and again it scratched at the amulet, trying to tear it from his neck.\n\nMatius heard the gemstone break. Yellow dust floated through the air.\n\nThe Argonian was very still then. Matius breathed a sigh of relief that he had killed it at last. His arm was tired. \n\nSuddenly, it moved again with blinding speed. Clawed hands shot out and cupped his face. He half expected to hear the snapping of his own neck, but it just held him in a vice grip. The golden mask slipped from one side of the creature's face. \n\nNow it was not a bird or a lizard, but a snake. He saw that its scales were not gold but painted, and the mask had worn away some of the paint. The scales were black and white and mottled, falling away from a dead thing. Its eyes were hollow sockets, but the dust flowed into them until they were yellow. \n\nOut of fear or courage, Matius struck once more, plunging his sword into the snake. At the same time, the golden mask slipped off and clanged to the floor. There was blood on the inside. Matius saw the snake's face was changing over and over again. Twelve times it changed before it was a snake again.\n\nHe had forgotten about killing this creature, forgotten about fighting for his own life, even forgotten why he had come to Black Marsh in the first place. All Matius knew then was terror.\n\nHe was falling, then flying. The world rushed up to meet him, all fire and glory and madness. He felt a current on wings he did not remember having and he soared. He flew over cities of gold and cities of black stone. They were endless, like the Hist that cradled them. The sky was aflame and the sun was a pit. Still he flew, for he had not the strength to do more than let the current carry him. \n\nHe came upon a tower. It was tall and vast and many trees grew from its many layers of marsh. Creatures lived and died without ever knowing of a world outside the tower. At its top was a tree that bled fire. Other winged things that looked like him circled it. They cried out in words he understood but didn't know. He felt a deep sadness as the tower fell away.\n\nHe looked up and saw other worlds and other towers. They were spinning wheels and they crashed into each other, and their spokes got tangled up and they broke each other. And he saw that his world was breaking, too, but quick as a snake a shadow came and swallowed up the roots of the tower so they would not break.\n\nStill he flew. There was only fire and darkness then, and so much noise, but he was too tired to be afraid. And so Matius slept, and drifted away into a black sun.","솔리스 아두로 지음\n\n그 고대의 아르고니안은 마티우스를 향해 성큼성큼 다가가 목구멍에서 쥐어짜듯 고함을 질렀다. 그 아르고니안은 평균적인 색스릴보다 머리 2개 만큼 키가 크고 금빛 비늘, 빨강과 보라색과 녹색의 밝은 날개와 큰 휘어진 뿔을 가지고 있었다. 머리에는 새의 얼굴 형태가 새겨진 황금 가면을 쓰고 있었다. 깃털이 달린 로브와 황금 팔찌를 착용하고 있어 두 팔을 벌리면 날개가 달려 있는 것처럼 보였다. 마티우스는 그 아르고니안의 어디까지가 생물이고 어디서부터가 장식인지 모를 정도였다.\n\n그에겐 생각할 시간이 없었다. 그 황금괴물이 저주의 말을 외치면서 채색된 손톱으로 덮쳐왔기 때문이다. 마티우스로 번역한 말은 3개뿐이었다.태양, 불꽃, 죽음.\n\n마티우스는 뒤로 비켜섰다. 괴물이 달려들어 칼을 뽑을 수가 없었다. 괴물은 필사적으로 목에 걸린 노란 보석을 손톱으로 긁었다. 마티우스는 간신히 뒤로 물러섰고 검을 뽑자 그 새 같은 도마뱀이 목청껏 울부짖었다. 그는 한 손으로 무작정 들이대며 다른 손을 괴물의 목에 대고 손톱으로 찢어지지 않으려고 필사적으로 버텼다. 괴물은 몇 번이나 반복해서 아뮬렛을 목에서 떼려 하고 있었다.\n\n마티우스는 보석이 부서지는 소리를 들었다. 노란 먼지가 공기에 떠다녔다.\n\n아르고니안은 이미 움직임을 멈췄다. 이제 겨우 죽었나 하고 마티우스는 안도의 한숨을 내쉬었다. 팔이 피곤했다.\n\n갑자기 괴물은 눈에 띄지 않는 속도로 다시 움직이기 시작했다. 손톱이 달린 양 손이 튀어나와 마티우스의 얼굴을 가렸다. 그는 자신의 목이 부러지는 소리가 들리나 싶었지만 아르고니안은 강한 힘으로 잡을 뿐이었다. 황금 가면이 괴물의 얼굴의 한쪽 면에서 미끄러져 나와 있었다.\n\n이제 그것은 새도 도마뱀도 아닌 뱀이었다. 마티우스는 그 비늘이 황금빛이 아니라 색칠한 것 뿐이라는 걸 알았고, 그 색칠도 벗겨져 있는 것을 보았다. 비늘은 흑백의 얼룩무늬로, 시체에서 색이 사라져 가는 것을 보았다. 그 눈은 텅 빈 구멍이었지만 먼지가 그 속으로 들어가자 노란색이 됐다.\n\n공포 때문인지 용기인지, 마티우스는 뱀에게 칼을 찔러 다시 한번 공격했다. 동시에 황금 가면이 미끄러져 떨어져 바닥에 부딪쳐 달랑거렸다. 그안에는 피가 묻어 있었다. 마티우스는 뱀의 얼굴이 여러 번 변하는 것을 보았다. 다시 뱀으로 돌아갈 때까지 얼굴은 12번 변화했다.\n\n그는 괴물을 죽이는 것을 잊어버렸다. 자기 목숨을 지키는 것도, 애당초 자신이 왜 블랙 마쉬에 왔는지조차 잊어버렸다. 마티우스가 아는 것은 단지 공포뿐이었다.\n\n마티우스는 낙하하고, 그리고 날아갔다. 세상은 그를 향해 돌진하였고, 불길과 영광, 광기로 덮쳤다. 없었던 등의 날개에 바람의 흐름을 느끼며 날아올랐다. 그는 황금빛 거리와 검은 돌 거리를 뛰어넘었다. 도시는 그것들을 감싸안는 히스트처럼 끝이 없었다. 하늘은 타오르고, 태양은 구멍이었다. 그런데도 그는 날았다. 단지 바람에 실려가는 것 이상의 일을 할 힘이 없었기 때문이다.\n\n그는 탑으로 왔다. 그것은 높고 광대했으며 여러 겹으로 이루어진 그 늪지에서 많은 나무가 자라나고 있었다. 짐승들은 탑 밖 세계를 모른 채 살다가 죽었다. 탑 정상에는 불을 내뿜는 나무가 있었다. 마티우스와 비슷한 날개를 가진 다른 사람들이 나무 주위를 돌고 있었다. 그들은 마티우스가 이해하지만 알지 못하는 말로 절규했다. 그는 탑이 무너지면서 깊은 슬픔을 느꼈다.\n\n마티우스가 고개를 들자 다른 세계와 다른 탑이 여럿 보였다. 그것들은 회전하는 고리이며 서로 부딪혔다. 바퀴축은 엉켜서 서로를 파괴하고 있었다. 그는 자신의 세계가 망가지는 것을 느꼈지만 뱀처럼 재빨리 그림자가 찾아와 탑의 뿌리를 삼키고 부서지지 않도록 했다.\n\n마티우스는 다시 날아갔다. 그러자 불길과 어둠, 그리고 심한 소음만이 있었다. 그러나 두려움 때문에 그는 너무 지쳤다. 그래서 마티우스는 자고, 검은 태양 속으로 떠내려갔다."
"51188213-0-5369","Lost Tales of the Famed Explorer: Fragment V","고명한 탐험가의 잃어버린 이야기: 조각 5"
"21337012-0-5371","Translated by Solis Aduro\n\nAs an acolyte, you must always remember the source of your power, for it can be denied at the whim of our master. You will be tempted by other forces, many of which try to wear a mask similar to our father. They have as many names as the father has faces. You shall remember all of his, and none of theirs, when you draw the runes of shadow.\n\nAnd remember, there are no shadows without light. Without light there is only the void. We revere this face of our father, but it is not our destiny to strive toward the inevitable. The sun is a bleeding yolk and we will drink of it.\n\nUntil then, our scales remain black, and so we serve at the seat of shadow.","솔리스 아두로 번역\n\n시종으로서 당신은 항상 자신의 힘의 원천을 기억해야 한다. 우리 주인의 변덕에 의해 사라질 수 있기 때문이다. 당신은 많은 다른 세력에게 유혹받을 것이며, 많은 사람들은 우리의 아버지를 닮은 가면을 쓰고 있다. 그들은 아버지가 가진 얼굴만큼이나 많은 이름을 지녔다. 당신이 그림자의 룬을 끌어낼 때, 아버지의 모든 얼굴이 생각날 것이며, 그들 중 어느 것도 기어하지 못할 것이다.\n\n빛이 없는 그림자는 없다는 것도 잊지 말아야 한다. 빛이 없으면 허무만 있을 뿐이다. 우리는 아버지의 얼굴을 숭배하지만 피할 수 없는 것을 향해 노력하는 것은 우리의 운명이 아니다. 태양은 피를 흘리는 노른자위이며 우리는 그것을 마실 것이다.\n\n그때까지 우리의 비늘은 검게 남아 있고, 그래서 우리는 그림자의 자리에서 봉사한다."
