"Location","Source","Target"
"21337012-0-4248","By Beredalmo the Signifier\n\nSince time immemorial, devout mortals of Tamriel have built shrines to their Divines at sites that have been recognized as holy and sanctified. Many of these sites were chosen due to specific miracles or blessed events that marked them, though others simply inspire feelings of reverence for matters divine. Because they are located here and there where inspiration struck, rather than at points of convenience, these sites are scattered across the land, and have come to be known as ""wayshrines."" \n\nOf course, the shrines built at these sites by devout worshipers reflect the local religious beliefs, and are constructed and adorned so as to honor the foremost local Divines. Many priesthoods believe that wayshrines act as direct conduits to Aetherius, and that when a mortal dies his or her soul is drawn to the nearest wayshrine, where it meets some sort of psychopomp or spiritual escort, who leads the soul to the afterlife. Though this is a mystical matter and therefore not susceptible to scholarly proof, it is striking that so many different faiths across Tamriel endorse this belief. \n\nAs all know, the stars in the heavens are perforations in the Mundus through which shines the magical light of Aetherius. Lord Corvus Direnni theorized that the locations of wayshrines on Tamriel correspond to the pattern of stars in the night sky, because our Mundus is a reflection of Aetherius. However, to test this theory we would need a comprehensive map of every wayshrine site on Tamriel, a task too daunting to contemplate, so proof of this hypothesis, if true, will have to come from another source. \n\nLord Corvus was also a renowned conjurer, who devised and promulgated the standard ""portal"" spells now popularized by the Mages Guild. (His work was based on the pioneering research of the Ayleid sorcerer known to history as ""The Transmigrant."" But that is liquor for a different cocktail.) Corvus theorized that, if one only knew how, the wayshrines could be used as a permanent portal network by which one could travel rapidly across Tamriel. He speculated that such a ""fast traveler"" would need to somehow attune himself to a wayshrine, which would add its ""node"" to the traveler's ""web of sojourn.""\n\nHowever, in order to learn how to do this, the great Direnni wizard believed a mortal's soul would have to be, temporarily or permanently, ""unmoored from the Mundus."" I am not at all certain what that phrase means, and if Lord Corvus understood it, none of his written memoirs explain what he meant by it. Based on my studies of the notebooks left behind in Lord Corvus' workshop in Direnni Tower, proof and implementation of this theory eluded him, and eventually he abandoned it to return to perfecting variations on Koron's Peremptory Summons.","기표자 베레달모 지음\n\n먼 옛날부터 탐리엘의 경건한 필멸자는 신성한 곳에 신들에게 바치는 사당을 지어 왔다. 이들 장소의 대부분은 그 곳에서 일어난 기적과 신의 축복을 받은 사건으로 특별해졌지만, 다른 장소들은 단순히 신에 대한 경외감을 불러일으킨다는 이유로 선발되었다. 편의성을 생각하지 않고 계시받은 모든 곳에 만들어졌기 때문에 이들은 땅 전체에 흩어져 \"\"여행의 사당\"\"으로 알려지게 되었다.\n\n물론, 경건한 숭배자들이 그 자리에 세운 사당은 그 지역의 신앙을 반영하여 그 지역 최고의 신들을 기리기 위해 건설되고 장식되어 있다. 많은 사제가 여행의 사당은 에셀리우스와 바로 연결되는 통로라고 믿고, 필멸자가 죽으면 그 영혼이 근처의 여행의 사당으로 인도되며, 그곳의 일종의 저승사자 또는 영혼의 호위병과 만나 사후세상으로 인도된다고 한다. 신비로운 현상이기 때문에 학술적 증거를 얻을 수 있는 것은 아니지만, 탐리엘의 많은 다른 신앙에 의해 이 생각이 지지를 받고 있는 것은 인상적이다.\n\n누구나 알다시피, 하늘의 별이란 문다스의 천공으로부터 에셀리우스 마법의 빛이 빛나고 있는 것이다. 코르브스 딜레니 경은 문다스가 탐리엘의 여행의 사당의 위치가 밤하늘 별 모양과 일치한다는 이론을 세웠다. 그러나 이 이론을 검증하기 위해서는 탐리엘에 있는 모든 사당의 종합적인 지도가 필요하고 검토하기 어려운 일이기 때문에 이 가설이 사실이라면 증거는 다른 출처에서 찾을 수밖에 없다.\n\n콜브스 경은 유명한 마법사이기도 해서, 지금은 마법사 길드에서도 인기가 있는 \"\"포탈\"\"의 주문의 기본을 만들어 퍼뜨렸다(그의 일은 \"\"이주민\"\"이라고 불리는 아일레이드의 마법사의 선구적인 연구에 근거하고 있었다. 하지만 그것은 또 다른 이야기다). 콜브스는 그 방법만 알면 사당을 탐리엘을 재빨리 이동할 수 있는 영구적인 포털 네트워크로 사용할 수 있다는 이론을 세웠다. 그는 그러한 \"\"고속여행자\"\"는 어떤 방식으로 사당에 동조할 필요가 있으며, 그래서 사당은 그 \"\"교점\"\"을 나그네의 \"\"체류망\"\"에 추가할 것으로 추측했다.\n\n그러나 그 방법을 배우려면 필멸자의 혼이 일시적 또는 영구적으로 문다스에서 해방되어야 한다고 위대한 딜레니 마법사는 생각했다. 이 문구가 무슨 의미인지는 전혀 모르고, 코르브스 경이 이해했다 해도 어떤 회고록에도 그 의미가 설명되어 있지 않다. 딜레니 탑에 있는 코르브스 경의 작업소에 남아 있던 공책을 연구한 결과, 그는 이 이론의 증명과 실행에 성공하지 못했고, 마침내 이 연구를 포기하고 코론의 강제 소환의 다양한 변화형을 완성하는 작업으로 되돌아갔을 것이다."
"21337012-0-4247","Mages Guild Memorandum: Confidential, Magisters Only\n\nFrom Vanus Galerion, Archmagister Emeritus\n\nIf you pay attention to the popular fads and fashions of spellcasting in your guildhalls, you have doubtless noticed the recent surge of interest in the discipline of ""soul trapping."" Unlike most of the passing fancies that come and go among the magical fraternity, I consider this particular vogue alarming and dangerous. \n\nThere are reasons why soul trapping has never been part of the core curriculum of the Mages Guild, taught to only the most experienced and dependable wizards, and then only for certain specific uses. First of all, it is technically a subset of necromancy, and on that basis alone it should be abhorred. (Except, as mentioned, for certain special cases, and then only under controlled conditions.) Second, it is a magical technology that practically invites abuse, especially when employed to trap the souls of sentient mortals. It is the sort of arcane practice that the public fears most, and is likely to result in local bans on the organized teaching of magic, and if that happens all our work in establishing the Guild will have been in vain. \n\nThe fact that soul trapping is now common knowledge among Tamriel's magery, to the point where so-called ""Mystics"" sell soul gems of various sizes in every market and bazaar, is a problem that can be laid squarely at the feet of the iniquitous Mannimarco and his Order of the Black Worm. It is all part of his program to make necromancy seem commonplace and almost harmless. In some parts of Tamriel, notably Cyrodiil, the vile practice of necromancy has even become accepted as a valid, and legally tolerated, magical discipline. What our old mentor Iachesis would have to say about this pernicious development I hate to think. \n\nSo what are we to do about it? I have been giving the matter some hard thought, in between rooting out cells of the ever-burgeoning Worm Cult, and I think at this point the only way to gain control over soul-trapping is to co-opt the practice. Therefore I propose the Mages Guild codify and systematize the various soul-trapping magics into a common grimoire of a few reliable spells, and then teach our members that these, and only these, are the legal and authorized methods for trapping souls. \n\nFurthermore, I propose that for the purposes of soul trapping we categorize all souls into two classes: the legal, or ""White"" souls, those smaller essences that are captured from beasts and animals, and illegal, or ""Black"" souls, which are derived from sentient mortals. And we will teach only those spells that can capture White souls, forbidding our students to use the larger soul gems on sentients. \n\nIt will take several generations, and the suppression of the Worm Cult, for this dichotomy to become the pan-Tamrielic standard for soul trapping. But if the Mages Guild can't take the long view for the good of Tamriel, who can?","마법사 길드의 각서: 기밀사항, 현자만 열람가능\n\n대현자 명예교수인 바누스 갈렐리온으로부터\n\n길드홀의 주문의 유행에 주목하는 사람이라면 영혼 포박 훈련에 대한 최근 관심의 고조를 어렴풋이 깨닫고 있을 것이다. 마법사 동료 사이에서 나타났다가 사라지는 다른 일시적인 유행과 달리 이 유행에 관해서는 불안과 위험을 느낀다.\n\n영혼 포박이 마법사 길드의 메인 커리큘럼에 포함되지 않고 가장 경험이 있고 신뢰할 수 있는 마법사에게만 알려지며, 특정 용도로만 사용이 허용되는 데는 이유가 있다. 첫 번째로, 그것은 엄밀하게는 사령술의 일부이며, 그것만으로 비난받는다는 것(앞에서 서술한 것처럼, 관리된 조건 하에서의 특정 용도의 사용을 제외). 둘째, 특히 감정이 있는 필명자의 영혼 포박에 쓰일 경우 실질적으로 악용을 초래하는 마법이다. 이것은 세상이 가장 두려워하는 종류의 마법이며, 그 결과 각 지역에서 조직된 마법교육이 금지될 우려가 있으며, 만약 그렇게 되면 길드 설립을 위한 우리의 노력은 헛수고가 된다.\n\n어떤 시장이나 벼룩시장에서도 이른바 비술사가 여러 크기의 소울 젬을 팔 정도로 영혼 포박이 탐리엘의 마법사들 사이에서도 이젠 상식이라는 사실에 대해서는 부도덕한 매니마코와 검은 벌레 교단에게 책임이 있다. 사령술을 일반적이고도 거의 무해하게 보이게 하는 것은 그놈의 계획의 일부이다. 탐리엘의 일부 지역, 특히 시로딜에서는 타락한 사령술의 실행이 정당하고 합법적인 마법훈련으로 받아들여지기조차 한다. 이 유해한 변화에 대해 과거 지도자인 이아케시스라면 뭐라고 할지 생각하고 싶지 않다.\n\n그럼 어떻게 하면 좋을까? 계속해서 성정하는 벌레 교단을 근절하는 틈틈이 이 건에 대해 숙고해 온 결과, 현시점에서 영혼 포박을 관리하는 유일한 방법은 이 마법의 병합이라고 생각한다. 따라서 마법사 길드가 여러 가지 영혼 포박의 마법을 성문화, 체계화하여 몇 개의 믿을 만한 주문으로 이루어진 공적인 그리모어를 제작하고, 거기에 나타난 것만이 합법적이며 공인하는 영혼 포박의 방법이라고 동료에게 가르칠 것을 제안한다.\n\n이어 영혼 함정의 대상으로 모든 영혼을 2개의 계급으로 나눌 것을 제안한다. 짐승이나 동물에서 포박한 작은 정수인 합법적인 하얀 영혼과 감정이 있는 필멸자로부터 추출한 비합법적 검은 영혼. 우리는 흰 영혼을 잡는 주문만 가르치고, 학생에게는 큰 소울 젬을 감정이 있는 자에게 쓰는 것을 금지한다.\n\n이 이분법이 영혼 포박에 관한 전 탐리엘의 기준이 되려면 몇몇 세대교체와 벌레 교단의 진압이 필요할 것이다. 하지만 마법사 길드가 탐리엘을 긴 안목을 두고 생각하지 못한다면 다른 누가 할 수 있겠는가?"
"21337012-0-4246","It is easy to confuse Illusion and Alteration. Both schools of magic attempt to create what is not there. The difference is in the rules of nature. Illusion is not bound by them, while Alteration is. This may seem to indicate that Alteration is the weaker of the two, but this is not true. Alteration creates a reality that is recognized by everyone. Illusion's reality is only in the mind of the caster and the target.\n\nTo master Alteration, first accept that reality is a falsehood. There is no such thing. Our reality is a perception of greater forces impressed upon us for their amusement. Some say that these forces are the gods, others that they are something beyond the gods. For the wizard, it doesn't really matter. What matters is the appeal couched in a manner that cannot be denied. It must be insistent without being insulting.\n\nTo cast Alteration spells is to convince a greater power that it will be easier to change reality as requested than to leave it alone. Do not assume that these forces are sentient. Our best guess is that they are like wind and water. Persistent but not thoughtful. Just like directing the wind or water, diversions are easier than outright resistance. Express the spell as a subtle change and it is more likely to be successful.","환영 (Illusion)과 변화 (Alteration)는 혼동하기 쉽다. 두 마법학파 모두 거기에 존재하지 않는 것을 만들어 내려 한다. 이 두 학파의 차이점은 작동원리에 있다. 환영은 변화처럼 그것에 묶이지 않는다. 이 점은 변화가 환영보다 약하다는 것을 의미하는 것 같지만 그렇지 않다. 환영은 단지 사용자와 목표 대상의 마음에만 존재하지만 변화는 모두가 인식할 수 있는 진짜를 만들어 낸다.\n\n변화를 익히기 위해서는 먼저 현실은 허위라는 사실을 받아들여야 한다. 현실은 없다. 우리의 현실은 우리에게 인상을 주는 거대한 힘에 대한 인식이다. 몇몇은 이러한 힘이 신이라 이야기 하고 다른 몇몇은 신을 뛰어넘은 그 이상의 것이라 말한다. 마법사에게 있어서 그것은 실질적으로 중요하지 않다. 중요한 것은 부정할 수 없는 방법에 놓여진 수단이다. 그것은 반론할 수 없는 주장이다.\n\n변화 마법을 사용한다는 것은 현실을 그대로 두는 것보다 마음먹은대로 바꾸는 것을 쉽게 만드는 힘에 대해 확신하는 것이다. 이러한 힘들을 지각할 수 있을거라고 여기지는 말라. 그저 바람이나 물같은 것이라고 생각하는편이 좋을 것이다.  영구적이지만 의지를 가진 것은 아니다. 바람이 부는 방향처럼, 물이 흐르는 방향처럼, 변화는 완벽한 저항보다는 쉽다. 약간씩 변화를 주면서 마법을 사용하는 편이 성공하기 쉬울 것이다."
"21337012-0-4245","On the Detachment of the Sheath from the Integument\n\nBy Arch-Prelate Fervidius Tharn\n\nThough all given Concavities, or sheaths within the integument of the Aurbis, are necessarily contained by the Aurbis, Right Reaching dictates that a defined sheath may be detached from the integument by invocation of Mnemoli. Upon intercourse with the star-orphan, the Beseeching Alesstic performs eversion of the organ of thought, an employment of the Hurling Disk that recapitulates the truth that a circle turned sidewise is a Tower. By same-truth, twisting the enveloping sheath into the middle dawn (to the number of seventeen) brings it to untime and unplace.\n\nEventualism, of course, predicts reabsorption upon depletion of the Wheeling Force, but the absence of duration may render even eventuality moot.","외피로부터의 덮개의 분리에 대해서\n\n페르비디우스 살룬 대주교 지음\n\n주어진 모든 오목한 형태 또는 오르비스의 외피 내 덮개 등은 필연적으로 오르비스에 포함되지만 정확한 도달은 칼집이 외피에서 떨어져 있어야 할지 므네모리의 소환으로 결정한다. 별의 고아와의 교류에서 탄원하는 알레스틱은 사고의 기관을 뒤집는데, 이것은 옆에서 본 원은 탑이라는 진실을 개괄하는 헐링 디스크의 고용이다. 마찬가지로 감싸고 있는 덮개를 중간 새벽에 나사면(17의 수)으로 비틀면 비시간과 비장소로 옮겨진다.\n\n물론 도달주의에선 회전하는 힘이 고갈될 경우 재흡수가 예상되지만 지속시간의 결여는 만일의 사태를 초래할 수 있다."
"21337012-0-4249","By Gabrielle Benele, Daggerfall Mages Guild\n\nAs a former member of the faculty at the University of Gwylim, I take an interest in matters of practical pedagogy, and I've spent the last two seasons reviewing our Mages Guild curricula for the instruction of beginning spellcasters. This body of work has accumulated gradually over several centuries, and as a result it is somewhat haphazard and disorganized. \n\nAfter casting about for a model upon which to reorganize our teaching texts, I came upon the curriculum of the Shad Astula Academy in Morrowind, where they teach magic in eight different disciplines. Though the divisions between the disciplines, or ""schools"" of magic, are rather arbitrary, magic being an entirely mutable art, this classification of spellcasting into schools of magic has the advantage of providing students with a structure for easy comprehension of the basics of wizardry. The proof of its value is the fact that Shad Astula graduates novice mages with a practical grasp of sorcery in half the time of our own introductory program.\n\nFor this reason, I propose that we adopt the Shad Astula disciplines, and reorganize the Mages Guild study program into the following schools of magic:\n\nALCHEMY: The study of the magical virtues of different forms of matter, their effects, combinations, and recombinations. To include the concoction of potions, elixirs, and magical draughts.\n\nALTERATION: The distortion of local reality through direct imposition of the mage's will. To include spells of paralysis, water breathing, water walking, lock opening, and personal elemental shields such as flame cloaks. \n\nCONJURATION: The summoning and binding of spirits from Oblivion or Aetherius. To include soul trapping, spells that conjure Daedra or other creatures, spells to banish same, summoning of bound weapons and armor, as well as (for classification purposes) the forbidden necromantic arts of reanimation, conjuration, and manipulation of the undead. \n\nDESTRUCTION: The splintering of material bonds by the direct application of force, typically elemental in nature. To include damaging spells of flame, frost, shock, and disintegration, as well as magic that drains essence or personal attributes.\n\nILLUSION: Altering perception in oneself or others. To include spells of light, invisibility, fear, frenzy, and silence, as well as magic that affects morale and obedience. \n\nMYSTICISM: The class of spells used to alter the nature of magic itself. To include effects that dispel or absorb both spells and the magicka that feeds them, as well as telekinesis (which fits here as well as anywhere).\n\nRESTORATION: The opposite of destruction, magic that resists damage or restores wholeness by reknitting the damaged material. To include wards, healing, curing of disease and poison, physical fortification, and the turning of undead (a forced purification effect).\n\nTHAUMATURGY: Magic that affects the will and personal state of mind. To include spells that calm or charm others, reflection of or resistance to magic, as well as levitation, which involves the personal rejection of gravity. \n\nThe experienced mage will immediately discern the arbitrary nature of these divisions—indeed, we may eventually find it advisable to combine one or more of these schools, assigning the spells within them to other categories. (Thaumaturgy seems a likely candidate for such amalgamation, and possibly Mysticism, as well.) However, these schools seem to be serving Shad Astula well, so I propose we tentatively adopt them as is, and refine as we go.","대거폴 마법사 길드의 가브리엘 베넬레 지음\n\n귀림 대학교 전직 교수로서, 실천적 교육학의 문제에 흥미를 가지고 마법사 길드의 입문자용 교육 과정 개정에 2 계절을 보냈습니다. 이 입문서는 수세기에 걸쳐 집약된 것으로, 그 결과 다소 무질서하게 정리되어 있습니다.\n\n우리 교과서를 재구성할 견본을 찾다가, 마법을 8개의 다른 학과로 나누어 가르치는 모로윈드의 샤드 아스투라 대학의 커리큘럼을 발견했습니다. 마법은 변하기 쉬운 기술이기 때문에 각 학과 또는 마법의 \"\"분야\"\"의 구분은 상당히 자의적이지만 주문을 마법의 분야로 나눔으로써 마법의 기본을 쉽게 이해하기 위한 구조를 학생에게 제공할 수 있다는 이점이 있습니다. 샤드 아스투라에서는 우리 입문자 프로그램의 절반의 시간 만에 아마추어 마법사에게 마법을 실천적으로 이해하시키고 졸업시킨다는 사실이 이 구조의 가치를 증명하고 있습니다.\n\n이러한 이유로 우리도 샤드 아스투라의 교육법을 도입하고 마법사 길드의 교육 프로그램을 이하의 마법 분야로 재편성할 것을 제안합니다.\n\n연금술: 물질의 모든 형상, 그 효과, 결합, 재결합의 마법적 미점에 관한 연구. 약, 영약, 마법 물약의 조합을 포함한다.\n\n변성술: 마법사의 의지를 바로 도입해서 그 자리의 현실을 왜곡한다. 마비, 수중호흡, 수면보행, 자물쇠 열기, 화염만토 등 개인 속성 방어막에 관한 주문들을 포함한다.\n\n소환: 오블리비언 또는 에셀리우스로부터 영혼을 소환, 주박한다. 영혼 포박, 데이드라나 다른 생물들을 불러내는 주문, 그들을 쫓는 주문, 마법 무기와 장비의 소환, 그리고 (분류 목적을 위해) 금지된 사령술인 언데드 부활, 소환, 조작을 포함한다.\n\n파괴: 대부분의 경우 자연의 성질을 가진 직접적인 힘으로 물질적 결합을 가른다. 불꽃, 얼음, 전격, 분해의 타격을 주는 주문, 그리고 정수나 개인 능력을 고갈시키는 마법을 포함한다.\n\n환술: 자신 또는 타인의 통찰력 변화. 발광, 투명화, 공포, 광분, 침묵의 주문, 그리고 사기와 복종에 영향을 주는 마법을 포함한다.\n\n비술: 마법 자체의 성질을 바꾸는 데 쓰이는 주문의 종류. 주문과 그것에 사용되는 매지카 양쪽을 소멸시키거나 흡수하는 효과, 그리고 염동력(다른 분야와 마찬가지로 여기에도 해당됨)을 포함한다.\n\n회복: 파괴의 반대, 피해에 저항하고, 피해를 입은 소재를 다시 재결합시켜 완전성을 회복하는 마법. 결계, 치유, 역병과 독 치료, 신체적 강화, 언데드의 변화(강제적 정화 작용)를 포함한다.\n\n정신술: 의지와 개인의 마음의 상태에 영향을 주는 마법. 타인을 진정시키거나 매혹하는 주문, 마법의 반영 또는 마법에 대한 저항, 그리고 중력에 대한 개인적 거부인 공중부양을 포함한다.\n\n경험을 쌓은 마법사라면 이 분류의 자의성을 즉시 인식할 것입니다. 이 중 어느 하나를 통합하고 그 분야를 다른 범주에 할당해야 한다고 생각할 때가 올지도 모릅니다(정신술은 그런 병합의 유력 후보입니다. 아니면 비술이나.) 하지만 샤드 아스투라는 이 분류로 잘 되고 있는 것 같습니다. 우리도 잠정적으로 그대로 채용하고, 실천하면서 개선해 나갈 것을 제안합니다."
"21337012-0-4240","A Handbook\nBy Wapna Neustra\nPraeceptor Emeritus\n\nFORM THE FIRST: Makest thou the Mana Fountain to be Primed with Pure Gold, for from Pure Gold only may the Humors be rectified, and the Pure Principles coaxed from the chaos of Pure Power. Droppest thou then the Pure Gold upon the surface of the Mana Fountain. Takest thou exceeding great care to safeguard yourself from the insalubrious tempests of the Mana Fountain, for through such Assaults may one's health be utterly Blighted.\n\nFORM THE SECOND: Make sure that thou havest with you this Excellent Manual, so that thou might speak the necessary Words straightaway, and without error, so that thou not in carelessness cause thyself and much else to discorporate and disorder the World with your component humors.\n\nFORM THE THIRD: Take in hand the item to be Restored, and hold it forth within the Primed Fountain, murmuring all the while the appropriate phrases, which are to be learned most expeditiously and faultlessly from this Manual, and this Manual alone, notwithstanding the vile calumnies of Kharneson and Rattor, whose bowels are consumed by envy of my great learning, and who do falsely give testament to the efficacies of their own Manuals, which are in every way inferior and steeped in error.\n\nFORM THE FOURTH: Proceed instantly to Heal thyself of all injuries, or to avail yourself of the Healing powers of the Temples and Healers, for though the agonies of manacaust must be borne by any who would Restore a prized Arcana to full Potency, yet it is not wise that suffering be endured unduly, nor does the suffering in any way render the Potency more Sublime, notwithstanding the foolish speculations of Kharneson and Rattor, whose faults and wickednesses are manifest even to the least learned of critics.","안내서\n저자 - 와프나 뉴스트라\nPraceptor Emeritus\n\n 첫번째: 마나의 샘이며 순수한 금으로 가득찬 메이키스트 도우 (Makest thou), 그곳의 금은 유머를 종식하였고 순수한 원리로써 혼돈을 깨끗한 힘으로 바꾸어 놓았다. 드라피스트 도우 (Droppest thou)는 마나의 샘 위의 순수한 금을 말한다.  테이키스트 도우 (Takest thou)는 마나의 샘의 건강에 좋지못한 영향으로부터 당신을 지켜준다. 이러한 행위로 한 생물의 건강을 완전하게 한다.\n\n두번째: 이 우수한 안내서로 도우 (thou)가 당신이 필요한 말을 즉시 할 수 있도록 하고, 또한 실수와 부주의 없이하여 당신의 유머로 세상을 혼란에 빠뜨려 놓아라.\n\n세번째: 물품을 주어 회복되게 하면서, 샘 앞쪽을 향해 들고 있어라. 그리고 그동안  이 매뉴얼에서 신속하고 완벽히 배울 수 있는 적절한 구절을 영창하라. 이 안내서 하나로도 질투로 똘똘 뭉쳐있으며 그 자신들의 저급하고 오류로 점철된 안내책자에 헛된 선서를 하는 카네슨과 래터의 비열한 비방을 막을 수 있다.\n\n네번째: 즉시 너의 상처를 회복하라. 사원과 치유사들에게서 치료를 받을수도 있다. 그러나 마나카우스트는 아르카나 를 효능으로 가득차게 할 사람에게서 이루어져야 할 것이다. 그러나 여전히 과도하게 상처입는 것은 현명하지 못하다. 또한 효능을 과도하게 남용하여서도 안된다. 배우지 못한 비평가의 비판이나 저급한 사색으로도 카네슨과 래터의 잘못과 결점은 명백하다."
"51188213-0-4243","Manual of Spellcraft","주문제작 설명서"
"51188213-0-4244","The Old Ways","옛 방식"
"51188213-0-4245","On the Detachment of the Sheath","덮개의 분리에 대해서"
"51188213-0-4246","Reality and Other Falsehoods","현실성과 다른 거짓들"
