"Location","Source","Target"
"21337012-0-1218","Uncle,\n\nSorry for the delay in sending you this letter. I know I might not get to deliver it for a while, but I wanted to write to you about Bearclaw Mine right away. It's been a long journey, but I know it's going to be worth it.\n\nWe don't go out of the cave often, of course. There's a reason this place is called Bearclaw Mine. The bears are as fearsome as you'd expect, but that's worked out well for us. It means there isn't any competition here. As long as we're quick and quiet, we can make a lot of coin here very quickly.\n\nThank you again for selling the house. That should buy us more time with the debtors, and we'll be able to settle our accounts soon.\n\nI don't feel good about bringing my family here, but you know how those moneylenders are. I actually feel safer with them here than back there.\n\nMarisse is taking this all rather well. She brought a few books, and she's reading them to Alain. Her lessons are still very religious, but if that is what it takes for her to get through this, that's fine with me.\n\nI hope everything worked out getting the profits to the right people. We'll be back as soon as we've got enough to pay off the rest of the debt.\n\nMay the Divines watch over you. May they guide and protect us all.\n\n— Hu ….","삼촌에게,\n\n편지를 너무 늦게 보내서 미안해요. 이 편지가 도착하는 건 조금 뒤가 될 거에요. 하지만 지금 당장 베어크로 광산에 대해 쓰고 싶었어요. 긴여정이었지만 그 고생은 반드시 보답받을 거에요.\n\n동굴에서 나오는 일은 별로 없어요. 이 장소가 베어크로 광산이라고 불리는 데는 이유가 있어요. 아시다시피 곰은 무서운 생물이에요. 하지만 그 덕분에 우리는 살아나고 있어요. 즉 경쟁 상대가 없는 거죠. 조용히 발 빠르게 행동한다면 당장 큰돈을 벌 수 있을 거에요.\n\n집을 팔아줘서 정말 고마워요. 그 덕분에 상환 시간을 벌 수 있었어요. 곧 빚을 청산할 수 있어요.\n\n가족을 이곳에 데려오는 것은 기분이 좋지 않지만, 대금업자들이 어떤 놈들인지 삼촌도 잘 알고 있을 거에요. 모두와 여기에 함께 있는 것이, 그곳으로 돌아가는 것보다 안전하다고 생각해요.\n\n마리세도 그렇게 느끼는 것 같아요. 마리세는 책을 몇 개 가져왔어요. 아라인에게 읽어주고 있어요. 수업 내용은 여전히 종교적이지만, 지금의 상황을 극복하기 위해 마리세에게는 그것이 필요한지도 몰라요. 그렇다면 참견할 생각은 없어요.\n\n모든 것이 잘 풀리고, 이익을 얻어야 할 사람이 이익을 얻을 수 있기를 바라요. 빚을 갚을 만한 돈을 손에 넣으면 곧 돌아올게요.\n\n디바인의 가호를. 우리를 이끌고 보호해 주시길.\n\n— 휴..."
"51188213-0-1327","Chid Moska","치드 모스카"
"51188213-0-1325","Three-of-Claws' Note","세 개의 손톱의 노트"
"21337012-0-2541","The sea is beautiful. I come here to get away from the depths of the woods, to smell the salty air, and to be free.\n\nPerhaps it's true that my father is Maormer. Perhaps.","바다는 아름답다. 나는 숲 속 깊은 곳에서 벗어나 바다의 짠내를 맡고 자유롭게 지내기 위해 이곳에 왔다.\n\n어쩌면 우리 아버지가 마오머라던 말이 사실일지도 모르겠다. 어쩌면."
"51188213-0-2539","Note from Razum-dar","라줌-다르가 쓴 편지"
"21337012-0-1579","<<1>>,\n\nWhile we realize the outlying farms sustained damage in the storm, we regret to inform you that we cannot facilitate repairs until our own restoration efforts are complete.\n\nMany buildings along <<2>>—including piers and other vital port structures—were damaged in the storm and will require significant renovation.\n\nOur architects estimate at least a month before they can begin rebuilding, and a further two before efforts are completed.\n\nFurthermore, the arrival of so many Dominion refugees from the wreckage of the ""Gold Fleet"" strains the <<3>> guard to capacity.\n\nOnce <<2>> is restored, we will endeavor to provide you with whatever you require.\n\nThank you for your patience while we manage this crisis.\n\n— Office of the <<3>> Chancery","<<1>>,\n\n변경의 농장이 폭풍으로 손해를 입은 것은 알고 있습니다만, 유감스럽게도 우리 쪽 수선 작업이 완료될 때까지 수선 도움을 드릴 수 없습니다.\n\n<<2>>의 많은 건축물, 선창이나 항구의 중요한 건조물 등은 폭풍으로 파손되었고 대규모 복원이 필요합니다.\n\n건축가에 따르면 재건할 수 있게 되기까지 적어도 1개월은 걸리고 작업을 완료하는데는 이어서 2개월이 걸린다고 합니다.\n\n게다가, 난파한 \"\"금색 함대\"\"에서 많은 자치령 난민이 도착하면서 <<3>> 경비병의 부담이 한계에 이르고 있습니다.\n\n<<2>>의 복원이 끝나면 필요한 도움을 줄 수 있도록 노력하겠습니다.\n\n이 위기에 대처하는 동안 불편을 끼쳐드려서 죄송합니다.\n\n— <<3>>공문서 보관소 사무소"
"21337012-0-1576","<<1>>,\n\nWhile we recognize bandit activity has increased along the roads, there is nothing we can do to address it at this time.\n\nMany buildings along <<2>>—including piers and other vital port structures—were damaged in the storm and will require significant renovation.\n\nOur architects estimate at least a month before they can begin rebuilding, and a further two before efforts are completed.\n\nFurthermore, the arrival of so many Dominion refugees from the wreckage of the ""Gold Fleet"" strains the <<3>> guard to capacity.\n\nNormal patrol patterns will resume once <<2>> is restored.\n\nThank you for your patience while we manage this crisis.\n\n— Office of the <<3>> Chancery","<<1>>,\n\n도로에서 도적 활동이 증가했다는 것은 알고 있습니다만, 지금으로서는 할 수 있는 일이 아무것도 없습니다.\n\n<<2>>의 많은 건축물, 선창이나 항구의 중요한 건조물 등은 폭풍으로 파손되었고 대규모 복원이 필요합니다.\n\n건축가에 따르면 재건할 수 있게 되기까지 적어도 1개월은 걸리고 작업을 완료하는데는 이어서 2개월이 걸린다고 합니다.\n\n게다가, 난파한 \"\"금색 함대\"\"에서 많은 자치령 난민이 도착하면서 <<3>> 경비병의 부담이 한계에 이르고 있습니다.\n\n<<2>>의 복원이 끝나면 필요한 도움을 줄 수 있도록 노력하겠습니다.\n\n이 위기에 대처하는 동안 불편을 끼쳐드려서 죄송합니다.\n\n— <<3>>공문서 보관소 사무소"
"21337012-0-1577","Headwoman <<1>>,\n\nWhile this one understands the guard is needed to help <<2>> recover from the storm, cessation of regular patrols has led to increased bandit activity along the roads.\n\nOne can hardly step away from one's stall without being accosted by ruffians. If it is not bandits, it is harpies driven inland by heavy winds. If not harpies, scavengers ""mistaking"" our wares for flotsam washed up on the shore!\n\n<<3>> has contracted with a pair of mercenaries to help deal with these dangers, but not all of my kin are able to do so. When can we expect patrols to resume?\n\nPatiently awaiting your response,\n\n—<<3>>, Merchant","<<1>> 대장,\n\n경비병이 폭풍으로 피해를 입은 <<2>>의 복구를 돕기 위해 주기적 순찰을 중단하면서 노상에서의 산적 활동이 활발하게 되어 버렸습니다.\n\n가게를 떠나면 반드시 불량배들이 다가옵니다. 산적이 아니더라도 강한 바람에 의해 내륙으로 날아온 하피가 있습니다. 하피가 없을 때도, 상품을 해변에 떠밀려온 표류물로 \"\"착각하고\"\" 가져가는 폐품업자들이 있습니다!\n\n이러한 위험에 대처하기 위해 <<3>>은 2명의 용병을 고용했습니다만, 우리 일족 전원이 용병을 구할 수는 없습니다. 언제 순찰을 재개해 주실 수 있을까요?\n\n답장 기다리겠습니다.\n\n— 상인 <<3>>"
"21337012-0-4041","All remaining flasks of the original toxin must be relocated to the storage chamber in the rear portion of the cave, so as to keep them separate from Master Nerandas' new formula. Please make a full accounting and report any irregularities to your direct superior.\n\nPride and Prosperity for House Hlaalu.","마스터 네란다스의 새로운 조합법과 나눌 필요가 있으므로 가공전의 독이 들어있는 플라스크는 모두 동굴 뒤쪽에 있는 저장실로 이동시켜 주세요. 반드시 기록을 작성하고, 이상 사태가 발생한 경우에는 직속 상사에게 연락해 주십시오.\n\n할루 가문의 자부심과 번영을 위하여."
"51188213-0-2410","Torchbugs","횃불벌레"
