"Location","Source","Target"
"51188213-0-1607","Hinaamo's Journal","히나모의 일지"
"51188213-0-708","Del's Claim","델의 주장"
"51188213-0-1843","Orders from Duke Renchant","렌젠트 공작에게서 온 명령"
"21337012-0-1211","You're costing us too much coin.\n\nH. is getting tired of the expense of keeping all this cargo in a warehouse. Because you've also been somewhat less than discreet, we don't want you to stay in that hidden cave for much longer. To be honest, we don't think you're doing enough to keep that cave hidden.\n\nClear out the cargo. Sell it. Quickly. We know how much its worth, so you can make up for your lackluster results by raising that money. We'll be keeping track of the profits. That way, we can both make a profit and get you out of there quicker.\n\nH. is spending too much money on two things: the arena and you. If you can't do this properly, we could easily arrange for your men to end up in the arena.\n\nWe'll be waiting to hear about the incredible profits you've amassed.","너 때문에 막대한 자금이 소요되고 있다.\n\nH는 이 화물 보관료를 지불하는 것에 싫증을 내고 있다. 너에게는 신중함이 부족하고, 더 이상 너를 비밀동굴에 놓아둘 수는 없다. 솔직히 말하지만, 너는 그 동굴을 충분히 숨기지 못한 것 같다.\n\n화물을 어떻게든 해라. 팔아치워라. 지금 당장. 어느 정도의 가치가 있는지는 알고 있다. 그래서 자금을 조달하면, 너의 손해를 보충할 수 있을 것이다. 자금의 흐름은 확실히 파악해 두겠다. 그러면 서로에게 이익이 되고, 너를 거기서 빨리 해방시킬 수 있다.\n\nH는 2가지 일에 큰 돈을 쏟고 있다. 투기장과 너다. 바보 같은 짓은 하지 마라, 우리는 너의 동료들을 언제든 투기장으로 보낼 수 있다.\n\n네가 큰돈을 구하기를 기대하고 있다."
"21337012-0-1970","Sagabar,\n\nI have the miller's horse and cart ready to go as soon as we have what we came for. As long as no one tries to be a hero, we should be in the clear. Tell Bulzog to keep the hostages at the old mill south of town. If he doesn't hear from us by midnight, he can start slitting their throats. Since the miller's given us so much trouble, Bulzog can kill his daughter either way. But when we send word that we're clear of town, he should release the mayor's wife and the jeweler's son and then meet us back at camp.\n\n— Leonce","사가바르,\n\n그 물건을 받자 마자 갈 준비를 할 수 있도록 방앗간 주인의 말과 수레를 챙겼다. 누군가 영웅이 되려고 하지 않는 한, 우리에겐 혐의가 없을 거다. 불조그에게 마을 남쪽에 있는 오래된 방앗간에서 인질들을 잘 지키라고 말해. 자정까지 소식을 전해주지 않으면, 불조그는 인질들의 목구멍을 찢기 시작할 수도 있어. 방앗간 주인이 골칫거리였기 때문에, 불조그는 어느 쪽이든 놈의 딸을 죽일 지도 몰라. 하지만 우리가 마을 일을 해결했다고 전갈을 보내면, 촌장의 부인과 보석점 주인의 아들을 풀어줘야 해. 그리고 우릴 야영지에서 다시 만나야 하지.\n\n-리온스"
"21337012-0-531","I grow increasingly suspicious of my master, Canonreeve Valano, and his true loyalties. Strange visitors come and go from the manor at all hours, and the Canonreeve has been sending private missives to unknown parties. When asked, he is extremely circumspect with regard to the content of these missives.\n\n                - - - - -\n\nMy suspicions are confirmed! The canonreeve has been covertly communicating with members of the Veiled Heritance! In point of fact, I strongly suspect that the attack on the town was his doing all along. I plan to confront him. Arrest him if necessary. I dare not risk revealing my discoveries to any of the locals, as I've no way to discern who might be in league with him.","내 주인이신 규범행정관 발라노님과 그분의 진정한 충심에 대한 의심이 점점 더 커져간다. 낯선 방문자가 저택을 하루 종일 드나들고, 규범행정관님은 알 수 없는 단체에게 은밀한 편지를 보내고 있다. 물어볼 때면 편지의 내용에 대해 극도로 조심스러워한다.\n\n                - - - - -\n\n내 의심이 맞았다! 규범행정관은 은밀하게 베일의 계승단과 내통하고 있었다! 마을을 공격한 것은 사실 전부 그의 짓이라는 의심이 강하게 든다. 난 그에게 따져 볼 것이다. 필요하다면 그를 체포해야겠지. 규범행정관과 결탁한 자가 눈치챌 수도 있으니, 내 발견을 마을 주민들에게 드러내는 위험은 절대 감수하지 않을 것이다."
"21337012-0-1176","Orders for Tonight:\n\nThomic will be bringing in some eggs from the dreugh nests. Have the men take a few each and spread them around Dreughside. And quietly, mind! \n\nIf anyone sees you, throw them to the dreugh. And burn this letter after reading it—don't get any ideas about holding on to it to blackmail me later. \n\nI'll be upstairs in Arbogasque's house. The swine owes me rent.\n\n— Baron Sorick","오늘 밤에 해야 할 일:\n\nThomic이 드레우그 둥지에서 알 몇 개를 가지고 올 거다. 사람들에게 각각 나눠준 다음 Dreughside에 알을 뿌리도록 해. 조용히 말이야!\n\n누가 너를 본다면, 그들을 드레우그에게 던져 버려. 그리고 이 편지는 읽고 난 다음 태워라. 이걸 가지고 나중에 나를 협박할 생각은 꿈도 꾸지 마.\n\nㅡ Sorick 남작"
"21337012-0-1853","We're all now enemies of Colovia, and the beasts that inhabit this land aren't likely to be much more welcoming. Not that it would matter. I would rather be hanged at home for deserting than cavort with talking housepets and cannibal tribes.\n\nThe General sent us to die. She won't be able to hold what she's taken in Reaper's March, and most line soldiers are fully aware that this occupation will end in their deaths. We simply left.\n\nWe've found some secluded ruins, ones that don't appear to hold much of value and aren't the carved mausoleums of the talking cats. We can lie low here until things quiet down, then pillage as we need from the beasts.","우리는 이제 모두 코로비아의 적이다. 이 땅에 사는 짐승들도 이 이상으로 환영해 줄 것 같지 않다. 그렇다고는 해도 별 문제는 아니다. 수다스러운 애완동물이나 식인 부족과 장난칠 정도라면 고향에서 탈영죄로 교수형을 당하는 편이 낫다.\n\n장군은 우리를 죽일 생각으로 보냈다. 그녀는 리퍼스 마치에서 얻은 것을 지켜낼 수 없을 것이다. 그리고 전선에 배치된 병사의 대부분은 이 점령이 자신들의 죽음으로 종료되는 것을 잘 알고 있다. 우리는 단순히 쫓겨난 것이다.\n\n우리는 눈에 띄지 않는 곳에 있는 유적을 몇 개 찾아냈다. 어느 것 하나 큰 가치는 없어 보이기도 하고, 말하는 고양이들의 조각된 묘지도 아니다. 여기라면 상황이 진정될 때까지 가만히 기다리다 그 후 필요에 따라 저 짐승들로부터 약탈을 할 수 있다."
"21337012-0-2788","Tell the Master—construction of the weapon is complete, built as he commanded. All the Nirncrux in this cavern made it possible.\n\nThe weapon will ignite the magicka that flows in the bodies of our opponents—flay them from the inside out with the Master's aura. The magicka wielders who face us will have to deplete their stores or face burning alive.\n\nBut we all have a little magicka in us. Those without the means to expel it—the brutes who deign to wield magic, or those who simply fail to bring a spell into battle—will perish with great prejudice. \n\nAll that's left is to free the Master.","마스터에게 전해줘. 무기의 제조는 완료되었다. 명령대로 잘 만들었다. 그것을 가능하게 한 것이, 이 동굴에 있는 넌크룩스다.\n\n이 무기는 적의 체내를 흐르는 매지카에 불을 붙인다. 그러먄 마스터의 오라가 적을 압도한다. 매지카를 조종하는 우리의 적은 비축된 매지카를 고갈시키거나 아니면 살아 있는 채로 불타게 될 것이다.\n\n그러나 우리 안에는 모두 다소의 매지카가 있다. 매지카를 방출하지 못하는 자들, 즉 마법을 쓰는 척하는 짐승들이나 주문을 모르고 싸우는 자들은 죽음을 기다리게 될 뿐이다.\n\n남은 일은 마스터를 해방시키는 것뿐이다."
"21337012-0-2148","Our efforts within Northpoint proceed as planned. Lady Lleraya assures us that success will soon be ours and the march toward Shornhelm will begin shortly.\n\nKeep to your posts and remain vigilant. If the Shornhelm Guard shows up, dispatch them immediately. And continue to watch for any of the missing Northpoint Guard who escaped or went into hiding when we took the city and locked the gates.\n\nIf you have questions, please see me or Captain Khala at the command post that overlooks the eastern shore. One of us will always be stationed there.\n\nAll hail House Montclair!\n\n— Commander Pyline","노스포인트에서 우리들의 작전은 계획대로 진행되고 있다. 우리들은 곧 성공하며, 숀헬름으로의 진군은 지체없이 개시될 것이라 레이디 르라야가 단언했다.\n\n배치 장소에서 고정 경계를 소홀히 하지 않도록. 숀헬름의 경비병이 모습을 드러내면 즉각 사살하라. 그리고 우리들이 마을을 제압하고 문을 잠갔을 때 도주하거나 숨는 노스포인트의 경비병들을 지속적으로 감시해라.\n\n질문이 있으면, 동쪽 해안을 감시하는 지휘소에서 나 또는 칼라 대장을 만나면 될 것이다. 우리들중 한 사람은 지휘소에 상주한다. \n\n몬클레어 가문 만세!\n\n— 지휘관 피린"
