"Location","Source","Target"
"51188213-0-1447","Journal of Bravam Lythandas","브라밤 리탄다스의 일지"
"51188213-0-423","Kireth's Journal, Page 10","키레스의 일기, 10쪽"
"51188213-0-424","Kireth's Journal, Page 16","키레스의 일기, 16쪽"
"51188213-0-425","Kireth's Journal, Page 25","키레스의 일기, 25쪽"
"51188213-0-426","Kireth's Journal, Page 29","키레스의 일기, 29쪽"
"51188213-0-427","Kireth's Journal, Page 30","키레스의 일기, 30쪽"
"51188213-0-428","Kireth's Journal, Page 33","키레스의 일기, 33쪽"
"51188213-0-4033","The Source of the Formula","조제법의 원천"
"21337012-0-427","Had a few too many close calls trying to salvage some metal to make new lockpicks. I'm not terribly interested in getting impaled on a spike. And every time I stop to dig around for the key, the constructs swarm after me.\n\nI'll need to invent something protective when I manage to get out of here. Maybe some kind of special boots. Or a hat.","새로운 록픽을 만들기 위한 금속을 몇 개 반출하려다 위험한 일을 여러번 당했다. 가시에 찔리는 건 내 취향이 아니다. 게다가 열쇠를 찾기 위해 이리저리 뒤질 때마다, 컨스트럭트가 몰려온다.\n\n이 곳을 나올 수 있다면, 뭔가 몸 지키기에 좋은 것을 발명해야겠다. 특수한 부츠인가 뭔가. 혹은 모자라든가."
"21337012-0-428","Been reading ""The Art of Love and Swordplay"" by the bard Fjokki. I don't get it. Why is this stupid book so popular?\n\nI'm pretty sure half of the things described aren't even possible. Or legal. Oh, wait a minute—this one sounds kind of interesting.","음유시인 조키가 지은 \"\"사랑과 검을 다루는 기법\"\"을 읽고 있다. 이 웃기는 책이 왜 이렇게 유명한 걸까?\n\n여기 적혀 있는 것의 절반은 불가능하다. 아니면 불법이거나. 어라, 잠깐만, 이건 좀 재미있겠는데."
"21337012-0-425","Oh, this isn't good. Not good at all. The constructs seem to know I'm here and they keep looking for me. Where's my useless brother when I really need him?\n\nI hope someone comes looking for me soon. I can't get out of here without attracting more constructs. And now I'm hungry.\n\nThis is bad! This is worse than when Raynor built that thing that turned all the clothes in town invisible for a day and a half. Vivec, was Elder Aro mad about that!","아, 이거 큰일이다. 진짜 큰일이다. 내가 여기 있다는 것을 컨스트럭트는 알고 있는 듯 나를 계속 찾고 있다. 쓸모없는 형제는 정말 필요할 때 도대체 어디에 있는 거야?\n\n누군가가 곧 나를 찾으러 와주길. 더 많은 컨스트럭트의 주의를 끌지 않고는 이곳을 나갈 수 없다. 게다가 배도 고프다.\n\n곤란해! 레이노가 마을의 옷을 하루 반나절 동안 투명하게 만들었을 때보다 곤란하다. 비벡, 아로 장로가 화를 엄청 크게 냈었지!"
