"Location","Source","Target"
"51188213-0-38","House Tamrith: A Recent History","탐리스 (Tamrith) 가문: 최근 역사"
"21337012-0-40","This report on the city of Northpoint and its primary noble house, Dorell, was ordered directly by His Majesty High King Emeric and has been painstakingly researched. I, Chancellor Regina Troivois of the Department of Interior Affairs, personally oversaw this effort and verify the accuracy of the information contained herein.\n\nFirst, some history for context. Captain Yric Flowdys, an enterprising Breton trader operating the summer route of shipping from Daggerfall to Solitude, established Northpoint during the 9th century of the First Era. Though the shores here do not form an ideal harbor, Yric knew the deep waters approaching them could easily accommodate large vessels, and that the location along the trade route made for a perfect way station where traders could resupply, make repairs, or shelter through storms. He constructed the first docks at Northpoint, the best anchorage, and named the port after it.\n\nSoon after building the docks, Captain Flowdys oversaw the addition of a small walled keep and warehouse in the heights of Dore Elard, to the east of the growing port-of-call. Before long, the town bustled with activity, and Flowdys, realizing the success of his venture, took the name of the mountain as his new family name. He and his relatives continued to grow their maritime endeavors, as well as develop and invest in the port and surrounding lands, eventually leasing plots to farmers and establishing new sources of income. \n\nFor most of the First Era, the family exemplified the type of active, entrepreneurial merchant princes that brought great prosperity to High Rock. In 1E 1029, the Dorells were granted a barony when the Empress Hestra joined High Rock to the First Empire. The fortunes of House Dorell, and of Northpoint, have waxed and waned with the flow of the northwest coastal trade ever since.\n\nIn the 24th century the Dorells, having continued their rise in wealth and power, held the monarchy of Shornhelm for several generations. This distinction has colored the family's image of itself through subsequent centuries, and the Dorells regard themselves among Rivenspire's true elite even today. It also gave them a taste for political intrigue which, combined with their already-ambitious spirit, has made the house impossible to ignore. The current Baron of the House, Alard, wields significant power as one of the triumvirate of nobles who have ruled Rivenspire since the fall of Ranser. Along with the leaders of House Montclair and House Tamrith, Alard Dorell has pledged himself to the High King and hopes to one day earn the right to rule as the sole King of Shornhelm.\n\nIn recent times, House Dorell excels as a maritime and mercantile power. They maintain a mansion in Shornhelm for the Baron and Baroness, keeping the house closely involved in the happenings of the court. The estate in Northpoint is left to other relatives, though oversight of its lands remains integral to the family's operations. At present the young but very capable Lord Ellic, son of Baron Alard, manages the family's holdings around Northpoint when his father is at court and serving on the triumverate.\n\nThe Dorells are militaristic and politically savvy, and their mercantile traditions have forged a level of wealth rarely seen in Rivenspire circles. House Dorell has generated extensive ties with merchants in Solitude. This, they are quick to point out, has nothing to do with the sword rattling of politics. To Dorell, this is simply good business.\n\nFrom my study of the three noble houses of Rivenspire that form the ruling triumvirate, I recommend that you place little trust in House Montclair, and to be cautious in any interaction with them—their true loyalties are only to their own aspirations. House Dorell, on the other hand, while also ambitious, seems to possess a degree of honor and a love of country rarely exhibited by the Montclairs (who seem to be overly proud of their heritage to Ranser). House Tamrith, meanwhile, has always been loyal and a friend to Wayrest. However, the Countess is relatively new to her role as house leader and may not be ready to assume any greater responsibilities","노스포인트 (Northpoint) 도시와 그곳의 주 귀족 가문인 도렐 (Dorell) 가문에 대한 이 보고서는 하이 킹 에머릭 (Emeric) 께서 지시하신 바에 의해 면밀히 조사되었다. 나, 내무부장인 레지나 트로이보이스 (Regina Troivois)가 이를 감독하였고 이 보고서에 쓰인 정보의 정확성을 입증한다.\n\n우선, 맥락을 위해 역사에 대해 기술한다. 대거폴에서 솔리튜드로 향하는 여름 화물을 감독했던 진취적인 브레튼 무역가 이릭 플로디스 대장 (Yric Flowdys)이 첫 시대 (First Era) 9세기 경 노스포인트를 세운다. 이곳의 해안은 항구로써 꼴을 갖추고있지 않았지만, 이릭은 다가오는 깊은 물로 인해 이곳이 거대 함선을 수용하고 무역로의 중간 교두보로써 상인들이 재보급을 하며, 수리와 폭풍을 피해 안식을 취할 수 있는 장소가 될 수 있음을 알았다.  이릭은 노스포인트에 최초이자 최고의 정박지를 만들었고, 이에 항구의 이름을 따 지었다.\n\n항구를 짓고 얼마 후, 플로디스 대장은 자라나는 기항지 동쪽으로 있는 도어 엘라드 (Dore Elard) 언덕에 있는 작은 성벽 요새와 창고를 경영하게 된다. 머지 않아, 마을은 활기 차게 북적이고 플로디스는 자신의 모험이 성공했음을 알아 산의 이름을 자신의 성으로 따 삼는다. 플로디스와 그 가족은 바다에 투자하는 만큼 항구와 주변 땅에도 노력을 기울여 농부들에게 땅을 임대해 새로운 수익의 원천으로 만든다.\n\n첫 시대 걸쳐, 플로디스의 가문은 하이 락에 크나큰 번영을 가져온 활동적이고 기업가정신 투철한 상인 귀족의 전형으로써 인정받는다. 1E 1029가 되자, 헤스트라 (Hestra) 여제가 첫 제국 (First Empire)에 하이 락을 편입시키면서 도렐 가문은 남작 위를 수여받게 된다. 도렐 가문과 노스포인트의 자산은 북서쪽 연안의 무역의 흐름 따라 흥망성쇠를 반복한다.\n\n24세기 경 도렐 가문은 계속해서 부와 권력을 모아, 몇 세대 동안 숀헬름의 군주 위치를 지킨다. 이 차이로 인해 도렐 가문은 차후 몇 세기 동안 스스로에 대한 이미지를 굳힌다. 오늘 날까지도 스스로를 리븐스파이어의 진정한 특권계층으로 인식하고 있는 것이다. 이 이미지로 인해 도렐 가문은 정치적 음모에도 일가견이 생겨, 그 야망 가득한 정신과 함께 스스로를 무시할 수 없는 위치로 끌어올렸다. 현 가문의 남작인 알라드 (Alard)는 랜서 왕의 몰락 이후 리븐스파이어를 다스리고 있는 삼대 귀족 중 하나로써 엄청난 권력을 휘두르고 있다. 몽클레어 (Montclair) 가문과 탐리스 (Tamrith) 가문과 함께, 알라드 도렐은 하이 킹에게 충성을 맹세하고 언젠가 숀헬름의 유일한 왕 자리를 노리고있다.\n\n최근, 도렐 가문은 바다와 무역에서 권력을 과시하고 있다.  숀헬름에서 남작 부부를 위한 대저택을 세우고, 그 저택에서 대소사를 처리한다. 노스포인트의 사유지는 다른 친척들의 손에 들어갔다. 토지 관리에 대한 권리는 가문에서 관리하긴 하지만. 현재 알라드 남작의 아들, 젊지만 유능한 엘릭 (Ellic) 경이 아버지가 리븐스파이어를 다스리는 동안 노스포인트 근방 가문의 영지를 관리하고있다.\n\n도렐 가문은 군국주의적이며 정치적으로 약삭 빠르다. 또한 이들의 상업적 전통이 빚어낸 부의 크기는 리븐스파이어 내에서도 비교 할 상대가 거의 없다. 도렐 가문은 솔리튜드의 상인들과 커다란 유대를 형성했다. 여기에서 도렐 가문은 소위 말하자면 정치적인 드잡이질과 아무런 연관이 없다. 도렐 가문에게 있어, 솔리튜드의 상인들은 단순히 좋은 사업 상대인 것이다.\n\n리븐스파이어를 다스리는 3대 귀족 가문에 대한 내 연구를 볼때, 몽클레어 가문은 믿지 말고 교류가 있을 땐 주의를 기울일 것을 추천한다. 이들은 진정으로 충성을 보이고 있지 않다. 랜서 왕의 적통이라는 자부심을 지나치게 안고 있는 몽클레어 가문에 비해, 도렐 가문은 야심적이지만 명예를 알고 애국심이 있는 것으로 보인다. 탐리스 가문은 언제나 웨이레스트에 충성하며 웨이레스트의 친구였다. 그러나 탐리스의 백작은 비교적 신참인 데다가 가주의 위치에서 중대사를 책임지기엔 아직 부족해 보인다."
"51188213-0-39","Shornhelm, Crown City of the North","북쪽 왕의 도시, 숀헬름 (Shornhelm)"
"21337012-0-41","To those who seek to understand:\n\nOne would surmise that such an elusive and ancient noble house would be averse to publishing its goals in such an accessible manner. However, with the advent of strife upon our homes and allies, I thought it best to clarify our standing for the small-minded.\n\nThe first and foremost goal of House Ravenwatch is the destruction of the ancient evil which lies within Rivenspire. It is known by many names: Abagandra, Loradabal, and in contemporary times, the Lightless Remnant. Countless generations of scholars have sought to understand this artifact. There is no understanding to be had—it is a blight upon Mundus and must be cast out.\n\nSecondly, House Ravenwatch seeks to foil the plans of those who wish to make use of the power of the Lightless Remnant. Do not be deceived by Baron Montclair's rhetoric and so-called patriotic zeal. He has succumbed to the power of the Remnant and seeks to destroy the beautiful land of Rivenspire. We know this because we were with him when the power possessed him.\n\nWe prefer the shadows. We prefer to let others lead. But these are desperate times. They call for desperate measures. Know that no matter what Rivenspire must face, you will not face it alone. House Ravenwatch will be by your side. House Ravenwatch stands with Emeric and the good people of Rivenspire.\n\nVerandis, Count of House Ravenwatch","이해를 구하는 자에게:\n\n종잡을 수 없이 오래된 귀족집이 알기 쉽게 목표를 공개하는 일은 없다고 생각할 것이다. 그렇게 생각하는 사람이 있어도 이상하지 않다. 그러나 고향과 아군에 불화의 재앙이 닥친 지금, 편협한 사람들을 위해 우리의 입장을 분명히 해야 한다고 생각했다.\n\n레이븐워치 백작가에게 최우선 과제는 과거 리벤스파이어 안에 있는 사악한 존재를 망치는 것이다. 그것은 여러 이름으로 불리고 있다. 아바간드라, 로라다발, 그리고 현재는 빛없는 자취란 이름으로, 옛날부터 여러 세대의 학자들이 이 아티팩트를 이해하려고 노력해 왔다. 하지만 이해하지 못했다. 문다스에 붙은 역병으로 제거할 수밖에 없다.\n\n레이븐워치 백작가의 두 번째 목표는 빛없는 자취를 이용하려는 자들의 야망을 꺾는 것이다. 몽클레어 남작의 미사여구와 열렬한 애국심에 속아서는 안 된다. 그는 빛없는 자취의 힘에 굴복해 리벤스파이어의 아름다운 땅을 파괴하는 일을 계획 중이다. 우리가 왜 그것을 알고 있냐 하면 몽클레어 남작이 빛없는 자취의 힘에 사로잡혔을 때 그 자리에 있었기 때문이다.\n\n우리는 어느 쪽인가 하면 그늘을 좋아한다. 다른 사람에게 이끌리는 걸 더 선호한다. 그러나 사태가 급박하다. 더 이상 수단을 고를 여유가 없다. 제발 알아주길 바란다. 리벤스파이어가 어떤 위협에 직면한다고 해도 그대 혼자 표적이 되지는 않는다. 우리가 그대의 편을 들겠다. 레이븐워치 백작가는 에머릭, 그리고 리벤스파이어의 선량한 백성과 함께 있다.\n\n레이븐워치 백작가 당주, 베란디스"
"51188213-0-40","Northpoint: An Assessment","노스포인트 (Northpoint): 평가"
"51188213-0-34","Bloodfiends of Rivenspire","리븐스파이어의 피의 악령"
"21337012-0-33","[This bit of propaganda was produced for House Tamrith and distributed while Countess Eselde was in the south, studying with the Order of Arkay.]\n\nUpon a time, in the realm of Cutcap, there was a mighty king named Rulthrub who ruled nobly and long. After many years King Rulthrub felt himself getting old, and started to think about what would happen to his realm after he was gone. Now this king was blessed with two sons, which normally would be a happy thing for an aging monarch, but in this case it was a problem. For the younger son who had been born of his queen, Prince Pigeon, was weak-willed and indifferent. In contrast the elder son, Prince Lancer, was bold and self-assured, and though his mother was of House Rithmat, the noblest in Cutcap, still Prince Lancer had undeniably been born out of wedlock.\n\nNow King Rulthrub was a wise king, and did not try to conceal that he favored his elder son, Prince Lancer, as he was clearly the prince most fit to rule. But nonetheless when the old king finally went to Aetherius, some people felt that the milksop Prince Pigeon should take the throne. I don't know whether these people were merely misguided, or had some other reason why they thought the rulership of Cutcap should be undermined. Fortunately wiser heads prevailed and Prince Lancer was elected King of Cutcap by the Council of Nobles.\n\nShortly after Lancer's accession to the throne he met a demoiselle named Lady Vespire at a ball and fell in love. The lovely and clever Vespire was a daughter of House Rithmat, and after a brief courtship King Lancer told his Council of Nobles that she would be his queen. However, Count Pigeon (the former prince) objected that this would not be proper as King Lancer's mother had been a Rithmat, and by the Law of Consanguinity the Lady Vespire was too close a relation for marriage. On this the rest of the council agreed, and King Lancer was persuaded to set the young lady aside. Upon hearing this news, Lady Vespire disappeared, said to have been carried off into the forests by a coterie of nixads, and though the king sent out search parties, his lost love was never found.\n\nIn due course the council recommended, for the sake of the dynasty, that King Lancer marry the young and healthy Lady Ignort of House Dull, and this, heartbroken, he agreed to. Lancer and Ignort were married, and King Lancer settled down to do his kingly duty by his new queen. Within a few months it was announced that Queen Ignort had borne King Lancer a child. A Naming-Day festival was declared for the infant princess, and everyone important in the realm was invited.\n\nOn the day of the celebration all the goodly and great of Cutcap came and laid presents at the foot of the cradle of Princess Arayelle, for thus she had been named. But at the end of the line came someone no one recognized: a dire Wyrd-Hag, hooded and cloaked, and bearing a darksome flower. Now, no Wyrd-Hags had been seen in Cutcap since the Year of Sun's-Death, but all feared her and none dared bar her passage. \n\nThe Wyrd-Hag advanced to the princess' cradle, and when she came to its foot she threw back her hood and cried, ""Behold, King Lancer! It is I, Lady Vespire, now a Wyress of the Wyrd!"" The gaily-clad crowd fell back in horror, for the formerly pretty Lady Vespire now sported a large nose disfigured by unsightly warts. ""By some oversight you failed to invite me to your daughter's Naming Day, but I have come nonetheless. And look—I have brought the infant princess a present!""\n\n""What present is this?"" said King Lancer, all a-tremble. ""A darksome flower? I like not its look!""\n\n""That's no surprise, Your Majesty,"" said the Wyrd-Hag mockingly, ""for this is a Forsaken Rose, a blossom no one wants! I know what that is like, King Lancer—and so, by my curse, shall your daughter!"" The horrible Hag then dropped the misshapen bloom upon the baby and disappeared in a flash of fire and a cloud of evil-smelling smoke. \n\nSo it came to pass: Princess Arayelle grew up beautiful as a rose, but cross-grained and petulant. But she was nonetheless a princess of the north, so when King Emetick of the South came looking for a bride, their troth was quickly plighted. \n\nBut Count Pigeon had long made a habit of visiting the South, and was a boon companion of King Emetick. And he pointed out to the King of the South that Arayelle was cross-grained and petulant, and he might make a stronger match by marrying the Princess of Watchtower. In time Emetick agreed. He broke his match with Arayelle and promised himself to the Princess of Watchtower. \n\nKing Lancer, however, did not take this lightly, and swore he would go to war upon the oath-breaking King of the South. And he made lawful war upon King Emetick, but at the Battle of the Tor, Lancer was betrayed by one of his own generals. King Lancer was slain, his crown and Princess Arayelle both disappeared, and ever since the Throne of Cutcap has stood empty. \n\nBut some say that when King Lancer was born a twin sister likewise saw the light of the world, but was spirited away by a Wyrd-Hag to be raised in the forests. And this child, a daughter of both Rulthrub and Rithmat, herself bore a daughter who was brought back to her maternal family. And this daughter was named Countess Eselde. \n\nAnd if the truth were told, all would know that her real title should be Princess Eselde. And she, and no other, is the rightful heir to the Throne of Cutcap. However, that is a tale for her people to tell.","[이 자그마한 선전은 탐리스 가문을 위해 만들어졌고, 에셀데 여백작이 남부에서 아르케이 교단의 가르침을 받는 동안 유포된 것이다.]\n\n일찍이 컷캡의 영지에는 룰스럽이라는 이름의 위대한 왕이 있어서 길게 선정을 펼쳤다. 이윽고 룰스럽도 늙음을 느끼고 자신이 세상을 떠난 뒤 왕국의 장래를 걱정하게 된다. 룰스럽에게는 두 왕자가 있었다. 보통이라면 늙은 군주에게 있어서는 기쁜 일이지만, 이 경우에는 오히려 고민거리였다. 젊은 피존 왕자는 정실의 왕비지만 의지박약이라 정치에 관심이 없었다. 대조적으로 나이 든 랜서 왕자는 대담하고 겁내지 않고 어머니는 컷캡에서 가장 고결한 리스맷 가문 출신이었지만 혼외부인이었다.\n\n그런데 룰스럽은 현명한 왕이었고, 랜서 왕자가 마음에 드는 것을 숨기려 하지 않았다. 랜서가 통치자에 적합하다는 것은 누가 봐도 분명했기 때문이다. 그런데도 늙은 왕이 마침내 에셀리우스로 떠났을 때 유약한 피존 왕자가 왕위를 물려받아야 한다고 느끼는 사람이 일부 있었다. 그들이 단지 착각하고 있던 건지, 그렇지 않으면 컷캡의 왕권이 약해져야 한다고 생각하는 어떠한 이유가 있었는지, 나로서는 잘 모른다. 다만, 최종적으로는 현명한 자들이 승리해, 랜서 왕자가 귀족 평의회에 의해서 컷캡의 왕으로 뽑혔다.\n\n왕위에 오른 지 얼마 되지 않아 그는 무도회에서 레이디 베스파이어라는 순진한 처녀를 만나 처음 사랑에 빠졌다. 가련하고 지혜로운 베스파이어는 리스맷 가문 출신으로 짧은 구애기간을 거쳐 랜서 왕은 귀족평의회에 그녀를 왕비를 맞이하겠다고 말했다. 그런데, 전직 왕자인 피존 백작이 여기에 이의를 제기했다. 랜서 왕의 어머니도 리스맷 가문 출신으로, 혈연법에 의하면 레이디 베스파이어와는 피가 너무 가깝다. 따라서 이 혼인은 적합하지 않다는 것이었다. 여기에 평의회의 다른 일원도 동의했기 때문에, 랜서 왕은 평의회에게 설득되어 레이디 베스파이어와의 결혼을 단념했다. 소식을 들은 레이디 베스파이어는 사라졌다. 닉사드 집단에 의해 숲 속으로 끌려갔다는 말도 있다. 랜서 왕은 수색대를 보냈지만 실종된 애인은 아무리 찾아봐도 발견되지 않았다.\n\n곧 평의회가 왕조 존속을 위해 랜서 왕에게 신부 후보를 추천했다. 둘 가문 출신의 건강한 딸 레이디 이그노트였다. 아직도 상심이 가시지 않은 왕은 이 권유를 받아들였다. 랜서와 이그노트는 결혼했고, 랜서 왕은 새 왕비 옆에서 국왕으로 우뚝 섰다. 그로부터 몇 달 뒤 왕비 이그노트가 아이를 낳았다고 발표했다. 어린 왕녀를 위해 명명제 개최가 결정됐고, 온 나라의 귀빈이 초청됐다.\n\n명명제 당일, 컷캡의 명사들이 모두 달려와 아레이엘이라고 이름붙인 지 얼마 안 된 공주가 잠든 요람의 발밑에 선물을 두고 갔다. 그런데, 그 행렬의 끝에 누군지 알 수 없는 초대받지 않은 손님이 있었다. 그는 불길한 윌드 해그로 망토에 몸을 감싸서 후드를 쓰고 어두운 색의 꽃을 한 송이 들고 있었다. 사실 태양이 죽은 해 이후로 컷캡에서 윌드 해그의 모습을 본 적은 없었지만 그래도 모두 겁에 질려 그 앞길을 가로막으려는 사람은 아무도 없었다.\n\n윌드 해그는 공주의 요람에 다가가 후드를 벗고 외쳤다. \"\"보세요, 랜서 폐하! 저에요, 레이디 베스파이어예요. 지금은 윌드의 위레스지만요!\"\" 화려한 옷차림의 사람들은 공포에 질려 뒷걸음질을 쳤다. 과거 아름다웠던 레이디 베스파이어가 이제는 추악한 사마귀로 덮인 거대한 코를 보란 듯이 내밀고 있었기 때문이다. \"\"뭔가의 실수로 폐하의 딸의 명명제에 초대받지 못했지만 이렇게 왔습니다. 보세요, 어린 왕녀에게 드릴 선물을 가지고 왔어요!\"\"\n\n\"\"선물이란 무엇인가?\"\" 랜서 왕이 몸을 떨면서 물었다. \"\"그 어두운 색의 꽃인가? 보기만 해도 마음에 안 드는군!\"\"\n\n\"\"놀라운 일도 아니죠. 폐하.\"\" 윌드 허그는 비웃듯 말했다. \"\"이건 버림받은 장미라며 아무도 탐내지 않는 꽃이에요! 그게 뭔지 나는 알고 있어요, 랜서 왕. 그리고 나의 저주로 당신 딸에게도 그것을 알려 드리죠!\"\"라고 말하고, 무서운 해그는 흉측한 꽃을 아기 위에 떨어뜨렸다. 그 찰나, 불꽃이 확 타오르고, 이상한 냄새의 연기가 감돌더니, 해그의 모습은 사라졌다.\n\n그 후 공주 아레이엘은 한 송이 장미처럼 아름답게 성장했지만 비뚤어지고 신경질적인 성격을 가졌다. 그래도 그녀가 북부의 공주임에는 변함이 없었으며 남부 에메틱 왕이 신부를 구하러 찾아오자 두 사람 사이에서 신속하게 약혼이 이루어졌다.\n\n그러나 옛부터 더할 나위 없이 남부를 방문해 에메틱 왕과 친해져 있던 피존 백작이 남부의 왕에게 아레이엘은 성격이 비뚤어진 데다 신경질적이라 감시탑 공주와 결혼하는 게 훨씬 낫다고 권했다. 에메틱 왕은 이 진언을 듣고 아레이엘과의 약혼을 취소했고 감시탑 공주와 결혼 약속을 했다.\n\n하지만 랜서 왕이 이를 순순히 인정할 리 없었고, 서약을 어긴 남부 왕과 전쟁을 할 것을 다짐했다. 그리고 실제로 에메틱 왕과 합법적인 전쟁을 벌였지만 톨의 전투에서 휘하의 장군 중 한명이 배신하면서 살해당했다. 랜서 왕의 왕관도 아레이엘 공주도 행방을 알 수 없게 되어, 그 이래 컷캡의 옥좌는 빈자리로 남아 있다.\n\n그러나 일설에 의하면 랜서 왕이 탄생할 당시에 사실은 쌍둥이 여동생도 태어났는데 어느 윌드 해그에게 납치되어 숲에서 자랐다고 한다. 를스럽 가문과 리스맷 가문의 피를 이어받은 이 아이가 자라 딸을 낳았고, 그 딸은 외가 쪽 가문이 데려갔다. 이 딸이 바로 에셀데 여백작이라는 것이다.\n\n만일 이것이 사실이라면, 에셀데 여백작의 진짜 칭호는 \"\"공주\"\"여야 할 것은 자명하다. 그리고, 다른 누구도 아닌, 그녀야말로 컷캡의 옥좌의 정통 계승자라는 것이 된다. 그러나 그것은 그녀의 사람들이 하는 이야기일 뿐이다."
"21337012-0-32","By Sathyr Longleat the Elder\n\nThe burial grounds of Westmark Moor, known to many as the Sanguine Barrows, have developed an unsavory reputation among locals over the course of their history. The nobles of Rivenspire have buried their departed beneath the gnarled trees here for as long as anyone alive today remembers, laying relatives to rest among centuries-old crypts that have borne witness to corruption, disputes, theft, and worse. \n\nMany prominent northern nobles inter their dead in Westmark's cold earth, including the Dorell, Tamrith, and Montclair families. Though some of these houses have produced Kings and Queens of Shornhelm, those deceased do not rest with their relatives here. Instead, they are transported to join the other monarchs of High Rock in the great cemetery of Cath Bedraud in Glenumbra, per long-standing tradition.\n\nFeuds between the houses over the titles to gravesites in the Sanguine Barrows are common. One incident in Mid Year of 2E 551 earned the burial grounds their unfortunate common name. As I recall, it so happened that the Tamrith and Montclair houses both suffered the loss of a family member on the same day. The houses' claims in the barrows bordered one another and had been a source of strife between them for many years. When both funeral processions arrived one morning on the same hill in front of the same gravesite (a highly desirable one with a view of the river), conflict was inevitable.\n\nThe nobles quarreled for hours and sent servants back and forth for documents, titles, and maps with official claims laid out, but neither house could be convinced to step down. As sunset approached, patience was in short supply. The Montclairs and the Tamriths each blame the other, unsurprisingly, for hurling the insult that provoked the houses into drawing steel, and the Bloody Funeral (as it came to be called) that ensued left a black mark on each house's legacy in the eyes of Rivenspire's people.\n\nLooting and desecration are likewise common among the Sanguine Barrows. Though the responsibility of patrolling them belongs to the constabulary of Hoarfrost Downs, the lure of riches is sometimes enough to turn a protector into a criminal, or at least enough to turn his head and allow entry to the tombs. More than once, a King or Queen of Shornhelm has ordered a hanging to set an example against such behavior. \n\nDespite these harsh consequences, a new defacement or theft still seems to follow nearly every noble burial. In fact, it has only been a few years since the Tamriths were scandalized when an entire crypt was found empty one morning of everything—bodies and all. The thieves were never found, and as to why they'd take the bodies with their loot, well, we'd all prefer not to think of it.\n\nThe Sanguine Barrows have seen more than their share of villainy and conflict throughout the years, and earned their name many times over. I sincerely hope that no more tales of violence or robbery shall need to be added to this record, and that the nobles still buried there may rest peacefully for ages to come.","장로 Sathyr Longleat 저\n\n생귄 무덤(Sanguine Barrows)으로 알려진 웨스트 마크 무어 (Westmark Moor)의 무덤은 역사를 보면 지역 주민들 사이에서 평판이 좋지 않다는 사실을 알 수 있다. 리븐스파이어의 귀족(The nobles of Rivenspire)들은 오늘 날 그들의 부패, 분쟁, 약탈 등을 목격 한 몇백 년 간의 더러움을 이 울퉁불퉁한 썩은 나무 밑에 묻었다. \n\n많은 유명한 북부 귀족들은 도렐, 탐리스, 몽클레어(Dorell, Tamrith, Montclair) 구성원들을 포함하여 웨스트 마크의 얼어붙은 묘지에 묻힌다. 그렇지만 이들 집 가운데 태어난 숀헬름(Shornhelm)의 왕과 왕비들은 휴식처가 되지못한다. 대신에 그들은 오래된 전통에 따른 하이록(High Rock)의 캐스 배드라우드(Cath Bedraud) 대 묘지에 묻히도록 운송된다.\n\n이들 구성원들과의 불화가 생기는 것은 생귄 무덤에서는 흔한 일이다. Mid Year of 2E 551에 일어난 사건으로 매장지에는 불행한 이름이 붙여졌다. 내가 기억하기로는 Tamrith와 Montclair의 가문이 같은 날에 가족을 잃었다. 그 가문들의 주장에 의하면 묘지가 서로 접해있었고, 이는 몇년간의 다툼의 씨가 되었다. 같은 두 장례의 행렬이 똑같은 날에 똑같은 언덕에 똑같은 식(명당이자, 강이 훤히 보이는)에 있다면 분쟁과 다툼은 불가피할 것이다.\n\n이 가문들은 몇시간 동안 싸움을 벌여왔고 문서와 직함, 위치등을 공식적으로 주장하였지만 이들 가문 누구든 이 중에서 물러설거라고는  확신할 수는 없었다. 해가 저물어오자 인내심이 바닥이 났다. Montclairs와 Tamriths 가문들은 서로를 비난하였고, 놀랍지 않게도 이들 가문의 유산은 이러한 모욕과 Bloody Funeral (이후에 이렇게 불리우게된)에 뒤따른 오점이 Rivenspire의 목격자들의 눈에 남아 있었다.\n\n약탈과 신성모독은 생귄 무덤에 있어서도 흔한 일이다. 다만 그들을 체포할 책임은 Hoarfrost Downs의 순찰대에게 있지만, 돈의 유혹은 때때로 보호받는 자가 범죄자로 변하기도 하고 적어도 무덤으로 보낼 정도로 충분하다. 몇번이고 숀헬름의 왕과 왕비는 이러한 행동에 대한 본보기를 주기 위해 교수형을 명령했다.\n\n이런 냉혹한 결과에도 불구하고 새로운 도굴이나, 약탈은 귀족들의 무덤을 따라다녔다. 몇년 밖에 안된 사실은 지하실에 있는 모든 시체가 약탈 당했을 때에는 Tamriths 가문은 심하게 분하였다. 도둑은 찾지 못했다. 왜 그들이 자신들의 전리품으로 시체를 가져가는지 우리는 생각을 하지 않으려 했다.\n\n생귄 무덤은 수년간에 걸쳐 그들의 더러움과 갈등을 목격했고, 그들의 이름을 여러번 몇년간 불려졌다. 나는 더 이상 폭력이나 강도 사건에 대한 이야기가 기록에 쓰여지지 않길 바라며, 또한 그곳에 묻혀있는 귀족들이 오랜 세월 동안 편안히 쉴 수 있도록 간절히 바라는 바이다."
"51188213-0-35","The Remnant of Light","빛의 파편"
"51188213-0-36","The Horse-Folk of Silverhoof","은발굽 (Silverhoof)의 기마 부족"
