"Location","Source","Target"
"21337012-0-4347","Every library holds musty old tales\nCarried through rain and snow\nBut a Nord skald gladly regales\nWhat the poets all sang long ago\n\nEvery book has its title and name\nBut its pages soon turn to dust\nA poem we sing will live on in fame\nFrom a history all of us trust\n\nOld tales come down from long ago\nWith inflection and meter and verse\nSoon the skald's audience will hap'ly know\n""Yes, this life could be worse.""\n\nAnd the kings know that truth,\nIs better than sword and shield\nTaught from their distant youth\nSkald Kings have wisdom to wield\n\nSo welcome me as a friend\nFor the poems I sing tonight\nWill last for nights without end\nFrom first mead to dawn's early light!","모든 저장소에는 곰팡이내나는 옛 이야기를 지니고 있다네.\n그건 비와 눈 속에서 옮겨진 것이리라.\n하지만노르드 음유시인은 기꺼이 사람들을 환대하네.\n그것은 아득히 먼 옛날, 시인들에게 널리 불려진 이야기.\n\n모든 책에는 제목과 화제가 있다네.\n하지만 그 페이지는 금방 먼지가 되어버리네.\n우리들이 읊는 시는 명예와 함께 살아가는 것.\n우리들 모두가 믿고 있는 시대로부터.\n\n옛 이야기는 아득히 먼 예전부터 전해져 왔다네.\n억양과 박자를 시와 노래가 함께\n음유시인의 관객들은 예기치 않게 알게 된다네.\n\\\\\"\\\\\"그렇군, 내 인생은 썩 나쁘지만은 않지\\\\\"\\\\\"\n\n그리고 왕들은 진실을 알게 되네.\n검과 방패보다도 가치가 있는 것을.\n지나가버린 젊음의 나날로부터 알게 된다네.\n음유시인 왕에게는 그것을 행사할 수 있는 지혜가 있다네.\n\n잘왔네 벗이여.\n오늘 밤 읊을 시를 위해.\n끝 없는 밤을 보내 보세.\n벌꿀주의 건배로부터 아침 해가 뜰 때까지!"
"21337012-0-4346","There's a reason I was kicked out of Daggerfall, chased out of Elden Root, and banned from Mournhold. I've tried every variety of intoxicant, wine, ale, and Argonian swill this world has to offer. I've sampled skooma with Khajiit, licked an Argonian Hist Tree, and hunted ""magical"" toads with the Bosmer.\n\nNone of that compares to Nord mead. There's nothing like it.\n\nThe purest stuff is made in Nord villages, but we're at war with the Nords, and a Breton has no guarantee of surviving a trip like that. Leave that sort of thing to the professionals. There is still hope, however. If you're ever at a tavern, and there's a cask of Nord mead, you'd be a fool to pass it up.\n\nMead is made by fermenting honey and water (though a few recipes call for molasses). Sometimes, you add grain mash and strain it, but that isn't necessary. Some of the High Elves call it ""honey wine,"" but mead needs more than good honey. Every meadery has its own recipes. After you drink enough mead, you learn the names of the brewmasters who create them. A drunk Nord will gladly punch another in the face over the honor of a good brewmaster. Then again, a drunk Nord will punch anyone for just about anything.\n\nEvery brewmaster has a distinct blend of spices, fruit, and sometimes hops (which makes a mead bitter, which makes some Nords bitter, too). I've even heard tales of mead mixed with the blood of heroes, allegedly granting them the words of a poet or skald. I'd like a mead named after me, but I'm not going to bleed for it.\n\nAn Altmer once told me that brewing is the basis of all culture. It's why our ancestors started farming and forming cities. It's what we do when we've got too much wheat and barley and hops and we're sick of farming. The culture of drinking seems to be what keeps Nords together.\n\nNords must be really sick of farming, because they brew and drink prodigious amounts of mead. Whenever a cask of really good mead is opened, Nords gather round because they know that cask won't last long. But if you don't know how to behave in the Nord drinking culture, you'll end up broke, broken, hungover, and helpless. I found out the hard way.\n\nNords love to drink. But more than that. Nords respect those who can endure adversity. I know that sounds flowery for explaining why two drunk Nords would have a ""hit-me-hard-in-the-face"" contest, but really, that's why their culture celebrates getting drunk.\n\nA Nord can gain respect by consuming more mead than anyone else, just as he's respected for surviving a blizzard or killing a bear with a sharp stick. ""Nord honor"" is something they talk about endlessly when they're drunk, and even more when they're sober. So the first thing you learn about Nords is if you want their respect, never turn down a drink. It's a test. If you can't handle that next drink, leave. Otherwise you'll wake up somewhere they find hilarious, but you won't be laughing.\n\nNords also love their skalds. Songs and stories go over well with a drunk audience, once they've had enough of brawling, boasting, and throwing axes at each other. Their songs are all about how they're better than everyone else at everything. They've all heard these over and over again, so bring some of your own. They're desperate to hear something new.\n\nAnywhere you go, drinking is also a good way to redress a mistake or make an apology, and it's the same with Nords. If you lose a contest, you need to buy a drink. If you make a mistake or offend someone, you need to buy a drink. If you're insulted, stand there and take it, then you need to buy a drink.\n\nYou don't have to be the best brawler around to survive a room full of drunken Nords. You can also impress them by being clever or by being talented, but you better be really good. When it's time to take a punch in the face, you better be ready for a punch in the face. If you don't like getting punched, there are some things you should never talk about, like politics, who's the best brewmaster, and who punches the hardest. And never demand to know why someone just punched you in the face.\n\nIf you want to hear more, buy me a drink the next time I'm in Daggerfall. I'll tell you a story.","대거폴에서 쫓겨나고, 엘덴 루트에서 쫓겨나고, 모운홀드에서 추방된 것은 이유가 있다. 나는 이 세계에 있는 한 피할 수 없는, 사람을 취하게 하는 모든 것, 와인, 예일, 그리고 아르고니안 맥주를 시험해 왔다. 카짓의 스쿠마를 시음하며 아르고니안 히스트의 나무를 핥고 보스머의 마법 두꺼비를 사냥하기도 했다.\n\n모두 노르드의 벌꿀술과는 비교가 안 된다. 벌꿀술과 같은 것은 존재하지 않는다.\n\n이 세계에서 가장 순수한 술은 노르드 마을에서 만들어진다. 그러나 지금은 노르드와 전쟁 중이다. 게다가 브레튼이 살아서 거기에 닿는다는 보증도 없다. 그런 일은 전문가에게 맡겨야 한다. 하지만 아직 희망은 남아있다. 만약 술집에 갔을 때, 거기에 노르드 벌꿀술이 놓여 있다면 그것을 마시지 않을 방법이 없다.\n\n벌꿀술은 발효된 꿀과 물로 만들어진다(당밀을 사용하는 주조법도 몇 개 있다). 때로는 갈은 곡식을 넣어 맛을 내기도 하지만 꼭 필요한 것은 아니다. 일부 하이 엘프는 이것을 \"\"벌꿀 와인\"\"이라고 부르고 있다. 어쨌든 벌꿀술에는 매우 양질의 꿀이 필요하다. 각각의 벌꿀술 양조장에는 독자적인 주조법이 있다. 벌꿀술을 많이 마시면 양조가의 이름을 자연스럽게 외우게 된다. 술에 취한 노르드는 훌륭한 양조가의 명예를 위해서라면 다른 노르드의 얼굴을 두들겨 패기도 한다. 하지만 만취한 노르드라면 무엇인가 이유를 붙여 누구라도 두들겨 팰지도 모른다.\n\n모든 양조가가 스스로 조합한 향신료와 과일, 그리고 때론 홉(이것이 벌꿀술에 쓴맛을 내 일부 노르드의 혀를 자극시킨다)을 갖고 있다. 시인이나 음유시인이 전하는 바에 따르면 영웅의 피를 섞은 벌꿀술도 있다고 한다. 내 이름을 딴 벌꿀술도 좋겠지만, 그것 때문에 피를 흘리진 않을 것이다.\n\n한 알트머로부터 양조는 모든 문화의 근간을 이루고 있다는 말을 들었다. 그래서 우리 조상들은 농사를 짓고 도시를 만들었다. 그리고 밀과 홉이 너무 많아 농사에 지치면 양조를 한다. 아무래도 술 마시는 문화가 노르드를 하나로 묶는 것 같다.\n\n노르드는 정말 농사에 진절머리가 나는 것 같다. 왜냐하면 그들은 놀랄만한 벌꿀술을 만들어 먹고 있기 때문이다. 훌륭한 벌꿀술 통이 열리면 노르드는 그 통이 곧 비게 될 것이라는 것을 알기 때문에 그 주변에 모인다. 그러나 만약 노르드의 술꾼 문화의 관습을 모르면 마지막에는 술에 취해 의식을 잃고 숙취해 움직일 수 없게 될 것이다. 나는 그 관례를 어렵게 몸에 익힌 것이다.\n\n노르드는 마시는 것을 좋아한다. 하지만 그뿐만이 아니다. 노르드는 고난을 극복할 수 있는 사람들을 존경한다. 왜 두 노르드가 \"\"얼굴을 냅다 때리기\"\" 경쟁을 하는지 설명하기엔 너무 복잡할지도 모르지만 그 정도로 그들의 문화에서는 취하는 것을 찬양하는 것이다.\n\n눈보라 속에서 살아나거나 날카로운 막대기로 곰을 물리쳤을 때와 마찬가지로 노르드는 벌꿀술을 누구보다 많이 마셔야 존경을 받을 수 있다. 그들은 술에 취하면 노르드의 명예에 대해 끝없이 얘기하지만, 차라리 취하지 않을 때보다는 낫다. 즉 노르드에 대해 가장 먼저 알아야 할 것은 그들로부터 존경을 받고 싶다면 술을 거절하지 말아야 한다는 것이다. 이것은 시험인 것이다. 다음 술을 못 마시면 그 자리에서 떠나야 한다. 그렇지 않으면 매우 유쾌한 장소에서 눈을 뜨게 될 것이다, 그러나 당사자는 분명 웃을 수 없을 것이다.\n\n노르드는 음유시인도 사랑한다. 난투와 자랑이 절정에 달해 도끼를 던지기 시작하면 노래와 이야기를 배경으로 관객은 크게 흥을 돋운다. 그들의 노래는 그들이 얼마나 남보다 나은지를 말해주는 것이다. 그들은 그것을 몇 번이나 들었으니 자신이 아는 이야기를 들려 주어라. 그들은 새로운 이야기를 듣고 싶어 한다.\n\n어디에 있더라도 술은 잘못을 고치고 사과할 때의 좋은 수단이 된다. 그리고 그것은 노르드에게도 마찬가지다. 경쟁에서 패하면 술을 사야 한다. 실패하거나 누군가를 화나게 하면 술을 사야 한다. 굴욕을 당하고도 멍하니 서 있을 수밖에 없다면 술을 사야 한다.\n\n만취한 노르드 투성이의 방을 빠져나가려면 반드시 팔뚝이 센 사람이 될 필요는 없다. 그들의 마음을 움직이고 싶다면 말을 잘하거나 머리를 움직이면 된다. 하지만 그러기 위해서는 상당한 재능이 필요하다. 얼굴을 맞을 때가 된다면 순순히 준비를 하는 것이 좋을 것이다. 맞기 싫다면 정치나 최고의 양조가, 또 누가 제일 때릴 힘이 있는지 등은 절대 화제로 삼지 말아야 한다. 그리고 맞은 이유를 결코 물어서는 안된다.\n\n더 자세히 알고 싶으면, 대거폴에서 이번에 나에게 술 한 잔 사 줘라. 더 이야기해 주겠다."
"21337012-0-4345","When I was a lad, I stood at the eastern edge of Skyrim and looked upon Morrowind. From Stendarr's Beacon, I could see the Red Mountain of Vvardenfell, but I never ventured there. Like many Nords, I was content to leave foreign lands to the foreigners.\n\nA scant ten years ago in 2E 572, my father took a different path. He fought with our Dunmeri allies to repel the Second Akaviri invasion. As a soldier of Skyrim, he was there when the Nords pursued the invaders into Stonefalls. He told me of an army on the brink of ruin, marching ever further into foreign territory, hungry and nearly broken, until the Dunmer brought in Argonian troops to aid the Nords.\n\nNo one expected this. I still cannot believe it. The Dunmer once held the Argonians as slaves, yet on that day, the Argonians' arrival changed the course of history. From the jungles they came, adorned with blood and mud. Akaviri fell beneath their claws, as well as the swords and spells of their Nord and Dunmeri allies. An alliance was forged that day and has never faltered since.\n\nAgreements were signed in Ebonheart, but these were formalities compared to the ties made on the battlefield. Our alliance was forged in the fires of adversity, a shield to protect us from all invaders. Our cultures differ, but our aims bind us.\n\nA few years ago, the Dunmeri Tribunal called for more troops from our alliance, insisting that we take up arms against a new enemy: an Empire growing in Cyrodiil. Our enemies in the Covenant and Dominion  also sent troops to liberate this territory.\n\nAnd now? War rages across Tamriel. Khajiit and Bosmer war against Dunmer and Argonians. Altmer strike against Skyrim. And from High Rock, the Daggerfall Covenant attacks us all.\n\nIn the midst of such chaos, what choice do we have? Our alliance with the Dunmer and Argonians has stood for a decade. I have fought beside our allies in battle. And when I return home, I tell my children proud tales of victory over our foes, fighting with Dunmer and Argonians beside me.\n\nThe Pact never ceases to surprise me. I have spoken at great length with Argonian mystics, marveling at their view of the world. I have walked into the caves of Dunmeri priests, staring at shadows as they tell me tales of their gods.\n\nAnd someday, we will walk together into the heart of Cyrodiil—Dunmer, Argonians, and Nords. We will triumph under the banner of our Pact, steadfast allies who can never be defeated.","내가 아직 젊었을 때 나는 스카이림 동쪽 끝에 서서 모로윈드를 바라보고 있었다. 스텐다르의 등대에서는 바덴펠의 레드 마운틴이 보였다. 하지만 거기에 간 적은 한번도 없었다. 다른 수많은 노르드들과 마찬가지로 나도  외국 땅은 외국인들에게 맡기는 것에 만족했다.\n\n약 10년 전의 제2시대 572년 내 아버지는 다른 길을 선택했다. 제2차 아카비리의 침공에 저항하기 위해 아버지는 동맹을 맺었던 던머와 함께 싸웠다. 노르드가 침략자를 쫓아가 스톤폴에 들어갔을 때 아버지도 스카이림 병사로 그곳에 있었다. 아버지께 들은 이야기지만 외국 영토로 깊숙히 진군하던 군대는 기아상태에서 이미 괴멸상태였지만 던머가 노르드를 위해 아르고니안 병사들을 데려와 준 덕분에 군대는 기력을 되찾았다고 한다.\n\n이는 아무도 예상하지 못했다. 지금 생각해도 참 놀라운 일이다. 던머는 일찍이 아르고니안을 노예로 만들었지만 그때 아르고니안이 와준 덕분에 역사가 바뀐 것이다. 밀림에서 나타난 이들은 피와 진흙으로 얼룩져 있었다. 아카비리는 이들의 손톱 앞에 패했고 그 동료 노르드와 던머의 검과 마법에 의해 쓰러졌다. 그때 동맹이 맺어졌고 그 이후 그 관계는 한 번도 흔들리지 않았다.\n\n협정은 에본하트에서 체결되었다. 하지만 전장에서 쌓아올린 유대와 비교하면, 이것은 표면적인 것에 지나지 않았다. 역경의 불꽃으로 단조된 이 동맹은 우리를 모든 침입자로부터 방어하기 위한 방패가 됐다. 각 문화는 다르지만 그 목적이 우리를 하나로 묶고 있는 것이다.\n\n몇 년 전 던머 트리뷰날에서 동맹에게 보내는 병력 지원 요청이 있었다. 시로딜에서 두각을 나타내고 있는 우리의 새로운 적, 제국과 싸우기 위해서다. 동맹과 자치령에 있는 우리의 적도 이 땅을 해방시키기 위해 군대를 보냈다.\n\n그리고 지금은 어떻게 되었나? 탐리엘 전역으로 전쟁이 번진 것이다. 카짓과 보스머는 던머와 아르고니안과 싸우고 있다. 알트머는 스카이림을 공격하고 있다. 그리고 하이 록으로부터 대거폴 동맹군이 우리에게 공격을 걸어 오고 있다.\n\n이 혼돈 속에서 우리에게는 어떤 선택지가 남아 있을까? 던머 아르고니안과의 동맹은 10년 동안 계속되고 있다. 나는 동료들과 함께 싸우고 있다. 그리고 집에 돌아가면 아이들에게 던머, 아르고니안과 함께 승리한 자랑스러운 승리 이야기를 한다.\n\n조약이 영원히 계속된다고 해서 놀랄 일은 아니다. 나는 오래전부터 아르고니안 마법사들과 이야기를 나누며 그 세계관에 놀라고 있다. 던머의 사제 동굴에 가면 어둠을 보는 동안 그들은 신들의 이야기를 들려준다.\n\n언젠가 던머와 아르고니안과 노르드가 함께 시로딜의 중심부로 가는 날이 올 것이다. 우리는 무적의 확고한 동맹, 조약의 깃발 아래에서 승리를 거두는 것이다."
"21337012-0-4344","Loremasters hear tales of heroes who claim to have traveled to Sovngarde and back, but their truth is uncertain. The greatest warriors stride the road to Sovngarde upon their deaths, but if the living can walk there and return, it has not yet been shown.\n\nYet loremasters know this: Sovngarde exists. So our gods promise, so we believe. Sovngarde lies in the heart of Aetherius, awaiting the souls of departed warriors. Nords who prove themselves in battle awaken in the realm after death. Pain and illness vanish within the Hall of Valor. Revelry is never-ending, mead flows freely, and the greatest Nords of all time compete in tests of strength and prowess. \n\nSpirits trapped in this world know torment, emptiness, and endless suffering, obsessing over lost battles, fallen kingdoms, and unresolved lives. Not so in Sovngarde! Even the tedium of immortality is unknown, for spectral foes wait in the surrounding shadows, waiting to do battle with those who would test their mettle.\n\nShor created the realm of Sovngarde with his clever magic long ago, but the trickster god has faded from our world. Others have attempted to part the veil of his deceit, practicing forsaken arts and seeking hidden paths into the afterlife. All such attempts end in tragedy. None can out-trick the trickster. For all we know, Shor retreated to that realm and laughs at all who would outwit him. He may even rule the realm, choosing heroes to honor according to his whims.\n\nAll this is speculation. Only those who are worthy know the truth, and they speak no more to the living. Through all the suffering and adversity in this world, true Nord warriors endure, for Sovngarde awaits.","로어마스터들은 소븐가르드에 가서 돌아왔다고 주장하는 영웅들의 이야기를 안다. 하지만 진실은 확실치 않다. 위대한 전사들은 목숨을 잃음으로써 소븐가르드를 향해 발걸음을 내딛게 된다, 만약 목숨이 있는 자가 그곳에 가서 다시 돌아올 수 있었다면 전대미문의 일이다.\n\n하지만 로어마스터들은 소븐가르드가 존재하고 있는 것은 알고 있다. 우리는 우리 신이 그걸 뒷받침한다고 믿는다. 소븐가르드는 에셀리우스의 중심에 있어, 사망한 전사들의 영혼이 도달하기를 기다리고 있다. 명예로운 전사 노르드는 죽은 뒤 이 땅에서 눈을 뜬다. 용기의 복도 사이에서는 통증도 병도 사라진다. 파티는 끝없이 이어지고 벌꿀술이 무한히 흐르고 역사상 가장 위대한 노르드들이 힘과 용기를 비교한다.\n\n이 세상에 갇힌 영혼은 패전과 왕국의 몰락, 그리고 목적을 잃은 사람들을 따라다니며 고통과 공허, 그리고 끝없는 고통을 안다. 하지만 소븐가르드에서는 그것이 없는 것이다! 불사의 지루함이라는 것도 느끼지 못하고, 유령들은 거기 그림자에 숨어 기량을 시험할 수 있는 상대를 기다리고 있다.\n\n쇼어는 아주 오래전에 그 멋진 마법으로 소븐가르드의 영역을 만들었다. 하지만 이 사기꾼 신은 우리의 세계에서 자취를 감췄다. 다른 신들은 그의 기만의 베일을 벗기기 위해 버려진 힘을 이용해 이 내세의 세계로 뻗은 길을 찾으려 했다. 하지만 그 시도는 모두 비극으로 끝났다. 누구도 이 사기꾼을 빼낼 수 없었던 것이다. 전설에 의하면, 쇼어는 이 영역에 틀어박혀 그를 앞서려고 한 사람을 비웃고 있다고 여겨진다. 그는 이 세상의 지배자이기도 한 듯 그의 마음 내키는 대로 영웅을 뽑아내 영예를 주고 있다.\n\n이것은 모두 억측일 뿐이다. 존경할 만한 자만이 진실을 알 수 있다. 그리고 그들은 산 자에게는 입을 다문다. 이 세상의 온갖 고통과 불행을 이겨낸 진짜 노르드 전사만이 소븐가르드로 갈 수 있는 것이다."
"21337012-0-4349","With the Circle of Captains' decree that each ship's crew should go forth of its own accord, making its own legend, the crew of the Fallowfire rejoiced. They yearned to bring the fear of Men to new lands of the Mer that had not yet been put to the sword. They took to heart their Lord Ysgramor's words to ""Give no quarter. Show no kindness.""\n\nA pyre upon the shore was raised for the Fallowfire. The ashes of their beloved vessel fell upon the waters and drifted toward Atmora, cutting all ties with their homeland. Led by Captain Gurilda Sharktooth, the crew of the Fallowfire turned their backs to the sea and strode inland.\n\nSouth they traveled, seeking lands untrammeled by others of Ysgramor's crews. South and south they went, sowing the blood vengeance demanded by Ysgramor. No Mer escaped their axes once seen, no settlement remained unburnt in their path. Truly the Fallowfires brought their lord's wrath to bear upon the treacherous Elves. As they journeyed, so the terror of them grew among the Mer.\n\nGurilda led her crew to the foothills of a lofty range of mountains. These they named Ysgramor's Teeth and long they sought a pass through them. When finally a way was found, the crew crossed over and into a new land. ""The Rift"" they called this region, for it was riven by deep canyons and swift-flowing rivers. In the name of Fallowfire, their lost Companions, and Yngol, they scoured the land, burning Mer villages and putting all they encountered to the axe.\n\nFinally, the Mer offered battle. The cowardly Elves gathered in great numbers high atop a rocky hill, daring Gurilda's Companions to attack. And so they did. Challenges were offered, brave deeds were done, and heroes made. Battle raged through the day and as the sun touched the peaks of the western mountains, the Mer broke and fled. Gurilda lay dying, pierced by a multitude of weapons, but lived until sunset. Her spirit ascended to Sovngarde knowing her crew was victorious.\n\nThat day, the dominion of Elves over the Rift was ended. The Companions claimed the land in the name of Ysgramor, Harbinger of us all, and made it free to all Nords. To honor their dead, the Companions labored long, delving into the hillside to craft a tomb. Gurilda was buried there, with all her weapons and armor. There too were placed the remains of Bergitte the Toothless and Kajord Eagle-Eye, laid alongside Gurilda as they had fallen in battle, defending their captain. Others of the honored dead were entombed as well. A mighty cairn of stone was erected around the tomb entrance, to forever mark the grave.\n\nVikord One-Ear, long Gurilda's first mate but now captain, gazed long upon the hills rising about them and the valleys at their feet. This was a land he could love, where his people could prosper and grow. He decreed the crew's wandering at an end and caused a great hall to be built on the battle site. Thus was Fallowstone Hall created, in homage to the ship that carried them to these shores. From this time, the days of the Companions of the Rift are counted. Never may their glory fade!","Fallowfire의 선원들은 각 배들은 각자 스스로 앞으로 나아가 자신들의 전설을 만들어야한다는 선장의 명령에 기뻐했다. 그들은 아직 칼이 꽂히지 않은 엘프의 새로운 땅에 인간의 두려움을 가져오기를 갈망했다. 그들은 로드 이스그라모르의 “양보를하지말라, 친절을 보이지말라.”라는 말을 마음에 새겼다.\n\n해변에 있는 불이 Fallowfire를 위해 올려졌다. 그들의 아끼는 배의 재는 물에 떨어지고 아트모라, 그들의 고향과 연결된 끈을 모두 끊었다. 선장 구릴다 샤크투스가 이끄는 Fallowfire의 대원들은 바다를 향해 등을 돌리고 내륙으로 성큼성큼 걸어갔다.\n\n남쪽, 그들은 이스그래모르의 다른 선원들에게 gnpthes되지 않은 땅을 찾아다녔다. 이스그래모르에게 요구되는 피의 복수를 뿌리며 남쪽 그리고 남쪽으로 그들은 갔다. 그들의 도끼들을 한번 보면 어느 엘프도 도망치지 못했고, 정말로 Fallowfire는 그들의 영주의 노여움을 신뢰할 수 없는 엘프들에게 안겨주었다. 그들이 여행을 하면서, 그들에 대한 공포는 머들 사이에서 커져만 갔다.\n\n구릴다는 대원들을 이끌고 높은 산맥의 기슭으로 향했다. 그들이 이스그래모르의 이빨이라고 이름지은 그 산들을 지나갈 방법을 그들은 오랫동안 찾았다. 마침내 방법을 찾았을 때, 선원들은 그 산을 지나 새로운 땅으로 들어갔다. 그들은 이 지역을 깊은 협곡과 빠르게 흐르는 강으로 갈라졌기 때문에 “균열”이라고 불렀다. Fallowfire의 이름, 그들의 잃어버린 영웅들 그리고 인골의 이름아래 그들은 땅을 샅샅이 뒤지고 엘프의 마을들을 불태우고 마주친 모든 것들에 도끼를 마주쳤다.\n\n마침내 머들은 전투를 제의했다. 겁많은 엘프들은 바위언덕 꼭대기에 엄청나게 모여 구릴다의 동료들을 대담하게 공격려했고 또 그렇게 했다. 도전들이 이어졌으며, 용감한 일들이 벌어졌으며, 영웅들이 만들어졌다. 전투는 하루종일 격렬하였고 태양이 서쪽 산봉우리에 닿자 머들은 패했고 도망쳤다. 구릴다는 수많은 무기들에 꽂혀 죽어가고있었지만 해가 질때까지 살아있었다. 그녀의 영혼은 그녀의 선원들이 승리를 가진 것을 알고 손븐가드로 올라갔다.\n\n그날, 균열에 대한 엘프드르이 지배는 끝이 났다. 동지들은 우리 모두의 전령인 이스그래모르의 이름으로 땅을 얻었고, 모든 노르드를 위해 자유롭게 하였다. 그들의 죽음을 기리기위해 동지들은 무덤을 만들기 위해 산비탈을 파고들어가며 오랫동안 일을 했다. 구릴다는 무기와 갑옷을 모두 갖추고 그곳에 묻혔다. 또한 베르기테 투스리스와 카조드 이글아이의 유해가 놓여있었는데 그들은 전투에서 쓰러졌을 때처럼 구릴다와 나란히 누워 그들의 선장을 지켰다. 다른 명예로운 전사자들 또한 무덤에 눕혀졌다. 무덤 입구 주변에 거대한 돌덩어리가 세워져 영원히 무덤을 표시했다.\n\n오랫동안 구릴다의 1등 항해사였던 비코드 원-이어가 지금은 선장이 되어 그들의 주위에 솟아있는 언덕들과 그들의 발치에 있는 계곡들을 오랫동안 응시하고 있었다. 이곳은 그가 사랑할 수 있는 그의 민족이 번영하고 성장할 수 있는 땅이었다. 그는 선원들의 방황을 끝내고 전투지에 거대한 홀을 짓게 하였다. 그래서 Fallowstone Hall은 그들을 이 해안으로 운반한 배에 경의를 표하기 위해 만들어졌다. 이 때부터 균열의 동지들의 날들이 꼽아진다. 그들의 영광은 결코 사라지지 않을 것이다."
"21337012-0-4348","At last Sinmur was brought to bay. Ysgramor, Harbinger of us all, boldly led the remaining Companions into the final battle. Many a brave Companion had already fallen to the giants. Stalwart Valdur and Sly Hakra, long may their spirits be honored, fell assaulting the wily half-giant. Many others now trod the blessed pathways to Sovngarde. With all his kin slain, only Sinmur still defied the greatest among us.\n\nThe axe Wuuthrad, dripping with the gore of a hundred dead giants, gleamed in the darkness of Sinmur's barrow. Ysgramor strode forward, halting his followers with a gesture. With another he dared Sinmur to face him in mortal combat. The giant-kin proved willing, roaring his defiance and leaping to battle. His massive, iron-bound club swung forward to crush. Our Lord Ysgramor stepped aside and the club shattered the stone a pace from his side. Wuuthrad sang a blood song as it chopped into the club, breaking it asunder as if made from straw.\n\nSinmur howled his rage and hurled the stub of his once-fearsome weapon at Our Lord Ysgramor's head. He grappled Ysgramor, seeking to squeeze life away. A roar of laughter was the answer the monster received. Ysgramor's forehead and knee delivered two mighty blows. Sinmur screeched and fell to his knees before our lord.\n\nA song of death and delight keened from Wuuthrad as Ysgramor buried it deep in the giant-kin's skull. A splatter of gore and a death rattle came from Sinmur as Ysgramor gave a victory yell. The Companions cheered mightily as Wuuthrad waved overhead. The depredations of the giant and his vile kin were at last ended. And the legend of Ysgramor, Harbinger of us all, grew mightily that day.","마침내 신머는 궁지에 몰렸다. 이스그래머, 모두의 대변인은 대담하게 남은 동료들을 마지막 전투로 이끌었다. 많은 동료들은 이미 거인들에 의해 쓰러졌다. 충직한 발더와 교활한 하크라는, 오래도록 그들의 영혼은 명예로울지어다, 교활한 반 거인을 공격하다 쓰러졌다. 다른 많은 이들이 소븐가르드를 향한 충복받은 길을 걸었다. 모든 친족들이 살해당하고, 신머만이 우리중 가장 위대한자에 대항하고 있었다.\n\n수백의 거인들의 응혈이 떨어지고 있는 도끼 우쓰라드가 신머의 고분의 어둠속에서 어슴푸레 빛났다. 이스그래머는 다른 동료들을 손짓으로 멈추고 앞으로 성큼 걸어나갔다. 그는 다시 신머가 그와 사투를 벌이도록 모험을 한것이다. 거인족은 기대대로 대항의 뜻을 그르릉거림과 함께 전투로 뛰어들었다. 그의 커다란, 연철로 둘러싼 몽둥이가 박살낼 기세로 앞으로 휘둘러졌다. 우리의 영주 이스그래머는 옆으로 피했고 몽둥이는 그의 바로 옆의 돌을 부숴버렸다. 우쓰라드가 피의 노래를 부르며 몽둥이를 수수깡처럼 산산히 부수며 쪼개버렸다.\n\n신머는 분노로 소리지르며 한때 그의 공포스러운 무기였던 토막을 우리의 영주 이스그래머의 머리로 휘둘렀다. 그는 이스그래머를 붙잡았고, 생명을 쥐어 짜 버리려고 했다. 괴물은 우렁찬 웃음만 되돌려받았다. 이스그래머의 이마와 무릎이 두번의 거센 타격을 주었다. 신머는 꽥 비명을 지르며 우리의 영주 앞에 무릎꿇었다.\n\n이스그래머가 우쓰라드를 거인종의 두개골에 깊게 파묻을때에 우쓰라드로부터 죽음의 노래와 기쁨의 통곡이 나왔다. 이스그래머가 승리의 고함을 지를때 신머에게선 응혈이 후두둑 떨어지고 임종의 신음소리가 새어나왔다. 용병들은 우쓰라드를 머리위에서 흔들어댈때 같이 거세게 환호했다. 거인과 그 더러운 친족들에 대한 약탈이 마침내 끝났다. 그리고 이스그래머, 우리 모두를 대변하는자의 전설은 그날 크게 퍼졌다."
"51188213-0-4342","Touch of the Worm's Tongue","벌레의 혀의 손길"
"51188213-0-4343","Songs of the Return, Volume 5","귀환의 노래, 제 5권"
"51188213-0-4344","The Road to Sovngarde","소븐가르드로 가는 길"
"51188213-0-4345","Unexpected Allies","뜻밖의 동맹"
