"Location","Source","Target"
"219317028-0-704","<<1>>,\n\nYour deeds in this campaign deserve recognition—you were one of our most dependable warriors. Grand Warlord Sorcalin thanks you for your efforts and offers you 15,000 gold.\n\nFireluin,\nScribe to Grand Warlord Sorcalin","<<1>>,\n\nYour deeds in this campaign deserve recognition—you were one of our most dependable warriors. Grand Warlord Sorcalin thanks you for your efforts and offers you 15,000 gold.\n\nFireluin,\nScribe to Grand Warlord Sorcalin"
"219317028-0-705","<<1>>,\n\nYour deeds in this campaign deserve recognition—you were one of our most dependable warriors. Grand Warlord Zimmeron thanks you for your efforts and offers you 15,000 gold.\n\nDreet-Wulm,\nScribe to Grand Warlord Zimmeron","<<1>>,\n\n이번 전투에서 당신이 행한 행동은 인정받을 만 합니다. 귀하는 가장 믿을만한 전사 중 한 명입니다. 정예 전쟁 군주께서 당신의 노력에 감사 드리며 15,000 골드를 보냈습니다.\n\n정예 전쟁 군주 짐머론의 서기,\n드리트-휠름"
"219317028-0-706","<<1>>,\n\nYour deeds in this campaign deserve recognition—you were one of our most dependable warriors. Grand Warlord Dortene thanks you for your efforts and offers you 15,000 gold.\n\nGrulzul,\nScribe to Grand Warlord Dortene","<<1>>, \n\n이 캠페인의 행동은 인정받을 자격이 있습니다. 귀하는 가장 믿을만한 전사 중 한 명입니다. Grand Warlord Dortene이 (가) 당신의 노력에 감사 드리며 15,000 골드를 제공합니다. \n\n 장갑, \nThe Grand Warlord Dortene - G "
"219317028-0-700","<<1>>,\n\nThe Covenant did not win this campaign, but the Grand Warlord still felt your efforts deserved recognition. Accept 10,625 gold as your reward.\n\nGrulzul,\nScribe to Grand Warlord Dortene","<<1>>, \n\n 규약은이 캠페인에서 이기지 못했지만 대공로는 여전히 당신의 노력이 인정받을 자격이 있다고 느꼈습니다. 보상으로 10,625 골드를 수령하십시오. \n\n 장갑, \n 장군 대장에게 머리글을 쓰십시오 - G "
"219317028-0-701","<<1>>,\n\nThe Covenant lost this campaign, plain and simple. But your efforts deserve a reward anyway. Accept 4,750 gold from the Grand Warlord.\n\nGrulzul,\nScribe to Grand Warlord Dortene","<<1>>, \n\n언약은 평범하고 단순한이 캠페인을 잃어 버렸습니다. 그러나 당신의 노력은 어쨌든 보상을받을 자격이 있습니다. 대장군으로부터 4,750 골드를 수령합니다. \n\n장갑, \n검찰 수사원 대검 - G "
"219317028-0-702","<<1>>,\n\nThe Covenant lost this campaign, plain and simple. But your efforts deserve a reward anyway. Accept 5,500 gold from the Grand Warlord.\n\nGrulzul,\nScribe to Grand Warlord Dortene","<<1>>, \n\n언약은 평범하고 단순한이 캠페인을 잃어 버렸습니다. 그러나 당신의 노력은 어쨌든 보상을받을 자격이 있습니다. 대공군으로부터 5,500 골드를 수령합니다. \n\n장갑, \n검찰 수사원 대검 - G "
"219317028-0-703","<<1>>,\n\nThe Covenant lost this campaign, plain and simple. But your efforts deserve a reward anyway. Accept 6,250 gold from the Grand Warlord.\n\nGrulzul,\nScribe to Grand Warlord Dortene","<<1>>, \n\n 언약은 평범하고 단순한이 캠페인을 잃어 버렸습니다. 그러나 당신의 노력은 어쨌든 보상을받을 자격이 있습니다. 대장군으로부터 6,250 골드를 수령합니다. \n\n 장갑, \n 장군 대장에게 머리글을 쓰십시오 - G "
"219317028-0-719","<<1>>,\n\nWhile victory eluded the Dominion in this campaign, your efforts were noticed by the Grand Warlord. She has rewarded you with 950 gold for your efforts.\n\nFireluin,\nScribe to Grand Warlord Sorcalin","<<1>>, \n\n 승리가이 캠페인에서 도미노를 빠져 나가는 동안, 당신의 노력은 대공의 주목을 받았습니다. 그녀는 당신의 노력으로 당신에게 950 골드를 보답했습니다. \n\n 냉연, \n 대검 장군에게 고소 - G "
"219317028-0-715","<<1>>,\n\nYour efforts enabled the Dominion to emerge victorious in this campaign! Grand Warlord Sorcalin is grateful for your part in our triumph. You are hereby rewarded with 3,900 gold for your efforts.\n\nFireluin,\nScribe to Grand Warlord Sorcalin","<<1>>,\n\nYour efforts enabled the Dominion to emerge victorious in this campaign! Grand Warlord Sorcalin is grateful for your part in our triumph. You are hereby rewarded with 3,900 gold for your efforts.\n\nFireluin,\nScribe to Grand Warlord Sorcalin"
"219317028-0-716","<<1>>,\n\nWhile the Dominion did not win this campaign, your efforts on our behalf were appreciated! The Grand Warlord has rewarded you with 1,375 gold for your efforts.\n\nFireluin,\nScribe to Grand Warlord Sorcalin","<<1>>,\n\nWhile the Dominion did not win this campaign, your efforts on our behalf were appreciated! The Grand Warlord has rewarded you with 1,375 gold for your efforts.\n\nFireluin,\nScribe to Grand Warlord Sorcalin"
"219317028-0-717","<<1>>,\n\nWhile the Dominion did not win this campaign, your efforts on our behalf were appreciated! The Grand Warlord has rewarded you with 1,750 gold for your efforts.\n\nFireluin,\nScribe to Grand Warlord Sorcalin","<<1>>, \n\n 도미노미크가이 캠페인에서 승리하지 못했지만, 우리를 대신하여 귀하의 노력이 인정되었습니다! 대공군은 당신의 노력으로 당신에게 1,750 골드를 보냈습니다. \n\n 냉기, \n 대검 장군에게 고소 - G "
