"Location","Source","Target"
"242841733-0-77249","Sithis' Cuirass","Sithis: 흉갑"
"242841733-0-80410","Cuirass Of The Knightmare","The Knightmare: 흉갑"
"242841733-0-80893","Cuirass Of The Dreugh King Slayer","Cuirass Of The Dreugh King Slayer"
"242841733-0-55453","chest^n","chest"
"242841733-0-51098","Cuirass of Hist Bark","Cuirass of Hist Bark"
"242841733-0-56780","Cuirass of Kagrenac's Hope","Cuirass of Kagrenac's Hope"
"242841733-0-155752","Daring Corsair's Cuirass","Daring Corsair's Cuirass"
"242841733-0-163370","Spell Parasite's Cuirass","Spell Parasite's Cuirass"
"242841733-0-149073","Undertaker's Cuirass","Undertaker's Cuirass"
"242841733-0-46985","Cuirass of Night's Silence","Cuirass of Night's Silence"
"242841733-0-130453","Innate Axiom Cuirass","Innate Axiom Cuirass"
"242841733-0-89232","Cuirass of Truth","Cuirass of Truth"
"242841733-0-66111","Alessian Cuirass","Alessian Cuirass"
"242841733-0-157929","Grave Guardian's Cuirass","Grave Guardian's Cuirass"
"242841733-0-108522","Cuirass of the Dreugh King Slayer","Cuirass of the Dreugh King Slayer"
"242841733-0-127285","Ironblood Cuirass","Ironblood Cuirass"
"242841733-0-105010","Embershield Cuirass","Embershield Cuirass"
"242841733-0-121984","Cuirass of Daedric Trickery","Cuirass of Daedric Trickery"
"242841733-0-88384","Cuirass of Cyrodiil's Crest","Cuirass of Cyrodiil's Crest"
"242841733-0-71932","Cuirass of Tava's Favor","Cuirass of Tava's Favor"
"242841733-0-59824","Cuirass of the Eternal Yokeda","Cuirass of the Eternal Yokeda"
"242841733-0-143774","Might of the Lost Legion Cuirass","Might of the Lost Legion Cuirass"
"242841733-0-54115","Cuirass of Shalidor's Curse","Cuirass of Shalidor's Curse"
"242841733-0-75076","Cuirass of the Night Mother","Cuirass of the Night Mother"
"242841733-0-66118","Alessian Cuirass","Alessian Cuirass"
"242841733-0-47821","Cuirass of the Seducer","Cuirass of the Seducer"
"242841733-0-66125","Alessian Cuirass","Alessian Cuirass"
"242841733-0-68784","Cuirass of Permafrost","Permafrost: 흉갑"
"242841733-0-141122","Jailer's Cuirass","Jailer's Cuirass"
"242841733-0-107685","Knight-Errant's Cuirass","Knight-Errant's Cuirass"
"228378404-0-54874","This ancient cuirass was made for a Yokudan soldier of high rank.","This ancient cuirass was made for a Yokudan soldier of high rank."
"242841733-0-55479","cuirass^n","cuirass"
"242841733-0-56325","Magnus' Cuirass","Magnus' Cuirass"
"242841733-0-80873","Cuirass Of The Dreugh King Slayer","Dreugh King Slayer: 흉갑"
"242841733-0-76379","Pelinal's Cuirass","Pelinal's Cuirass"
"242841733-0-48704","Magnus' Cuirass","Magnus' Cuirass"
"242841733-0-89212","Cuirass of Truth","Cuirass of Truth"
"242841733-0-88364","Cuirass of Cyrodiil's Crest","Cuirass of Cyrodiil's Crest"
"242841733-0-89698","Cuirass of the Sergeant","Cuirass of the Sergeant"
"242841733-0-111703","Cuirass of Leeching","Cuirass of Leeching"
"242841733-0-129002","Curse of Doylemish Cuirass","Curse of Doylemish Cuirass"
"228378404-0-2539","This armor honors the one who brought Duchess Lakana's murderer to justice.","이 갑옷은 Lakana 공작부인을 살해한 살인범을 심판한 자를 기립니다."
"242841733-0-55468","Fulminating Chestplate","Fulminating Chestplate"
"242841733-0-59806","Cuirass of the Eternal Yokeda","Cuirass of the Eternal Yokeda"
"242841733-0-7317","House Dorell Cuirass of the Vampire's Cloak","House Dorell Cuirass of the Vampire's Cloak"
"242841733-0-111723","Cuirass of Leeching","Cuirass of Leeching"
"242841733-0-161181","Cuirass of Eternal Vigor","Cuirass of Eternal Vigor"
"242841733-0-53283","Cuirass of the Eyes of Mara","Cuirass of the Eyes of Mara"
"242841733-0-154891","Senchal Defender's Cuirass","Senchal Defender's Cuirass"
"242841733-0-99480","Cuirass of the Order of Diagna","Order of Diagna: 흉갑"
"242841733-0-47844","Cuirass of the Seducer","Cuirass of the Seducer"
"242841733-0-69613","Cuirass of Julianos","Cuirass of Julianos"
"242841733-0-46507","Cuirass of Death's Wind","Cuirass of Death's Wind"
