"Location","Source","Target"
"242841733-0-60805","Robe of the Armor Master","Robe of the Armor Master"
"242841733-0-162048","Roaring Opportunist's Jerkin","Roaring Opportunist's Jerkin"
"242841733-0-54127","Shirt of Shalidor's Curse","Shirt of Shalidor's Curse"
"242841733-0-56787","Robe of Kagrenac's Hope","Robe of Kagrenac's Hope"
"242841733-0-163377","Spell Parasite's Robe","Spell Parasite's Robe"
"242841733-0-122828","War Maiden's Robe","War Maiden's Robe"
"242841733-0-162043","Roaring Opportunist's Robe","Roaring Opportunist's Robe"
"242841733-0-54122","Robe of Shalidor's Curse","Robe of Shalidor's Curse"
"242841733-0-110843","Jerkin of the Worm Cult","Jerkin of the Worm Cult"
"242841733-0-66108","Jerkin of Almalexia's Mercy","Jerkin of Almalexia's Mercy"
"242841733-0-68769","Robe of Succession","Robe of Succession"
"242841733-0-76391","Pelinal's Jerkin","Pelinal's Jerkin"
"242841733-0-47833","Shirt of the Seducer","Shirt of the Seducer"
"242841733-0-47828","Robe of the Seducer","Robe of the Seducer"
"242841733-0-110838","Robe of the Worm Cult","Robe of the Worm Cult"
"242841733-0-68774","Jerkin of Succession","Jerkin of Succession"
"242841733-0-150060","False God's Jerkin","False God's Jerkin"
"242841733-0-122833","War Maiden's Jerkin","War Maiden's Jerkin"
"242841733-0-59821","Jerkin of the Infallible Aether","Jerkin of the Infallible Aether"
"242841733-0-59820","Robe of the Infallible Aether","Robe of the Infallible Aether"
"242841733-0-109852","Jerkin of the Noble Duelist","Jerkin of the Noble Duelist"
"242841733-0-104166","Robe of the Netch's Touch","Robe of the Netch's Touch"
"242841733-0-104171","Jerkin of the Netch's Touch","Jerkin of the Netch's Touch"
"242841733-0-122812","War Maiden's Jerkin","War Maiden: 조끼"
"242841733-0-78103","Galerion's Robe","Galerion's Robe"
"242841733-0-163382","Spell Parasite's Jerkin","Spell Parasite's Jerkin"
"242841733-0-90690","Jerkin of the Onslaught","Jerkin of the Onslaught"
"242841733-0-155764","Daring Corsair's Jerkin","Daring Corsair's Jerkin"
"242841733-0-60810","Jerkin of the Armor Master","Jerkin of the Armor Master"
"242841733-0-155759","Daring Corsair's Robe","Daring Corsair's Robe"
"242841733-0-90685","Robe of the Onslaught","Robe of the Onslaught"
"242841733-0-150076","False God's Robe","False God's Robe"
"242841733-0-101900","Prisoner's Jerkin","Prisoner: 수감자의 조끼"
"242841733-0-109868","Robe of the Noble Duelist","Robe of the Noble Duelist"
"242841733-0-143781","Might of the Lost Legion Robe","Might of the Lost Legion Robe"
"242841733-0-143786","Might of the Lost Legion Jerkin","Might of the Lost Legion Jerkin"
"242841733-0-54149","Robe of Shalidor's Curse","Robe of Shalidor's Curse"
"242841733-0-143746","Might of the Lost Legion Robe","Might of the Lost Legion Robe"
"242841733-0-122849","War Maiden's Robe","War Maiden's Robe"
"242841733-0-162022","Roaring Opportunist's Robe","Roaring Opportunist's Robe"
"242841733-0-110864","Jerkin of the Worm Cult","Jerkin of the Worm Cult"
"242841733-0-47851","Robe of the Seducer","Robe of the Seducer"
"242841733-0-47856","Shirt of the Seducer","Shirt of the Seducer"
"242841733-0-150039","False God's Jerkin","False God's Jerkin"
