"Location","Source","Target"
"242841733-0-56305","Jack of Vampire's Kiss","Jack of Vampire's Kiss"
"242841733-0-99037","Swamp Raider's Jack","Swamp Raider's Jack"
"242841733-0-98180","Jack of the Ranger","Jack of the Ranger"
"242841733-0-76394","Pelinal's Jack","Pelinal's Jack"
"242841733-0-68777","Jack of the Shield Breaker","Jack of the Shield Breaker"
"242841733-0-71939","Jack of Tava's Favor","Jack of Tava's Favor"
"242841733-0-69620","Jack of Julianos","Jack of Julianos"
"242841733-0-144620","Soldier of Anguish Jack","Soldier of Anguish Jack"
"242841733-0-137084","Relequen's Jack","Relequen's Jack"
"242841733-0-141595","Savage Werewolf's Jack","Savage Werewolf's Jack"
"242841733-0-60813","Jack of the Armor Master","Jack of the Armor Master"
"242841733-0-163385","Spell Parasite's Jack","Spell Parasite's Jack"
"242841733-0-53263","Jack of the Eyes of Mara","Jack of the Eyes of Mara"
"242841733-0-117486","Jack of the Shield Breaker","Jack of the Shield Breaker"
"242841733-0-51082","Jack of Hist Bark","Jack of Hist Bark"
"242841733-0-155767","Daring Corsair's Jack","Daring Corsair's Jack"
"242841733-0-46977","Jack of Night's Silence","Jack of Night's Silence"
"242841733-0-92866","Jack of the Shadow Walker","Jack of the Shadow Walker"
"242841733-0-142453","Dead-Water's Guile Jack","Dead-Water's Guile Jack"
"242841733-0-59831","Jack of the Vicious Ophidian","Jack of the Vicious Ophidian"
"242841733-0-129455","Plague Slinger Jack","Plague Slinger Jack"
"242841733-0-53298","Jack of the Eyes of Mara","Jack of the Eyes of Mara"
"242841733-0-121999","Jack of Daedric Trickery","Jack of Daedric Trickery"
"242841733-0-163350","Spell Parasite's Jack","Spell Parasite's Jack"
"242841733-0-99017","Swamp Raider's Jack","Swamp Raider's Jack"
"242841733-0-149051","Vastarie's Jack","Vastarie's Jack"
"242841733-0-98160","Jack of the Ranger","Jack of the Ranger"
"242841733-0-155732","Daring Corsair's Jack","Daring Corsair's Jack"
"242841733-0-157904","Aegis Caller's Jack","Aegis Caller's Jack"
"242841733-0-46519","Jack of Death's Wind","Jack of Death's Wind"
"242841733-0-130468","Innate Axiom Jack","Innate Axiom Jack"
"242841733-0-68755","Jack of the Shield Breaker","Jack of the Shield Breaker"
"242841733-0-107210","Hulking Draugr's Jack","Hulking Draugr's Jack"
"242841733-0-143754","Might of the Lost Legion Jack","Might of the Lost Legion Jack"
"242841733-0-144600","Soldier of Anguish Jack","Soldier of Anguish Jack"
"242841733-0-141575","Savage Werewolf's Jack","Savage Werewolf's Jack"
"242841733-0-78566","The Vicecanon's Jack","The Vicecanon's Jack"
"242841733-0-56795","Jack of Kagrenac's Hope","Jack of Kagrenac's Hope"
"242841733-0-128141","Blooddrinker Jack","Blooddrinker: 경갑"
"242841733-0-54130","Jack of Shalidor's Curse","Jack of Shalidor's Curse"
"242841733-0-43006","Waterlogged Chestpiece of Salvation","Waterlogged Chestpiece of Salvation"
"242841733-0-131308","Jack of Mechanical Acuity","Jack of Mechanical Acuity"
"242841733-0-47836","Jack of the Seducer","Jack of the Seducer"
"242841733-0-77229","Jack of Flanking","Jack of Flanking"
"242841733-0-142433","Dead-Water's Guile Jack","Dead-Water's Guile Jack"
"242841733-0-92846","Jack of the Shadow Walker","Jack of the Shadow Walker"
"242841733-0-59813","Jack of the Vicious Ophidian","Jack of the Vicious Ophidian"
"242841733-0-107230","Hulking Draugr's Jack","Hulking Draugr's Jack"
"242841733-0-105052","Hircine's Jack","Hircine's Jack"
"228378404-0-34801","The story of how Fishbreath got his name is not for the faint of heart, the weak willed, or the religiously devout.","피시브레스가 그런 이름을 어떻게 얻게 되었는지에 관한 이야기는 겁쟁이, 심약하신 분, 혹은 종교적으로 독실한 사람이 듣기엔 부적절한 이야기입니다."
"242841733-0-78531","The Vicecanon's Jack","The Vicecanon's Jack"
"242841733-0-52384","Jack of Alessia's Bulwark","Jack of Alessia's Bulwark"
"242841733-0-155310","Dragonguard Elite's Jack","Dragonguard Elite's Jack"
"242841733-0-131343","Jack of Mechanical Acuity","Jack of Mechanical Acuity"
"242841733-0-68733","Jack of the Shield Breaker","Jack of the Shield Breaker"
"242841733-0-67400","Jack of Toxic Defiance","Jack of Toxic Defiance"
"242841733-0-100602","Spriggan's Jack","Spriggan: 스프리건의 경갑"
"242841733-0-108564","Barkskin Jack","Barkskin Jack"
"242841733-0-86161","Werewolf Hide Jack","Werewolf Hide Jack"
"242841733-0-128161","Blooddrinker Jack","Blooddrinker Jack"
"242841733-0-55882","Jack of the Twin Sisters","Jack of the Twin Sisters"
"242841733-0-77690","Jack of Alkosh","Jack of Alkosh"
"242841733-0-110411","Storm Master's Jack","Storm Master: 폭풍대가의 경갑"
"242841733-0-43898","Jack of Kyne's Kiss","Kyne's Kiss: 경갑"
"242841733-0-71904","Jack of Tava's Favor","Jack of Tava's Favor"
"242841733-0-142493","Dead-Water's Guile Jack","Dead-Water's Guile Jack"
"242841733-0-76359","Pelinal's Jack","Pelinal's Jack"
"242841733-0-92826","Jack of the Shadow Walker","Shadow Walker: 경갑"
"242841733-0-56725","Jack of Orgnum's Scales","Jack of Orgnum's Scales"
"242841733-0-77209","Jack of Flanking","Jack of Flanking"
"242841733-0-75484","Gladiator's Jack","Gladiator's Jack"
"242841733-0-77667","Hircine's Jack","Hircine's Jack"
"242841733-0-143789","Might of the Lost Legion Jack","Might of the Lost Legion Jack"
"242841733-0-105072","Hircine's Jack","Hircine's Jack"
"242841733-0-56760","Jack of the Eyes of Mara","Jack of the Eyes of Mara"
"242841733-0-65685","Shock Master's Jack","Shock Master's Jack"
"242841733-0-86141","Werewolf Hide Jack","Werewolf Hide Jack"
"242841733-0-68711","Jack of the Shield Breaker","Shield Breaker: 경갑"
"242841733-0-100622","Spriggan's Jack","Spriggan's Jack"
"242841733-0-108584","Barkskin Jack","Barkskin Jack"
"242841733-0-143314","Naga Shaman Jack","Naga Shaman Jack"
"242841733-0-128181","Blooddrinker Jack","Blooddrinker Jack"
"242841733-0-47801","Jack of the Seducer","Jack of the Seducer"
"242841733-0-110431","Storm Master's Jack","Storm Master's Jack"
"242841733-0-46954","Jack of Night's Silence","Jack of Night's Silence"
"242841733-0-158808","Unchained Aggressor's Jack","Unchained Aggressor's Jack"
"242841733-0-99438","Sword-Singer's Jack","Sword-Singer's Jack"
"242841733-0-142473","Dead-Water's Guile Jack","Dead-Water's Guile Jack"
"242841733-0-105092","Hircine's Jack","Hircine's Jack"
"242841733-0-55058","Jack of the Arena","Jack of the Arena"
"242841733-0-45251","jack^n","jack"
"242841733-0-155350","Dragonguard Elite's Jack","Dragonguard Elite's Jack"
"242841733-0-93330","Jack of the Hawk's Eye","Jack of the Hawk's Eye"
"242841733-0-60883","Jack of the Armor Master","Jack of the Armor Master"
"242841733-0-135745","Adept Rider's Jack","Adept Rider's Jack"
"242841733-0-92482","Barkskin Jack","Barkskin Jack"
"242841733-0-82677","Heem-Jas' Jack","Heem-Jas' Jack"
"242841733-0-100642","Spriggan's Jack","Spriggan's Jack"
"242841733-0-51922","Jack of the Song of Lamae","Song of Lamae: 흉갑"
"242841733-0-149910","Lokkestiiz's Jack","Lokkestiiz's Jack"
"242841733-0-79039","Jack of Imperial Physique","Jack of Imperial Physique"
"242841733-0-46571","Jack of Twilight's Embrace","Twilight's Embrace: 경갑"
"242841733-0-122419","Shacklebreaker Jack","Shacklebreaker Jack"
"242841733-0-56375","Jack of the Night Mother","Jack of the Night Mother"
"242841733-0-131378","Jack of Mechanical Acuity","Jack of Mechanical Acuity"
"242841733-0-158878","Unchained Aggressor's Jack","Unchained Aggressor's Jack"
"242841733-0-110451","Storm Master's Jack","Storm Master's Jack"
"242841733-0-47418","Whitestrake's Jack","Whitestrake's Jack"
"242841733-0-93796","Jack of Cyrodiil's Ward","Jack of Cyrodiil's Ward"
"242841733-0-143384","Naga Shaman Jack","Naga Shaman Jack"
"242841733-0-125933","Impregnable Armor Jack^n","Impregnable Armor Jack"
"242841733-0-159718","Reeh-La's Scaled Vest","Reeh-La's Scaled Vest"
"242841733-0-93310","Jack of the Hawk's Eye","Jack of the Hawk's Eye"
"242841733-0-58585","Sunderflame Jack","Sunderflame Jack"
"242841733-0-146414","Tzogvin's Jack","Tzogvin's Jack"
"242841733-0-121579","Assassin's Jack","Assassin: 암살자의 경갑"
"242841733-0-114806","Jack of Syvarra's Scales","Jack of Syvarra's Scales"
"242841733-0-72878","Jack of Bahraha's Curse","Jack of Bahraha's Curse"
"242841733-0-67050","Jack of Sheer Venom","Jack of Sheer Venom"
"242841733-0-70215","Jack of Trials","Jack of Trials"
"242841733-0-75904","Jack of Varen's Legacy","Jack of Varen's Legacy"
"242841733-0-146897","Jack of Scavenging Demise","Jack of Scavenging Demise"
"242841733-0-143349","Naga Shaman Jack","Naga Shaman Jack"
"242841733-0-155330","Dragonguard Elite's Jack","Dragonguard Elite's Jack"
"242841733-0-47453","Whitestrake's Jack","Whitestrake's Jack"
"242841733-0-79004","Jack of Imperial Physique","Jack of Imperial Physique"
"242841733-0-70670","Jack of Morkuldin","Jack of Morkuldin"
"242841733-0-158843","Unchained Aggressor's Jack","Unchained Aggressor's Jack"
"242841733-0-92462","Barkskin Jack","Barkskin Jack"
"242841733-0-49635","Jack of Oblivion's Foe","Oblivion's Foe: 경갑"
"242841733-0-48301","Jack of Vampire's Kiss","Jack of Vampire's Kiss"
"228378404-0-34386","A gift from Sud-Hareem for helping him find his lost son in Spindleclutch.","스핀들클러치에서 실종된 아들을 찾는 데 도움을 준 일에 대한 수드-하림의 선물. "
"242841733-0-82657","Heem-Jas' Jack","Heem-Jas' Jack"
"242841733-0-48789","Magnus' Jack","Magnus' Jack"
"242841733-0-1160","Werewolf Hide Daggerfall Guard Tabard","늑대인간 가죽 대거폴 경비 외투"
"242841733-0-100662","Spriggan's Jack","Spriggan's Jack"
"242841733-0-125968","Impregnable Armor Jack^n","Impregnable Armor Jack"
"242841733-0-51945","Jack of the Song of Lamae","Jack of the Song of Lamae"
"242841733-0-122454","Shacklebreaker Jack","Shacklebreaker Jack"
"242841733-0-110471","Storm Master's Jack","Storm Master's Jack"
"242841733-0-46594","Jack of Twilight's Embrace","Jack of Twilight's Embrace"
"228378404-0-34377","Honorary armor from the displaced residents of City of Ash.","Honorary armor from the displaced residents of City of Ash."
"228378404-0-34382","A parting gift from your friend, Shifty Tom.","A parting gift from your friend, Shifty Tom."
"242841733-0-93776","Jack of Cyrodiil's Ward","Jack of Cyrodiil's Ward"
"242841733-0-68363","Jack of Hunding's Rage","Hunding's Rage: 경갑"
"242841733-0-58564","Sunderflame Jack","Sunderflame Jack"
"242841733-0-146877","Jack of Scavenging Demise","Jack of Scavenging Demise"
"242841733-0-112649","Ophidian Jack of Celerity","Ophidian Celerity: 오피디아인의 경갑"
"242841733-0-59897","Jack of the Vicious Ophidian","Jack of the Vicious Ophidian"
"242841733-0-72856","Jack of Bahraha's Curse","Bahraha's Curse: 경갑"
"242841733-0-69690","Jack of Julianos","Jack of Julianos"
"242841733-0-82637","Heem-Jas' Jack","Heem-Jas' Jack"
"242841733-0-60848","Jack of the Armor Master","Jack of the Armor Master"
"242841733-0-135780","Adept Rider's Jack","Adept Rider's Jack"
"242841733-0-155390","Dragonguard Elite's Jack","Dragonguard Elite's Jack"
"242841733-0-112669","Ophidian Jack of Celerity","Ophidian Jack of Celerity"
"242841733-0-56340","Magnus' Jack","Magnus' Jack"
"242841733-0-45216","jack^n","jack"
"242841733-0-48719","Magnus' Jack","Magnus' Jack"
"242841733-0-101530","Witchman's Jack","Witchman: 부족주술사의 경갑"
"242841733-0-71974","Jack of Tava's Favor","Jack of Tava's Favor"
"242841733-0-100682","Spriggan's Jack","Spriggan's Jack"
"242841733-0-54158","Jack of Shalidor's Curse","Jack of Shalidor's Curse"
"242841733-0-110491","Storm Master's Jack","Storm Master's Jack"
"242841733-0-77299","Sithis' Jack","Sithis' Jack"
"242841733-0-158434","Jack of Critical Riposte","Jack of Critical Riposte"
"242841733-0-133114","Jack of Unfathomable Darkness","Jack of Unfathomable Darkness"
