"Location","Source","Target"
"242841733-0-51099","Sabatons of Hist Bark","Sabatons of Hist Bark"
"242841733-0-55456","feet^n","feet"
"242841733-0-80411","Sabatons Of The Knightmare","The Knightmare: 쇠구두"
"242841733-0-80894","Sabatons Of The Dreugh King Slayer","Sabatons Of The Dreugh King Slayer"
"242841733-0-157930","Grave Guardian's Sabatons","Grave Guardian's Sabatons"
"242841733-0-56781","Sabatons of Kagrenac's Hope","Sabatons of Kagrenac's Hope"
"242841733-0-163371","Spell Parasite's Sabatons","Spell Parasite's Sabatons"
"242841733-0-149074","Undertaker's Sabatons","Undertaker's Sabatons"
"242841733-0-46986","Sabatons of Night's Silence","Sabatons of Night's Silence"
"242841733-0-69618","Sabatons of Julianos","Sabatons of Julianos"
"242841733-0-155753","Daring Corsair's Sabatons","Daring Corsair's Sabatons"
"242841733-0-130454","Innate Axiom Sabatons","Innate Axiom Sabatons"
"242841733-0-88385","Sabatons of Cyrodiil's Crest","Sabatons of Cyrodiil's Crest"
"242841733-0-71937","Sabatons of Tava's Favor","Sabatons of Tava's Favor"
"242841733-0-89233","Sabatons of Truth","Sabatons of Truth"
"242841733-0-66112","Alessian Sabatons","Alessian: 쇠구두"
"242841733-0-121985","Sabatons of Daedric Trickery","Sabatons of Daedric Trickery"
"242841733-0-108523","Sabatons of the Dreugh King Slayer","Sabatons of the Dreugh King Slayer"
"242841733-0-105011","Embershield Sabatons","Embershield Sabatons"
"242841733-0-127286","Ironblood Sabatons","Ironblood Sabatons"
"242841733-0-143775","Might of the Lost Legion Sabatons","Might of the Lost Legion Sabatons"
"242841733-0-54116","Sabatons of Shalidor's Curse","Sabatons of Shalidor's Curse"
"242841733-0-75077","Sabatons of the Night Mother","Sabatons of the Night Mother"
"242841733-0-59828","Sabatons of the Eternal Yokeda","Sabatons of the Eternal Yokeda"
"242841733-0-77250","Sithis' Sabatons","Sithis: 쇠구두"
"242841733-0-66119","Alessian Sabatons","Alessian Sabatons"
"242841733-0-47822","Sabatons of the Seducer","Sabatons of the Seducer"
"242841733-0-66126","Alessian Sabatons","Alessian Sabatons"
"242841733-0-68785","Sabatons of Permafrost","Permafrost: 쇠구두"
"242841733-0-107686","Knight-Errant's Sabatons","Knight-Errant's Sabatons"
"242841733-0-143300","Naga Shaman Sabatons","Naga Shaman Sabatons"
"242841733-0-141123","Jailer's Sabatons","Jailer's Sabatons"
"242841733-0-56326","Magnus' Sabatons","Magnus' Sabatons"
"242841733-0-54146","Sabatons of Shalidor's Curse","Sabatons of Shalidor's Curse"
"242841733-0-80874","Sabatons Of The Dreugh King Slayer","Dreugh King Slayer: 쇠구두"
"242841733-0-7301","Shornhelm Guard Sollerets of the Vampire's Cloak","Shornhelm Guard Sollerets of the Vampire's Cloak"
"242841733-0-88365","Sabatons of Cyrodiil's Crest","Sabatons of Cyrodiil's Crest"
"242841733-0-89213","Sabatons of Truth","Sabatons of Truth"
"242841733-0-89699","Sabatons of the Sergeant","Sabatons of the Sergeant"
"242841733-0-129003","Curse of Doylemish Sabatons","Curse of Doylemish Sabatons"
"242841733-0-111704","Sabatons of Leeching","Sabatons of Leeching"
"242841733-0-165525","Temp_Z_Tank's Perfect Sabatons","Temp_Z_Tank's Perfect Sabatons"
"242841733-0-165526","Temp_Z_Tank's Perfect Sabatons","Temp_Z_Tank's Perfect Sabatons"
"242841733-0-53284","Sabatons of the Eyes of Mara","Sabatons of the Eyes of Mara"
"242841733-0-154892","Senchal Defender's Sabatons","Senchal Defender's Sabatons"
"242841733-0-161182","Sabatons of Eternal Vigor","Sabatons of Eternal Vigor"
"228378404-0-54880","These ancient sabatons were made for a Yokudan soldier of high rank.","These ancient sabatons were made for a Yokudan soldier of high rank."
"242841733-0-99481","Sabatons of the Order of Diagna","Order of Diagna: 쇠구두"
"242841733-0-47845","Sabatons of the Seducer","Sabatons of the Seducer"
"242841733-0-76380","Pelinal's Sabatons","Pelinal's Sabatons"
"242841733-0-46508","Sabatons of Death's Wind","Sabatons of Death's Wind"
"242841733-0-68763","Sabatons of Glory","Sabatons of Glory"
"242841733-0-59810","Sabatons of the Eternal Yokeda","Sabatons of the Eternal Yokeda"
"242841733-0-141103","Jailer's Sabatons","Jailer's Sabatons"
"242841733-0-164207","Sabatons^n","Sabatons"
"242841733-0-164269","Sabatons^n","Sabatons"
"242841733-0-146836","Frozen Watcher's Sabatons","Frozen Watcher's Sabatons"
"242841733-0-157970","Grave Guardian's Sabatons","Grave Guardian's Sabatons"
