"Location","Source","Target"
"242841733-0-122829","War Maiden's Shoes","War Maiden's Shoes"
"242841733-0-56788","Shoes of Kagrenac's Hope","Shoes of Kagrenac's Hope"
"242841733-0-163378","Spell Parasite's Shoes","Spell Parasite's Shoes"
"242841733-0-162044","Roaring Opportunist's Shoes","Roaring Opportunist's Shoes"
"242841733-0-54123","Shoes of Shalidor's Curse","Shoes of Shalidor's Curse"
"242841733-0-60806","Shoes of the Armor Master","Shoes of the Armor Master"
"242841733-0-131301","Shoes of Mechanical Acuity","Shoes of Mechanical Acuity"
"242841733-0-110839","Shoes of the Worm Cult","Shoes of the Worm Cult"
"242841733-0-47829","Shoes of the Seducer","Shoes of the Seducer"
"242841733-0-68770","Shoes of Succession","Shoes of Succession"
"242841733-0-106345","Lamia's Shoes","Lamia: 라미아의 신발"
"242841733-0-104167","Shoes of the Netch's Touch","Shoes of the Netch's Touch"
"242841733-0-78104","Galerion's Shoes","Galerion's Shoes"
"242841733-0-77257","Sithis' Shoes","Sithis: 신발"
"228378404-0-54863","These leather sandals were boiled in rotmeth. The tingling sensation they provide keeps the wearer alert.","롯메스에 넣고 삶은 샌들입니다. 샌들에서 나오는 톡 쏘는 향이 착용자의 정신을 초롱초롱하게 만들어줍니다."
"242841733-0-46970","Shoes of Night's Silence","Shoes of Night's Silence"
"242841733-0-155760","Daring Corsair's Shoes","Daring Corsair's Shoes"
"242841733-0-90686","Shoes of the Onslaught","Shoes of the Onslaught"
"242841733-0-150077","False God's Shoes","False God's Shoes"
"242841733-0-91534","Shoes of Alteration Mastery","Shoes of Alteration Mastery"
"242841733-0-69633","Shoes of Julianos","Shoes of Julianos"
"242841733-0-109869","Shoes of the Noble Duelist","Shoes of the Noble Duelist"
"242841733-0-143782","Might of the Lost Legion Shoes","Might of the Lost Legion Shoes"
"242841733-0-143747","Might of the Lost Legion Shoes","Might of the Lost Legion Shoes"
"242841733-0-162023","Roaring Opportunist's Shoes","Roaring Opportunist's Shoes"
"242841733-0-47852","Shoes of the Seducer","Shoes of the Seducer"
"242841733-0-53291","Shoes of the Eyes of Mara","Shoes of the Eyes of Mara"
"242841733-0-117017","Shoes of the Phoenix","Shoes of the Phoenix"
"242841733-0-110860","Shoes of the Worm Cult","Shoes of the Worm Cult"
"242841733-0-68748","Shoes of Succession","Shoes of Succession"
"242841733-0-155725","Daring Corsair's Shoes","Daring Corsair's Shoes"
"242841733-0-71917","Shoes of Tava's Favor","Shoes of Tava's Favor"
"242841733-0-106366","Lamia's Shoes","Lamia's Shoes"
"242841733-0-122850","War Maiden's Shoes","War Maiden's Shoes"
"242841733-0-59803","Shoes of the Infallible Aether","Shoes of the Infallible Aether"
"242841733-0-104188","Shoes of the Netch's Touch","Shoes of the Netch's Touch"
"242841733-0-76387","Pelinal's Shoes","Pelinal's Shoes"
"242841733-0-75054","Shoes of the Shadow Dancer","Shoes of the Shadow Dancer"
"242841733-0-46993","Shoes of Night's Silence","Shoes of Night's Silence"
"242841733-0-130461","Innate Axiom Shoes","Innate Axiom Shoes"
"242841733-0-151385","Perfected Nahviintaas's Shoes","Perfected Nahviintaas's Shoes"
"242841733-0-101917","Prisoner's Shoes","죄수의 신발 (Prisoner's Shoes)"
"242841733-0-66104","Shoes of Almalexia's Mercy","Shoes of Almalexia's Mercy"
"242841733-0-150056","False God's Shoes","False God's Shoes"
"242841733-0-91513","Shoes of Alteration Mastery","Shoes of Alteration Mastery"
"242841733-0-90665","Shoes of the Onslaught","Shoes of the Onslaught"
"242841733-0-121992","Shoes of Daedric Trickery","Shoes of Daedric Trickery"
"242841733-0-80854","Elegant Shoes","Elegant Shoes"
"242841733-0-109890","Shoes of the Noble Duelist","Shoes of the Noble Duelist"
"242841733-0-97296","Shoes of a Mother's Sorrow","Shoes of a Mother's Sorrow"
"242841733-0-76352","Pelinal's Shoes","Pelinal's Shoes"
"242841733-0-74174","Shoes of Vicious Death","Shoes of Vicious Death"
"242841733-0-77683","Moondancer Shoes","Moondancer Shoes"
"242841733-0-153130","Z'en's Shoes","Z'en's Shoes"
"242841733-0-130496","Innate Axiom Shoes","Innate Axiom Shoes"
"242841733-0-155799","Ancient Dragonguard's Shoes","Ancient Dragonguard's Shoes"
"242841733-0-117038","Shoes of the Phoenix","Shoes of the Phoenix"
"242841733-0-110881","Shoes of the Worm Cult","Shoes of the Worm Cult"
"242841733-0-68726","Shoes of Succession","Shoes of Succession"
"242841733-0-67883","Shoes of the Combat Physician","Shoes of the Combat Physician"
"242841733-0-91981","Shoes of the Swift","Shoes of the Swift"
"242841733-0-106387","Lamia's Shoes","Lamia's Shoes"
"242841733-0-122871","War Maiden's Shoes","War Maiden's Shoes"
"242841733-0-75033","Shoes of the Shadow Dancer","Shoes of the Shadow Dancer"
"242841733-0-77698","Shoes of Twilight Remedy","Shoes of Twilight Remedy"
"242841733-0-52377","Shoes of Alessia's Bulwark","Shoes of Alessia's Bulwark"
"242841733-0-131336","Shoes of Mechanical Acuity","Shoes of Mechanical Acuity"
"242841733-0-162090","Roaring Opportunist's Shoes","Roaring Opportunist's Shoes"
"242841733-0-158836","Unchained Aggressor's Shoes","Unchained Aggressor's Shoes"
"242841733-0-101938","Prisoner's Shoes","죄수의 신발 (Prisoner's Shoes)"
"242841733-0-90644","Shoes of the Onslaught","Shoes of the Onslaught"
"242841733-0-143342","Naga Shaman Shoes","Naga Shaman Shoes"
"242841733-0-55877","Curse-Eating Shoes","Curse-Eating Shoes"
"242841733-0-143307","Naga Shaman Shoes","Naga Shaman Shoes"
"242841733-0-97275","Shoes of a Mother's Sorrow","Shoes of a Mother's Sorrow"
"242841733-0-78997","Shoes of Imperial Physique","Shoes of Imperial Physique"
"242841733-0-53256","Shoes of the Eyes of Mara","Shoes of the Eyes of Mara"
"242841733-0-74158","Shoes of Vicious Death","Shoes of Vicious Death"
"242841733-0-123737","Wizard's Riposte Shoes^p","Wizard's Riposte: 마법사의 응수 신발"
"242841733-0-51075","Shoes of Hist Bark","Shoes of Hist Bark"
"242841733-0-74150","Shoes of Vicious Death","Vicious Death: 신발"
"242841733-0-158801","Unchained Aggressor's Shoes","Unchained Aggressor's Shoes"
"242841733-0-80833","Elegant Shoes","Elegant Shoes"
"242841733-0-68704","Shoes of Succession","Succession: 신발"
"242841733-0-117059","Shoes of the Phoenix","Shoes of the Phoenix"
"242841733-0-153109","Z'en's Shoes","Z'en's Shoes"
"242841733-0-91960","Shoes of the Swift","The Swift: 신발"
"242841733-0-98117","Dreamer's Shoes","Dreamer's Shoes"
"242841733-0-122412","Shacklebreaker Shoes","Shacklebreaker Shoes"
"242841733-0-122892","War Maiden's Shoes","War Maiden's Shoes"
"242841733-0-75012","Shoes of the Shadow Dancer","Shoes of the Shadow Dancer"
"242841733-0-55423","Shoes of the Noble Duelist","Noble Duelist: 신발"
"242841733-0-56753","Shoes of the Eyes of Mara","Shoes of the Eyes of Mara"
"242841733-0-74166","Shoes of Vicious Death","Shoes of Vicious Death"
"242841733-0-101959","Prisoner's Shoes","죄수의 신발 (Prisoner's Shoes)"
"242841733-0-46947","Shoes of Night's Silence","Night's Silence: 신발"
"242841733-0-150098","False God's Shoes","False God's Shoes"
"242841733-0-90623","Shoes of the Onslaught","Shoes of the Onslaught"
"242841733-0-79846","Shoes of Transmutation","Shoes of Transmutation"
"242841733-0-107273","Shoes of the Undaunted Unweaver","Shoes of the Undaunted Unweaver"
"242841733-0-124609","Inventor's Guard Shoes^p","Inventor's Guard Shoes"
"242841733-0-153172","Z'en's Shoes","Z'en's Shoes"
"242841733-0-72871","Shoes of Bahraha's Curse","Shoes of Bahraha's Curse"
"242841733-0-123758","Wizard's Riposte Shoes^p","Wizard's Riposte Shoes"
"242841733-0-78174","Galerion's Shoes","Galerion's Shoes"
"242841733-0-91152","Shoes of Almalexia's Mercy","Shoes of Almalexia's Mercy"
"242841733-0-46587","Shoes of Twilight's Embrace","Shoes of Twilight's Embrace"
"242841733-0-159712","Dancer's Treble Shoes","Dancer's Treble Shoes"
"242841733-0-135738","Adept Rider's Shoes","Adept Rider's Shoes"
"242841733-0-143377","Naga Shaman Shoes","Naga Shaman Shoes"
"242841733-0-58576","Burning Spellweave Shoes","Burning Spellweave Shoes"
"242841733-0-70683","Shoes of Morkuldin","Shoes of Morkuldin"
"242841733-0-131371","Shoes of Mechanical Acuity","Shoes of Mechanical Acuity"
"242841733-0-158871","Unchained Aggressor's Shoes","Unchained Aggressor's Shoes"
"242841733-0-79032","Shoes of Imperial Physique","Shoes of Imperial Physique"
"242841733-0-45243","shoes^p","shoes"
