"Location","Source","Target"
"242841733-0-59817","Boots of the Vicious Ophidian","Boots of the Vicious Ophidian"
"242841733-0-76395","Pelinal's Boots","Pelinal's Boots"
"242841733-0-99038","Swamp Raider's Boots","Swamp Raider's Boots"
"242841733-0-137085","Relequen's Boots","Relequen's Boots"
"242841733-0-98181","Boots of the Ranger","Boots of the Ranger"
"242841733-0-68778","Boots of the Shield Breaker","Boots of the Shield Breaker"
"242841733-0-69625","Boots of Julianos","Boots of Julianos"
"242841733-0-46978","Boots of Night's Silence","Boots of Night's Silence"
"242841733-0-141596","Savage Werewolf's Boots","Savage Werewolf's Boots"
"242841733-0-144621","Soldier of Anguish Boots","Soldier of Anguish Boots"
"242841733-0-60814","Boots of the Armor Master","Boots of the Armor Master"
"242841733-0-53264","Boots of the Eyes of Mara","Boots of the Eyes of Mara"
"242841733-0-163386","Spell Parasite's Boots","Spell Parasite's Boots"
"242841733-0-121965","Boots of Daedric Trickery","Boots of Daedric Trickery"
"242841733-0-51083","Boots of Hist Bark","Boots of Hist Bark"
"242841733-0-117487","Boots of the Shield Breaker","Boots of the Shield Breaker"
"242841733-0-129456","Plague Slinger Boots","Plague Slinger Boots"
"242841733-0-71944","Boots of Tava's Favor","Boots of Tava's Favor"
"242841733-0-92867","Boots of the Shadow Walker","Boots of the Shadow Walker"
"242841733-0-142454","Dead-Water's Guile Boots","Dead-Water's Guile Boots"
"242841733-0-59835","Boots of the Vicious Ophidian","Boots of the Vicious Ophidian"
"242841733-0-164204","Temp_Z_Stam's Perfect Boots","Temp_Z_Stam's Perfect Boots"
"242841733-0-164203","Temp_Z_Stam's Perfect Boots","Temp_Z_Stam's Perfect Boots"
"242841733-0-53299","Boots of the Eyes of Mara","Boots of the Eyes of Mara"
"242841733-0-164202","Temp_Z_Stam's Perfect Boots","Temp_Z_Stam's Perfect Boots"
"242841733-0-164201","Temp_Z_Stam's Perfect Boots","Temp_Z_Stam's Perfect Boots"
"242841733-0-164200","Temp_Z_Stam's Perfect Boots","Temp_Z_Stam's Perfect Boots"
"242841733-0-163351","Spell Parasite's Boots","Spell Parasite's Boots"
"242841733-0-99018","Swamp Raider's Boots","Swamp Raider's Boots"
"242841733-0-46520","Boots of Death's Wind","Boots of Death's Wind"
"242841733-0-149052","Vastarie's Boots","Vastarie's Boots"
"242841733-0-155733","Daring Corsair's Boots","Daring Corsair's Boots"
"242841733-0-98161","Boots of the Ranger","Boots of the Ranger"
"242841733-0-157905","Aegis Caller's Boots","Aegis Caller's Boots"
"242841733-0-68756","Boots of the Shield Breaker","Boots of the Shield Breaker"
"242841733-0-130469","Innate Axiom Boots","Innate Axiom Boots"
"242841733-0-143755","Might of the Lost Legion Boots","Might of the Lost Legion Boots"
"242841733-0-141576","Savage Werewolf's Boots","Savage Werewolf's Boots"
"242841733-0-144601","Soldier of Anguish Boots","Soldier of Anguish Boots"
"242841733-0-107211","Hulking Draugr's Boots","Hulking Draugr's Boots"
"242841733-0-78567","The Vicecanon's Boots","The Vicecanon's Boots"
"242841733-0-56796","Boots of Kagrenac's Hope","Boots of Kagrenac's Hope"
"242841733-0-54131","Boots of Shalidor's Curse","Boots of Shalidor's Curse"
"242841733-0-77230","Boots of Flanking","Boots of Flanking"
"242841733-0-7311","Darkstride Ravenwatch Boots","Darkstride Ravenwatch Boots"
"242841733-0-43002","Thodundor's Boots of the Wilderqueen","Wilderqueen: 토둔도르의 장화"
"242841733-0-131309","Boots of Mechanical Acuity","Boots of Mechanical Acuity"
"242841733-0-47837","Boots of the Seducer","Boots of the Seducer"
"242841733-0-128142","Blooddrinker Boots","Blooddrinker: 장화"
"242841733-0-92847","Boots of the Shadow Walker","Boots of the Shadow Walker"
"242841733-0-142434","Dead-Water's Guile Boots","Dead-Water's Guile Boots"
"242841733-0-56306","Boots of Vampire's Kiss","Boots of Vampire's Kiss"
"242841733-0-52385","Boots of Alessia's Bulwark","Boots of Alessia's Bulwark"
"242841733-0-78532","The Vicecanon's Boots","The Vicecanon's Boots"
"242841733-0-131344","Boots of Mechanical Acuity","Boots of Mechanical Acuity"
"242841733-0-155311","Dragonguard Elite's Boots","Dragonguard Elite's Boots"
"242841733-0-68734","Boots of the Shield Breaker","Boots of the Shield Breaker"
"242841733-0-67401","Boots of Toxic Defiance","Boots of Toxic Defiance"
"242841733-0-105053","Hircine's Boots","Hircine's Boots"
"242841733-0-107231","Hulking Draugr's Boots","Hulking Draugr's Boots"
"242841733-0-108565","Barkskin Boots","나무껍질 장화 (Barkskin Boots)"
"242841733-0-86162","Werewolf Hide Boots","Werewolf Hide Boots"
"242841733-0-55883","Boots of the Twin Sisters","Boots of the Twin Sisters"
"242841733-0-77210","Boots of Flanking","Boots of Flanking"
"242841733-0-128162","Blooddrinker Boots","Blooddrinker Boots"
"242841733-0-71909","Boots of Tava's Favor","Boots of Tava's Favor"
"242841733-0-100603","Spriggan's Boots","Spriggan: 장화"
"242841733-0-77691","Boots of Alkosh","Alkosh: 장화"
"242841733-0-110412","Storm Master's Boots","Storm Master: 장화"
"242841733-0-76360","Pelinal's Boots","Pelinal's Boots"
"242841733-0-43899","Boots of Kyne's Kiss","Kyne's Kiss: 장화"
"242841733-0-92827","Boots of the Shadow Walker","Boots of the Shadow Walker"
"242841733-0-142494","Dead-Water's Guile Boots","Dead-Water's Guile Boots"
"242841733-0-56726","Boots of Orgnum's Scales","Boots of Orgnum's Scales"
"242841733-0-75485","Gladiator's Boots","Gladiator's Boots"
"242841733-0-105073","Hircine's Boots","Hircine's Boots"
"242841733-0-56761","Boots of the Eyes of Mara","Boots of the Eyes of Mara"
"242841733-0-68712","Boots of the Shield Breaker","Shield Breaker: 장화"
"242841733-0-65686","Shock Master's Boots","Shock Master's Boots"
"242841733-0-86142","Werewolf Hide Boots","Werewolf Hide Boots"
"242841733-0-155768","Daring Corsair's Boots","Daring Corsair's Boots"
"242841733-0-143790","Might of the Lost Legion Boots","Might of the Lost Legion Boots"
"242841733-0-100623","Spriggan's Boots","Spriggan's Boots"
"242841733-0-108585","Barkskin Boots","나무껍질 장화 (Barkskin Boots)"
"242841733-0-143315","Naga Shaman Boots","Naga Shaman Boots"
"242841733-0-128182","Blooddrinker Boots","Blooddrinker Boots"
"242841733-0-110432","Storm Master's Boots","Storm Master's Boots"
"242841733-0-47802","Boots of the Seducer","Boots of the Seducer"
"242841733-0-46955","Boots of Night's Silence","Night's Silence: 장화"
"242841733-0-158809","Unchained Aggressor's Boots","Unchained Aggressor's Boots"
"242841733-0-142474","Dead-Water's Guile Boots","Dead-Water's Guile Boots"
"242841733-0-99439","Sword-Singer's Boots","Sword-Singer's Boots"
"242841733-0-77668","Hircine's Boots","Hircine's Boots"
"242841733-0-155351","Dragonguard Elite's Boots","Dragonguard Elite's Boots"
"242841733-0-105093","Hircine's Boots","Hircine's Boots"
"242841733-0-45252","boots^p","boots"
"242841733-0-135746","Adept Rider's Boots","Adept Rider's Boots"
"242841733-0-92483","Barkskin Boots","Barkskin Boots"
"242841733-0-60884","Boots of the Armor Master","Boots of the Armor Master"
"242841733-0-93331","Boots of the Hawk's Eye","Boots of the Hawk's Eye"
"242841733-0-82678","Heem-Jas' Boots","Heem-Jas' Boots"
"242841733-0-121580","Assassin's Boots","Assassin: 장화"
"242841733-0-100643","Spriggan's Boots","Spriggan's Boots"
"242841733-0-51923","Boots of the Song of Lamae","Song of Lamae: 장화"
"242841733-0-149911","Lokkestiiz's Boots","Lokkestiiz's Boots"
"242841733-0-56376","Boots of the Night Mother","Boots of the Night Mother"
"242841733-0-70220","Boots of Trials","Boots of Trials"
"242841733-0-46572","Boots of Twilight's Embrace","Twilight's Embrace: 장화"
