"Location","Source","Target"
"242841733-0-80412","Gauntlets Of The Knightmare","The Knightmare: 건틀렛"
"242841733-0-80895","Gauntlets Of The Dreugh King Slayer","Gauntlets Of The Dreugh King Slayer"
"242841733-0-55454","hands^n","hands"
"242841733-0-56782","Gauntlets of Kagrenac's Hope","Gauntlets of Kagrenac's Hope"
"242841733-0-163372","Spell Parasite's Gauntlets","Spell Parasite's Gauntlets"
"242841733-0-60800","Gauntlets of the Armor Master","Gauntlets of the Armor Master"
"242841733-0-130455","Innate Axiom Gauntlets","Innate Axiom Gauntlets"
"242841733-0-155754","Daring Corsair's Gauntlets","Daring Corsair's Gauntlets"
"242841733-0-46987","Gauntlets of Night's Silence","Gauntlets of Night's Silence"
"242841733-0-157931","Grave Guardian's Gauntlets","Grave Guardian's Gauntlets"
"242841733-0-71934","Gauntlets of Tava's Favor","Gauntlets of Tava's Favor"
"242841733-0-89234","Gauntlets of Truth","Gauntlets of Truth"
"242841733-0-88386","Gauntlets of Cyrodiil's Crest","Gauntlets of Cyrodiil's Crest"
"242841733-0-149075","Undertaker's Gauntlets","Undertaker's Gauntlets"
"242841733-0-66113","Alessian Gauntlets","Alessian Gauntlets"
"242841733-0-105012","Embershield Gauntlets","Embershield Gauntlets"
"242841733-0-121986","Gauntlets of Daedric Trickery","Gauntlets of Daedric Trickery"
"242841733-0-108524","Gauntlets of the Dreugh King Slayer","Gauntlets of the Dreugh King Slayer"
"242841733-0-127287","Ironblood Gauntlets","Ironblood Gauntlets"
"242841733-0-143776","Might of the Lost Legion Gauntlets","Might of the Lost Legion Gauntlets"
"242841733-0-54117","Gauntlets of Shalidor's Curse","Gauntlets of Shalidor's Curse"
"242841733-0-59825","Gauntlets of the Eternal Yokeda","Gauntlets of the Eternal Yokeda"
"242841733-0-75078","Gauntlets of the Night Mother","Gauntlets of the Night Mother"
"228378404-0-54864","These gauntlets were once fashionable amongst Colovian knights. A mild enchantment quickly clots the blood for minor wounds.","한때 콜로비안 기사들 사이에서 유행하던 건틀렛입니다. 가벼운 마법부여가 작은 상처에서 나오는 피를 빠르게 응고시켜줍니다."
"242841733-0-77251","Sithis' Gauntlets","Sithis: 건틀렛"
"242841733-0-47823","Gauntlets of the Seducer","Gauntlets of the Seducer"
"242841733-0-66127","Alessian Gauntlets","Alessian Gauntlets"
"242841733-0-68786","Gauntlets of Permafrost","Permafrost: 건틀렛"
"242841733-0-107687","Knight-Errant's Gauntlets","Knight-Errant's Gauntlets"
"242841733-0-66120","Alessian Gauntlets","Alessian Gauntlets"
"242841733-0-141124","Jailer's Gauntlets","Jailer's Gauntlets"
"242841733-0-143301","Naga Shaman Gauntlets","Naga Shaman Gauntlets"
"242841733-0-56327","Magnus' Gauntlets","Magnus' Gauntlets"
"242841733-0-80875","Gauntlets Of The Dreugh King Slayer","Dreugh King Slayer: 건틀렛"
"228378404-0-54877","These ancient gauntlets were made for a Yokudan soldier of high rank.","These ancient gauntlets were made for a Yokudan soldier of high rank."
"242841733-0-55478","gauntlets^p","gauntlets"
"242841733-0-55477","gauntlets^p","gauntlets"
"242841733-0-43011","Big Ozur's Ogre Grips of Soulshine","Big Ozur's Ogre Grips of Soulshine"
"242841733-0-88366","Gauntlets of Cyrodiil's Crest","Gauntlets of Cyrodiil's Crest"
"242841733-0-89214","Gauntlets of Truth","Gauntlets of Truth"
"242841733-0-111705","Gauntlets of Leeching","Gauntlets of Leeching"
"242841733-0-129004","Curse of Doylemish Gauntlets","Curse of Doylemish Gauntlets"
"242841733-0-59807","Gauntlets of the Eternal Yokeda","Gauntlets of the Eternal Yokeda"
"242841733-0-165527","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-165528","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-165529","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-161183","Gauntlets of Eternal Vigor","Gauntlets of Eternal Vigor"
"242841733-0-5137","gauntlets^p","gauntlets"
"242841733-0-53285","Gauntlets of the Eyes of Mara","Gauntlets of the Eyes of Mara"
"242841733-0-154893","Senchal Defender's Gauntlets","Senchal Defender's Gauntlets"
"242841733-0-47846","Gauntlets of the Seducer","Gauntlets of the Seducer"
"242841733-0-76381","Pelinal's Gauntlets","Pelinal's Gauntlets"
"242841733-0-99482","Gauntlets of the Order of Diagna","Order of Diagna: 건틀렛"
"242841733-0-69615","Gauntlets of Julianos","Gauntlets of Julianos"
"242841733-0-46509","Gauntlets of Death's Wind","Gauntlets of Death's Wind"
"242841733-0-68764","Gauntlets of Glory","Gauntlets of Glory"
"242841733-0-165530","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-165531","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-164208","Gauntlets^n","Gauntlets"
"242841733-0-165532","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-141104","Jailer's Gauntlets","Jailer's Gauntlets"
"242841733-0-165533","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-89680","Gauntlets of the Sergeant","Gauntlets of the Sergeant"
"242841733-0-165534","Temp_Z_Tank's Perfect Gauntlets","Temp_Z_Tank's Perfect Gauntlets"
"242841733-0-146837","Frozen Watcher's Gauntlets","Frozen Watcher's Gauntlets"
"242841733-0-130490","Innate Axiom Gauntlets","Innate Axiom Gauntlets"
"242841733-0-164264","Gauntlets^n","Gauntlets"
"242841733-0-155793","Ancient Dragonguard's Gauntlets","Ancient Dragonguard's Gauntlets"
"242841733-0-157971","Grave Guardian's Gauntlets","Grave Guardian's Gauntlets"
"242841733-0-7321","Arkay's Vambraces","Arkay's Vambraces"
"242841733-0-65217","Gauntlets of Beckoning Steel","Gauntlets of Beckoning Steel"
"242841733-0-66547","Gauntlets of Leeching","Gauntlets of Leeching"
"242841733-0-46941","Gauntlets of Night's Silence","Night's Silence: 건틀렛"
"242841733-0-65224","Gauntlets of Beckoning Steel","Gauntlets of Beckoning Steel"
"242841733-0-87011","Gauntlets of the Footman","Gauntlets of the Footman"
"242841733-0-109414","Ice Furnace Gauntlets","Ice Furnace Gauntlets"
"242841733-0-144664","Steadfast Hero Gauntlets","Steadfast Hero Gauntlets"
"242841733-0-111725","Gauntlets of Leeching","Gauntlets of Leeching"
"242841733-0-129024","Curse of Doylemish Gauntlets","Curse of Doylemish Gauntlets"
"242841733-0-143336","Naga Shaman Gauntlets","Naga Shaman Gauntlets"
"242841733-0-55886","Ravaging Gauntlets","Ravaging Gauntlets"
"242841733-0-52371","Gauntlets of Alessia's Bulwark","Gauntlets of Alessia's Bulwark"
"242841733-0-111745","Gauntlets of Leeching","Gauntlets of Leeching"
"242841733-0-158830","Unchained Aggressor's Gauntlets","Unchained Aggressor's Gauntlets"
"242841733-0-164270","Gauntlets^n","Gauntlets"
"242841733-0-131330","Gauntlets of Mechanical Acuity","Gauntlets of Mechanical Acuity"
"242841733-0-68742","Gauntlets of Glory","Gauntlets of Glory"
"242841733-0-141164","Jailer's Gauntlets","Jailer's Gauntlets"
"242841733-0-89660","Gauntlets of the Sergeant","Gauntlets of the Sergeant"
"242841733-0-78991","Gauntlets of Imperial Physique","Gauntlets of Imperial Physique"
"242841733-0-77661","Ebon Gauntlets","Ebon Gauntlets"
"242841733-0-146817","Frozen Watcher's Gauntlets","Frozen Watcher's Gauntlets"
"242841733-0-122406","Shacklebreaker Gauntlets","Shacklebreaker Gauntlets"
"242841733-0-53250","Gauntlets of the Eyes of Mara","Gauntlets of the Eyes of Mara"
"242841733-0-157951","Grave Guardian's Gauntlets","Grave Guardian's Gauntlets"
"242841733-0-149095","Undertaker's Gauntlets","Undertaker's Gauntlets"
"242841733-0-46964","Gauntlets of Night's Silence","Gauntlets of Night's Silence"
"242841733-0-131365","Gauntlets of Mechanical Acuity","Gauntlets of Mechanical Acuity"
"242841733-0-65203","Gauntlets of Beckoning Steel","Gauntlets of Beckoning Steel"
"242841733-0-125920","Impregnable Armor Gauntlets^p","Impregnable Armor Gauntlets"
"242841733-0-88324","Gauntlets of Durok's Bane","Gauntlets of Durok's Bane"
"242841733-0-129044","Curse of Doylemish Gauntlets","Curse of Doylemish Gauntlets"
"242841733-0-121566","Assassin's Gauntlets","Assassin: 암살자의 건틀렛"
"242841733-0-108100","Gauntlets of the Knightmare","Gauntlets of the Knightmare"
"242841733-0-55428","Ice Furnace Gauntlets","Ice Furnace: 건틀렛"
"242841733-0-109434","Ice Furnace Gauntlets","Ice Furnace Gauntlets"
"242841733-0-51069","Gauntlets of Hist Bark","Gauntlets of Hist Bark"
"242841733-0-77677","Gauntlets of the Lunar Bastion","Gauntlets of the Lunar Bastion"
"242841733-0-55422","Alessian Gauntlets","Alessian: 건틀렛"
"242841733-0-113943","Gauntlets of the Immortal Yokeda","Immortal Yokeda: 건틀렛"
"242841733-0-111765","Gauntlets of Leeching","Gauntlets of Leeching"
"242841733-0-76346","Pelinal's Gauntlets","Pelinal's Gauntlets"
"242841733-0-132683","Livewire Gauntlets","Livewire: 건틀렛"
"242841733-0-85286","Gauntlets of Nikulas","Gauntlets of Nikulas"
"242841733-0-89640","Gauntlets of the Sergeant","The Sergeant: 건틀렛"
"242841733-0-68720","Gauntlets of Glory","Gauntlets of Glory"
"242841733-0-65210","Gauntlets of Beckoning Steel","Gauntlets of Beckoning Steel"
"242841733-0-141144","Jailer's Gauntlets","Jailer's Gauntlets"
"242841733-0-88790","Gauntlets of Beckoning Steel","Gauntlets of Beckoning Steel"
"242841733-0-56747","Gauntlets of the Eyes of Mara","Gauntlets of the Eyes of Mara"
"242841733-0-108120","Gauntlets of the Knightmare","Gauntlets of the Knightmare"
"242841733-0-46581","Gauntlets of Twilight's Embrace","Gauntlets of Twilight's Embrace"
