"Location","Source","Target"
"242841733-0-56789","Gloves of Kagrenac's Hope","Gloves of Kagrenac's Hope"
"242841733-0-163379","Spell Parasite's Gloves","Spell Parasite's Gloves"
"242841733-0-54124","Gloves of Shalidor's Curse","Gloves of Shalidor's Curse"
"242841733-0-162045","Roaring Opportunist's Gloves","Roaring Opportunist's Gloves"
"242841733-0-60807","Gloves of the Armor Master","Gloves of the Armor Master"
"242841733-0-47830","Gloves of the Seducer","Gloves of the Seducer"
"242841733-0-131302","Gloves of Mechanical Acuity","Gloves of Mechanical Acuity"
"242841733-0-110840","Gloves of the Worm Cult","Gloves of the Worm Cult"
"242841733-0-68771","Gloves of Succession","Gloves of Succession"
"242841733-0-106346","Lamia's Gloves","Lamia: 라미아의 장갑"
"242841733-0-122830","War Maiden's Gloves","War Maiden's Gloves"
"242841733-0-104168","Gloves of the Netch's Touch","Gloves of the Netch's Touch"
"242841733-0-78105","Galerion's Gloves","Galerion's Gloves"
"242841733-0-77258","Sithis' Gloves","Sithis: 장갑"
"242841733-0-46971","Gloves of Night's Silence","Gloves of Night's Silence"
"242841733-0-4267","Betina's Fashionable Gloves","베티나의 멋진 장갑"
"242841733-0-155761","Daring Corsair's Gloves","Daring Corsair's Gloves"
"242841733-0-150078","False God's Gloves","False God's Gloves"
"242841733-0-91535","Gloves of Alteration Mastery","Gloves of Alteration Mastery"
"242841733-0-90687","Gloves of the Onslaught","Gloves of the Onslaught"
"242841733-0-71949","Gloves of Tava's Favor","Gloves of Tava's Favor"
"242841733-0-69630","Gloves of Julianos","Gloves of Julianos"
"242841733-0-143783","Might of the Lost Legion Gloves","Might of the Lost Legion Gloves"
"242841733-0-143748","Might of the Lost Legion Gloves","Might of the Lost Legion Gloves"
"242841733-0-109870","Gloves of the Noble Duelist","Gloves of the Noble Duelist"
"242841733-0-117018","Gloves of the Phoenix","Gloves of the Phoenix"
"242841733-0-162024","Roaring Opportunist's Gloves","Roaring Opportunist's Gloves"
"242841733-0-47853","Gloves of the Seducer","Gloves of the Seducer"
"242841733-0-43012","Smuggler's Gloves of Three Mercies","Smuggler's Gloves of Three Mercies"
"242841733-0-53292","Gloves of the Eyes of Mara","Gloves of the Eyes of Mara"
"242841733-0-68749","Gloves of Succession","Gloves of Succession"
"242841733-0-110861","Gloves of the Worm Cult","Gloves of the Worm Cult"
"242841733-0-155726","Daring Corsair's Gloves","Daring Corsair's Gloves"
"242841733-0-71914","Gloves of Tava's Favor","Gloves of Tava's Favor"
"242841733-0-106367","Lamia's Gloves","Lamia's Gloves"
"242841733-0-59800","Gloves of the Infallible Aether","Gloves of the Infallible Aether"
"242841733-0-122851","War Maiden's Gloves","War Maiden's Gloves"
"242841733-0-104189","Gloves of the Netch's Touch","Gloves of the Netch's Touch"
"242841733-0-75055","Gloves of the Shadow Dancer","Gloves of the Shadow Dancer"
"242841733-0-76388","Pelinal's Gloves","Pelinal's Gloves"
"242841733-0-130462","Innate Axiom Gloves","Innate Axiom Gloves"
"242841733-0-46994","Gloves of Night's Silence","Gloves of Night's Silence"
"242841733-0-151386","Perfected Nahviintaas's Gloves","Perfected Nahviintaas's Gloves"
"242841733-0-101918","Prisoner's Gloves","죄수의 장갑 (Prisoner's Gloves)"
"242841733-0-46514","Gloves of Death's Wind","Gloves of Death's Wind"
"242841733-0-150057","False God's Gloves","False God's Gloves"
"242841733-0-90666","Gloves of the Onslaught","Gloves of the Onslaught"
"242841733-0-66105","Gloves of Almalexia's Mercy","Gloves of Almalexia's Mercy"
"242841733-0-91514","Gloves of Alteration Mastery","Gloves of Alteration Mastery"
"242841733-0-121993","Gloves of Daedric Trickery","Gloves of Daedric Trickery"
"242841733-0-74175","Gloves of Vicious Death","Gloves of Vicious Death"
"242841733-0-76353","Pelinal's Gloves","Pelinal's Gloves"
"242841733-0-97297","Gloves of a Mother's Sorrow","Gloves of a Mother's Sorrow"
"242841733-0-55895","Gloves of Cyrodiil's Light","Gloves of Cyrodiil's Light"
"242841733-0-109891","Gloves of the Noble Duelist","Gloves of the Noble Duelist"
"242841733-0-77684","Moondancer Gloves","Moondancer Gloves"
"242841733-0-10988","Yngrel's Mitts","Yngrel's Mitts"
"242841733-0-153131","Z'en's Gloves","Z'en's Gloves"
"242841733-0-68727","Gloves of Succession","Gloves of Succession"
"242841733-0-117039","Gloves of the Phoenix","Gloves of the Phoenix"
"242841733-0-110882","Gloves of the Worm Cult","Gloves of the Worm Cult"
"242841733-0-80855","Elegant Gloves","Elegant Gloves"
"242841733-0-130497","Innate Axiom Gloves","Innate Axiom Gloves"
"242841733-0-131337","Gloves of Mechanical Acuity","Gloves of Mechanical Acuity"
"242841733-0-67884","Gloves of the Combat Physician","Gloves of the Combat Physician"
"242841733-0-91982","Gloves of the Swift","Gloves of the Swift"
"242841733-0-106388","Lamia's Gloves","Lamia's Gloves"
"242841733-0-122872","War Maiden's Gloves","War Maiden's Gloves"
"242841733-0-75034","Gloves of the Shadow Dancer","Gloves of the Shadow Dancer"
"242841733-0-52378","Gloves of Alessia's Bulwark","Gloves of Alessia's Bulwark"
"242841733-0-77699","Gloves of Twilight Remedy","Gloves of Twilight Remedy"
"242841733-0-162091","Roaring Opportunist's Gloves","Roaring Opportunist's Gloves"
"242841733-0-101939","Prisoner's Gloves","죄수의 장갑 (Prisoner's Gloves)"
"242841733-0-143343","Naga Shaman Gloves","Naga Shaman Gloves"
"242841733-0-90645","Gloves of the Onslaught","Gloves of the Onslaught"
"242841733-0-53257","Gloves of the Eyes of Mara","Gloves of the Eyes of Mara"
"242841733-0-143308","Naga Shaman Gloves","Naga Shaman Gloves"
"242841733-0-74151","Gloves of Vicious Death","Vicious Death: 장갑"
"242841733-0-97276","Gloves of a Mother's Sorrow","Gloves of a Mother's Sorrow"
"242841733-0-78998","Gloves of Imperial Physique","Gloves of Imperial Physique"
"242841733-0-123738","Wizard's Riposte Gloves^p","Wizard's Riposte: 마법사의 응수 장갑"
"242841733-0-51076","Gloves of Hist Bark","Gloves of Hist Bark"
"242841733-0-153110","Z'en's Gloves","즈'엔의 장갑 (Z'en's Gloves)"
"242841733-0-68705","Gloves of Succession","Succession: 장갑"
"242841733-0-158802","Unchained Aggressor's Gloves","Unchained Aggressor's Gloves"
