"Location","Source","Target"
"242841733-0-76396","Pelinal's Bracers","Pelinal's Bracers"
"242841733-0-164220","Temp_Z_Stam's Perfect Bracers","Temp_Z_Stam's Perfect Bracers"
"242841733-0-137086","Relequen's Bracers","Relequen's Bracers"
"242841733-0-99039","Swamp Raider's Bracers","Swamp Raider's Bracers"
"242841733-0-98182","Bracers of the Ranger","Bracers of the Ranger"
"242841733-0-46979","Bracers of Night's Silence","Bracers of Night's Silence"
"242841733-0-68779","Bracers of the Shield Breaker","Bracers of the Shield Breaker"
"242841733-0-69622","Bracers of Julianos","Bracers of Julianos"
"242841733-0-164219","Temp_Z_Stam's Perfect Bracers","Temp_Z_Stam's Perfect Bracers"
"242841733-0-164218","Temp_Z_Stam's Perfect Bracers","Temp_Z_Stam's Perfect Bracers"
"242841733-0-144622","Soldier of Anguish Bracers","Soldier of Anguish Bracers"
"242841733-0-164217","Temp_Z_Stam's Perfect Bracers","Temp_Z_Stam's Perfect Bracers"
"242841733-0-141597","Savage Werewolf's Bracers","Savage Werewolf's Bracers"
"242841733-0-164216","Temp_Z_Stam's Perfect Bracers","Temp_Z_Stam's Perfect Bracers"
"242841733-0-60815","Bracers of the Armor Master","Bracers of the Armor Master"
"242841733-0-163387","Spell Parasite's Bracers","Spell Parasite's Bracers"
"242841733-0-51084","Bracers of Hist Bark","Bracers of Hist Bark"
"242841733-0-53265","Bracers of the Eyes of Mara","Bracers of the Eyes of Mara"
"242841733-0-121966","Bracers of Daedric Trickery","Bracers of Daedric Trickery"
"242841733-0-117488","Bracers of the Shield Breaker","Bracers of the Shield Breaker"
"242841733-0-130435","Innate Axiom Bracers","Innate Axiom Bracers"
"242841733-0-99019","Swamp Raider's Bracers","Swamp Raider's Bracers"
"242841733-0-59832","Bracers of the Vicious Ophidian","Bracers of the Vicious Ophidian"
"242841733-0-71941","Bracers of Tava's Favor","Bracers of Tava's Favor"
"242841733-0-92868","Bracers of the Shadow Walker","Bracers of the Shadow Walker"
"242841733-0-142455","Dead-Water's Guile Bracers","Dead-Water's Guile Bracers"
"242841733-0-129457","Plague Slinger Bracers","Plague Slinger Bracers"
"242841733-0-130470","Innate Axiom Bracers","Innate Axiom Bracers"
"242841733-0-163352","Spell Parasite's Bracers","Spell Parasite's Bracers"
"242841733-0-43010","Niramo's Gravegloves of the Senche","센치: 니라모의 무덤장갑"
"242841733-0-46521","Bracers of Death's Wind","Bracers of Death's Wind"
"242841733-0-155734","Daring Corsair's Bracers","Daring Corsair's Bracers"
"242841733-0-98162","Bracers of the Ranger","Bracers of the Ranger"
"242841733-0-68757","Bracers of the Shield Breaker","Bracers of the Shield Breaker"
"242841733-0-149053","Vastarie's Bracers","Vastarie's Bracers"
