"Location","Source","Target"
"242841733-0-64057","Fingerless Gauntlets","반장갑"
"228378404-0-64058","Repaired several times and well-worn.","여러번 수리되어 낡았습니다."
"228378404-0-64057","Repaired several times and well-worn.","여러번 수리되어 낡았습니다."
"242841733-0-64058","Fingerless Gauntlets","반장갑"
"228378404-0-64056","Repaired several times and well-worn.","여러번 수리되어 낡았습니다."
"228378404-0-64055","Repaired several times and well-worn.","여러번 수리되어 낡았습니다."
"228378404-0-64099","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64055","Fingerless Gauntlets","반장갑"
"242841733-0-64099","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64056","Fingerless Gauntlets","반장갑"
"242841733-0-64101","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64102","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64101","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64102","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64100","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64103","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64104","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64100","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64109","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64108","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64107","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64106","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64105","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64104","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64103","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64109","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64080","Made without fingers, for some reason.","어떠한 이유로 손가락이 없게 만든 장갑입니다."
"242841733-0-64105","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64106","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64107","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64108","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64079","Fingerless Gloves","반장갑"
"242841733-0-64112","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64113","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64079","Made without fingers, for some reason.","어떠한 이유로 손가락이 없게 만든 장갑입니다."
"228378404-0-64112","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64113","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64078","Made without fingers, for some reason.","어떠한 이유로 손가락이 없게 만든 장갑입니다."
"228378404-0-64111","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64114","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64077","Made without fingers, for some reason.","어떠한 이유로 손가락이 없게 만든 장갑입니다."
"228378404-0-64110","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64115","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-35033","Soul-Shriven Gloves","Soul-Shriven: 장갑"
"242841733-0-64077","Fingerless Gloves","반장갑"
"242841733-0-64110","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64078","Fingerless Gloves","반장갑"
"242841733-0-64111","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64119","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64118","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64117","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64116","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64115","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"228378404-0-64114","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64116","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64117","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64118","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64119","Stitched Long Gloves","바느질한 긴 장갑"
"228378404-0-64120","Lightly-worn gloves for riding or travelling.","탈 것에 타거나 여행할 때 쓰는 약간 해진 장갑입니다."
"242841733-0-64120","Stitched Long Gloves","바느질한 긴 장갑"
"242841733-0-64080","Fingerless Gloves","반장갑"
