"Location","Source","Target"
"242841733-0-80413","Helm Of The Knightmare","The Knightmare: 투구"
"242841733-0-80896","Helm Of The Dreugh King Slayer","Helm Of The Dreugh King Slayer"
"242841733-0-141105","Jailer's Helm","Jailer's Helm"
"242841733-0-55455","helm^n","helm"
"242841733-0-56783","Helm of Kagrenac's Hope","Helm of Kagrenac's Hope"
"242841733-0-163373","Spell Parasite's Helm","Spell Parasite's Helm"
"242841733-0-155755","Daring Corsair's Helm","Daring Corsair's Helm"
"242841733-0-60801","Helm of the Armor Master","Helm of the Armor Master"
"242841733-0-130456","Innate Axiom Helm","Innate Axiom Helm"
"242841733-0-157932","Grave Guardian's Helm","Grave Guardian's Helm"
"242841733-0-46988","Helm of Night's Silence","Helm of Night's Silence"
"242841733-0-88387","Helm of Cyrodiil's Crest","Helm of Cyrodiil's Crest"
"242841733-0-89235","Helm of Truth","Helm of Truth"
"242841733-0-66114","Alessian Helm","Alessian Helm"
"242841733-0-149076","Undertaker's Helm","Undertaker's Helm"
"242841733-0-108525","Helm of the Dreugh King Slayer","Helm of the Dreugh King Slayer"
"242841733-0-71931","Helm of Tava's Favor","Helm of Tava's Favor"
"242841733-0-127288","Ironblood Helm","Ironblood Helm"
"242841733-0-143777","Might of the Lost Legion Helm","Might of the Lost Legion Helm"
"242841733-0-59822","Helm of the Eternal Yokeda","Helm of the Eternal Yokeda"
"242841733-0-105013","Embershield Helm","Embershield Helm"
"242841733-0-54118","Helm of Shalidor's Curse","Helm of Shalidor's Curse"
"242841733-0-75079","Helm of the Night Mother","Helm of the Night Mother"
"242841733-0-77252","Sithis' Helm","Sithis: 투구"
"242841733-0-47824","Helm of the Seducer","Helm of the Seducer"
"242841733-0-66128","Alessian Helm","Alessian Helm"
"242841733-0-68787","Helm of Permafrost","Permafrost: 투구"
"242841733-0-66121","Alessian Helm","Alessian Helm"
"242841733-0-107688","Knight-Errant's Helm","Knight-Errant's Helm"
"242841733-0-141125","Jailer's Helm","Jailer's Helm"
"242841733-0-143302","Naga Shaman Helm","Naga Shaman Helm"
"242841733-0-80876","Helm Of The Dreugh King Slayer","Dreugh King Slayer: 투구"
