"Location","Source","Target"
"242841733-0-59818","Hat of the Infallible Aether","Hat of the Infallible Aether"
"242841733-0-54125","Hat of Shalidor's Curse","Hat of Shalidor's Curse"
"242841733-0-162046","Roaring Opportunist's Hat","Roaring Opportunist's Hat"
"242841733-0-60808","Hat of the Armor Master","Hat of the Armor Master"
"242841733-0-56300","Hat of Vampire's Kiss","Hat of Vampire's Kiss"
"242841733-0-47831","Hat of the Seducer","Hat of the Seducer"
"242841733-0-110841","Hat of the Worm Cult","Hat of the Worm Cult"
"242841733-0-131303","Hat of Mechanical Acuity","Hat of Mechanical Acuity"
"242841733-0-69626","Hat of Julianos","Hat of Julianos"
"242841733-0-68772","Hat of Succession","Hat of Succession"
"242841733-0-106347","Lamia's Hat","Lamia's Hat"
"242841733-0-122831","War Maiden's Hat","War Maiden's Hat"
"242841733-0-104169","Hat of the Netch's Touch","Hat of the Netch's Touch"
"242841733-0-109850","Hat of the Noble Duelist","Hat of the Noble Duelist"
"242841733-0-78106","Galerion's Hat","Galerion's Hat"
"242841733-0-77259","Sithis' Hat","Sithis' Hat"
"228378404-0-54865","This elegant cowl smells faintly of lilacs. The pleasant scent helps the wearer concentrate amidst chaotic surroundings.","이 우아한 두건에서는 희미한 라일락 냄새가 납니다. 기분 좋은 향기가 혼란스러운 상황 속에서도 착용자의 주의를 집중시킬 수 있도록 도와줍니다."
"242841733-0-155762","Daring Corsair's Hat","Daring Corsair's Hat"
"242841733-0-163380","Spell Parasite's Hat","Spell Parasite's Hat"
"242841733-0-46972","Hat of Night's Silence","Hat of Night's Silence"
"242841733-0-150079","False God's Hat","False God's Hat"
"242841733-0-71945","Hat of Tava's Favor","Hat of Tava's Favor"
"242841733-0-90688","Hat of the Onslaught","Hat of the Onslaught"
"242841733-0-143784","Might of the Lost Legion Hat","Might of the Lost Legion Hat"
"242841733-0-91536","Hat of Alteration Mastery","Hat of Alteration Mastery"
"242841733-0-59836","Hat of the Infallible Aether","Hat of the Infallible Aether"
"242841733-0-162025","Roaring Opportunist's Hat","Roaring Opportunist's Hat"
"242841733-0-117019","Hat of the Phoenix","Hat of the Phoenix"
"242841733-0-143749","Might of the Lost Legion Hat","Might of the Lost Legion Hat"
"242841733-0-53293","Hat of the Eyes of Mara","Hat of the Eyes of Mara"
"242841733-0-7302","Edrald's Wedding Veil of Necropotence","Edrald's Wedding Veil of Necropotence"
"242841733-0-110862","Hat of the Worm Cult","Hat of the Worm Cult"
"242841733-0-47854","Hat of the Seducer","Hat of the Seducer"
"242841733-0-150037","False God's Hat","False God's Hat"
"242841733-0-155727","Daring Corsair's Hat","Daring Corsair's Hat"
"242841733-0-68750","Hat of Succession","Hat of Succession"
"242841733-0-106368","Lamia's Hat","Lamia's Hat"
"242841733-0-122852","War Maiden's Hat","War Maiden's Hat"
"242841733-0-109871","Hat of the Noble Duelist","Hat of the Noble Duelist"
"242841733-0-71910","Hat of Tava's Favor","Hat of Tava's Favor"
"242841733-0-75056","Cowl of the Shadow Dancer","Cowl of the Shadow Dancer"
"242841733-0-104190","Hat of the Netch's Touch","Hat of the Netch's Touch"
"242841733-0-76389","Pelinal's Hat","Pelinal's Hat"
"242841733-0-130463","Innate Axiom Hat","Innate Axiom Hat"
"242841733-0-56790","Hat of Kagrenac's Hope","Hat of Kagrenac's Hope"
"242841733-0-46995","Hat of Night's Silence","Hat of Night's Silence"
"242841733-0-151387","Perfected Nahviintaas's Hat","Perfected Nahviintaas's Hat"
"242841733-0-101919","Prisoner's Hat","죄수의 모자 (Prisoner's Hat)"
"242841733-0-46515","Hat of Death's Wind","Hat of Death's Wind"
"242841733-0-150058","False God's Hat","False God's Hat"
"242841733-0-66106","Hat of Almalexia's Mercy","Hat of Almalexia's Mercy"
"242841733-0-121994","Hat of Daedric Trickery","Hat of Daedric Trickery"
"242841733-0-91515","Hat of Alteration Mastery","Hat of Alteration Mastery"
"242841733-0-90667","Hat of the Onslaught","Hat of the Onslaught"
"242841733-0-76354","Pelinal's Hat","Pelinal's Hat"
"242841733-0-74176","Hat of Vicious Death","Hat of Vicious Death"
"242841733-0-109892","Hat of the Noble Duelist","Hat of the Noble Duelist"
"242841733-0-97298","Hat of a Mother's Sorrow","Hat of a Mother's Sorrow"
"242841733-0-152280","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-55893","Hat of Cyrodiil's Light","Hat of Cyrodiil's Light"
"242841733-0-77685","Moondancer Hat","Moondancer Hat"
"242841733-0-153132","Z'en's Hat","Z'en's Hat"
"242841733-0-152286","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-110883","Hat of the Worm Cult","Hat of the Worm Cult"
"242841733-0-68728","Hat of Succession","Hat of Succession"
"242841733-0-80856","Elegant Hat","Elegant Hat"
"242841733-0-130498","Innate Axiom Hat","Innate Axiom Hat"
"242841733-0-91983","Hat of the Swift","Hat of the Swift"
"242841733-0-67885","Hat of the Combat Physician","Hat of the Combat Physician"
"242841733-0-131338","Hat of Mechanical Acuity","Hat of Mechanical Acuity"
"242841733-0-106389","Lamia's Hat","Lamia's Hat"
"242841733-0-55408","Hood of the Sun","Hood of the Sun"
"242841733-0-52379","Hat of Alessia's Bulwark","Hat of Alessia's Bulwark"
"242841733-0-122873","War Maiden's Hat","War Maiden's Hat"
"242841733-0-152292","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-75035","Cowl of the Shadow Dancer","Cowl of the Shadow Dancer"
"242841733-0-162092","Roaring Opportunist's Hat","Roaring Opportunist's Hat"
"242841733-0-152298","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-101940","Prisoner's Hat","죄수의 모자 (Prisoner's Hat)"
"242841733-0-117040","Hat of the Phoenix","Hat of the Phoenix"
"242841733-0-143344","Naga Shaman Hat","Naga Shaman Hat"
"242841733-0-129498","Thurvokun's Guise","투르보쿤의 변장 (Thurvokun's Guise)"
"242841733-0-90646","Hat of the Onslaught","Hat of the Onslaught"
"242841733-0-129499","Thurvokun's Guise","투르보쿤의 변장 (Thurvokun's Guise)"
"242841733-0-51077","Hat of Hist Bark","Hat of Hist Bark"
"242841733-0-53258","Hat of the Eyes of Mara","Hat of the Eyes of Mara"
"242841733-0-74152","Hat of Vicious Death","Hat of Vicious Death"
"242841733-0-97277","Hat of a Mother's Sorrow","Hat of a Mother's Sorrow"
"242841733-0-123739","Wizard's Riposte Hat^n","Wizard's Riposte Hat"
"242841733-0-143309","Naga Shaman Hat","Naga Shaman Hat"
"242841733-0-152262","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-153111","Z'en's Hat","즈'엔의 모자 (Z'en's Hat)"
"242841733-0-158803","Unchained Aggressor's Hat","Unchained Aggressor's Hat"
"242841733-0-80835","Elegant Hat","Elegant Hat"
"242841733-0-68706","Hat of Succession","Hat of Succession"
"242841733-0-152268","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-91962","Hat of the Swift","Hat of the Swift"
"242841733-0-122414","Shacklebreaker Hat","Shacklebreaker Hat"
"242841733-0-98119","Dreamer's Hat","Dreamer's Hat"
"242841733-0-34980","Shadowsilk Headwrap of the Sun","Shadowsilk Headwrap of the Sun"
"242841733-0-75479","Gladiator's Hat","Gladiator's Hat"
"242841733-0-122894","War Maiden's Hat","War Maiden's Hat"
"242841733-0-56755","Hat of the Eyes of Mara","Hat of the Eyes of Mara"
"242841733-0-74168","Hat of Vicious Death","Hat of Vicious Death"
"242841733-0-75014","Cowl of the Shadow Dancer","Cowl of the Shadow Dancer"
"242841733-0-152274","Grundwulf's Guise","Grundwulf's Guise"
"242841733-0-74160","Hat of Vicious Death","Hat of Vicious Death"
"242841733-0-101961","Prisoner's Hat","죄수의 모자 (Prisoner's Hat)"
"242841733-0-46949","Hat of Night's Silence","Hat of Night's Silence"
"242841733-0-117061","Hat of the Phoenix","Hat of the Phoenix"
"242841733-0-78999","Hat of Imperial Physique","Hat of Imperial Physique"
"242841733-0-90625","Hat of the Onslaught","Hat of the Onslaught"
"242841733-0-79848","Hat of Transmutation","Hat of Transmutation"
"242841733-0-153174","Z'en's Hat","Z'en's Hat"
"242841733-0-159714","Greymoor Skullcap","Greymoor Skullcap"
"242841733-0-78176","Galerion's Hat","Galerion's Hat"
"242841733-0-46589","Hat of Twilight's Embrace","Hat of Twilight's Embrace"
"242841733-0-135740","Adept Rider's Hat","Adept Rider's Hat"
"242841733-0-123760","Wizard's Riposte Hat^n","Wizard's Riposte Hat"
"242841733-0-58570","Burning Spellweave Hat","Burning Spellweave Hat"
"242841733-0-107275","Hat of the Undaunted Unweaver","Hat of the Undaunted Unweaver"
"242841733-0-124611","Inventor's Guard Hat^n","Inventor's Guard Hat"
"242841733-0-59428","Bloodspawn's Guise","Bloodspawn's Guise"
"242841733-0-143379","Naga Shaman Hat","Naga Shaman Hat"
"242841733-0-59429","Bloodspawn's Guise","Bloodspawn's Guise"
"242841733-0-84849","Hat of the Sun","Hat of the Sun"
"242841733-0-11008","Cloudkeeper's Cap","Cloudkeeper's Cap"
"242841733-0-79034","Hat of Imperial Physique","Hat of Imperial Physique"
"242841733-0-45245","hat^n","hat"
"242841733-0-125928","Impregnable Armor Hat^n","Impregnable Armor Hat"
"242841733-0-158873","Unchained Aggressor's Hat","Unchained Aggressor's Hat"
"242841733-0-131373","Hat of Mechanical Acuity","Hat of Mechanical Acuity"
"242841733-0-56370","Hat of the Night Mother","Hat of the Night Mother"
"242841733-0-160708","Hat of Winter's Respite","Hat of Winter's Respite"
"242841733-0-101982","Prisoner's Hat","죄수의 모자 (Prisoner's Hat)"
"242841733-0-91133","Hat of Almalexia's Mercy","Hat of Almalexia's Mercy"
"242841733-0-59430","Bloodspawn's Guise","Bloodspawn's Guise"
"242841733-0-90285","Hat of the Desert Rose","Hat of the Desert Rose"
"242841733-0-59431","Bloodspawn's Guise","Bloodspawn's Guise"
"242841733-0-51917","Hat of the Song of Lamae","Hat of the Song of Lamae"
"242841733-0-59432","Bloodspawn's Guise","Bloodspawn's Guise"
"242841733-0-59433","Bloodspawn's Guise","Bloodspawn's Guise"
"242841733-0-72873","Hat of Bahraha's Curse","Hat of Bahraha's Curse"
"242841733-0-121574","Assassin's Hat","Assassin's Hat"
"242841733-0-144236","Spell Strategist Hat","Spell Strategist Hat"
"242841733-0-107296","Hat of the Undaunted Unweaver","Hat of the Undaunted Unweaver"
"242841733-0-49630","Hat of Oblivion's Foe","Hat of Oblivion's Foe"
"242841733-0-48784","Magnus' Hat","Magnus' Hat"
"242841733-0-122449","Shacklebreaker Hat","Shacklebreaker Hat"
"242841733-0-136615","Nocturnal's Favored Hat","Nocturnal's Favored Hat"
"242841733-0-153153","Z'en's Hat","Z'en's Hat"
"228378404-0-34385","A reward from the Resolutes of Stendarr for cutting through Vila Theran's webs.","A reward from the Resolutes of Stendarr for cutting through Vila Theran's webs."
"242841733-0-123781","Wizard's Riposte Hat^n","Wizard's Riposte Hat"
"242841733-0-125963","Impregnable Armor Hat^n","Impregnable Armor Hat"
"242841733-0-158838","Unchained Aggressor's Hat","Unchained Aggressor's Hat"
"242841733-0-59880","Hat of the Infallible Aether","Hat of the Infallible Aether"
"242841733-0-51940","Hat of the Song of Lamae","Hat of the Song of Lamae"
"242841733-0-109477","Hat of the Warlock","Hat of the Warlock"
"242841733-0-66170","Spell Power Cure Hat","Spell Power Cure Hat"
"242841733-0-84828","Hat of the Sun","Hat of the Sun"
"242841733-0-81313","Lost One's Cowl of Martial Knowledge","Lost One's Cowl of Martial Knowledge"
"242841733-0-55066","Hat of the Arena","Hat of the Arena"
"242841733-0-60878","Hat of the Armor Master","Hat of the Armor Master"
"242841733-0-47448","Whitestrake's Hat","Whitestrake's Hat"
"228378404-0-34375","A gift from the Nereids of Arx Corinium.","A gift from the Nereids of Arx Corinium."
"228378404-0-34381","This cowl can only be worn by the Champion of the Blessed Crucible.","This cowl can only be worn by the Champion of the Blessed Crucible."
"242841733-0-90264","Hat of the Desert Rose","Hat of the Desert Rose"
"242841733-0-91112","Hat of Almalexia's Mercy","Hat of Almalexia's Mercy"
"242841733-0-69696","Hat of Julianos","Hat of Julianos"
"242841733-0-72851","Hat of Bahraha's Curse","Hat of Bahraha's Curse"
"242841733-0-70676","Hat of Morkuldin","Hat of Morkuldin"
"242841733-0-145542","Helm of the Schemer","Helm of the Schemer"
"242841733-0-144215","Spell Strategist Hat","Spell Strategist Hat"
"242841733-0-111333","Hat of the Scathing Mage","Hat of the Scathing Mage"
"242841733-0-157574","Draugrkin Hat","Draugrkin Hat"
"242841733-0-71980","Hat of Tava's Favor","Hat of Tava's Favor"
"242841733-0-45210","hat^n","hat"
"242841733-0-7720","Sonya's Bridal Veil","Sonya's Bridal Veil"
"242841733-0-158429","Hat of Critical Riposte","Hat of Critical Riposte"
"242841733-0-159753","Temp_Z_Magi's Hat","Temp_Z_Magi's Hat"
"242841733-0-60843","Hat of the Armor Master","Hat of the Armor Master"
"242841733-0-57681","Hat of the Undaunted Unweaver","Hat of the Undaunted Unweaver"
"242841733-0-72820","Eternal Hunt Hat","Eternal Hunt Hat"
