"Location","Source","Target"
"242841733-0-164226","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-76397","Pelinal's Helmet","Pelinal's Helmet"
"242841733-0-164225","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-142436","Dead-Water's Guile Helmet","Dead-Water's Guile Helmet"
"242841733-0-164224","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-164223","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-137087","Relequen's Helmet","Relequen's Helmet"
"242841733-0-164222","Temp_Z_Stam's Helmet","Temp_Z_Stam's Helmet"
"242841733-0-164221","Temp_Z_Stam's Helmet","Temp_Z_Stam's Helmet"
"242841733-0-46980","Helmet of Night's Silence","Helmet of Night's Silence"
"242841733-0-69619","Helmet of Julianos","Helmet of Julianos"
"242841733-0-98183","Helmet of the Ranger","Helmet of the Ranger"
"242841733-0-71938","Helmet of Tava's Favor","Helmet of Tava's Favor"
"242841733-0-141598","Savage Werewolf's Helmet","Savage Werewolf's Helmet"
"242841733-0-144623","Soldier of Anguish Helmet","Soldier of Anguish Helmet"
"242841733-0-60816","Helmet of the Armor Master","Helmet of the Armor Master"
"242841733-0-53266","Helmet of the Eyes of Mara","Helmet of the Eyes of Mara"
"242841733-0-59829","Helmet of the Vicious Ophidian","Helmet of the Vicious Ophidian"
"242841733-0-163388","Spell Parasite's Helmet","Spell Parasite's Helmet"
"242841733-0-121967","Helmet of Daedric Trickery","Helmet of Daedric Trickery"
"242841733-0-51085","Helmet of Hist Bark","Helmet of Hist Bark"
"228378404-0-1664","This cowl is difficult to see in poor light. It does not impede the wearer's field of view.","이 두건은 어두운 곳에 있으면 눈에 잘 띄지 않습니다. 착용자의 시야는 가리지 않지만 말이죠."
"242841733-0-164230","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-117489","Helmet of the Shield Breaker","Helmet of the Shield Breaker"
"242841733-0-99020","Swamp Raider's Helmet","Swamp Raider's Helmet"
"242841733-0-130436","Innate Axiom Helmet","Innate Axiom Helmet"
"228378404-0-1662","This helm glows with a pale yellow light. It was long ago worn by the powerful necromancer Telacar.","이 투구는 창백한 노란빛으로 빛나고 있습니다. 이 투구는 오래 전 강력했던 강령술사 텔라카가 쓰고 있었습니다."
"242841733-0-68780","Helmet of the Shield Breaker","Helmet of the Shield Breaker"
"242841733-0-142456","Dead-Water's Guile Helmet","Dead-Water's Guile Helmet"
"242841733-0-92869","Helmet of the Shadow Walker","Helmet of the Shadow Walker"
"242841733-0-164229","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-129458","Plague Slinger Helmet","Plague Slinger Helmet"
"242841733-0-164228","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-164227","Temp_Z_Stam's Perfect Helmet","Temp_Z_Stam's Perfect Helmet"
"242841733-0-163353","Spell Parasite's Helmet","Spell Parasite's Helmet"
"242841733-0-7304","Ravenwatch Mask","Ravenwatch Mask"
"242841733-0-46522","Helmet of Death's Wind","Helmet of Death's Wind"
"242841733-0-130471","Innate Axiom Helmet","Innate Axiom Helmet"
"242841733-0-98163","Helmet of the Ranger","Helmet of the Ranger"
"242841733-0-149054","Vastarie's Helmet","Vastarie's Helmet"
"242841733-0-157907","Aegis Caller's Helmet","Aegis Caller's Helmet"
"242841733-0-107213","Hulking Draugr's Helmet","Hulking Draugr's Helmet"
"242841733-0-99000","Swamp Raider's Helmet","Swamp Raider's Helmet"
"242841733-0-56798","Helmet of Kagrenac's Hope","Helmet of Kagrenac's Hope"
"242841733-0-143757","Might of the Lost Legion Helmet","Might of the Lost Legion Helmet"
"242841733-0-141578","Savage Werewolf's Helmet","Savage Werewolf's Helmet"
"242841733-0-55467","Urata's Mask of Mockery","Sunderflame: Urata's Mask of Mockery"
"242841733-0-144603","Soldier of Anguish Helmet","Soldier of Anguish Helmet"
"242841733-0-78569","The Vicecanon's Helmet","The Vicecanon's Helmet"
"242841733-0-54133","Helmet of Shalidor's Curse","Helmet of Shalidor's Curse"
"242841733-0-77232","Helmet of Flanking","Helmet of Flanking"
"242841733-0-131311","Helmet of Mechanical Acuity","Helmet of Mechanical Acuity"
"242841733-0-68758","Helmet of the Shield Breaker","Helmet of the Shield Breaker"
"242841733-0-47839","Helmet of the Seducer","Helmet of the Seducer"
"242841733-0-155735","Daring Corsair's Helmet","Daring Corsair's Helmet"
"242841733-0-92849","Helmet of the Shadow Walker","Helmet of the Shadow Walker"
"242841733-0-128144","Blooddrinker Helmet","Blooddrinker: 헬멧"
"242841733-0-59811","Helmet of the Vicious Ophidian","Helmet of the Vicious Ophidian"
"242841733-0-56308","Helmet of Vampire's Kiss","Helmet of Vampire's Kiss"
"242841733-0-52387","Helmet of Alessia's Bulwark","Helmet of Alessia's Bulwark"
"242841733-0-78534","The Vicecanon's Helmet","The Vicecanon's Helmet"
"242841733-0-152282","Grundwulf's Mask","Grundwulf's Mask"
"242841733-0-131346","Helmet of Mechanical Acuity","Helmet of Mechanical Acuity"
"242841733-0-152288","Grundwulf's Mask","Grundwulf's Mask"
"242841733-0-155313","Dragonguard Elite's Helmet","Dragonguard Elite's Helmet"
"242841733-0-67403","Helmet of Toxic Defiance","Helmet of Toxic Defiance"
"242841733-0-86164","Werewolf Hide Helmet","Werewolf Hide Helmet"
