"Location","Source","Target"
"242841733-0-80414","Greaves Of The Knightmare","The Knightmare: 각갑"
"242841733-0-80897","Greaves Of The Dreugh King Slayer","Greaves Of The Dreugh King Slayer"
"242841733-0-60802","Greaves of the Armor Master","Greaves of the Armor Master"
"242841733-0-141106","Jailer's Greaves","Jailer's Greaves"
"242841733-0-56784","Greaves of Kagrenac's Hope","Greaves of Kagrenac's Hope"
"242841733-0-163374","Spell Parasite's Greaves","Spell Parasite's Greaves"
"242841733-0-155756","Daring Corsair's Greaves","Daring Corsair's Greaves"
"242841733-0-157933","Grave Guardian's Greaves","Grave Guardian's Greaves"
"242841733-0-152246","Caravaner's Greaves","Caravaner's Greaves"
"242841733-0-69617","Greaves of Julianos","Greaves of Julianos"
"242841733-0-66115","Alessian Greaves","Alessian Greaves"
"242841733-0-88388","Greaves of Cyrodiil's Crest","Greaves of Cyrodiil's Crest"
"242841733-0-47825","Greaves of the Seducer","Greaves of the Seducer"
"242841733-0-71936","Greaves of Tava's Favor","Greaves of Tava's Favor"
"242841733-0-108526","Greaves of the Dreugh King Slayer","Greaves of the Dreugh King Slayer"
"242841733-0-89236","Greaves of Truth","Greaves of Truth"
"242841733-0-149077","Undertaker's Greaves","Undertaker's Greaves"
"242841733-0-54119","Greaves of Shalidor's Curse","Greaves of Shalidor's Curse"
"242841733-0-127289","Ironblood Greaves","Ironblood Greaves"
"242841733-0-105014","Embershield Greaves","Embershield Greaves"
"242841733-0-59827","Greaves of the Eternal Yokeda","Greaves of the Eternal Yokeda"
"242841733-0-165547","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-165548","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-165549","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-143778","Might of the Lost Legion Greaves","Might of the Lost Legion Greaves"
"242841733-0-77253","Sithis' Greaves","Sithis: 각갑"
"242841733-0-68788","Greaves of Permafrost","Permafrost: 각갑"
"242841733-0-66122","Alessian Greaves","Alessian Greaves"
"242841733-0-165550","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-107689","Knight-Errant's Greaves","Knight-Errant's Greaves"
"242841733-0-141126","Jailer's Greaves","Jailer's Greaves"
"242841733-0-143303","Naga Shaman Greaves","Naga Shaman Greaves"
"242841733-0-142898","Grave-Stake Collector Greaves","Grave-Stake Collector Greaves"
"228378404-0-54879","These ancient greaves were made for a Yokudan soldier of high rank.","These ancient greaves were made for a Yokudan soldier of high rank."
"242841733-0-43016","Strifeswarm Legplates of the Shalk","Strifeswarm Legplates of the Shalk"
"242841733-0-80877","Greaves Of The Dreugh King Slayer","Dreugh King Slayer: 각갑"
"242841733-0-47848","Greaves of the Seducer","Greaves of the Seducer"
"242841733-0-89216","Greaves of Truth","Greaves of Truth"
"242841733-0-88368","Greaves of Cyrodiil's Crest","Cyrodiil's Crest: 각갑"
"242841733-0-165543","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-111707","Greaves of Leeching","Greaves of Leeching"
"242841733-0-165544","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-165545","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-129006","Curse of Doylemish Greaves","Curse of Doylemish Greaves"
"242841733-0-165546","Temp_Z_Tank's Perfect Greaves","Temp_Z_Tank's Perfect Greaves"
"242841733-0-99484","Greaves of the Order of Diagna","Order of Diagna: 각갑"
"242841733-0-161185","Greaves of Eternal Vigor","Greaves of Eternal Vigor"
"242841733-0-59809","Greaves of the Eternal Yokeda","Greaves of the Eternal Yokeda"
"242841733-0-53287","Greaves of the Eyes of Mara","Greaves of the Eyes of Mara"
"242841733-0-7316","House Dorell Greaves","House Dorell Greaves"
"242841733-0-121988","Greaves of Daedric Trickery","Greaves of Daedric Trickery"
"242841733-0-46511","Greaves of Death's Wind","Greaves of Death's Wind"
"242841733-0-76383","Pelinal's Greaves","Pelinal's Greaves"
"242841733-0-154895","Senchal Defender's Greaves","Senchal Defender's Greaves"
"242841733-0-46989","Greaves of Night's Silence","Greaves of Night's Silence"
"242841733-0-68766","Greaves of Glory","Greaves of Glory"
"242841733-0-130457","Innate Axiom Greaves","Innate Axiom Greaves"
"242841733-0-89682","Greaves of the Sergeant","Greaves of the Sergeant"
"242841733-0-164206","Greaves^n","Greaves"
"242841733-0-164268","Greaves^n","Greaves"
"242841733-0-130492","Innate Axiom Greaves","Innate Axiom Greaves"
"242841733-0-146839","Frozen Watcher's Greaves","Frozen Watcher's Greaves"
"242841733-0-155795","Ancient Dragonguard's Greaves","Ancient Dragonguard's Greaves"
"242841733-0-164262","Greaves^n","Greaves"
"242841733-0-157973","Grave Guardian's Greaves","Grave Guardian's Greaves"
"242841733-0-65219","Greaves of Beckoning Steel","Greaves of Beckoning Steel"
"242841733-0-66549","Greaves of Leeching","Greaves of Leeching"
"242841733-0-46943","Greaves of Night's Silence","Night's Silence: 각갑"
"242841733-0-87013","Greaves of the Footman","Greaves of the Footman"
"242841733-0-65226","Greaves of Beckoning Steel","Greaves of Beckoning Steel"
"242841733-0-109416","Ice Furnace Greaves","Ice Furnace Greaves"
"242841733-0-111727","Greaves of Leeching","Greaves of Leeching"
"242841733-0-76348","Pelinal's Greaves","Pelinal's Greaves"
"242841733-0-77679","Greaves of the Lunar Bastion","Greaves of the Lunar Bastion"
"242841733-0-129026","Curse of Doylemish Greaves","Curse of Doylemish Greaves"
"242841733-0-144666","Steadfast Hero Greaves","Steadfast Hero Greaves"
"242841733-0-55405","Thunderous Greaves","Thunderous: 각갑"
"242841733-0-55887","Ravaging Greaves","Ravaging Greaves"
"242841733-0-143338","Naga Shaman Greaves","Naga Shaman Greaves"
"242841733-0-52373","Greaves of Alessia's Bulwark","Greaves of Alessia's Bulwark"
"242841733-0-158832","Unchained Aggressor's Greaves","Unchained Aggressor's Greaves"
"242841733-0-131332","Greaves of Mechanical Acuity","Greaves of Mechanical Acuity"
"242841733-0-71901","Greaves of Tava's Favor","Greaves of Tava's Favor"
"242841733-0-89662","Greaves of the Sergeant","Greaves of the Sergeant"
"242841733-0-68744","Greaves of Glory","Greaves of Glory"
"242841733-0-141166","Jailer's Greaves","Jailer's Greaves"
