"Location","Source","Target"
"242841733-0-54126","Breeches of Shalidor's Curse","Breeches of Shalidor's Curse"
"242841733-0-162047","Roaring Opportunist's Breeches","Roaring Opportunist's Breeches"
"242841733-0-60809","Breeches of the Armor Master","Breeches of the Armor Master"
"242841733-0-56301","Breeches of Vampire's Kiss","Breeches of Vampire's Kiss"
"242841733-0-76390","Pelinal's Breeches","Pelinal's Breeches"
"242841733-0-110842","Breeches of the Worm Cult","Breeches of the Worm Cult"
"242841733-0-152244","Caravaner's Breeches","Caravaner's Breeches"
"242841733-0-66107","Breeches of Almalexia's Mercy","Breeches of Almalexia's Mercy"
"242841733-0-47832","Breeches of the Seducer","Breeches of the Seducer"
"242841733-0-150059","False God's Breeches","False God's Breeches"
"242841733-0-106348","Lamia's Breeches","Lamia: 라미아의 바지"
"242841733-0-68773","Breeches of Succession","Breeches of Succession"
"242841733-0-122832","War Maiden's Breeches","War Maiden's Breeches"
"242841733-0-109851","Breeches of the Noble Duelist","Breeches of the Noble Duelist"
"242841733-0-78107","Galerion's Breeches","Galerion's Breeches"
"242841733-0-104170","Breeches of the Netch's Touch","Breeches of the Netch's Touch"
"242841733-0-155763","Daring Corsair's Breeches","Daring Corsair's Breeches"
"242841733-0-163381","Spell Parasite's Breeches","Spell Parasite's Breeches"
"242841733-0-46973","Breeches of Night's Silence","Breeches of Night's Silence"
"242841733-0-69632","Breeches of Julianos","Breeches of Julianos"
"242841733-0-91537","Breeches of Alteration Mastery","Breeches of Alteration Mastery"
"242841733-0-90689","Breeches of the Onslaught","Breeches of the Onslaught"
"242841733-0-53259","Breeches of the Eyes of Mara","Breeches of the Eyes of Mara"
"242841733-0-143785","Might of the Lost Legion Breeches","Might of the Lost Legion Breeches"
"242841733-0-162026","Roaring Opportunist's Breeches","Roaring Opportunist's Breeches"
"242841733-0-7309","Nedras' Leather Pants","Nedras' Leather Pants"
"242841733-0-53294","Breeches of the Eyes of Mara","Breeches of the Eyes of Mara"
"242841733-0-110863","Breeches of the Worm Cult","Breeches of the Worm Cult"
"242841733-0-150038","False God's Breeches","False God's Breeches"
"242841733-0-43017","Ancestor's Kilt of the Sun","Ancestor's Kilt of the Sun"
"242841733-0-47855","Breeches of the Seducer","Breeches of the Seducer"
"242841733-0-71916","Breeches of Tava's Favor","Breeches of Tava's Favor"
"242841733-0-155728","Daring Corsair's Breeches","Daring Corsair's Breeches"
"242841733-0-68751","Breeches of Succession","Breeches of Succession"
"242841733-0-143750","Might of the Lost Legion Breeches","Might of the Lost Legion Breeches"
"242841733-0-106369","Lamia's Breeches","Lamia's Breeches"
"242841733-0-122853","War Maiden's Breeches","War Maiden's Breeches"
