"Location","Source","Target"
"242841733-0-59816","Guards of the Vicious Ophidian","Guards of the Vicious Ophidian"
"242841733-0-76398","Pelinal's Guards","Pelinal's Guards"
"242841733-0-142437","Dead-Water's Guile Guards","Dead-Water's Guile Guards"
"242841733-0-137088","Relequen's Guards","Relequen's Guards"
"242841733-0-46981","Guards of Night's Silence","Guards of Night's Silence"
"242841733-0-78570","The Vicecanon's Guards","The Vicecanon's Guards"
"242841733-0-152245","Caravaner's Leg Guards","Caravaner's Leg Guards"
"242841733-0-98184","Guards of the Ranger","Guards of the Ranger"
"242841733-0-69624","Guards of Julianos","Guards of Julianos"
"242841733-0-117470","Guards of the Shield Breaker","Guards of the Shield Breaker"
"242841733-0-92870","Guards of the Shadow Walker","Guards of the Shadow Walker"
"242841733-0-144624","Soldier of Anguish Guards","Soldier of Anguish Guards"
"242841733-0-141599","Savage Werewolf's Guards","Savage Werewolf's Guards"
"242841733-0-164237","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-163389","Spell Parasite's Guards","Spell Parasite's Guards"
"242841733-0-164236","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-164235","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-53267","Guards of the Eyes of Mara","Guards of the Eyes of Mara"
"242841733-0-164234","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-164233","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-121968","Guards of Daedric Trickery","Guards of Daedric Trickery"
"242841733-0-164232","Temp_Z_Stam's Guards","Temp_Z_Stam's Guards"
"242841733-0-164231","Temp_Z_Stam's Guards","Temp_Z_Stam's Guards"
"242841733-0-51086","Guards of Hist Bark","Guards of Hist Bark"
"242841733-0-60817","Guards of the Armor Master","Guards of the Armor Master"
"242841733-0-99021","Swamp Raider's Guards","Swamp Raider's Guards"
"242841733-0-130437","Innate Axiom Guards","Innate Axiom Guards"
"242841733-0-129459","Plague Slinger Guards","Plague Slinger Guards"
"242841733-0-68781","Guards of the Shield Breaker","Guards of the Shield Breaker"
"242841733-0-59834","Guards of the Vicious Ophidian","Guards of the Vicious Ophidian"
"242841733-0-142457","Dead-Water's Guile Guards","Dead-Water's Guile Guards"
"242841733-0-71943","Guards of Tava's Favor","Guards of Tava's Favor"
"242841733-0-98164","Guards of the Ranger","The Ranger: 다리보호대"
"242841733-0-163354","Spell Parasite's Guards","Spell Parasite's Guards"
"242841733-0-130472","Innate Axiom Guards","Innate Axiom Guards"
"242841733-0-46523","Guards of Death's Wind","Guards of Death's Wind"
"242841733-0-92850","Guards of the Shadow Walker","Guards of the Shadow Walker"
"242841733-0-157908","Aegis Caller's Guards","Aegis Caller's Guards"
"242841733-0-117490","Guards of the Shield Breaker","Guards of the Shield Breaker"
"242841733-0-149055","Vastarie's Guards","Vastarie's Guards"
"242841733-0-107214","Hulking Draugr's Guards","Hulking Draugr's Guards"
"242841733-0-99001","Swamp Raider's Guards","Swamp Raider's Guards"
"242841733-0-56799","Guards of Kagrenac's Hope","Guards of Kagrenac's Hope"
"242841733-0-143758","Might of the Lost Legion Guards","Might of the Lost Legion Guards"
"242841733-0-144604","Soldier of Anguish Guards","Soldier of Anguish Guards"
"242841733-0-141579","Savage Werewolf's Guards","Savage Werewolf's Guards"
"242841733-0-54134","Guards of Shalidor's Curse","Guards of Shalidor's Curse"
"242841733-0-77233","Guards of Flanking","Guards of Flanking"
"242841733-0-131312","Guards of Mechanical Acuity","Guards of Mechanical Acuity"
"242841733-0-47840","Guards of the Seducer","Guards of the Seducer"
"242841733-0-68759","Guards of the Shield Breaker","Guards of the Shield Breaker"
"242841733-0-155736","Daring Corsair's Guards","Daring Corsair's Guards"
"242841733-0-128145","Blooddrinker Guards","Blooddrinker: 다리보호대"
"242841733-0-56309","Guards of Vampire's Kiss","Guards of Vampire's Kiss"
"242841733-0-78535","The Vicecanon's Guards","The Vicecanon's Guards"
"242841733-0-52388","Guards of Alessia's Bulwark","Guards of Alessia's Bulwark"
"242841733-0-7326","Ordinator Chausses","Ordinator Chausses"
"242841733-0-131347","Guards of Mechanical Acuity","Guards of Mechanical Acuity"
"242841733-0-155314","Dragonguard Elite's Guards","Dragonguard Elite's Guards"
"242841733-0-67404","Guards of Toxic Defiance","Guards of Toxic Defiance"
"242841733-0-92830","Guards of the Shadow Walker","Shadow Walker: 다리보호대"
"242841733-0-86165","Werewolf Hide Guards","Werewolf Hide Guards"
"242841733-0-125902","Impregnable Armor Guards^p","Impregnable Armor Guards"
"242841733-0-105056","Hircine's Guards","Hircine's Guards"
"242841733-0-108568","Barkskin Guards","Barkskin Guards"
"242841733-0-107234","Hulking Draugr's Guards","Hulking Draugr's Guards"
"242841733-0-77213","Guards of Flanking","Guards of Flanking"
"242841733-0-76363","Pelinal's Guards","Pelinal's Guards"
"242841733-0-55400","Fiord's Guards","Fiord: 피오르드 다리보호대"
"242841733-0-77694","Guards of Alkosh","Guards of Alkosh"
"242841733-0-55881","Leg Guards of the Twin Sisters","Leg Guards of the Twin Sisters"
"242841733-0-100606","Spriggan's Guards","Spriggan: 스프리건의 다리보호대"
"242841733-0-68737","Guards of the Shield Breaker","Guards of the Shield Breaker"
"242841733-0-71908","Guards of Tava's Favor","Guards of Tava's Favor"
"242841733-0-128165","Blooddrinker Guards","Blooddrinker Guards"
"242841733-0-142497","Dead-Water's Guile Guards","Dead-Water's Guile Guards"
"242841733-0-56729","Guards of Orgnum's Scales","Guards of Orgnum's Scales"
"242841733-0-51039","Guards of Hist Bark","Guards of Hist Bark"
"242841733-0-56764","Guards of the Eyes of Mara","Guards of the Eyes of Mara"
"242841733-0-75488","Gladiator's Guards","Gladiator's Guards"
"242841733-0-164240","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-155771","Daring Corsair's Guards","Daring Corsair's Guards"
"242841733-0-47805","Guards of the Seducer","Guards of the Seducer"
"242841733-0-46958","Guards of Night's Silence","Night's Silence: 다리보호대"
"242841733-0-86145","Werewolf Hide Guards","Werewolf Hide Guards"
"242841733-0-110415","Storm Master's Guards","Storm Master: 폭풍대가의 다리보호대"
"242841733-0-108588","Barkskin Guards","Barkskin Guards"
"242841733-0-76328","Pelinal's Guards","Pelinal's Guards"
"242841733-0-105076","Hircine's Guards","Hircine's Guards"
"242841733-0-143793","Might of the Lost Legion Guards","Might of the Lost Legion Guards"
"242841733-0-164239","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-164238","Temp_Z_Stam's Perfect Guards","Temp_Z_Stam's Perfect Guards"
"242841733-0-143318","Naga Shaman Guards","Naga Shaman Guards"
"242841733-0-99442","Sword-Singer's Guards","Sword-Singer's Guards"
"242841733-0-77671","Hircine's Guards","Hircine's Guards"
"242841733-0-128185","Blooddrinker Guards","Blooddrinker Guards"
"242841733-0-7359","Werewolf Hide Kip's Roguish Leathers","Werewolf Hide Kip's Roguish Leathers"
"242841733-0-100626","Spriggan's Guards","Spriggan's Guards"
"242841733-0-110435","Storm Master's Guards","Storm Master's Guards"
"242841733-0-65689","Shock Master's Guards","Shock Master's Guards"
"242841733-0-158812","Unchained Aggressor's Guards","Unchained Aggressor's Guards"
"242841733-0-68715","Guards of the Shield Breaker","Shield Breaker: 다리보호대"
"242841733-0-142477","Dead-Water's Guile Guards","Dead-Water's Guile Guards"
"242841733-0-131382","Guards of Mechanical Acuity","Guards of Mechanical Acuity"
"242841733-0-105096","Hircine's Guards","Hircine's Guards"
"242841733-0-45255","guards^p","guards"
"242841733-0-125937","Impregnable Armor Guards^p","Impregnable Armor Guards"
"242841733-0-155354","Dragonguard Elite's Guards","Dragonguard Elite's Guards"
"242841733-0-60887","Guards of the Armor Master","Guards of the Armor Master"
"242841733-0-146881","Guards of Scavenging Demise","Guards of Scavenging Demise"
"242841733-0-51926","Guards of the Song of Lamae","Song of Lamae: 다리보호대"
"242841733-0-82681","Heem-Jas' Guards","Heem-Jas' Guards"
"242841733-0-100646","Spriggan's Guards","Spriggan's Guards"
"228378404-0-7359","For disrupting the Red Rook and Bloodthorn meeting at the Dwynnarth Ruins, these medium leggings were awarded.","For disrupting the Red Rook and Bloodthorn meeting at the Dwynnarth Ruins, these medium leggings were awarded."
"242841733-0-149914","Lokkestiiz's Guards","Lokkestiiz's Guards"
"242841733-0-121583","Assassin's Guards","Assassin: 암살자의 다리보호대"
"242841733-0-114810","Guards of Syvarra's Scales","Guards of Syvarra's Scales"
"242841733-0-56379","Guards of the Night Mother","Guards of the Night Mother"
"242841733-0-72882","Guards of Bahraha's Curse","Guards of Bahraha's Curse"
"242841733-0-159724","Ghamborz's Rough Leggings","Ghamborz's Rough Leggings"
"242841733-0-46575","Guards of Twilight's Embrace","Twilight's Embrace: 다리보호대"
"242841733-0-47422","Whitestrake's Guards","Whitestrake's Guards"
"242841733-0-110455","Storm Master's Guards","Storm Master's Guards"
"242841733-0-70219","Guards of Trials","Guards of Trials"
"242841733-0-75908","Guards of Varen's Legacy","Guards of Varen's Legacy"
"242841733-0-93314","Guards of the Hawk's Eye","Guards of the Hawk's Eye"
"242841733-0-92466","Barkskin Guards","Barkskin: 다리보호대"
"242841733-0-67054","Guards of Sheer Venom","Guards of Sheer Venom"
"242841733-0-143388","Naga Shaman Guards","Naga Shaman Guards"
"242841733-0-122423","Shacklebreaker Guards","Shacklebreaker Guards"
"242841733-0-58589","Sunderflame Guards","Sunderflame Guards"
"242841733-0-79008","Guards of Imperial Physique","Guards of Imperial Physique"
"242841733-0-155334","Dragonguard Elite's Guards","Dragonguard Elite's Guards"
"242841733-0-157510","Cast-Off Leg Guards","Cast-Off Leg Guards"
"242841733-0-47457","Whitestrake's Guards","Whitestrake's Guards"
"242841733-0-158847","Unchained Aggressor's Guards","Unchained Aggressor's Guards"
