"Location","Source","Target"
"242841733-0-63919","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63915","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63916","Side-Stitched Trousers","옆면을 바느질한 바지"
"228378404-0-63968","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"242841733-0-63917","Side-Stitched Trousers","옆면을 바느질한 바지"
"228378404-0-63969","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"242841733-0-63918","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63911","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63912","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63913","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63914","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63910","Side-Stitched Trousers","옆면을 바느질한 바지"
"228378404-0-63966","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"228378404-0-63967","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63964","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"228378404-0-63965","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"228378404-0-63962","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"228378404-0-63963","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"228378404-0-63960","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"228378404-0-63961","Made for hard travel or city-living style.","장거리 여행 혹은 도시 삶을 위한 스타일입니다."
"242841733-0-63926","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"242841733-0-63927","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"242841733-0-63928","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"228378404-0-63979","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"242841733-0-63929","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"242841733-0-63922","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63923","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"242841733-0-63924","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"242841733-0-63925","Aproned Kilt and Trousers","에이프런 킬트와 바지"
"242841733-0-63920","Side-Stitched Trousers","옆면을 바느질한 바지"
"242841733-0-63921","Side-Stitched Trousers","옆면을 바느질한 바지"
"228378404-0-63970","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63977","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63978","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63975","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63976","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63973","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63974","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63971","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63972","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63908","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63909","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63906","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63907","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63904","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63905","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63902","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63903","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"242841733-0-63977","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63978","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63979","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63973","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63974","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63975","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63976","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63980","Loose-Fit Trousers","헐렁한 바지"
"228378404-0-63980","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"242841733-0-63981","Loose-Fit Trousers","헐렁한 바지"
"228378404-0-63981","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"242841733-0-63982","Loose-Fit Trousers","헐렁한 바지"
"242841733-0-63983","Loose-Fit Trousers","헐렁한 바지"
"228378404-0-63988","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
"228378404-0-63901","Sackcloth trousers, roughly stitched together and bound at the ankle.","삼베 바지. 거칠게 바느질 되고 발목에서 묶여있습니다."
"228378404-0-63986","Fitted and comfortable. Definitely not trousers for work.","체형에 맞고 편안합니다. 분명히 작업용 바지는 아닐 것입니다."
