"Location","Source","Target"
"242841733-0-140017","Necklace of Morkuldin","Necklace of Morkuldin"
"242841733-0-140016","Necklace of the Code","Necklace of the Code"
"242841733-0-140019","Clever Alchemist Necklace","Clever Alchemist Necklace"
"242841733-0-140018","Necklace of Tava's Favor","Necklace of Tava's Favor"
"242841733-0-123913","Automated Defense Necklace^n","Automated Defense: 목걸이"
"242841733-0-75062","Necklace of the Shadow Dancer","Shadow Dancer: 목걸이"
"242841733-0-93722","Necklace of Cyrodiil's Ward","Cyrodiil's Ward: 목걸이"
"242841733-0-92630","Necklace of the Valiant","The Valiant: 목걸이"
"242841733-0-140020","Eternal Hunt Necklace","Eternal Hunt Necklace"
"242841733-0-128373","Ulfnor's Favor Necklace","Ulfnor's Favor: 목걸이"
"242841733-0-140022","Necklace of Varen's Legacy","Necklace of Varen's Legacy"
"242841733-0-140021","Gladiator's Necklace","Gladiator's Necklace"
"242841733-0-140024","Assassin's Necklace","Assassin's Necklace"
"242841733-0-140023","Pelinal's Necklace","Pelinal's Necklace"
"242841733-0-140026","Shacklebreaker Necklace","Shacklebreaker Necklace"
"242841733-0-140025","Necklace of Daedric Trickery","Necklace of Daedric Trickery"
"242841733-0-140028","Fortified Brass Necklace","Fortified Brass Necklace"
"242841733-0-140027","Innate Axiom Necklace","Innate Axiom Necklace"
"242841733-0-140029","Necklace of Mechanical Acuity","Necklace of Mechanical Acuity"
"242841733-0-5116","necklace^n","목걸이"
"242841733-0-156850","Hiti's Amulet","Hiti's Amulet"
"242841733-0-152248","Sweetsilver Pendant","Sweetsilver Pendant"
"242841733-0-107449","Bone Pirate's Necklace","Bone Pirate: 뼈다귀 해적의 목걸이"
"242841733-0-140031","Adept Rider's Necklace","Adept Rider's Necklace"
"242841733-0-34752","Thunderbug Carapace Heretic's Necklace","Thunderbug Carapace Heretic's Necklace"
"242841733-0-140033","Sload's Necklace","Sload's Necklace"
"242841733-0-140035","Nocturnal's Favored Necklace","Nocturnal's Favored Necklace"
"242841733-0-128127","Blooddrinker Necklace","Blooddrinker: 목걸이"
"228378404-0-159726","For saving her daughter, Lady Ninetha of Morthal gave you this necklace.","For saving her daughter, Lady Ninetha of Morthal gave you this necklace."
"242841733-0-163111","Spell Parasite's Amulet","Spell Parasite's Amulet"
"242841733-0-142419","Dead-Water's Guile Necklace","Dead-Water's Guile Necklace"
"242841733-0-151370","Perfected Nahviintaas's Amulet","Perfected Nahviintaas's Amulet"
"242841733-0-149059","Undertaker's Amulet","Undertaker's Amulet"
"242841733-0-86189","Necklace of the Withered Hand","Withered Hand: 목걸이"
"228378404-0-1673","There is a tiny etching of an ear on the back of this amulet. In dim light, the etching glows faintly.","이 부적의 뒷면에는 작은 귀가 새겨져 있습니다. 새겨진 귀 모양은 어둑한 빛 속에서 희미하게 빛을 발합니다."
"242841733-0-34300","Odilon's Spectral Amulet of the Wyrd Tree","Odilon's Spectral Amulet of the Wyrd Tree"
"242841733-0-140000","Necklace of Hist Bark","Necklace of Hist Bark"
"242841733-0-163109","Spell Parasite's Amulet","Spell Parasite's Amulet"
"242841733-0-122611","Warrior-Poet's Necklace","Warrior-Poet: 시인전사의 목걸이"
"242841733-0-105038","Hircine's Necklace","Hircine's Necklace"
"242841733-0-140002","Necklace of Hunding's Rage","Hunding's Rage: 목걸이"
"242841733-0-140001","Necklace of the Willow's Path","Necklace of the Willow's Path"
"242841733-0-163107","Spell Parasite's Amulet","Spell Parasite's Amulet"
"242841733-0-140004","Necklace of Alessia's Bulwark","Necklace of Alessia's Bulwark"
