"Location","Source","Target"
"242841733-0-141107","Jailer's Pauldron","Jailer's Pauldron"
"242841733-0-80898","Pauldron Of The Dreugh King Slayer","Pauldron Of The Dreugh King Slayer"
"242841733-0-165558","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-55457","shoulders^n","shoulders"
"242841733-0-60803","Pauldron of the Armor Master","Pauldron of the Armor Master"
"242841733-0-107670","Knight-Errant's Pauldron","Knight-Errant's Pauldron"
"242841733-0-56785","Pauldron of Kagrenac's Hope","Pauldron of Kagrenac's Hope"
"242841733-0-163375","Spell Parasite's Pauldrons","Spell Parasite's Pauldrons"
"242841733-0-54120","Pauldron of Shalidor's Curse","Pauldron of Shalidor's Curse"
"242841733-0-5104","pauldron^p","견갑"
"242841733-0-157934","Grave Guardian's Pauldrons","Grave Guardian's Pauldrons"
"242841733-0-80415","Pauldron Of The Knightmare","The Knightmare: 견갑"
"242841733-0-66116","Alessian Pauldron","Alessian: 견갑"
"242841733-0-47826","Pauldron of the Seducer","Pauldron of the Seducer"
"242841733-0-108527","Pauldron of the Dreugh King Slayer","Pauldron of the Dreugh King Slayer"
"242841733-0-88389","Pauldron of Cyrodiil's Crest","Pauldron of Cyrodiil's Crest"
"242841733-0-89237","Pauldron of Truth","Pauldron of Truth"
"242841733-0-149078","Undertaker's Pauldrons","Undertaker's Pauldrons"
"242841733-0-146800","Frozen Watcher's Pauldron","Frozen Watcher's Pauldron"
"242841733-0-59823","Pauldron of the Eternal Yokeda","Pauldron of the Eternal Yokeda"
"242841733-0-105015","Embershield Pauldron","Embershield Pauldron"
"242841733-0-71933","Pauldron of Tava's Favor","Pauldron of Tava's Favor"
"242841733-0-143779","Might of the Lost Legion Pauldron","Might of the Lost Legion Pauldron"
"242841733-0-127270","Ironblood Pauldron","Ironblood Pauldron"
"242841733-0-77254","Sithis' Pauldron","Sithis: 견갑"
"242841733-0-4266","Merchant Guardian's Pauldrons","상인 경호원의 견갑"
"242841733-0-68789","Pauldron of Permafrost","Permafrost: 견갑"
"242841733-0-46967","Pauldron of Night's Silence","Pauldron of Night's Silence"
"242841733-0-155757","Daring Corsair's Pauldrons","Daring Corsair's Pauldrons"
"242841733-0-66123","Alessian Pauldron","Alessian Pauldron"
"242841733-0-165551","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-165552","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-165553","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-143304","Naga Shaman Pauldron","Naga Shaman Pauldron"
"242841733-0-165554","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-165555","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-165556","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-165557","Temp_Z_Tank's Perfect Pauldrons","Temp_Z_Tank's Perfect Pauldrons"
"242841733-0-107690","Knight-Errant's Pauldron","Knight-Errant's Pauldron"
"242841733-0-142899","Grave-Stake Collector Pauldron","Grave-Stake Collector Pauldron"
"242841733-0-54147","Pauldron of Shalidor's Curse","Pauldron of Shalidor's Curse"
"228378404-0-54876","This ancient pauldron was made for a Yokudan soldier of high rank.","This ancient pauldron was made for a Yokudan soldier of high rank."
"242841733-0-80878","Pauldron Of The Dreugh King Slayer","Dreugh King Slayer: 견갑"
"242841733-0-47849","Pauldron of the Seducer","Pauldron of the Seducer"
"242841733-0-88369","Pauldron of Cyrodiil's Crest","Cyrodiil's Crest: 견갑"
"242841733-0-89217","Pauldron of Truth","Pauldron of Truth"
"242841733-0-129007","Curse of Doylemish Pauldron","Curse of Doylemish Pauldron"
"242841733-0-111708","Pauldron of Leeching","Pauldron of Leeching"
"242841733-0-59805","Pauldron of the Eternal Yokeda","Pauldron of the Eternal Yokeda"
"242841733-0-99485","Pauldron of the Order of Diagna","Order of Diagna: 견갑"
"242841733-0-53288","Pauldron of the Eyes of Mara","Pauldron of the Eyes of Mara"
"242841733-0-127290","Ironblood Pauldron","Ironblood Pauldron"
"242841733-0-76384","Pelinal's Pauldron","Pelinal's Pauldron"
"242841733-0-121989","Pauldron of Daedric Trickery","Pauldron of Daedric Trickery"
"242841733-0-161186","Pauldrons of Eternal Vigor","Pauldrons of Eternal Vigor"
"242841733-0-46990","Pauldron of Night's Silence","Pauldron of Night's Silence"
"242841733-0-154896","Senchal Defender's Pauldrons","Senchal Defender's Pauldrons"
"242841733-0-46512","Pauldron of Death's Wind","Pauldron of Death's Wind"
"242841733-0-68767","Pauldron of Glory","Pauldron of Glory"
"242841733-0-69614","Pauldron of Julianos","Pauldron of Julianos"
"242841733-0-130458","Innate Axiom Pauldron","Innate Axiom Pauldron"
