"Location","Source","Target"
"242841733-0-56303","Epaulets of Vampire's Kiss","Epaulets of Vampire's Kiss"
"242841733-0-59819","Epaulets of the Infallible Aether","Epaulets of the Infallible Aether"
"242841733-0-151390","Perfected Nahviintaas's Epaulets","Perfected Nahviintaas's Epaulets"
"242841733-0-47834","Epaulets of the Seducer","Epaulets of the Seducer"
"242841733-0-76392","Pelinal's Epaulets","Pelinal's Epaulets"
"242841733-0-66109","Epaulets of Almalexia's Mercy","Epaulets of Almalexia's Mercy"
"242841733-0-68775","Epaulets of Succession","Epaulets of Succession"
"242841733-0-150061","False God's Epaulets","False God's Epaulets"
"242841733-0-109853","Epaulets of the Noble Duelist","Epaulets of the Noble Duelist"
"242841733-0-106350","Lamia's Epaulets","Lamia: 라미아의 어깨장식"
"242841733-0-104172","Epaulets of the Netch's Touch","Epaulets of the Netch's Touch"
"242841733-0-163383","Spell Parasite's Epaulets","Spell Parasite's Epaulets"
"242841733-0-122813","War Maiden's Epaulets","War Maiden: 어깨장식"
"242841733-0-117001","Epaulets of the Phoenix","Epaulets of the Phoenix"
"242841733-0-51080","Epaulets of Hist Bark","Epaulets of Hist Bark"
"242841733-0-53261","Epaulets of the Eyes of Mara","Epaulets of the Eyes of Mara"
"242841733-0-90691","Epaulets of the Onslaught","Epaulets of the Onslaught"
"242841733-0-46975","Epaulets of Night's Silence","Epaulets of Night's Silence"
"242841733-0-69629","Epaulets of Julianos","Epaulets of Julianos"
"242841733-0-60811","Epaulets of the Armor Master","Epaulets of the Armor Master"
"242841733-0-155765","Daring Corsair's Epaulets","Daring Corsair's Epaulets"
"242841733-0-71948","Epaulets of Tava's Favor","Epaulets of Tava's Favor"
"242841733-0-110844","Epaulets of the Worm Cult","Epaulets of the Worm Cult"
"242841733-0-143787","Might of the Lost Legion Epaulets","Might of the Lost Legion Epaulets"
"242841733-0-91539","Epaulets of Alteration Mastery","Epaulets of Alteration Mastery"
"242841733-0-162049","Roaring Opportunist's Epaulets","Roaring Opportunist's Epaulets"
"242841733-0-53296","Epaulets of the Eyes of Mara","Epaulets of the Eyes of Mara"
"242841733-0-110865","Epaulets of the Worm Cult","Epaulets of the Worm Cult"
"242841733-0-155730","Daring Corsair's Epaulets","Daring Corsair's Epaulets"
"242841733-0-101901","Prisoner's Epaulets","죄수의 어깨장식 (Prisoner's Epaulets)"
"242841733-0-47857","Epaulets of the Seducer","Epaulets of the Seducer"
"242841733-0-71913","Epaulets of Tava's Favor","Epaulets of Tava's Favor"
"242841733-0-68753","Epaulets of Succession","Epaulets of Succession"
"242841733-0-90670","Epaulets of the Onslaught","Epaulets of the Onslaught"
"242841733-0-150040","False God's Epaulets","False God's Epaulets"
"228378404-0-1672","This is all that remains of Rajhin's Mantle. Its curse-and much of its power-was burned away by the Orrery.","라진의 망토에서 남은 것은 이게 전부입니다. 망토의 저주와 그 힘의 대부분은 태양계의에 의해 불타 없어졌습니다."
"242841733-0-122855","War Maiden's Epaulets","War Maiden's Epaulets"
"242841733-0-109874","Epaulets of the Noble Duelist","Epaulets of the Noble Duelist"
"242841733-0-163348","Spell Parasite's Epaulets","Spell Parasite's Epaulets"
"242841733-0-143752","Might of the Lost Legion Epaulets","Might of the Lost Legion Epaulets"
"242841733-0-106371","Lamia's Epaulets","Lamia's Epaulets"
"242841733-0-104193","Epaulets of the Netch's Touch","Epaulets of the Netch's Touch"
"242841733-0-75059","Epaulets of the Shadow Dancer","Epaulets of the Shadow Dancer"
"242841733-0-122834","War Maiden's Epaulets","War Maiden's Epaulets"
"242841733-0-56793","Epaulets of Kagrenac's Hope","Epaulets of Kagrenac's Hope"
"242841733-0-7315","Stibbons's Fancy Epaulettes of Necropotence","Necropotence: 스티븐스의 화려한 어깨장식"
"242841733-0-117022","Epaulets of the Phoenix","Epaulets of the Phoenix"
"242841733-0-130466","Innate Axiom Epaulets","Innate Axiom Epaulets"
"242841733-0-46998","Epaulets of Night's Silence","Epaulets of Night's Silence"
"242841733-0-101922","Prisoner's Epaulets","죄수의 어깨장식 (Prisoner's Epaulets)"
"242841733-0-131306","Epaulets of Mechanical Acuity","Epaulets of Mechanical Acuity"
"242841733-0-66101","Epaulets of Almalexia's Mercy","Epaulets of Almalexia's Mercy"
"242841733-0-91518","Epaulets of Alteration Mastery","Epaulets of Alteration Mastery"
"242841733-0-121997","Epaulets of Daedric Trickery","Epaulets of Daedric Trickery"
"242841733-0-54128","Epaulets of Shalidor's Curse","Epaulets of Shalidor's Curse"
"242841733-0-162028","Roaring Opportunist's Epaulets","Roaring Opportunist's Epaulets"
"242841733-0-77688","Moondancer Epaulets","Moondancer Epaulets"
"242841733-0-55894","Epaulets of Cyrodiil's Light","Epaulets of Cyrodiil's Light"
"242841733-0-74179","Epaulets of Vicious Death","Epaulets of Vicious Death"
"242841733-0-52382","Epaulets of Alessia's Bulwark","Epaulets of Alessia's Bulwark"
"242841733-0-152281","Grundwulf's Epaulets","Grundwulf's Epaulets"
"242841733-0-76357","Pelinal's Epaulets","Pelinal's Epaulets"
"242841733-0-7327","Hlaalu Pauldrons","Hlaalu Pauldrons"
"242841733-0-110886","Epaulets of the Worm Cult","Epaulets of the Worm Cult"
"242841733-0-152287","Grundwulf's Epaulets","Grundwulf's Epaulets"
"242841733-0-80858","Elegant Epaulets","Elegant Epaulets"
"242841733-0-74171","Epaulets of Vicious Death","Epaulets of Vicious Death"
"242841733-0-131341","Epaulets of Mechanical Acuity","Epaulets of Mechanical Acuity"
"242841733-0-153135","Z'en's Epaulets","Z'en's Epaulets"
"242841733-0-67888","Epaulets of the Combat Physician","Epaulets of the Combat Physician"
"242841733-0-91986","Epaulets of the Swift","Epaulets of the Swift"
