"Location","Source","Target"
"242841733-0-142438","Dead-Water's Guile Arm Cops","Dead-Water's Guile Arm Cops"
"242841733-0-137089","Relequen's Arm Cops","Relequen's Arm Cops"
"242841733-0-76399","Pelinal's Arm Cops","Pelinal's Arm Cops"
"242841733-0-129460","Plague Slinger Arm Cops","Plague Slinger Arm Cops"
"242841733-0-46982","Arm Cops of Night's Silence","Arm Cops of Night's Silence"
"242841733-0-78571","The Vicecanon's Arm Cops","The Vicecanon's Arm Cops"
"242841733-0-98185","Arm Cops of the Ranger","Arm Cops of the Ranger"
"242841733-0-69621","Arm Cops of Julianos","Arm Cops of Julianos"
"242841733-0-117471","Arm Cops of the Shield Breaker","Arm Cops of the Shield Breaker"
"242841733-0-92871","Arm Cops of the Shadow Walker","Arm Cops of the Shadow Walker"
"242841733-0-53268","Arm Cops of the Eyes of Mara","Arm Cops of the Eyes of Mara"
"242841733-0-99022","Swamp Raider's Arm Cops","Swamp Raider's Arm Cops"
"242841733-0-121969","Arm Cops of Daedric Trickery","Arm Cops of Daedric Trickery"
"242841733-0-144625","Soldier of Anguish Arm Cops","Soldier of Anguish Arm Cops"
"242841733-0-51087","Arm Cops of Hist Bark","Arm Cops of Hist Bark"
"242841733-0-60818","Arm Cops of the Armor Master","Arm Cops of the Armor Master"
"242841733-0-130438","Innate Axiom Arm Cops","Innate Axiom Arm Cops"
"242841733-0-59830","Arm Cops of the Vicious Ophidian","Arm Cops of the Vicious Ophidian"
"242841733-0-68782","Arm Cops of the Shield Breaker","Arm Cops of the Shield Breaker"
"242841733-0-71940","Arm Cops of Tava's Favor","Arm Cops of Tava's Favor"
"242841733-0-98165","Arm Cops of the Ranger","The Ranger: 어깨보호대"
"242841733-0-163355","Spell Parasite's Arm Cops","Spell Parasite's Arm Cops"
"242841733-0-130473","Innate Axiom Arm Cops","Innate Axiom Arm Cops"
"242841733-0-46524","Arm Cops of Death's Wind","Arm Cops of Death's Wind"
"242841733-0-157909","Aegis Caller's Arm Cops","Aegis Caller's Arm Cops"
"242841733-0-92851","Arm Cops of the Shadow Walker","Arm Cops of the Shadow Walker"
"242841733-0-149056","Vastarie's Arm Cops","Vastarie's Arm Cops"
"242841733-0-117491","Arm Cops of the Shield Breaker","Arm Cops of the Shield Breaker"
"242841733-0-107215","Hulking Draugr's Arm Cops","Hulking Draugr's Arm Cops"
"242841733-0-143759","Might of the Lost Legion Arm Cops","Might of the Lost Legion Arm Cops"
"242841733-0-144605","Soldier of Anguish Arm Cops","Soldier of Anguish Arm Cops"
"242841733-0-54135","Arm Cops of Shalidor's Curse","Arm Cops of Shalidor's Curse"
"242841733-0-99002","Swamp Raider's Arm Cops","Swamp Raider's Arm Cops"
"242841733-0-56310","Arm Cops of Vampire's Kiss","Arm Cops of Vampire's Kiss"
"242841733-0-77234","Arm Cops of Flanking","Arm Cops of Flanking"
"242841733-0-47841","Arm Cops of the Seducer","Arm Cops of the Seducer"
"242841733-0-131313","Arm Cops of Mechanical Acuity","Arm Cops of Mechanical Acuity"
"242841733-0-155737","Daring Corsair's Arm Cops","Daring Corsair's Arm Cops"
"242841733-0-141580","Savage Werewolf's Arm Cops","Savage Werewolf's Arm Cops"
"242841733-0-68760","Arm Cops of the Shield Breaker","Arm Cops of the Shield Breaker"
"242841733-0-59812","Arm Cops of the Vicious Ophidian","Arm Cops of the Vicious Ophidian"
"242841733-0-128146","Blooddrinker Arm Cops","Blooddrinker: 어깨보호대"
"242841733-0-52389","Arm Cops of Alessia's Bulwark","Arm Cops of Alessia's Bulwark"
"242841733-0-78536","The Vicecanon's Arm Cops","The Vicecanon's Arm Cops"
"242841733-0-152283","Grundwulf's Arm Cops","Grundwulf's Arm Cops"
"242841733-0-7324","Ordinator Rerebrace","Ordinator Rerebrace"
"242841733-0-155315","Dragonguard Elite's Arm Cops","Dragonguard Elite's Arm Cops"
"242841733-0-152289","Grundwulf's Arm Cops","Grundwulf's Arm Cops"
"242841733-0-86166","Werewolf Hide Arm Cops","Werewolf Hide Arm Cops"
"242841733-0-92831","Arm Cops of the Shadow Walker","Shadow Walker: 어꺠보호대"
"242841733-0-107235","Hulking Draugr's Arm Cops","Hulking Draugr's Arm Cops"
"242841733-0-108569","Barkskin Arm Cops","Barkskin Arm Cops"
"242841733-0-105057","Hircine's Arm Cops","Hircine's Arm Cops"
