"Location","Source","Target"
"242841733-0-60804","Girdle of the Armor Master","Girdle of the Armor Master"
"242841733-0-141108","Jailer's Girdle","Jailer's Girdle"
"242841733-0-165559","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-56786","Girdle of Kagrenac's Hope","Girdle of Kagrenac's Hope"
"242841733-0-163376","Spell Parasite's Girdle","Spell Parasite's Girdle"
"242841733-0-54121","Girdle of Shalidor's Curse","Girdle of Shalidor's Curse"
"242841733-0-80416","Girdle Of The Knightmare","The Knightmare: 복대"
"242841733-0-69616","Girdle of Julianos","Girdle of Julianos"
"242841733-0-80899","Girdle Of The Dreugh King Slayer","Girdle Of The Dreugh King Slayer"
"242841733-0-71935","Girdle of Tava's Favor","Girdle of Tava's Favor"
"242841733-0-47827","Girdle of the Seducer","Girdle of the Seducer"
"242841733-0-149079","Undertaker's Girdle","Undertaker's Girdle"
"242841733-0-66117","Alessian Girdle","Alessian: 복대"
"242841733-0-89238","Girdle of Truth","Girdle of Truth"
"242841733-0-108528","Girdle of the Dreugh King Slayer","Girdle of the Dreugh King Slayer"
"242841733-0-165560","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-165561","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-165562","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-146801","Frozen Watcher's Girdle","Frozen Watcher's Girdle"
"242841733-0-165563","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-165564","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-105016","Embershield Girdle","Embershield Girdle"
"242841733-0-107671","Knight-Errant's Girdle","Knight-Errant's Girdle"
"242841733-0-165565","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-165566","Temp_Z_Tank's Perfect Girdle","Temp_Z_Tank's Perfect Girdle"
"242841733-0-59826","Girdle of the Eternal Yokeda","Girdle of the Eternal Yokeda"
"242841733-0-78102","Galerion's Girdle","Galerion's Girdle"
"242841733-0-127271","Ironblood Girdle","Ironblood Girdle"
"242841733-0-77255","Sithis' Girdle","Sithis: 복대"
"242841733-0-89218","Girdle of Truth","Girdle of Truth"
"242841733-0-46968","Girdle of Night's Silence","Girdle of Night's Silence"
"242841733-0-155758","Daring Corsair's Girdle","Daring Corsair's Girdle"
"242841733-0-157935","Grave Guardian's Girdle","Grave Guardian's Girdle"
"242841733-0-143780","Might of the Lost Legion Girdle","Might of the Lost Legion Girdle"
"242841733-0-66124","Alessian Girdle","Alessian Girdle"
"242841733-0-88370","Girdle of Cyrodiil's Crest","Girdle of Cyrodiil's Crest"
"242841733-0-54148","Girdle of Shalidor's Curse","Girdle of Shalidor's Curse"
"242841733-0-107691","Knight-Errant's Girdle","Knight-Errant's Girdle"
"242841733-0-143745","Might of the Lost Legion Girdle","Might of the Lost Legion Girdle"
"228378404-0-54878","This ancient girdle was made for a Yokudan soldier of high rank.","This ancient girdle was made for a Yokudan soldier of high rank."
"242841733-0-47850","Girdle of the Seducer","Girdle of the Seducer"
"242841733-0-80879","Girdle Of The Dreugh King Slayer","Dreugh King Slayer: 복대"
"242841733-0-129008","Curse of Doylemish Girdle","Curse of Doylemish Girdle"
"242841733-0-154877","Senchal Defender's Girdle","Senchal Defender's Girdle"
"242841733-0-111709","Girdle of Leeching","Girdle of Leeching"
"242841733-0-161187","Girdle of Eternal Vigor","Girdle of Eternal Vigor"
"242841733-0-76385","Pelinal's Girdle","Pelinal's Girdle"
"242841733-0-53289","Girdle of the Eyes of Mara","Girdle of the Eyes of Mara"
"242841733-0-99486","Girdle of the Order of Diagna","Order of Diagna: 복대"
"242841733-0-127291","Ironblood Girdle","Ironblood Girdle"
"242841733-0-59808","Girdle of the Eternal Yokeda","Girdle of the Eternal Yokeda"
"242841733-0-46991","Girdle of Night's Silence","Girdle of Night's Silence"
"242841733-0-46513","Girdle of Death's Wind","Girdle of Death's Wind"
"242841733-0-154897","Senchal Defender's Girdle","Senchal Defender's Girdle"
"242841733-0-68768","Girdle of Glory","Girdle of Glory"
"242841733-0-130459","Innate Axiom Girdle","Innate Axiom Girdle"
"242841733-0-89684","Girdle of the Sergeant","Girdle of the Sergeant"
"242841733-0-121990","Girdle of Daedric Trickery","Girdle of Daedric Trickery"
"242841733-0-130494","Innate Axiom Girdle","Innate Axiom Girdle"
"242841733-0-77681","Girdle of the Lunar Bastion","Girdle of the Lunar Bastion"
"242841733-0-76350","Pelinal's Girdle","Pelinal's Girdle"
"242841733-0-7320","Shornhelm Guard Baldric","Shornhelm Guard Baldric"
"242841733-0-155797","Ancient Dragonguard's Girdle","Ancient Dragonguard's Girdle"
"242841733-0-157975","Grave Guardian's Girdle","Grave Guardian's Girdle"
"242841733-0-66551","Girdle of Leeching","Girdle of Leeching"
"242841733-0-109418","Ice Furnace Girdle","Ice Furnace Girdle"
"242841733-0-65221","Girdle of Beckoning Steel","Girdle of Beckoning Steel"
"242841733-0-87015","Girdle of the Footman","Girdle of the Footman"
"242841733-0-144668","Steadfast Hero Girdle","Steadfast Hero Girdle"
"242841733-0-111729","Girdle of Leeching","Girdle of Leeching"
"242841733-0-146841","Frozen Watcher's Girdle","Frozen Watcher's Girdle"
"242841733-0-129028","Curse of Doylemish Girdle","Curse of Doylemish Girdle"
"242841733-0-52375","Girdle of Alessia's Bulwark","Girdle of Alessia's Bulwark"
"242841733-0-131334","Girdle of Mechanical Acuity","Girdle of Mechanical Acuity"
"242841733-0-88328","Girdle of Durok's Bane","Girdle of Durok's Bane"
"242841733-0-65228","Girdle of Beckoning Steel","Girdle of Beckoning Steel"
"242841733-0-158834","Unchained Aggressor's Girdle","Unchained Aggressor's Girdle"
"242841733-0-89664","Girdle of the Sergeant","Girdle of the Sergeant"
"242841733-0-68746","Girdle of Glory","Girdle of Glory"
"242841733-0-143340","Naga Shaman Girdle","Naga Shaman Girdle"
"242841733-0-71900","Girdle of Tava's Favor","Girdle of Tava's Favor"
"242841733-0-141168","Jailer's Girdle","Jailer's Girdle"
"242841733-0-78995","Girdle of Imperial Physique","Girdle of Imperial Physique"
"242841733-0-77665","Ebon Girdle","Ebon Girdle"
"242841733-0-141128","Jailer's Girdle","Jailer's Girdle"
"242841733-0-143305","Naga Shaman Girdle","Naga Shaman Girdle"
"242841733-0-51073","Girdle of Hist Bark","Girdle of Hist Bark"
"242841733-0-53254","Girdle of the Eyes of Mara","Girdle of the Eyes of Mara"
"242841733-0-131369","Girdle of Mechanical Acuity","Girdle of Mechanical Acuity"
"242841733-0-157955","Grave Guardian's Girdle","Grave Guardian's Girdle"
"242841733-0-65200","Girdle of Beckoning Steel","Girdle of Beckoning Steel"
"242841733-0-125924","Impregnable Armor Girdle^n","Impregnable Armor Girdle"
"242841733-0-149099","Undertaker's Girdle","Undertaker's Girdle"
"242841733-0-146821","Frozen Watcher's Girdle","Frozen Watcher's Girdle"
"242841733-0-108104","Girdle of the Knightmare","Girdle of the Knightmare"
"242841733-0-109438","Ice Furnace Girdle","Ice Furnace Girdle"
"242841733-0-111749","Girdle of Leeching","Girdle of Leeching"
"242841733-0-122410","Shacklebreaker Girdle","Shacklebreaker Girdle"
"242841733-0-129048","Curse of Doylemish Girdle","Curse of Doylemish Girdle"
"242841733-0-85290","Girdle of Nikulas","Girdle of Nikulas"
"242841733-0-55427","Girdle of Beckoning Steel","Beckoning Steel: 복대"
"242841733-0-56751","Girdle of the Eyes of Mara","Girdle of the Eyes of Mara"
"242841733-0-88308","Girdle of Durok's Bane","Girdle of Durok's Bane"
"242841733-0-132687","Livewire Girdle","Livewire: 복대"
"242841733-0-98590","Girdle of the Vampire's Cloak","Girdle of the Vampire's Cloak"
"242841733-0-65207","Girdle of Beckoning Steel","Girdle of Beckoning Steel"
"242841733-0-88794","Girdle of Beckoning Steel","Girdle of Beckoning Steel"
