"Location","Source","Target"
"242841733-0-56304","Sash of Vampire's Kiss","Sash of Vampire's Kiss"
"242841733-0-151391","Perfected Nahviintaas's Sash","Perfected Nahviintaas's Sash"
"242841733-0-76393","Pelinal's Sash","Pelinal's Sash"
"242841733-0-47835","Sash of the Seducer","Sash of the Seducer"
"242841733-0-75060","Sash of the Shadow Dancer","Sash of the Shadow Dancer"
"242841733-0-68776","Sash of Succession","Sash of Succession"
"242841733-0-91540","Sash of Alteration Mastery","Sash of Alteration Mastery"
"242841733-0-66110","Sash of Almalexia's Mercy","Sash of Almalexia's Mercy"
"242841733-0-90692","Sash of the Onslaught","Sash of the Onslaught"
"242841733-0-150062","False God's Sash","False God's Sash"
"242841733-0-109854","Sash of the Noble Duelist","Sash of the Noble Duelist"
"242841733-0-122814","War Maiden's Sash","War Maiden: 허리띠"
"242841733-0-53262","Sash of the Eyes of Mara","Sash of the Eyes of Mara"
"242841733-0-163384","Spell Parasite's Sash","Spell Parasite's Sash"
"242841733-0-162050","Roaring Opportunist's Sash","Roaring Opportunist's Sash"
"242841733-0-51081","Sash of Hist Bark","Sash of Hist Bark"
"242841733-0-117002","Sash of the Phoenix","Sash of the Phoenix"
"242841733-0-155766","Daring Corsair's Sash","Daring Corsair's Sash"
"242841733-0-60812","Sash of the Armor Master","Sash of the Armor Master"
"242841733-0-46976","Sash of Night's Silence","Sash of Night's Silence"
"242841733-0-69631","Sash of Julianos","Sash of Julianos"
"242841733-0-110845","Sash of the Worm Cult","Sash of the Worm Cult"
"242841733-0-104173","Sash of the Netch's Touch","Sash of the Netch's Touch"
"242841733-0-106351","Lamia's Sash","Lamia: 라미아의 허리띠"
"242841733-0-143788","Might of the Lost Legion Sash","Might of the Lost Legion Sash"
"242841733-0-53297","Sash of the Eyes of Mara","Sash of the Eyes of Mara"
"242841733-0-121998","Sash of Daedric Trickery","Sash of Daedric Trickery"
"242841733-0-149050","Vastarie's Sash","Vastarie's Sash"
"242841733-0-101902","Prisoner's Sash","죄수의 허리띠 (Prisoner's Sash)"
"242841733-0-155731","Daring Corsair's Sash","Daring Corsair's Sash"
"242841733-0-151368","Perfected False God's Sash","Perfected False God's Sash"
"242841733-0-46517","Sash of Death's Wind","Sash of Death's Wind"
"242841733-0-68754","Sash of Succession","Sash of Succession"
"242841733-0-71915","Sash of Tava's Favor","Sash of Tava's Favor"
"242841733-0-90671","Sash of the Onslaught","Sash of the Onslaught"
"242841733-0-150041","False God's Sash","False God's Sash"
"242841733-0-109875","Sash of the Noble Duelist","Sash of the Noble Duelist"
"242841733-0-75039","Sash of the Shadow Dancer","Sash of the Shadow Dancer"
"242841733-0-59801","Sash of the Infallible Aether","Sash of the Infallible Aether"
"242841733-0-163349","Spell Parasite's Sash","Spell Parasite's Sash"
"242841733-0-143753","Might of the Lost Legion Sash","Might of the Lost Legion Sash"
"242841733-0-106372","Lamia's Sash","라미아의 허리띠 (Lamia's Sash)"
"242841733-0-104194","Sash of the Netch's Touch","Sash of the Netch's Touch"
"242841733-0-56794","Sash of Kagrenac's Hope","Sash of Kagrenac's Hope"
"242841733-0-122835","War Maiden's Sash","War Maiden's Sash"
