"Location","Source","Target"
"242841733-0-98186","Belt of the Ranger","Belt of the Ranger"
"242841733-0-59815","Belt of the Vicious Ophidian","Belt of the Vicious Ophidian"
"242841733-0-142439","Dead-Water's Guile Belt","Dead-Water's Guile Belt"
"242841733-0-129461","Plague Slinger Belt","Plague Slinger Belt"
"242841733-0-117472","Belt of the Shield Breaker","Belt of the Shield Breaker"
"242841733-0-46983","Belt of Night's Silence","Belt of Night's Silence"
"242841733-0-78572","The Vicecanon's Belt","The Vicecanon's Belt"
"242841733-0-69623","Belt of Julianos","Belt of Julianos"
"242841733-0-92872","Belt of the Shadow Walker","Belt of the Shadow Walker"
"242841733-0-99023","Swamp Raider's Belt","Swamp Raider's Belt"
"242841733-0-51088","Belt of Hist Bark","Belt of Hist Bark"
"242841733-0-53269","Belt of the Eyes of Mara","Belt of the Eyes of Mara"
"242841733-0-144626","Soldier of Anguish Belt","Soldier of Anguish Belt"
"242841733-0-60819","Belt of the Armor Master","Belt of the Armor Master"
"242841733-0-68783","Belt of the Shield Breaker","Belt of the Shield Breaker"
"242841733-0-130439","Innate Axiom Belt","Innate Axiom Belt"
"242841733-0-121970","Belt of Daedric Trickery","Belt of Daedric Trickery"
"242841733-0-71942","Belt of Tava's Favor","Belt of Tava's Favor"
"242841733-0-59833","Belt of the Vicious Ophidian","Belt of the Vicious Ophidian"
"242841733-0-163356","Spell Parasite's Belt","Spell Parasite's Belt"
"242841733-0-98166","Belt of the Ranger","Belt of the Ranger"
"242841733-0-130474","Innate Axiom Belt","Innate Axiom Belt"
"242841733-0-157910","Aegis Caller's Belt","Aegis Caller's Belt"
"242841733-0-46525","Belt of Death's Wind","Belt of Death's Wind"
"242841733-0-43007","Belt of the Waylaid Traveler of Salvation","Belt of the Waylaid Traveler of Salvation"
"242841733-0-149057","Vastarie's Belt","Vastarie's Belt"
"242841733-0-92852","Belt of the Shadow Walker","Belt of the Shadow Walker"
"242841733-0-93700","Belt of Kyne's Kiss","Belt of Kyne's Kiss"
"242841733-0-117492","Belt of the Shield Breaker","Belt of the Shield Breaker"
"242841733-0-107216","Hulking Draugr's Belt","Hulking Draugr's Belt"
"242841733-0-77235","Belt of Flanking","Belt of Flanking"
"242841733-0-144606","Soldier of Anguish Belt","Soldier of Anguish Belt"
