"Location","Source","Target"
"242841733-0-46130","voidstone ingot","공허석 주괴 (Voidstone Ingot)"
"228378404-0-46130","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"242841733-0-5413","Iron ingot","철 주괴 (Iron Ingot)"
"242841733-0-4487","Steel ingot","강철 주괴 (Steel Ingot)"
"242841733-0-6001","ebony ingot","에보니 주괴 (Ebony Ingot)"
"242841733-0-46128","Galatite ingot","갈라타이트 주괴 (Galatite Ingot)"
"242841733-0-23107","orichalcum ingot","오리할콘 주괴 (Orichalcum Ingot)"
"242841733-0-46127","Calcinium ingot","칼시니움 주괴 (Calcinium Ingot)"
"242841733-0-6000","dwarven ingot","드워븐 주괴 (Dwarven Ingot)"
"242841733-0-46129","quicksilver ingot","수은 주괴 (Quicksilver Ingot)"
"228378404-0-6001","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-6000","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-46129","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"242841733-0-64489","Rubedite Ingot","루비다이트 주괴 (Rubedite Ingot)"
"228378404-0-4487","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-5413","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-23107","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-46128","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-46127","An ingredient for crafting metal weapons.","금속 무기를 만들기 위한 재료입니다."
"228378404-0-64489","An ingredient for crafting metal weapons and armor.","금속제 무기와 방어구를 만들기 위한 재료입니다."
