"Location","Source","Target"
"228378404-0-125450","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-64523","Attribute Respecification Scroll","어트리뷰트 초기화 스크롤"
"242841733-0-138811","Crown Experience Scroll (2)","크라운 경험치 두루마리 (2)"
"242841733-0-64524","Skill Respecification Scroll","스킬 초기화 스크롤"
"228378404-0-94439","Created by a Priestess of Meridia, for whom time is relative.","메리디아의 여사제에 의해 만들어졌으며, 누군가의 시간은 상대적입니다."
"242841733-0-125465","Instant Clothing Research, Grand","재봉 기술 즉석 연구, 최상급"
"242841733-0-125464","Instant Clothing Research","재봉 기술 즉석 연구"
"228378404-0-139058","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-125463","Instant Blacksmithing Research, Major","대장 기술 즉석 연구, 상급"
"228378404-0-139057","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-125462","Instant Blacksmithing Research, Grand","대장 기술 즉석 연구, 최상급"
"228378404-0-139056","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-142002","Cyrodilic Collections Needs You!","시로딜 유물 복원단은 당신이 필요합니다!"
"228378404-0-64537","Created by a Priestess of Meridia, for whom time is relative.","메리디아의 여사제에 의해 만들어졌으며, 누군가의 시간은 상대적입니다."
"242841733-0-125469","Instant Woodworking Research, Major","목공 기술 즉석 연구, 상급"
"242841733-0-125468","Instant Woodworking Research, Grand","목공 기술 즉석 연구, 최상급"
"242841733-0-125467","Instant Woodworking Research","목공 기술 즉석 연구"
"242841733-0-125466","Instant Clothing Research, Major","재봉 기술 즉석 연구, 상급"
"242841733-0-139058","Instant Jewelry Crafting Research, Grand","장신구 제작 즉석 연구, 최상급"
"242841733-0-139057","Instant Jewelry Crafting Research, Major","장신구 제작 즉석 연구, 상급"
"242841733-0-135130","Attribute Respecification Scroll","어트리뷰트 초기화 스크롤"
"242841733-0-139056","Instant Jewelry Crafting Research","장신구 제작 즉석 연구"
"228378404-0-94440","Created by a Priestess of Meridia, for whom time is relative.","메리디아의 여사제에 의해 만들어졌으며, 누군가의 시간은 상대적입니다."
"228378404-0-94441","Created by a Priestess of Meridia, for whom time is relative.","메리디아의 여사제에 의해 만들어졌으며, 누군가의 시간은 상대적입니다."
"228378404-0-135128","Using this scroll enables the selection of a different combination of skills and morphs, without costing you any gold.","이 스크롤을 사용하면 골드의 소모 없이 다른 조합의 스킬과 모프를 선택할 수 있게됩니다."
"228378404-0-134679","An enchanted stone from Vanus Galerion contains a private message addressed to you. Activate the stone to start a quest to find the missing Wyrd Oracle and glimpse what's to come in the next chapter of the Elder Scrolls Online's ongoing saga.","바누스 갈레리온이 마법을 건 돌로, 당신에게 보내는 사적인 메세지를 담고 있습니다. 이 돌을 활성화 시키면, 엘더스크롤 온라인의 다음 챕터에서 무슨 일이 일어날지 엿볼 수 있는, 실종된 위어드의 예언자를 찾는 퀘스트를 시작할 수 있습니다."
"242841733-0-64537","Crown Experience Scroll","크라운 경험치 두루마리"
"242841733-0-125450","Instant Blacksmithing Research","대장 기술 즉석 연구"
"228378404-0-142002","A leaflet from Cyrodilic Collections requests that you seek out Concordia Mercius for an important mission. Find Concordia to start a quest to help the historical society and glimpse what's next in the Elder Scrolls Online's ongoing adventures.","시로딜 유물 복원단의 콘코디아 메르시우스가 중요한 임무를 수행할 사람을 구한다는 내용의 전단지입니다. 콘코디아를 찾아 고대 사회의 유물을 찾고 엘더 스크롤 온라인의 다가오는 모험을 체험해보세요."
"228378404-0-135124","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-134674","Good for one special-occasion cake from the renowned baker, Chef Donolon. Use to start the chef's quest. Look for Donolon's bakery barge in the ports of Vulkhel Guard, Davon's Watch, and the Harbor District of Daggerfall.","명성 높은 제빵사, 도놀론 주방장의 케이크를 얻을 수 있는 특별한 기회를 제공해 드립니다. 교환권을 사용해서 주방장의 퀘스트를 시작하세요. 도놀론의 제빵선은 벌켈 가드, 데본스 워치, 그리고 대거폴의 항구 구역에서 찾으실 수 있습니다."
"228378404-0-64702","Expands your character's inventory by |cFFFFFF1|r slot per lesson. Riding Capacity allows you to carry more items and takes effect on your character regardless of the mount you have set active. Your character's current Riding Capacity is <<1>>/60.","훈련 한 번 마다 캐릭터의 인벤토리 용량을 |cFFFFFF1|r 씩 확장시킵니다. 탈것 인벤토리 훈련은 당신이 더 많은 아이템을 가질 수 있게 해 주며 활성화된 탈것의 종류에 관계없이 영향을 끼칩니다. 당신의 현재 탈것 인벤토리는 <<1>>/60 입니다."
"228378404-0-121401","Join in the celebration of Cyrodiil and Battlegrounds!","시로딜릭 기념일에 참여하세요!"
"228378404-0-64701","Increases your riding stamina by |cFFFFFF1|r per lesson. Riding Stamina helps prevent being dismounted, allows your mount to sprint longer, and takes effect on your character regardless of the mount set active. Your current Riding Stamina is <<1>>/60.","캐릭터의 탈것 스태미나를 훈련 한 번마다 |cFFFFFF1|r 씩 증가시킵니다. 탈것 스태미나는 탈것에 서 떨어지는 일을 방지하는데 도움을 주고, 탈것이 더 오랫동안 질주할 수 있게 해 주며, 활성화된 탈것의 종류에 관계없이 영향을 끼칩니다. 당신의 현재 탈것 스태미나는 <<1>>/60 입니다."
"228378404-0-64700","Increases your character's riding speed by |cFFFFFF1|r per lesson. Riding Speed allows you to move faster while mounted and takes effect on your character regardless of the mount you have set active. Your current Riding Speed is <<1>>/60.","캐릭터의 탈것 속도를 훈련 한 번마다 |cFFFFFF1|r 씩 증가시킵니다. 탈것 속도는 탈것에 올라탄 상태에서 더 빠르게 이동할 수 있게 해 주며, 활성화된 탈것의 종류에 관계없이 영향을 끼칩니다. 당신의 현재 탈것 속도는 <<1>>/60 입니다."
"228378404-0-125472","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-125471","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-114987","Jubilee Cake Voucher","기념일 케이크 교환권"
"228378404-0-135116","Increases your riding stamina by |cFFFFFF1|r per lesson. Riding Stamina helps prevent being dismounted, allows your mount to sprint longer, and takes effect on your character regardless of the mount set active. Your current Riding Stamina is <<1>>/60.","캐릭터의 탈것 스태미나를 훈련 한 번마다 |cFFFFFF1|r 씩 증가시킵니다. 탈것 스태미나는 탈것에 서 떨어지는 일을 방지하는데 도움을 주고, 탈것이 더 오랫동안 질주할 수 있게 해 주며, 활성화된 탈것의 종류에 관계없이 영향을 끼칩니다. 당신의 현재 탈것 스태미나는 <<1>>/60 입니다."
"228378404-0-135115","Increases your character's riding speed by |cFFFFFF1|r per lesson. Riding Speed allows you to move faster while mounted and takes effect on your character regardless of the mount you have set active. Your current Riding Speed is <<1>>/60.","캐릭터의 탈것 속도를 훈련 한 번마다 |cFFFFFF1|r 씩 증가시킵니다. 탈것 속도는 탈것에 올라탄 상태에서 더 빠르게 이동할 수 있게 해 주며, 활성화된 탈것의 종류에 관계없이 영향을 끼칩니다. 당신의 현재 탈것 속도는 <<1>>/60 입니다."
"242841733-0-94441","Grand Gold Coast Experience Scroll","황금 해안 대형 경험치 두루마리"
"242841733-0-94440","Major Gold Coast Experience Scroll","황금 해안 상급 경험치 두루마리"
"242841733-0-135128","Skill Respecification Scroll","스킬 초기화 스크롤"
"228378404-0-135117","Expands your character's inventory by |cFFFFFF1|r slot per lesson. Riding Capacity allows you to carry more items and takes effect on your character regardless of the mount you have set active. Your character's current Riding Capacity is <<1>>/60.","훈련 한 번 마다 캐릭터의 인벤토리 용량을 |cFFFFFF1|r 씩 확장시킵니다. 탈것 인벤토리 훈련은 당신이 더 많은 아이템을 가질 수 있게 해 주며 활성화된 탈것의 종류에 관계없이 영향을 끼칩니다. 당신의 현재 탈것 인벤토리는 <<1>>/60 입니다."
"242841733-0-134679","Mages Guild Message Stone","메이지 길드 메세지 스톤(Mages Guild Message Stone)"
"228378404-0-125470","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-73871","Good for one special-occasion cake from the renowned baker, Chef Donolon. Use to start the chef's quest. Look for Donolon's bakery barge in the ports of Vulkhel Guard, Davon's Watch, and the Harbor District of Daggerfall.","명성 높은 제빵사, 도놀론 주방장의 케이크를 얻을 수 있는 특별한 기회를 제공해 드립니다. 교환권을 사용해서 주방장의 퀘스트를 시작하세요. 도놀론의 제빵선은 벌켈 가드, 데본스 워치, 그리고 대거폴의 항구 구역에서 찾으실 수 있습니다."
"242841733-0-134674","Jubilee Cake Voucher","기념일 케이크 교환권"
"242841733-0-64700","Crown Lesson: Riding Speed","크라운 훈련: 탈것 속도"
"242841733-0-64701","Crown Lesson: Riding Stamina","크라운 훈련: 탈것 스태미나"
"242841733-0-135124","Instant All Research","전 분야 즉석 연구"
"242841733-0-64702","Crown Lesson: Riding Capacity","크라운 훈련: 탈것 인벤토리"
"242841733-0-94439","Gold Coast Experience Scroll","골드 코스트 경험치 두루마리"
"228378404-0-135110","Created by a Priestess of Meridia, for whom time is relative.","메리디아의 여사제에 의해 만들어졌으며, 누군가의 시간은 상대적입니다."
"242841733-0-121401","Details on the Midyear Mayhem","중간해 대파괴에 대한 세부 사항"
"228378404-0-125463","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-125462","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-135110","Crown Experience Scroll","왕위계승자 두루마리"
"228378404-0-125467","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-73871","Jubilee Cake Voucher","기념일 케이크 교환권"
"228378404-0-125466","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"242841733-0-147518","Jubilee Cake Voucher","기념일 케이크 교환권"
"228378404-0-125465","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-125464","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-138811","Created by a Priestess of Meridia, for whom time is relative.","메리디아의 여사제에 의해 만들어졌으며, 누군가의 시간은 상대적입니다."
"242841733-0-135117","Crown Lesson: Riding Capacity","크라운 훈련: 탈것 인벤토리"
"242841733-0-135115","Crown Lesson: Riding Speed","크라운 훈련: 탈것 속도"
"242841733-0-135116","Crown Lesson: Riding Stamina","크라운 훈련: 탈것 스태미나"
"228378404-0-114987","Good for one special-occasion cake from the renowned baker, Chef Donolon. Use to start the chef's quest. Look for Donolon's bakery barge in the ports of Vulkhel Guard, Davon's Watch, and the Harbor District of Daggerfall.","명성 높은 제빵사, 도놀론 주방장의 케이크를 얻을 수 있는 특별한 기회를 제공해 드립니다. 교환권을 사용해서 주방장의 퀘스트를 시작하세요. 도놀론의 제빵선은 벌켈 가드, 데본스 워치, 그리고 대거폴의 항구 구역에서 찾으실 수 있습니다."
"242841733-0-125472","Instant All Research, Major","전 분야 즉석 연구, 상급"
"242841733-0-125471","Instant All Research, Grand","전 분야 즉석 연구, 최상급"
"242841733-0-125470","Instant All Research","전 분야 즉석 연구"
"228378404-0-125469","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-125468","|cFFFFFFThis item has no cooldown.|r","|cFFFFFF이 아이템은 재사용 대기시간이 없습니다.|r"
"228378404-0-64524","Using this scroll enables the selection of a different combination of skills and morphs, without costing you any gold.","이 스크롤을 사용하면 골드의 소모 없이 다른 조합의 스킬과 모프를 선택할 수 있게됩니다."
"228378404-0-147518","Good for one special-occasion cake from the renowned baker, Chef Donolon. Use to start the chef's quest. Look for Donolon's bakery barge in the ports of Vulkhel Guard, Davon's Watch, and the Harbor District of Daggerfall.","명성 높은 제빵사, 도놀론 주방장의 케이크를 얻을 수 있는 특별한 기회를 제공해 드립니다. 교환권을 사용해서 주방장의 퀘스트를 시작하세요. 도놀론의 제빵선은 벌켈 가드, 데본스 워치, 그리고 대거폴의 항구 구역에서 찾으실 수 있습니다."
