"Location","Source","Target"
"242841733-0-27266","Vanguard Uniform","선봉대원 복식"
"242841733-0-44580","Hollow Moon Garb","Hollow Moon Garb"
"242841733-0-54483","Courier Uniform","배달부 의상"
"242841733-0-2571","Midnight Union Disguise","자정 연합 변장 도구"
"242841733-0-54380","Steel Shrike Uniform","강철 때까치 복장"
"242841733-0-42736","Servant's Robes","하인의 로브"
"242841733-0-42416","Earring","Earring"
"242841733-0-44587","Northwind Disguise","노스윈드 변장도구"
"242841733-0-43511","Sea Viper Armor","바다 독사 갑옷"
"242841733-0-42413","Colovian Uniform","콜로비아군 제복"
"228378404-0-44448","Use this to blend into the ranks of the Frostedge Bandits.","이 아이템을 사용해서 서릿날 도적들의 무리에 섞여들어갑니다."
"242841733-0-40286","Seadrake Disguise","Seadrake 변장도구"
"242841733-0-45803","Bloodthorn Disguise","Bloodthorn 변장도구"
"228378404-0-43515","This suit of Imperial armor matches that of the Imperial Troops who have taken over Satakalaaam.","This suit of Imperial armor matches that of the Imperial Troops who have taken over Satakalaaam."
"242841733-0-43508","Seaside Sanctuary Disguise","해안가 안식처 변장도구"
"242841733-0-40283","Keeper's Garb","Keeper's Garb"
"228378404-0-54380","This loose uniform worn by the Steel Shrikes reeks of stale sweat, spilled drinks, and pungent spices.","강철 때까치들이 입었던 이 헐렁한 복장은 퀴퀴한 땀내, 엎지른 술 냄새, 자극적인 향신료 냄새가 진동합니다."
"242841733-0-54994","Shadowsilk Gem","Shadowsilk Gem"
"242841733-0-54332","Fort Amol Guard Disguise","아몰 요새 경비병 변장도구"
"242841733-0-79332","Monk's Disguise","수도승 변장도구"
"242841733-0-45781","Kollopi Essence","콜로피 진액"
"242841733-0-43046","Forebear Dishdasha","Forebear Dishdasha"
"242841733-0-43047","Crown Dishdasha","Crown Dishdasha"
"242841733-0-44697","Hallin's Stand Seventh Legion Disguise","할린의 저항 칠군단 변장도구"
"242841733-0-71090","Servant's Outfit","하인의 복장"
"242841733-0-45006","Phaer Mercenary Disguise","페어 용병 변장도구"
"242841733-0-45007","Quendeluun Veiled Heritance Disguise","퀜델룬 베일의 계승단 변장도구"
"242841733-0-29536","Stormfist Disguise","폭풍주먹 변장도구"
"242841733-0-45008","Vulkhel Guard Marine Disguise","불켈 가드 해병 변장도구"
"228378404-0-42413","The uniform of a Colovian soldier. Allows you to move undetected through occupied Arenthia.","콜로비아 병사의 제복입니다. 들키지 않은 채로 점령당한 아렌시아를 돌아다닐 수 있게 해 줄 것입니다."
"242841733-0-44448","Frostedge Bandit Disguise","서릿날 도적 변장도구"
"242841733-0-43515","Imperial Disguise","임페리얼 변장도구"
"228378404-0-94209","The regalia of the Scarlet Judge, protector of Vvardenfell.","진홍의 심판관의 의복, 바덴펠의 보호자."
"228378404-0-42736","A set of robes used by servants of Headman Bhosek.","A set of robes used by servants of Headman Bhosek."
"242841733-0-40296","Red Rook Disguise","붉은 떼까마귀 변장도구"
"228378404-0-64260","This stylish Dark Elf clothing displays a variety of garish colors.","This stylish Dark Elf clothing displays a variety of garish colors."
"242841733-0-40294","Pirate Disguise","해적 변장도구"
"242841733-0-64260","Dunmer Cultural Garb","Dunmer Cultural Garb"
"228378404-0-45781","Use the Kollopi essence to cloak in a haze of forest moths and enter the Wood Orcs' camp disguised. (Will not work in Cyrodiil, the Imperial City, or its sewers.)","콜로피 진액을 사용하면 숲 나방의 안개로 모습을 감춰 우드 오크 야영지에 숨어들 수 있습니다. (시로딜, 임페리얼 시티, 임페리얼 시티 하수도에서는 작동하지 않습니다.)"
"228378404-0-2571","Use this disguise to appear as a Midnight Union thief. This disguise may not fool everyone.","이 변장 도구를 사용해서 자정 연합 도둑처럼 보이게 합니다. 모두를 속일 수는 없을 것입니다."
"228378404-0-71090","The symbol of the Iron Wheel is worked subtly into the fabric of this simple servant's outfit.","이 단순한 하인 복장에 아이언 휠의 문장이 미묘하게 그려져 있다."
"242841733-0-94209","Scarlet Judge's Regalia","진홍의 심판관 의복"
