"Location","Source","Target"
"242841733-0-83924","Forest: Grape Garden","Forest: Grape Garden"
"242841733-0-83925","Pastel: Green-Gold Aura","Pastel: Green-Gold Aura"
"242841733-0-83926","Necrotic: Sulfuric Steel","Necrotic: Sulfuric Steel"
"242841733-0-83927","Merciful: Delicate Damsel","Merciful: Delicate Damsel"
"242841733-0-83928","Pastel: Peaceful Pasture","Pastel: Peaceful Pasture"
"242841733-0-83929","Radiant: Eidar Cheese","Radiant: Eidar Cheese"
"242841733-0-83920","Holiday: Soft-Hued Dream","Holiday: Soft-Hued Dream"
"242841733-0-83921","Sanguinary: Peppermint Stick","Sanguinary: Peppermint Stick"
"242841733-0-83922","Peppermint: Rubies and Diamonds","Peppermint: Rubies and Diamonds"
"242841733-0-83923","Cloudy: The Cloudy Jeralls","Cloudy: The Cloudy Jeralls"
"242841733-0-83913","Magnanimous: Evening Icicle","Magnanimous: Evening Icicle"
"242841733-0-83914","Vivid: Purple Bruma Bouquet","Vivid: Purple Bruma Bouquet"
"242841733-0-83915","Alchemical: Juniper and Wood Tones","Alchemical: Juniper and Wood Tones"
"242841733-0-83916","Forest: Fig Leaf and Ashes","Forest: Fig Leaf and Ashes"
"242841733-0-83917","Radiant: Mud on the Snow","Radiant: Mud on the Snow"
"242841733-0-83918","Golden: Philosopher's Stone","Golden: Philosopher's Stone"
"242841733-0-83919","Molten: Warm for Winter","Molten: Warm for Winter"
"242841733-0-83910","Ripe: Bosmeri Tartare Surprise","Ripe: Bosmeri Tartare Surprise"
"242841733-0-83911","Oceanic: Dark Strand of Soulrest","Oceanic: Dark Strand of Soulrest"
"242841733-0-83912","Fledgling: Yellow-Headed Flycatcher","Fledgling: Yellow-Headed Flycatcher"
"242841733-0-83902","Spring: Underbrush","Spring: Underbrush"
"242841733-0-120429","Holiday: Violet-Gold Tower","Holiday: Violet-Gold Tower"
"242841733-0-83903","Magnanimous: Evening Star Bride","Magnanimous: Evening Star Bride"
"242841733-0-83904","Witches: Rusty Chain Mail","Witches: Rusty Chain Mail"
"242841733-0-83905","Burgeoning: Dark Green Pond","Burgeoning: Dark Green Pond"
"242841733-0-83906","Vivid: Mountain Flower Garden","Vivid: Mountain Flower Garden"
"242841733-0-83907","Intense: Crimson and Chickory","Intense: Crimson and Chickory"
"242841733-0-120428","Holiday: Purple-Edged Gold","Holiday: Purple-Edged Gold"
"242841733-0-83908","Shadows: Arenthian Alfalfa","Shadows: Arenthian Alfalfa"
"242841733-0-83909","Dusky: Ferruginous Browns","Dusky: Ferruginous Browns"
"242841733-0-83900","Flourishing: Formal Nocturnal","Flourishing: Formal Nocturnal"
"242841733-0-83901","Forest: Lime and Caramel","Forest: Lime and Caramel"
"242841733-0-120433","Holiday: Gilded Grape","Holiday: Gilded Grape"
"242841733-0-120432","Holiday: Fool's Gold","Holiday: Fool's Gold"
"242841733-0-120435","Holiday: The Walking Eggplant","Holiday: The Walking Eggplant"
"242841733-0-120434","Holiday: Solid Gold","Holiday: Solid Gold"
"242841733-0-120431","Holiday: Coin-Colored Clown","Holiday: Coin-Colored Clown"
"242841733-0-120430","Holiday: Plenty of Plum","Holiday: Plenty of Plum"
"242841733-0-84194","Witches: Butternut Platemail","Witches: Butternut Platemail"
"242841733-0-84195","Darkling: Deep Golden Gray","Darkling: Deep Golden Gray"
"242841733-0-84196","Lordly: Gray Shades of Suede","Lordly: Gray Shades of Suede"
"242841733-0-84197","Oceanic: Seaweed to Starboard","Oceanic: Seaweed to Starboard"
"242841733-0-84198","Alchemical: Viridian Sentinel","Alchemical: Viridian Sentinel"
"242841733-0-84199","Saucy: Rouge and Pink Powder","Saucy: Rouge and Pink Powder"
"242841733-0-84190","Darkening: Night in Necrom","Darkening: Night in Necrom"
"242841733-0-84191","Passionate: A Hint of the Frivolous","Passionate: A Hint of the Frivolous"
"242841733-0-84192","Fledgling: Red Wagtail","Fledgling: Red Wagtail"
"242841733-0-84193","Lordly: Charcoal Burner","Lordly: Charcoal Burner"
"242841733-0-83528","Blossoming: Faded Finery","Blossoming: Faded Finery"
"242841733-0-83529","Hoarfrost: Honey and Wine","Hoarfrost: Honey and Wine"
"242841733-0-83520","Holiday: Ivy-Berry Blend","Holiday: Ivy-Berry Blend"
"242841733-0-83762","Metallic: Forgemaster's Apron","Metallic: Forgemaster's Apron"
"242841733-0-83763","Flourishing: Death is My Ally","Flourishing: Death is My Ally"
"242841733-0-83521","Monochrome: White with Black Outlines","Monochrome: White with Black Outlines"
"242841733-0-83764","Alchemical: Marsh Stalker Tones","Alchemical: Marsh Stalker Tones"
"242841733-0-83522","Molten: Lead Atronach","Molten: Lead Atronach"
"242841733-0-83765","Elegiac: Mortician's Morndas","Elegiac: Mortician's Morndas"
"242841733-0-83523","Torrid: Baked Flatbread","Torrid: Baked Flatbread"
"242841733-0-83766","Darkling: Ochre Night Bird","Darkling: Ochre Night Bird"
"242841733-0-83524","Passionate: Welwa Hide","Passionate: Welwa Hide"
"242841733-0-83525","Fledgling: Sooty Finch","Fledgling: Sooty Finch"
"242841733-0-83767","Nuptial: Azure Mists","Nuptial: Azure Mists"
"242841733-0-83768","Hoarfrost: Eggplant and Cinnamon","Hoarfrost: Eggplant and Cinnamon"
"242841733-0-83526","Necrotic: Bosky Mauve","Necrotic: Bosky Mauve"
"242841733-0-83769","Cloudy: Clearing Summer Sky","Cloudy: Clearing Summer Sky"
"242841733-0-83527","First Frost: Fir Green and Stone Gray","First Frost: Fir Green and Stone Gray"
"242841733-0-83770","Spring: Mudsplashed Pearl","Spring: Mudsplashed Pearl"
"242841733-0-83771","Intense: Sunset of Ruination","Intense: Sunset of Ruination"
"242841733-0-83530","Seedling: Bleach and Steel","Seedling: Bleach and Steel"
"242841733-0-83772","Spring: Algae and Steel","Spring: Algae and Steel"
"242841733-0-83759","Darkening: Grievous Twilight","Darkening: Grievous Twilight"
"242841733-0-83519","Ripe: Banana-Rhubarb Pie","Ripe: Banana-Rhubarb Pie"
"242841733-0-83751","Burgeoning: Morning Chill","Burgeoning: Morning Chill"
"242841733-0-83993","Seedling: Fern Shadow","Seedling: Fern Shadow"
"242841733-0-83994","Holiday: Pink and Pale","Holiday: Pink and Pale"
"242841733-0-83752","Merciful: Atronachs of Stone","Merciful: Atronachs of Stone"
"242841733-0-83995","Alchemical: Chlorophyll and Charcoal","Alchemical: Chlorophyll and Charcoal"
"242841733-0-83753","Ripe: West Weald Wines","Ripe: West Weald Wines"
"242841733-0-83754","Dawning: Gaudy Blue Netch","Dawning: Gaudy Blue Netch"
"242841733-0-83996","Passionate: Chub Loon Blushing","Passionate: Chub Loon Blushing"
"242841733-0-83997","Radiant: Midwinter Spectre","Radiant: Midwinter Spectre"
"242841733-0-83755","Spring: Vines and Chalk","Spring: Vines and Chalk"
"242841733-0-83756","Holiday: Peanut Butter & Jelly","Holiday: Peanut Butter & Jelly"
"242841733-0-83998","Vivid: Green Lady's Smock & Roses","Vivid: Green Lady's Smock & Roses"
"242841733-0-83999","Frosted: Ghostwalker","Frosted: Ghostwalker"
"242841733-0-83757","Holiday: Hollow Jester Motley","Holiday: Hollow Jester Motley"
"242841733-0-83758","Saucy: Red and Black Licorice","Saucy: Red and Black Licorice"
"242841733-0-83760","Frosted: Spectrum of Sleet","Frosted: Spectrum of Sleet"
"242841733-0-83761","Sprouting: Woods and White","Sprouting: Woods and White"
"242841733-0-83748","Unfettered: Nighttime Jubilee","Unfettered: Nighttime Jubilee"
"242841733-0-83749","Elegiac: Darkened Accents","Elegiac: Darkened Accents"
"242841733-0-83740","First Frost: Plum Orchard","First Frost: Plum Orchard"
"242841733-0-83982","Merciful: Dusky Dunes","Merciful: Dusky Dunes"
"242841733-0-83741","Necrotic: Seafoam and Pecan","Necrotic: Seafoam and Pecan"
