"Location","Source","Target"
"228378404-0-166045","Indeko","Indeko"
"242841733-0-45831","Oko","오코 (Oko)"
"242841733-0-45833","Deni","데니 (Deni)"
"242841733-0-45832","Makko","마코 (Makko)"
"228378404-0-45835","Makkoma","마코마 (Makkoma)"
"242841733-0-45846","Oru","오루 (Oru)"
"242841733-0-45845","Lire","리라 (Lire)"
"228378404-0-45834","Okoma","오코마 (Okoma)"
"228378404-0-45833","Deni","데니 (Deni)"
"242841733-0-45848","Makderi","마크데리 (Makderi)"
"228378404-0-45832","Makko","마코 (Makko)"
"242841733-0-45847","Taderi","타데리 (Taderi)"
"228378404-0-45839","Dekeipa","데케이파 (Dekeipa)"
"242841733-0-45849","Kaderi","카데리 (Kaderi)"
"228378404-0-45838","Rakeipa","라케이파 (Rakeipa)"
"228378404-0-45837","Kuoko","쿠오코 (Kuoko)"
"228378404-0-45836","Denima","데니마 (Denima)"
"228378404-0-45831","Oko","오코 (Oko)"
"242841733-0-45840","Meip","메이프 (Meip)"
"242841733-0-45842","Deteri","데테리 (Deteri)"
"242841733-0-45841","Haoko","하오코 (Haoko)"
"242841733-0-45844","Jaedi","재디 (Jaedi)"
"242841733-0-45843","Okori","오코리 (Okori)"
"242841733-0-45835","Makkoma","마코마 (Makkoma)"
"228378404-0-45846","Oru","오루 (Oru)"
"242841733-0-45834","Okoma","오코마 (Okoma)"
"242841733-0-45837","Kuoko","쿠오코 (Kuoko)"
"242841733-0-45836","Denima","데니마 (Denima)"
"228378404-0-45843","Okori","오코리 (Okori)"
"242841733-0-45839","Dekeipa","데케이파 (Dekeipa)"
"228378404-0-45849","Kaderi","카데리 (Kaderi)"
"242841733-0-45838","Rakeipa","라케이파 (Rakeipa)"
"228378404-0-45848","Makderi","마크데리 (Makderi)"
"228378404-0-45847","Taderi","타데리 (Taderi)"
"228378404-0-68342","Hakeijo","하케이조 (Hakeijo)"
"242841733-0-166045","Indeko","Indeko"
"242841733-0-68342","Hakeijo","하케이조 (Hakeijo)"
"228378404-0-45842","Deteri","데테리 (Deteri)"
"228378404-0-45841","Haoko","하오코 (Haoko)"
"228378404-0-45840","Meip","메이프 (Meip)"
