"Location","Source","Target"
"242841733-0-134832","Basin of the Divines","Basin of the Divines"
"242841733-0-134831","Altar of the Divines","Altar of the Divines"
"242841733-0-134834","Bandages, Blood-Soaked","Bandages, Blood-Soaked"
"242841733-0-134833","Gibbet, Hanging Hooked","Gibbet, Hanging Hooked"
"242841733-0-134830","Flowers, Blue Starbloom","Flowers, Blue Starbloom"
"242841733-0-134829","Fern, Woody Slough","Fern, Woody Slough"
"242841733-0-134828","Antler Coral, Branched Spire","Antler Coral, Branched Spire"
"242841733-0-134825","Redguard Tent, Squared Silk","Redguard Tent, Squared Silk"
"242841733-0-134824","Redguard Tent, Rounded Silk","Redguard Tent, Rounded Silk"
"242841733-0-134827","Mooring Line, Coiled","Mooring Line, Coiled"
"242841733-0-134826","Mooring Line, Tidy","Mooring Line, Tidy"
"242841733-0-134823","Target Mournful Aegis","Target Mournful Aegis"
"242841733-0-120209","Proposal: Schools of Magic","Proposal: Schools of Magic"
"242841733-0-121538","Argonian Box, Woven","Argonian Box, Woven"
"242841733-0-145505","Jewelry Crafting Station (Might of the Lost Legion","Jewelry Crafting Station (Might of the Lost Legion"
"242841733-0-120206","Reality and Other Falsehoods","Reality and Other Falsehoods"
"228378404-0-130289","This is a large house item.","큰 크기의 하우징 아이템입니다."
"228378404-0-130288","This is a large house item.","큰 크기의 하우징 아이템입니다."
"242841733-0-120205","On the Detachment of the Sheath","On the Detachment of the Sheath"
"228378404-0-130287","This is a large house item.","큰 크기의 하우징 아이템입니다."
"242841733-0-120208","Wayshrines of Tamriel","Wayshrines of Tamriel"
"242841733-0-120207","Guild Memo on Soul Trapping","Guild Memo on Soul Trapping"
"228378404-0-130286","This is a large house item.","큰 크기의 하우징 아이템입니다."
"242841733-0-134854","Tapestry of Peryite","Tapestry of Peryite"
"242841733-0-134853","Peryite, The Taskmaster","Peryite, The Taskmaster"
"242841733-0-134856","Dragon Skeleton, Mid-Flight","Dragon Skeleton, Mid-Flight"
"242841733-0-134855","Banner of Peryite","Banner of Peryite"
"242841733-0-134846","Brotherhood Carpet, Large","Brotherhood Carpet, Large"
"242841733-0-134849","Monarch Butterfly Flock","Monarch Butterfly Flock"
"242841733-0-134848","Blue Butterfly Flock","Blue Butterfly Flock"
"228378404-0-130285","This is a small house item.","작은 크기의 하우징 아이템입니다."
"242841733-0-120213","Noxiphilic Sanguivoria","녹시필릭 생귀보리아"
"228378404-0-130284","This is a tiny house item.","아주 작은 크기의 하우징 아이템입니다."
"242841733-0-120212","Ebony Blade History","Ebony Blade History"
"228378404-0-130283","This is a small house item.","작은 크기의 하우징 아이템입니다."
"242841733-0-120215","The Firmament","창공"
"242841733-0-120214","A Werewolf's Confession","A Werewolf's Confession"
"228378404-0-130282","This is a standard house item.","표준 크기의 하우징 아이템입니다."
"228378404-0-130281","This is a large house item.","큰 크기의 하우징 아이템입니다."
"228378404-0-130280","This is a large house item.","큰 크기의 하우징 아이템입니다."
"242841733-0-120211","Before the Ages of Man: Merethic Era","인류 이전의 시대:신화의 시대"
"242841733-0-120210","Before the Ages of Man: Dawn Era","인류 이전의 시대:여명의 시대"
"228378404-0-130279","This is a large house item.","큰 크기의 하우징 아이템입니다."
"228378404-0-130278","This is a large house item.","큰 크기의 하우징 아이템입니다."
"228378404-0-130277","This is a huge house item.","아주 큰 크기 하우징 아이템입니다."
"228378404-0-130276","This is a standard house item.","표준 크기의 하우징 아이템입니다."
"228378404-0-130275","This is a large house item.","큰 크기의 하우징 아이템입니다."
"242841733-0-134843","Ra Gada Statue, Battlemage","Ra Gada Statue, Battlemage"
"242841733-0-134842","Ra Gada Statue, Blademaster","Ra Gada Statue, Blademaster"
"242841733-0-134845","Brotherhood Tapestry, Small","Brotherhood Tapestry, Small"
"242841733-0-134844","Ra Gada Statue, Forward Scout","Ra Gada Statue, Forward Scout"
"242841733-0-134841","Necromancer's Spire, Huge","Necromancer's Spire, Huge"
"242841733-0-134840","Necromancer's Spire, Compact","Necromancer's Spire, Compact"
"242841733-0-134839","Necromancer's Brazier, Cold-Flame","Necromancer's Brazier, Cold-Flame"
"242841733-0-134836","Necromancer's Brazier, Flame","Necromancer's Brazier, Flame"
"242841733-0-134835","Orcish Burial Urn, Exhumed","Orcish Burial Urn, Exhumed"
"242841733-0-134838","Necromancer's Spire, Alcove","Necromancer's Spire, Alcove"
"242841733-0-134837","Necromancer's Spire, Narrow","Necromancer's Spire, Narrow"
"228378404-0-130274","This is a large house item.","큰 크기의 하우징 아이템입니다."
"242841733-0-120202","Magic from the Sky","하늘에서 내려온 마법 "
"228378404-0-130273","This is a huge house item.","아주 큰 크기 하우징 아이템입니다."
"242841733-0-120201","Liminal Bridges","경계의 다리 "
"242841733-0-120204","The Old Ways","The Old Ways"
"242841733-0-120203","Manual of Spellcraft","Manual of Spellcraft"
"242841733-0-120200","Arcana Restored","아르카나 복원 "
"242841733-0-134870","Ancient Nord Chest, Dragon Crest","Ancient Nord Chest, Dragon Crest"
"242841733-0-120228","The Slave Pits of Coldharbour","The Slave Pits of Coldharbour"
"242841733-0-120227","Varieties of Daedra, Part 2","데이드라의 종류, 제 2권"
"242841733-0-120229","On the Nature of Coldharbour","On the Nature of Coldharbour"
"242841733-0-134876","Ancient Nord Funerary Jar, Crimson Sash","Ancient Nord Funerary Jar, Crimson Sash"
"242841733-0-132213","Boulder, Granite Chunk","Boulder, Granite Chunk"
"242841733-0-134875","Ancient Nord Funerary Jar, Linked Rings","Ancient Nord Funerary Jar, Linked Rings"
"242841733-0-132214","Boulder, Granite Slab","Boulder, Granite Slab"
