"Location","Source","Target"
"242841733-0-26583","Glyph","글리프"
"242841733-0-26586","Glyph","글리프"
"242841733-0-26581","Glyph","글리프"
"242841733-0-43570","Glyph","글리프"
"242841733-0-45871","Glyph","글리프"
"242841733-0-45870","Glyph","글리프"
"242841733-0-45873","Glyph","글리프"
"242841733-0-26847","Glyph","글리프"
"242841733-0-5364","Glyph","글리프"
"242841733-0-45884","Glyph","글리프"
"242841733-0-45872","Glyph","글리프"
"242841733-0-45883","Glyph","글리프"
"242841733-0-45886","Glyph","글리프"
"242841733-0-45875","Glyph","글리프"
"242841733-0-45885","Glyph","글리프"
"242841733-0-45874","Glyph","글리프"
"242841733-0-26589","Glyph","글리프"
"242841733-0-26849","Glyph","글리프"
"242841733-0-166046","Glyph","Glyph"
"242841733-0-166047","Glyph","Glyph"
