"Location","Source","Target"
"242841733-0-135144","electrum ounce","호박금 온스 (electrum ounce)"
"228378404-0-135140","An ingredient for crafting jewelry.","장신구를 만들기 위한 재료입니다."
"242841733-0-135142","silver ounce","은 온스 (silver ounce)"
"228378404-0-135142","An ingredient for crafting jewelry.","장신구를 만들기 위한 재료입니다."
"242841733-0-135140","copper ounce","구리 온스 (copper ounce)"
"228378404-0-135144","An ingredient for crafting jewelry.","장신구를 만들기 위한 재료입니다."
"228378404-0-135146","An ingredient for crafting jewelry.","장신구를 만들기 위한 재료입니다."
"228378404-0-135138","An ingredient for crafting jewelry.","장신구를 만들기 위한 재료입니다."
"242841733-0-135138","pewter ounce","백랍 온스 (pewter ounce)"
"242841733-0-135146","platinum ounce","백금 온스 (platinum ounce)"
