"Location","Source","Target"
"242841733-0-135155","cobalt^ns","코발트 (cobalt)"
"242841733-0-139413","Dibellium^ns","디벨리움 (Dibellium)"
"242841733-0-135156","antimony^ns","안티몬 (antimony)"
"242841733-0-139412","Gilding Wax^ns","금박 밀랍 (Gilding Wax)"
"242841733-0-139411","Aurbic Amber^ns","오르빅 호박석 (Aurbic Amber)"
"242841733-0-139410","Titanium^ns","타이타늄 (Titanium)"
"242841733-0-139409","Dawn-Prism^n","여명의 프리즘 (Dawn-Prism)"
"242841733-0-135157","zinc^ns","아연 (zinc)"
"228378404-0-139409","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"242841733-0-139414","Slaughterstone","학살석 (Slaughterstone)"
"228378404-0-139411","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-139410","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-135156","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-135155","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-139414","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-139413","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-139412","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
"228378404-0-135157","Can be used to enhance jewelry.","장신구를 강화하는데 사용됩니다."
