"Location","Source","Target"
"228378404-0-27674","A granular powder known for causing a small explosions when put in fire","불이 붙으면 작은 폭발이 일어나는 불꽃 가루"
"228378404-0-81238","A blade meant to represent the trials of Rahni'Za. Present it to the trial master after the Final Trial.","라니'자의 시련을 나타내는 검입니다. 최후의 시련을 마친 후 시련의 감독관에게 보여주십시오."
"242841733-0-71023","Invitation to Orsinium","오시니움에서의 초대"
"228378404-0-156796","A love song of a bard's admiration for his missing instruments.","A love song of a bard's admiration for his missing instruments."
"242841733-0-45771","Ritual Shard","의식의 파편"
"242841733-0-45014","Spirit Stone","영혼의 돌"
"242841733-0-45016","Star Shard","별의 조각"
"228378404-0-71314","An elaborate ivory key.","정교한 상아색 열쇠"
"242841733-0-116343","Ode to Ethrandora","에테란도라(Ethrandora)를 향한 송시"
"228378404-0-71313","A bottle of white wine. According to the label, it is renowned for its ""overpowering subtlety.""","화이트 와인. 라벨에는 이 술이 \"\" 압도적인 미묘함\"\"으로 유명하다고 써있습니다."
"242841733-0-81229","Hilt of Rahni'Za","라니'자의 손잡이"
"242841733-0-45804","Bright Crystal","빛나는 크리스탈"
"242841733-0-94217","Stone of Yansirramus","얀시라무스의 돌"
"242841733-0-94216","Stone of Tusenend","튜세넨드의 돌"
"242841733-0-94215","Stone of Ramimilk","라미밀크의 돌"
"242841733-0-94214","Stone of Kushtashpi","쿠쉬타쉬피의 돌"
"242841733-0-44718","Nimriell's Research","님리엘의 연구 기록"
"242841733-0-94213","Stone of Esutanamus","에스타나무스의 돌"
"242841733-0-95269","Vassir-Didanat Mine Key","바씨르-디다낫 광산 열쇠"
"242841733-0-94212","Stone of Bal Ur","발 우르의 돌"
"228378404-0-45771","A stone plate covered in ritual scrawl.","석판에 의식의 글자이 새겨져 있습니다."
"228378404-0-81233","A broken blade meant to represent the spirit of Rahni'Za","라니'자의 영혼을 나타내는 부서진 검의 추"
"242841733-0-71257","Cheap Locket","싸구려 로켓 목걸이"
"228378404-0-81235","A broken blade meant to represent the spirit of Rahni'Za.","라니'자의 영혼을 나타내는 부러진 검 입니다."
"228378404-0-81234","A broken blade meant to represent the spirit of Rahni'Za.","라니'자의 영혼을 나타내는 부서진 검의 검날"
"228378404-0-64699","An old helm with a maker's mark from Morkul Stronghold. It's too battered to wear, and the name etched within is too faded to read.","이 오래된 투구에는 모쿨 요새의 제조 표식이 새겨져있다. 안에 새겨진 이름은 너무 흐릿해서 읽을 수 없다."
"228378404-0-45016","This carved gemstone powers the shrines.","조각된 보석이 제단에 힘을 부여합니다."
"228378404-0-81237","A bright crystal that looks like it can reflect light in long distances.","먼 거리까지 비출 수 있는 빛나는 크리스탈입니다."
"228378404-0-81236","A dulled crystal that looks like it can reflect light in short distances.","짧은 거리만 비출 수 있는 흐릿한 크리스탈입니다."
"228378404-0-45014","These mystical stones can be used at certain tombs to force fallen Yokudan champions to rise from their graves.","이 신비한 돌을 특정한 묘지에서 사용하면 죽은 요쿠단 전사들을 무덤에서 일으켜 세울 수 있습니다."
"242841733-0-27674","Flash Powder","불꽃가루"
"228378404-0-81229","A broken blade meant to represent spirit of Rahni'Za.","라니'자의 영혼을 나타내는 부서진 검의 손잡이"
"228378404-0-71586","A vaguely worded legal document with Tashmin's name clumsily written upon it.","타슈민의 이름이 흐릿하게 적혀 있는 애매모호한 영장입니다."
