"Location","Source","Target"
"228378404-0-68340","Itade","이타데 (Itade)"
"228378404-0-45819","Ode","오데 (Ode)"
"228378404-0-45818","Notade","노타데 (Notade)"
"242841733-0-45855","Jora","조라 (Jora)"
"242841733-0-45811","Pora","포라 (Pora)"
"242841733-0-45810","Jaera","제에라 (Jaera)"
"228378404-0-45857","Jera","제라 (Jera)"
"228378404-0-45813","Rera","레라 (Rera)"
"228378404-0-45812","Denara","데나라 (Denara)"
"228378404-0-45856","Porade","포라데 (Porade)"
"228378404-0-45855","Jora","조라 (Jora)"
"228378404-0-45811","Pora","포라 (Pora)"
"228378404-0-45810","Jaera","제에라 (Jaera)"
"242841733-0-45806","Jejora","제조라 (Jejora)"
"228378404-0-45817","Jode","조데 (Jode)"
"228378404-0-45816","Kura","쿠라 (Kura)"
"242841733-0-45808","Pojora","포조라 (Pojora)"
"228378404-0-45815","Rekura","레쿠라 (Rekura)"
"228378404-0-45814","Derado","데라도 (Derado)"
"242841733-0-45807","Odra","오드라 (Odra)"
"242841733-0-45809","Edora","에도라 (Edora)"
"228378404-0-64509","Rejera","레제라 (Rejera)"
"228378404-0-64508","Jehade","제하데 (Jehade)"
"228378404-0-45809","Edora","에도라 (Edora)"
"228378404-0-45808","Pojora","포조라 (Pojora)"
"228378404-0-45807","Odra","오드라 (Odra)"
"228378404-0-45806","Jejora","제조라 (Jejora)"
"242841733-0-68341","Repora","레포라 (Repora)"
"228378404-0-68341","Repora","레포라 (Repora)"
"242841733-0-68340","Itade","이타데 (Itade)"
"242841733-0-64509","Rejera","레제라 (Rejera)"
"242841733-0-64508","Jehade","제하데 (Jehade)"
"242841733-0-45830","Kude","쿠데 (Kude)"
"242841733-0-45824","Rekude","레쿠데 (Rekude)"
"242841733-0-45823","Pojode","포조데 (Pojode)"
"242841733-0-45826","Idode","이도데 (Idode)"
"242841733-0-45825","Hade","하데 (Hade)"
"242841733-0-45828","Kedeko","케데코 (Kedeko)"
"242841733-0-45827","Pode","포데 (Pode)"
"242841733-0-45829","Rede","레데 (Rede)"
"228378404-0-45830","Kude","쿠데 (Kude)"
"228378404-0-45829","Rede","레데 (Rede)"
"242841733-0-45820","Tade","타데 (Tade)"
"242841733-0-45822","Edode","에도데 (Edode)"
"242841733-0-45821","Jayde","제이데 (Jayde)"
"242841733-0-45857","Jera","제라 (Jera)"
"228378404-0-45824","Rekude","레쿠데 (Rekude)"
"242841733-0-45813","Rera","레라 (Rera)"
"242841733-0-45812","Denara","데나라 (Denara)"
"228378404-0-45823","Pojode","포조데 (Pojode)"
"242841733-0-45856","Porade","포라데 (Porade)"
"228378404-0-45822","Edode","에도데 (Edode)"
"242841733-0-45815","Rekura","레쿠라 (Rekura)"
"242841733-0-45814","Derado","데라도 (Derado)"
"228378404-0-45821","Jayde","제이데 (Jayde)"
"242841733-0-45817","Jode","조데 (Jode)"
"228378404-0-45828","Kedeko","케데코 (Kedeko)"
"242841733-0-45816","Kura","쿠라 (Kura)"
"228378404-0-45827","Pode","포데 (Pode)"
"228378404-0-45826","Idode","이도데 (Idode)"
"242841733-0-45819","Ode","오데 (Ode)"
"228378404-0-45825","Hade","하데 (Hade)"
"242841733-0-45818","Notade","노타데 (Notade)"
"228378404-0-45820","Tade","타데 (Tade)"
