"Location","Source","Target"
"242841733-0-166889","Pattern: Solitude Bed, Rustic Cowhide Double","Pattern: Solitude Bed, Rustic Cowhide Double"
"242841733-0-145949","Praxis: Murkmire Table, Engraved","Praxis: Murkmire Table, Engraved"
"242841733-0-116149","Blueprint: Nord Hutch, Rough","목공청사진: Nord Hutch, Rough"
"242841733-0-145945","Praxis: Murkmire Bench, Wide","Praxis: Murkmire Bench, Wide"
"242841733-0-145946","Praxis: Murkmire Bench, Armless","Praxis: Murkmire Bench, Armless"
"242841733-0-145947","Praxis: Murkmire Bed, Enclosed","Praxis: Murkmire Bed, Enclosed"
"242841733-0-145948","Praxis: Murkmire Pedestal, Low","Praxis: Murkmire Pedestal, Low"
"242841733-0-116143","Pattern: Khajiit Rug, Sun","패턴 도면: Khajiit Rug, Sun"
"242841733-0-45651","Recipe: Fricasseed Rabbit with Radishes","조리법: Fricasseed Rabbit with Radishes"
"242841733-0-116144","Diagram: Khajiit Brazier, Hanging","대장 도표: Khajiit Brazier, Hanging"
"242841733-0-45650","Recipe: Sun's Height Pudding","조리법: Sun's Height Pudding"
"242841733-0-116141","Pattern: Khajiit Sofa, Padded","패턴 도면: Khajiit Sofa, Padded"
"242841733-0-45653","Recipe: Creamcheese Frosted Gorapple Cake","조리법: Creamcheese Frosted Gorapple Cake"
"242841733-0-116142","Pattern: Khajiit Pillow, Roll","패턴 도면: Khajiit Pillow, Roll"
"242841733-0-45652","Recipe: Venison Stuffed Grape Leaves","조리법: Venison Stuffed Grape Leaves"
"242841733-0-116147","Blueprint: Nord Cart, Hay","목공청사진: Nord Cart, Hay"
"242841733-0-45655","Recipe: Beet-Glazed Pork","조리법: Beet-Glazed Pork"
"242841733-0-116148","Blueprint: Nord Trunk, Heavy","목공청사진: Nord Trunk, Heavy"
"242841733-0-45654","Recipe: Red Deer Stew","조리법: Red Deer Stew"
"242841733-0-116145","Diagram: Khajiit Sconce, Spiked","대장 도표: Khajiit Sconce, Spiked"
"242841733-0-45657","Recipe: Monkeypig Cutlets","조리법: Monkeypig Cutlets"
"242841733-0-116146","Diagram: Khajiit Candle-filled Lamp","대장 도표: Khajiit Candle-filled Lamp"
"242841733-0-45656","Recipe: Sweet Potatoes","조리법: 달콤한 감자"
"242841733-0-152237","Praxis: Elsweyr Sarcophagus, Ancient","Praxis: Elsweyr Sarcophagus, Ancient"
"242841733-0-45648","Recipe: Shornhelm Ox-Tail Soup","조리법: Shornhelm Ox-Tail Soup"
"242841733-0-152238","Praxis: Elsweyr Sarcophagus Lid, Ancient","Praxis: Elsweyr Sarcophagus Lid, Ancient"
"242841733-0-45647","Recipe: Hearthfire Vegetable Salad","조리법: Hearthfire Vegetable Salad"
"242841733-0-45649","Recipe: Pumpkin-Stuffed Fellrunner","조리법: Pumpkin-Stuffed Fellrunner"
"242841733-0-116140","Diagram: Khajiit Candles, Clawfoot","대장 도표: Khajiit Candles, Clawfoot"
"242841733-0-166890","Pattern: Solitude Bed, Noble Single","Pattern: Solitude Bed, Noble Single"
"242841733-0-166891","Pattern: Solitude Bed, Rustic Bearskin Single","Pattern: Solitude Bed, Rustic Bearskin Single"
"242841733-0-166892","Pattern: Solitude Bed, Rustic Cowhide Single","Pattern: Solitude Bed, Rustic Cowhide Single"
"242841733-0-145952","Praxis: Murkmire Bookshelf, Grand Full","Praxis: Murkmire Bookshelf, Grand Full"
"242841733-0-166893","Diagram: Solitude Skewer, Twisted Iron","Diagram: Solitude Skewer, Twisted Iron"
"242841733-0-145953","Praxis: Murkmire Sarcophagus, Empty","Praxis: Murkmire Sarcophagus, Empty"
"242841733-0-166894","Diagram: Solitude Hammer, Simple","Diagram: Solitude Hammer, Simple"
"242841733-0-145954","Praxis: Murkmire Sarcophagus Lid","Praxis: Murkmire Sarcophagus Lid"
"242841733-0-166895","Diagram: Solitude Hand-Drill, Simple","Diagram: Solitude Hand-Drill, Simple"
"242841733-0-145955","Praxis: Murkmire Bookshelf","Praxis: Murkmire Bookshelf"
"242841733-0-166896","Diagram: Solitude Scraper, Simple","Diagram: Solitude Scraper, Simple"
"242841733-0-166897","Diagram: Solitude Wedge Pick, Simple","Diagram: Solitude Wedge Pick, Simple"
"242841733-0-166898","Pattern: Solitude Patching Kit, Well-Worn","Pattern: Solitude Patching Kit, Well-Worn"
"242841733-0-145950","Praxis: Murkmire Brazier, Engraved","Praxis: Murkmire Brazier, Engraved"
"242841733-0-166899","Blueprint: Solitude Game, Warrior and the Wolf","Blueprint: Solitude Game, Warrior and the Wolf"
"242841733-0-145951","Praxis: Murkmire Bookshelf, Grand","Praxis: Murkmire Bookshelf, Grand"
"242841733-0-166878","Blueprint: Solitude Bookcase, Narrow Backless","Blueprint: Solitude Bookcase, Narrow Backless"
"242841733-0-166879","Blueprint: Solitude Cabinet, Narrow Open Filled","Blueprint: Solitude Cabinet, Narrow Open Filled"
