"Location","Source","Target"
"228378404-0-29534","Creates a site at which 20 soldiers of your alliance can respawn. Alliance Rank 6 or higher to purchase.","당신의 연합원 20명이 부활할 수 있는 거점을 설치합니다. 연합 계급이 6 이상이어야 살 수 있습니다."
"228378404-0-29533","Creates a site at which 20 soldiers of your alliance can respawn. Alliance Rank 6 or higher to purchase.","당신의 연합원 20명이 부활할 수 있는 거점을 설치합니다. 연합 계급이 6 이상이어야 살 수 있습니다."
"228378404-0-27114","Creates a trebuchet weapon whose fireball causes burn damage to structures and foes.","화염구를 발사해서 구조물과 적들에게 화염 피해를 입히는 투석기를 생성합니다."
"228378404-0-27115","Creates a trebuchet weapon whose fireball causes burn damage to structures and foes.","화염구를 발사해서 구조물과 적들에게 화염 피해를 입히는 투석기를 생성합니다."
"228378404-0-29535","Creates a site at which 20 soldiers of your alliance can respawn. Alliance Rank 6 or higher to purchase.","당신의 연합원 20명이 부활할 수 있는 거점을 설치합니다. 연합 계급이 6 이상이어야 살 수 있습니다."
"228378404-0-44768","Creates a trebuchet weapon whose iceball causes damage and ensnares players.","얼음 구체를 발사해서 플레이어에게 피해를 입히고 감속시키는 투석기를 생성합니다."
"228378404-0-44922","Creates a site at which one soldier of your alliance can respawn.","당신의 연합원이 부활할 수 있는 거점을 설치합니다."
"228378404-0-44921","Creates a site at which one soldier of your alliance can respawn.","당신의 연합원이 부활할 수 있는 거점을 설치합니다."
"228378404-0-44920","Creates a site at which one soldier of your alliance can respawn.","당신의 연합원이 부활할 수 있는 거점을 설치합니다."
"228378404-0-44769","Creates a trebuchet weapon whose stones cause great damage to structures and foes.","돌을 발사해서 구조물과 적들에게 커다란 피해를 입히는 투석기를 생성합니다."
"242841733-0-160535","Pact Frost Lancer","Pact Frost Lancer"
"228378404-0-44240","This contract grants you the services of a mercenary who will defend a location of your choice for a short period of time.","이 용병은 당신이 선택한 지역에 짧은 시간동안 거점 방어 서비스를 제공합니다."
"242841733-0-160536","Covenant Frost Lancer","Covenant Frost Lancer"
"242841733-0-160533","Covenant Shock Lancer","Covenant Shock Lancer"
"242841733-0-160534","Dominion Frost Lancer","Dominion Frost Lancer"
"242841733-0-160531","Dominion Shock Lancer","Dominion Shock Lancer"
"242841733-0-160532","Pact Shock Lancer","Pact Shock Lancer"
"228378404-0-27105","Creates a trebuchet weapon whose fireball causes burn damage to structures and foes.","화염구를 발사해서 구조물과 적들에게 화염 피해를 입히는 투석기를 생성합니다."
"228378404-0-30359","Very effective weapon against Rams and players operating a Ram.","공성추와 공성추 주변의 플레이어들에게 매우 효과적입니다."
"242841733-0-27835","Covenant Battering Ram","대거폴 공성추"
"228378404-0-44239","This contract grants you the services of a mercenary who will defend a location of your choice for a short period of time.","이 용병은 당신이 선택한 지역에 짧은 시간동안 거점 방어 서비스를 제공합니다."
"228378404-0-44238","This contract grants you the services of a mercenary who will defend a location of your choice for a short period of time.","이 용병은 당신이 선택한 지역에 짧은 시간동안 거점 방어 서비스를 제공합니다."
"228378404-0-27850","Creates a battering ram which can be used to destroy doors.","문을 부수는데 쓰이는 타격용 공성추를 설치합니다."
"228378404-0-27971","Creates a ballista siege weapon whose bolt causes flame damage to structures and also damages foes over time.","볼트를 발사해서 구조물에 화염 피해를 입히고 적들에게 지속 피해를 입히는 발리스타 공성 무기를 생성합니다."
"228378404-0-27972","Creates a ballista siege weapon whose bolt causes flame damage to structures and also damages foes over time.","볼트를 발사해서 구조물에 화염 피해를 입히고 적들에게 지속 피해를 입히는 발리스타 공성 무기를 생성합니다."
"228378404-0-27973","Creates a ballista siege weapon whose electrically charged bolt ensnares enemies and drains their Magicka.","전기 충전된 볼트를 발사해서 적을 감속시키고 매지카를 흡수하는 발리스타 공성 무기를 생성합니다."
"228378404-0-27974","Creates a ballista siege weapon whose electrically charged bolt ensnares enemies and drains their Magicka.","전기 충전된 볼트를 발사해서 적을 감속시키고 매지카를 흡수하는 발리스타 공성 무기를 생성합니다."
"228378404-0-27975","Creates a ballista siege weapon whose electrically charged bolt ensnares enemies and drains their Magicka.","전기 충전된 볼트를 발사해서 적을 감속시키고 매지카를 흡수하는 발리스타 공성 무기를 생성합니다."
"228378404-0-36567","Creates a ballista siege weapon whose bolt causes great damage to structures and enemies.","볼트를 발사해서 구조물과 적들에게 큰 피해를 입히는 발리스타 공성 무기를 생성합니다."
"242841733-0-27967","Dominion Oil Catapult","알드메리 기름 캐터펄트"
"242841733-0-27966","Covenant Meatbag Catapult","대거폴 고기주머니 캐터펄트"
"228378404-0-36569","Creates a ballista siege weapon whose bolt causes great damage to structures and enemies.","볼트를 발사해서 구조물과 적들에게 큰 피해를 입히는 발리스타 공성 무기를 생성합니다."
"242841733-0-27969","Covenant Oil Catapult","대거폴 기름 캐터펄트"
"228378404-0-36568","Creates a ballista siege weapon whose bolt causes great damage to structures and enemies.","볼트를 발사해서 구조물과 적들에게 큰 피해를 입히는 발리스타 공성 무기를 생성합니다."
"242841733-0-27968","Pact Oil Catapult","에본하트 기름 캐터펄트"
"242841733-0-27965","Pact Meatbag Catapult","에본하트 고기주머니 캐터펄트"
"242841733-0-27964","Dominion Meatbag Catapult","알드메리 고기주머니 캐터펄트"
"242841733-0-36567","Dominion Ballista","알드메리 발리스타"
"242841733-0-36569","Covenant Ballista","대거폴 발리스타"
"242841733-0-36568","Pact Ballista","에본하트 발리스타"
"242841733-0-27970","Dominion Fire Ballista","알드메리 기름 캐터펄트"
"242841733-0-160530","Covenant Fire Lancer","Covenant Fire Lancer"
"242841733-0-27972","Covenant Fire Ballista","대거폴 화염 발리스타"
"242841733-0-27850","Pact Battering Ram","에본하트 공성추"
"242841733-0-27971","Pact Fire Ballista","에본하트 화염 발리스타"
