"Location","Source","Target"
"242841733-0-33270","Greater Soul Gem","상급 소울 젬"
"228378404-0-33260","Used to capture Level 1 - 9 souls.","1 - 9 레벨의 영혼을 수집하는데 사용합니다."
"228378404-0-33261","Used to capture Level 10 - 19 souls.","10 - 19 레벨의 영혼을 수집하는데 사용합니다."
"228378404-0-61081","Used to capture souls of any Level.","Used to capture souls of any Level."
"242841733-0-33271","Soul Gem","소울 젬"
"242841733-0-61081","Leveled Soul Gem (Empty)","Leveled Soul Gem (Empty)"
"242841733-0-61080","Crown Soul Gem","크라운 소울 젬"
"228378404-0-33266","Used to fully charge weapons up to Level 9, and revive up to Level 9 players.","Used to fully charge weapons up to Level 9, and revive up to Level 9 players."
"228378404-0-33267","Used to fully charge weapons up to Level 19, and revive up to Level 19 players.","Used to fully charge weapons up to Level 19, and revive up to Level 19 players."
"228378404-0-61080","These soul gems can be used to revive players of any level, and to fully charge weapons of any level.","모든 레벨의 플레이어를 부활시키고, 모든 레벨의 무기를 완전히 충전하는데 사용할 수 있는 소울 젬입니다."
"228378404-0-33268","Used to fully charge weapons up to Level 29, and revive up to Level 29 players.","Used to fully charge weapons up to Level 29, and revive up to Level 29 players."
"228378404-0-33269","Used to fully charge weapons up to Level 39, and revive up to Level 39 players.","Used to fully charge weapons up to Level 39, and revive up to Level 39 players."
"228378404-0-33262","Used to capture Level 20 - 29 souls.","20 - 29 레벨의 영혼을 수집하는데 사용합니다."
"228378404-0-33263","Used to capture Level 30 - 39 souls.","30 - 39 레벨의 영혼을 수집하는데 사용합니다."
"228378404-0-33264","Used to capture Level 40 - 49 souls.","40 - 49 레벨의 영혼을 수집하는데 사용합니다."
"228378404-0-33265","Used to capture souls.","영혼을 수집하는데 사용합니다."
"228378404-0-33270","Used to fully charge weapons up to Level 49, and revive up to Level 49 players.","Used to fully charge weapons up to Level 49, and revive up to Level 49 players."
"228378404-0-33271","Used to fully charge weapons of any level, and revive players of any level.","모든 레벨의 플레이어를 부활시키고, 모든 레벨의 무기를 완전히 충전하는데 사용할 수 있는 소울 젬입니다."
"242841733-0-33262","Lesser Soul Gem (Empty)","저급 소울 젬 (비어있음)"
"242841733-0-33263","Common Soul Gem (Empty)","일반적인 소울 젬 (비어있음)"
"242841733-0-33260","Petty Soul Gem (Empty)","하찮은 소울 젬 (비어있음)"
"242841733-0-33261","Minor Soul Gem (Empty)","하급 소울 젬 (비어있음)"
"242841733-0-33266","Petty Soul Gem","하찮은 소울 젬"
"242841733-0-33267","Minor Soul Gem","하급 소울 젬"
"242841733-0-33264","Greater Soul Gem (Empty)","상급 소울 젬 (비어있음)"
"242841733-0-33265","Soul Gem (Empty)","소울 젬 (비어있음)"
"242841733-0-33268","Lesser Soul Gem","저급 소울 젬"
"242841733-0-33269","Common Soul Gem","일반적인 소울 젬"
