"Location","Source","Target"
"228378404-0-153775","A combination of a crossbow and grappling hook, used to easily reach high locations.","그래플링 훅과 석궁의 조합으로, 높은 곳으로 쉽게 도달할 수 있다."
"242841733-0-30357","Lockpick","락픽 (Lockpick)"
"228378404-0-30357","Used to open many locked chests and doors. Expended upon use.","Used to open many locked chests and doors. Expended upon use."
"242841733-0-44874","Petty Repair Kit","조잡한 수리 도구"
"242841733-0-44875","Minor Repair Kit","임시 수리 도구"
"242841733-0-153775","Dragonguard Grappling Bow","드래곤가드 그래플링 활"
"242841733-0-44876","Lesser Repair Kit","저품질 수리 도구"
"242841733-0-44877","Common Repair Kit","평범한 수리 도구"
"228378404-0-44878","Repairs items of any level, but is less effective on items over Level 49.","모든 레벨의 아이템을 수리하지만, 49레벨을 초과하는 아이템에는 효율이 낮습니다."
"228378404-0-44877","Repairs items of any level, but is less effective on items over Level 39.","모든 레벨의 아이템을 수리하지만, 39레벨을 초과하는 아이템에는 효율이 낮습니다."
"242841733-0-44878","Greater Repair Kit","고품질 수리 도구"
"242841733-0-44879","Grand Repair Kit","장인의 수리 도구"
"228378404-0-44876","Repairs items of any level, but is less effective on items over Level 29.","모든 레벨의 아이템을 수리하지만, 29레벨을 초과하는 아이템에는 효율이 낮습니다."
"228378404-0-44875","Repairs items of any level, but is less effective on items over Level 19.","모든 레벨의 아이템을 수리하지만, 19레벨을 초과하는 아이템에는 효율이 낮습니다."
"228378404-0-44879","Repairs items of any level.","모든 레벨의 아이템을 수리합니다."
"228378404-0-44874","Repairs items of any level, but is less effective on items over Level 9.","모든 레벨의 아이템을 수리하지만, 9레벨을 초과하는 아이템에는 효율이 낮습니다."
