"Location","Source","Target"
"228378404-0-134618","This chunk of shimmering rock can be shattered into anywhere from four to twenty-five Transmutation Crystals.","This chunk of shimmering rock can be shattered into anywhere from four to twenty-five Transmutation Crystals."
"242841733-0-134583","Transmutation Geode","Transmutation Geode"
"242841733-0-81993","The Ten Million Tel Var Trunk","The Ten Million Tel Var Trunk"
"242841733-0-134591","Transmutation Geode","Transmutation Geode"
"242841733-0-134590","Transmutation Geode","Transmutation Geode"
"242841733-0-134623","Uncracked Transmutation Geode","Uncracked Transmutation Geode"
"228378404-0-134588","This chunk of shimmering rock can be shattered into five Transmutation Crystals.","This chunk of shimmering rock can be shattered into five Transmutation Crystals."
"242841733-0-134622","Uncracked Transmutation Geode","Uncracked Transmutation Geode"
"228378404-0-134622","This chunk of shimmering rock can be shattered into anywhere from one to three Transmutation Crystals.","This chunk of shimmering rock can be shattered into anywhere from one to three Transmutation Crystals."
"228378404-0-134623","This chunk of shimmering rock can be shattered into anywhere from one to ten Transmutation Crystals.","This chunk of shimmering rock can be shattered into anywhere from one to ten Transmutation Crystals."
"242841733-0-134588","Transmutation Geode","Transmutation Geode"
"228378404-0-134590","This chunk of shimmering rock can be shattered into ten Transmutation Crystals.","This chunk of shimmering rock can be shattered into ten Transmutation Crystals."
"228378404-0-134591","This chunk of shimmering rock can be shattered into fifty Transmutation Crystals.","This chunk of shimmering rock can be shattered into fifty Transmutation Crystals."
"242841733-0-69415","Hefty Tel Var Crate","Hefty Tel Var Crate"
"242841733-0-69414","Medium Tel Var Sack","Medium Tel Var Sack"
"242841733-0-69413","Light Tel Var Satchel","Light Tel Var Satchel"
"228378404-0-134583","This chunk of shimmering rock can be shattered into a single Transmutation Crystal.","This chunk of shimmering rock can be shattered into a single Transmutation Crystal."
"242841733-0-69433","Scamp's Tel Var Sack","Scamp's Tel Var Sack"
"242841733-0-134618","Uncracked Transmutation Geode","Uncracked Transmutation Geode"
"228378404-0-69433","This ragged, motley sack contains a few Tel Var Stones.","This ragged, motley sack contains a few Tel Var Stones."
"228378404-0-69413","This small, well-stitched satchel contains a handful of Tel Var Stones.","This small, well-stitched satchel contains a handful of Tel Var Stones."
"228378404-0-69415","This sturdy crate is stuffed to the brim with Tel Var Stones.","This sturdy crate is stuffed to the brim with Tel Var Stones."
"228378404-0-81993","This trunk feels portentously heavy with stone chunks.","This trunk feels portentously heavy with stone chunks."
"228378404-0-69414","This rugged leather sack contains a wealth of Tel Var Stones.","This rugged leather sack contains a wealth of Tel Var Stones."
