"Location","Source","Target"
"242841733-0-26591","Glyph","글리프"
"242841733-0-54484","Glyph","글리프"
"242841733-0-26845","Glyph","글리프"
"242841733-0-5366","Glyph","글리프"
"242841733-0-26844","Glyph","글리프"
"242841733-0-43573","Glyph","글리프"
"242841733-0-5365","Glyph","글리프"
"242841733-0-26841","Glyph","글리프"
"242841733-0-26587","Glyph","글리프"
"242841733-0-45868","Glyph","글리프"
"242841733-0-45867","Glyph","글리프"
"242841733-0-45869","Glyph","글리프"
"242841733-0-26848","Glyph","글리프"
"242841733-0-68344","Glyph","글리프"
