"Location","Source","Target"
"242841733-0-55458","Shield^n","Shield"
"242841733-0-99036","Swamp Raider's Shield","Swamp Raider's Shield"
"242841733-0-122827","War Maiden's Shield","War Maiden's Shield"
"242841733-0-162042","Roaring Opportunist's Shield","Roaring Opportunist's Shield"
"242841733-0-155751","Daring Corsair's Shield","Daring Corsair's Shield"
"242841733-0-130452","Innate Axiom Shield","Innate Axiom Shield"
"242841733-0-149072","Undertaker's Shield","Undertaker's Shield"
"242841733-0-110837","Shield of the Worm Cult","Shield of the Worm Cult"
"242841733-0-143773","Might of the Lost Legion Shield","Might of the Lost Legion Shield"
"242841733-0-137083","Relequen's Shield","Relequen's Shield"
"242841733-0-104165","Shield of the Netch's Touch","Shield of the Netch's Touch"
"242841733-0-88383","Shield of Cyrodiil's Crest","Shield of Cyrodiil's Crest"
"242841733-0-105499","Treasure Hunter's Shield","Treasure Hunter's Shield"
"242841733-0-108521","Shield of the Dreugh King Slayer","Shield of the Dreugh King Slayer"
"242841733-0-163369","Spell Parasite's Shield","Spell Parasite's Shield"
"242841733-0-51089","Shield of Hist Bark","Shield of Hist Bark"
"242841733-0-79436","Shield of the Pariah","Shield of the Pariah"
"242841733-0-79435","Shield of the Pariah","Shield of the Pariah"
"242841733-0-75075","Shield of the Night Mother","Shield of the Night Mother"
"242841733-0-79434","Shield of the Pariah","Shield of the Pariah"
"242841733-0-79433","Shield of the Pariah","The Pariah: 방패"
"242841733-0-117485","Shield of the Shield Breaker","Shield of the Shield Breaker"
"242841733-0-80409","Shield Of The Knightmare","The Knightmare: 방패"
"242841733-0-131776","Shield of Glory","Shield of Glory"
"242841733-0-150075","False God's Shield","False God's Shield"
"242841733-0-90684","Shield of the Onslaught","Shield of the Onslaught"
"242841733-0-107209","Hulking Draugr's Shield","Hulking Draugr's Shield"
"242841733-0-142452","Dead-Water's Guile Shield","Dead-Water's Guile Shield"
"242841733-0-141121","Jailer's Shield","Jailer's Shield"
"242841733-0-129454","Plague Slinger Shield","Plague Slinger Shield"
"242841733-0-109867","Shield of the Noble Duelist","Shield of the Noble Duelist"
"228378404-0-27215","The light of Jone and Jode seems to flow from every scar on this shield's surface..","존과 조드의 빛이 방패 표면에 난 모든 흉터에서 흘러나오는 듯 합니다..."
"242841733-0-162021","Roaring Opportunist's Shield","Roaring Opportunist's Shield"
"242841733-0-99016","Swamp Raider's Shield","Swamp Raider's Shield"
"242841733-0-122848","War Maiden's Shield","War Maiden's Shield"
"242841733-0-76378","Pelinal's Shield","Pelinal's Shield"
"242841733-0-152699","Hollowfang Shield","할로우팽 방패 (Hollowfang Shield)"
"242841733-0-89697","Shield of the Sergeant","Shield of the Sergeant"
"242841733-0-88363","Shield of Cyrodiil's Crest","Cyrodiil's Crest: 방패"
"242841733-0-110858","Shield of the Worm Cult","Shield of the Worm Cult"
"242841733-0-104186","Shield of the Netch's Touch","Shield of the Netch's Touch"
"242841733-0-54137","Shield of Shalidor's Curse","Shield of Shalidor's Curse"
"228378404-0-54886","This ancient shield was made for decorated Yokudan heavy infantry.","This ancient shield was made for decorated Yokudan heavy infantry."
"242841733-0-34529","Stygian Nerazakan's Fascination","Stygian Nerazakan's Fascination"
"242841733-0-128140","Blooddrinker Shield","Blooddrinker: 방패"
"242841733-0-151383","Perfected Nahviintaas's Shield","Perfected Nahviintaas's Shield"
"242841733-0-101915","Prisoner's Shield","죄수의 방패 (Prisoner's Shield)"
"242841733-0-75052","Shield of the Shadow Dancer","Shield of the Shadow Dancer"
"242841733-0-47843","Shield of the Seducer","Shield of the Seducer"
"242841733-0-90663","Shield of the Onslaught","Shield of the Onslaught"
"242841733-0-150054","False God's Shield","False God's Shield"
"242841733-0-107229","Hulking Draugr's Shield","Hulking Draugr's Shield"
"242841733-0-87028","Shield of the Footman","Shield of the Footman"
"242841733-0-109888","Shield of the Noble Duelist","Shield of the Noble Duelist"
"242841733-0-142432","Dead-Water's Guile Shield","Dead-Water's Guile Shield"
"242841733-0-141101","Jailer's Shield","Jailer's Shield"
"242841733-0-122869","War Maiden's Shield","War Maiden's Shield"
"242841733-0-162088","Roaring Opportunist's Shield","Roaring Opportunist's Shield"
"242841733-0-155790","Ancient Dragonguard's Shield","Ancient Dragonguard's Shield"
"242841733-0-87008","Shield of the Footman","Shield of the Footman"
"242841733-0-97294","Shield of a Mother's Sorrow","Shield of a Mother's Sorrow"
"242841733-0-153128","Z'en's Shield","Z'en's Shield"
"242841733-0-44758","Architect's Shield","Architect의 방패"
"242841733-0-110879","Shield of the Worm Cult","Shield of the Worm Cult"
"242841733-0-89677","Shield of the Sergeant","Shield of the Sergeant"
"242841733-0-100601","Spriggan's Shield","Spriggan: 스프리건의 방패"
"242841733-0-108563","Barkskin Shield","Barkskin Shield"
"242841733-0-56732","Shield of Orgnum's Scales","Shield of Orgnum's Scales"
"242841733-0-75031","Shield of the Shadow Dancer","Shield of the Shadow Dancer"
"242841733-0-128160","Blooddrinker Shield","Blooddrinker Shield"
"242841733-0-51042","Shield of Hist Bark","Shield of Hist Bark"
"242841733-0-101936","Prisoner's Shield","죄수의 방패 (Prisoner's Shield)"
"242841733-0-133514","The Asylum's Shield","The Asylum's Shield"
"242841733-0-130487","Innate Axiom Shield","Innate Axiom Shield"
"242841733-0-153149","Z'en's Shield","Z'en's Shield"
"242841733-0-90642","Shield of the Onslaught","Shield of the Onslaught"
"242841733-0-158827","Unchained Aggressor's Shield","Unchained Aggressor's Shield"
"242841733-0-142492","Dead-Water's Guile Shield","Dead-Water's Guile Shield"
"242841733-0-141161","Jailer's Shield","Jailer's Shield"
"242841733-0-91979","Shield of the Swift","Shield of the Swift"
"242841733-0-97273","Shield of a Mother's Sorrow","Shield of a Mother's Sorrow"
"242841733-0-56767","Shield of the Eyes of Mara","Shield of the Eyes of Mara"
"242841733-0-108583","Barkskin Shield","Barkskin Shield"
"242841733-0-77666","Ebon Shield","Ebon Shield"
"242841733-0-146814","Frozen Watcher's Shield","Frozen Watcher's Shield"
"242841733-0-125917","Impregnable Armor Shield^n","Impregnable Armor Shield"
"242841733-0-149092","Undertaker's Shield","Undertaker's Shield"
"242841733-0-88321","Shield of Durok's Bane","Shield of Durok's Bane"
"242841733-0-122890","War Maiden's Shield","War Maiden's Shield"
"242841733-0-153107","Z'en's Shield","Z'en's Shield"
"242841733-0-89657","Shield of the Sergeant","Shield of the Sergeant"
"242841733-0-100621","Spriggan's Shield","Spriggan's Shield"
"242841733-0-47808","Shield of the Seducer","Shield of the Seducer"
"242841733-0-121563","Assassin's Shield","암살자의 방패 (Assassin's Shield)"
"242841733-0-78988","Shield of Imperial Physique","Shield of Imperial Physique"
"242841733-0-77658","Shield of the Worm","Shield of the Worm"
"242841733-0-76343","Pelinal's Shield","Pelinal's Shield"
"242841733-0-75010","Shield of the Shadow Dancer","Shield of the Shadow Dancer"
"242841733-0-128180","Blooddrinker Shield","Blooddrinker Shield"
"242841733-0-113940","Shield of the Immortal Yokeda","Immortal Yokeda: 방패"
"242841733-0-77674","Hircine's Shield","Hircine's Shield"
"242841733-0-89637","Shield of the Sergeant","The Sergeant: 방패"
"242841733-0-101957","Prisoner's Shield","죄수의 방패 (Prisoner's Shield)"
"242841733-0-52391","Shield of Alessia's Bulwark","Shield of Alessia's Bulwark"
"242841733-0-85283","Shield of Nikulas","Shield of Nikulas"
"242841733-0-90621","Shield of the Onslaught","The Onslaught: 방패"
"242841733-0-150096","False God's Shield","False God's Shield"
"242841733-0-91958","Shield of the Swift","The Swift: 방패"
"242841733-0-142472","Dead-Water's Guile Shield","Dead-Water's Guile Shield"
"242841733-0-146834","Frozen Watcher's Shield","Frozen Watcher's Shield"
"242841733-0-141141","Jailer's Shield","Jailer's Shield"
"242841733-0-107271","Shield of the Undaunted Unweaver","Undaunted Unweaver: 방패"
"242841733-0-149909","Lokkestiiz's Shield","로케스티즈의 방패"
"242841733-0-153170","Z'en's Shield","Z'en's Shield"
"242841733-0-124607","Inventor's Guard Shield^n","Inventor's Guard Shield"
"242841733-0-91150","Shield of Almalexia's Mercy","Shield of Almalexia's Mercy"
"242841733-0-92481","Barkskin Shield","Barkskin Shield"
"242841733-0-158862","Unchained Aggressor's Shield","Unchained Aggressor's Shield"
"242841733-0-45258","shield^n","shield"
"242841733-0-51929","Shield of the Song of Lamae","Song of Lamae: 방패"
"242841733-0-100641","Spriggan's Shield","Spriggan's Shield"
"242841733-0-60890","Shield of the Armor Master","Shield of the Armor Master"
"242841733-0-69222","Shield of Willpower","Shield of Willpower"
"242841733-0-70202","Shield of Trials","Shield of Trials"
"242841733-0-95508","Shield of Martial Knowledge","Shield of Martial Knowledge"
"242841733-0-113960","Shield of the Immortal Yokeda","Shield of the Immortal Yokeda"
"242841733-0-101978","Prisoner's Shield","죄수의 방패 (Prisoner's Shield)"
"242841733-0-157549","Draugrkin Shield","Draugrkin Shield"
"242841733-0-84845","Shield of the Sun","Shield of the Sun"
"242841733-0-46578","Shield of Twilight's Embrace","Twilight's Embrace: 방패"
"242841733-0-69235","Shield of Willpower","Shield of Willpower"
"242841733-0-93795","Shield of Cyrodiil's Ward","Shield of Cyrodiil's Ward"
"242841733-0-144232","Spell Strategist Shield","Spell Strategist Shield"
"242841733-0-96823","Shield of the Wyrd Tree","Shield of the Wyrd Tree"
"242841733-0-150908","Perfected Yolnahkriin's Shield","Perfected Yolnahkriin's Shield"
"242841733-0-146896","Shield of Scavenging Demise","Shield of Scavenging Demise"
"242841733-0-79487","Shield of Trinimac's Valor","Shield of Trinimac's Valor"
"242841733-0-79486","Shield of Trinimac's Valor","Shield of Trinimac's Valor"
"242841733-0-107292","Shield of the Undaunted Unweaver","Shield of the Undaunted Unweaver"
"242841733-0-79488","Shield of Trinimac's Valor","Shield of Trinimac's Valor"
"242841733-0-92461","Barkskin Shield","Barkskin: 방패"
"242841733-0-79485","Shield of Trinimac's Valor","Trinimac's Valor: 방패"
"228378404-0-34384","A token of thanks from the three trapped souls you freed from the Mad Architect's clutches.","A token of thanks from the three trapped souls you freed from the Mad Architect's clutches."
"242841733-0-48308","Shield of Vampire's Kiss","Shield of Vampire's Kiss"
"242841733-0-99098","Shield of the Hatchling's Shell","Shield of the Hatchling's Shell"
"242841733-0-100661","Spriggan's Shield","Spriggan's Shield"
"242841733-0-101999","Prisoner's Shield","죄수의 방패 (Prisoner's Shield)"
"242841733-0-91129","Shield of Almalexia's Mercy","Shield of Almalexia's Mercy"
"242841733-0-123300","Vanguard's Challenge Shield^n","Vanguard's Challenge Shield"
"242841733-0-80469","Shield Of The Knightmare","Shield Of The Knightmare"
"242841733-0-136604","Nocturnal's Favored Shield","Nocturnal's Favored Shield"
"242841733-0-78161","Galerion's Shield","Galerion's Shield"
"242841733-0-113980","Shield of the Immortal Yokeda","Shield of the Immortal Yokeda"
"242841733-0-84824","Shield of the Sun","Shield of the Sun"
"242841733-0-69209","Shield of Willpower","Shield of Willpower"
"242841733-0-125952","Impregnable Armor Shield^n","Impregnable Armor Shield"
"242841733-0-93775","Shield of Cyrodiil's Ward","Shield of Cyrodiil's Ward"
"242841733-0-141181","Jailer's Shield","Jailer's Shield"
"242841733-0-112648","Ophidian Shield of Celerity","Ophidian Celerity: 오피디아인의 방패"
"242841733-0-146876","Shield of Scavenging Demise","Shield of Scavenging Demise"
"242841733-0-109007","Shield of Truth","Shield of Truth"
"242841733-0-50602","Shield of Torug's Pact","Shield of Torug's Pact"
"242841733-0-121598","Assassin's Shield","Assassin's Shield"
"242841733-0-144211","Spell Strategist Shield","Spell Strategist Shield"
"242841733-0-96803","Shield of the Wyrd Tree","Shield of the Wyrd Tree"
"242841733-0-7709","Thane Watch","Thane Watch"
"242841733-0-157570","Draugrkin Shield","Draugrkin Shield"
"242841733-0-99078","Shield of the Hatchling's Shell","Hatchling's Shell: 방패"
"242841733-0-112668","Ophidian Shield of Celerity","Ophidian Shield of Celerity"
"242841733-0-124649","Inventor's Guard Shield^n","Inventor's Guard Shield"
"242841733-0-54165","Shield of Shalidor's Curse","Shield of Shalidor's Curse"
"242841733-0-103708","Shield of the Undaunted Bastion","Shield of the Undaunted Bastion"
"242841733-0-123320","Vanguard's Challenge Shield^n","Vanguard's Challenge Shield"
"242841733-0-111329","Shield of the Scathing Mage","Scathing Mage: 방패"
"242841733-0-91108","Shield of Almalexia's Mercy","Shield of Almalexia's Mercy"
"242841733-0-100681","Spriggan's Shield","Spriggan's Shield"
"242841733-0-55488","shield^n","shield"
"242841733-0-55487","shield^n","shield"
"242841733-0-156254","New Moon Acolyte's Shield","New Moon Acolyte's Shield"
"242841733-0-60855","Shield of the Armor Master","Shield of the Armor Master"
"242841733-0-80449","Shield Of The Knightmare","Shield Of The Knightmare"
"242841733-0-84803","Shield of the Sun","Shield of the Sun"
"242841733-0-47866","Shield of the Seducer","Shield of the Seducer"
"242841733-0-46527","Shield of Death's Wind","Shield of Death's Wind"
"242841733-0-72836","Eternal Hunt Shield","Eternal Hunt Shield"
"242841733-0-148630","Senche-raht's Shield","Senche-raht's Shield"
"242841733-0-93755","Shield of Cyrodiil's Ward","Shield of Cyrodiil's Ward"
"242841733-0-87088","Shield of the Footman","Shield of the Footman"
"242841733-0-150948","Perfected Yolnahkriin's Shield","Perfected Yolnahkriin's Shield"
"242841733-0-109027","Shield of Truth","Shield of Truth"
"242841733-0-153191","Z'en's Shield","Z'en's Shield"
"242841733-0-149929","Lokkestiiz's Shield","로케스티즈의 방패"
"242841733-0-112688","Ophidian Shield of Celerity","Ophidian Shield of Celerity"
"242841733-0-111350","Shield of the Scathing Mage","Shield of the Scathing Mage"
"242841733-0-60820","Shield of the Armor Master","Shield of the Armor Master"
"242841733-0-156219","New Moon Acolyte's Shield","New Moon Acolyte's Shield"
"242841733-0-122018","Shield of Daedric Trickery","Shield of Daedric Trickery"
"242841733-0-72801","Eternal Hunt Shield","Eternal Hunt Shield"
"242841733-0-92419","Shield of the Twin Sisters","Shield of the Twin Sisters"
"242841733-0-78126","Galerion's Shield","Galerion's Shield"
"242841733-0-158897","Unchained Aggressor's Shield","Unchained Aggressor's Shield"
"242841733-0-102407","Blessed Shield","Blessed Shield"
"242841733-0-137978","Galenwe's Perfected Shield","Galenwe's Perfected Shield"
"242841733-0-135316","Gloom-Graced Shield","Gloom-Graced Shield"
"242841733-0-45223","shield^n","shield"
"242841733-0-110037","Shield of Nikulas","Shield of Nikulas"
"242841733-0-80429","Shield Of The Knightmare","Shield Of The Knightmare"
"242841733-0-75095","Shield of the Night Mother","Shield of the Night Mother"
"242841733-0-93735","Shield of Cyrodiil's Ward","Cyrodiil's Ward: 방패"
"242841733-0-87068","Shield of the Footman","Shield of the Footman"
"242841733-0-144253","Spell Strategist Shield","Spell Strategist Shield"
"242841733-0-162906","Vrol's Perfect Shield","Vrol's Perfect Shield"
"242841733-0-136639","Nocturnal's Favored Shield","Nocturnal's Favored Shield"
"242841733-0-34573","Plague Doctor Llarel's Sheltering Shield","Plague Doctor Llarel's Sheltering Shield"
"242841733-0-150928","Perfected Yolnahkriin's Shield","Perfected Yolnahkriin's Shield"
"242841733-0-109047","Shield of Truth","Shield of Truth"
"242841733-0-156164","New Moon Acolyte's Shield","New Moon Acolyte's Shield"
"242841733-0-86513","Ice Furnace Shield","Ice Furnace Shield"
"242841733-0-48249","Shield of Vampire's Kiss","Shield of Vampire's Kiss"
"242841733-0-103628","Shield of the Undaunted Bastion","Shield of the Undaunted Bastion"
"242841733-0-112583","Shield of Mending","Shield of Mending"
