"Location","Source","Target"
"242841733-0-79421","axe of the Pariah","axe of the Pariah"
"242841733-0-141109","Jailer's Axe","Jailer's Axe"
"242841733-0-151392","Perfected Nahviintaas's Axe","Perfected Nahviintaas's Axe"
"242841733-0-117473","axe of the Shield Breaker","axe of the Shield Breaker"
"242841733-0-75063","axe of the Night Mother","Night Mother: 도끼"
"242841733-0-80417","Axe Of The Knightmare","Axe Of The Knightmare"
"242841733-0-51090","Axe of Hist Bark","Axe of Hist Bark"
"242841733-0-93723","axe of Cyrodiil's Ward","Cyrodiil's Ward: 도끼"
"242841733-0-87056","axe of the Footman","axe of the Footman"
"242841733-0-90693","axe of the Onslaught","axe of the Onslaught"
"242841733-0-150063","False God's Axe","False God's Axe"
"242841733-0-109855","Axe of the Noble Duelist","Axe of the Noble Duelist"
"242841733-0-142440","Dead-Water's Guile Axe","Dead-Water's Guile Axe"
"242841733-0-146802","Frozen Watcher's Axe","Frozen Watcher's Axe"
"228378404-0-54866","This axe is as worn and caustic as Garnikh himself. Tiny chunks of what may have once been a scalp are still stuck to the blade.","This axe is as worn and caustic as Garnikh himself. Tiny chunks of what may have once been a scalp are still stuck to the blade."
"242841733-0-79437","axe of Trinimac's Valor","Trinimac's Valor: 도끼"
"242841733-0-99024","Swamp Raider's Axe","Swamp Raider's Axe"
"242841733-0-122815","War Maiden's Axe","War Maiden's Axe"
"242841733-0-130440","Innate Axiom axe","Innate Axiom axe"
"242841733-0-162051","Roaring Opportunist's Axe","Roaring Opportunist's Axe"
"242841733-0-149080","Undertaker's Axe","Undertaker's Axe"
"242841733-0-128128","Blooddrinker Axe","Blooddrinker: 도끼"
"242841733-0-110846","Axe of the Worm Cult","Axe of the Worm Cult"
"242841733-0-104174","Axe of the Netch's Touch","Axe of the Netch's Touch"
"242841733-0-137071","Relequen's Axe","Relequen's Axe"
"242841733-0-88371","axe of Cyrodiil's Crest","axe of Cyrodiil's Crest"
"242841733-0-56768","Axe of Kagrenac's Hope","Axe of Kagrenac's Hope"
"242841733-0-163357","Spell Parasite's Axe","Spell Parasite's Axe"
"242841733-0-151371","Perfected Nahviintaas's Axe","Perfected Nahviintaas's Axe"
"242841733-0-101903","Prisoner's Axe","죄수의 도끼 (Prisoner's Axe)"
"242841733-0-55471","axe^n","axe"
"242841733-0-133502","The Asylum's Axe","The Asylum's Axe"
"242841733-0-75040","axe of the Shadow Dancer","axe of the Shadow Dancer"
"242841733-0-130475","Innate Axiom axe","Innate Axiom axe"
"242841733-0-107217","Hulking Draugr's Axe","Hulking Draugr's Axe"
"242841733-0-117493","axe of the Shield Breaker","axe of the Shield Breaker"
"242841733-0-150042","False God's Axe","False God's Axe"
"242841733-0-87036","axe of the Footman","axe of the Footman"
"242841733-0-90672","axe of the Onslaught","axe of the Onslaught"
"242841733-0-109876","Axe of the Noble Duelist","Axe of the Noble Duelist"
"242841733-0-142420","Dead-Water's Guile Axe","Dead-Water's Guile Axe"
"242841733-0-54138","Axe of Shalidor's Curse","Axe of Shalidor's Curse"
"242841733-0-131790","Axe of Succession","Succession: 도끼"
"242841733-0-122836","War Maiden's Axe","War Maiden's Axe"
"242841733-0-99004","Swamp Raider's Axe","Swamp Raider's Axe"
"242841733-0-162030","Roaring Opportunist's Axe","Roaring Opportunist's Axe"
"242841733-0-149060","Undertaker's Axe","Undertaker's Axe"
"242841733-0-89685","axe of the Sergeant","axe of the Sergeant"
"242841733-0-110867","Axe of the Worm Cult","Axe of the Worm Cult"
"242841733-0-155739","Daring Corsair's Axe","Daring Corsair's Axe"
"242841733-0-143761","Might of the Lost Legion Axe","Might of the Lost Legion Axe"
"242841733-0-104195","Axe of the Netch's Touch","Axe of the Netch's Touch"
"242841733-0-88351","axe of Cyrodiil's Crest","Cyrodiil's Crest: 도끼"
"242841733-0-108551","Barkskin Axe","Barkskin: 도끼"
"242841733-0-79409","axe of the Pariah","axe of the Pariah"
"242841733-0-128148","Blooddrinker Axe","Blooddrinker Axe"
"242841733-0-51055","Axe of Hist Bark","Axe of Hist Bark"
"242841733-0-141149","Jailer's Axe","Jailer's Axe"
"242841733-0-101924","Prisoner's Axe","죄수의 도끼 (Prisoner's Axe)"
"242841733-0-153137","Z'en's Axe","Z'en's Axe"
"242841733-0-158815","Unchained Aggressor's Axe","Unchained Aggressor's Axe"
"242841733-0-87016","axe of the Footman","axe of the Footman"
"242841733-0-90651","axe of the Onslaught","axe of the Onslaught"
"242841733-0-142480","Dead-Water's Guile Axe","Dead-Water's Guile Axe"
"242841733-0-109897","Axe of the Noble Duelist","Axe of the Noble Duelist"
"242841733-0-75019","axe of the Shadow Dancer","axe of the Shadow Dancer"
"242841733-0-91988","axe of the Swift","axe of the Swift"
"242841733-0-56733","Axe of the Eyes of Mara","Axe of the Eyes of Mara"
"242841733-0-108571","Barkskin Axe","Barkskin Axe"
"242841733-0-51043","Axe of Hist Bark","Axe of Hist Bark"
"242841733-0-76366","Pelinal's Axe","Pelinal's Axe"
"242841733-0-122857","War Maiden's Axe","War Maiden's Axe"
"242841733-0-97282","Axe of a Mother's Sorrow","Axe of a Mother's Sorrow"
"242841733-0-100609","Spriggan's Axe","Spriggan's Axe"
"242841733-0-89665","axe of the Sergeant","axe of the Sergeant"
"242841733-0-110888","Axe of the Worm Cult","Axe of the Worm Cult"
"242841733-0-141169","Jailer's Axe","Jailer's Axe"
"242841733-0-128168","Blooddrinker Axe","Blooddrinker Axe"
"242841733-0-141129","Jailer's Axe","Jailer's Axe"
"242841733-0-76331","Pelinal's Axe","Pelinal's Axe"
"242841733-0-54103","Axe of Shalidor's Curse","Axe of Shalidor's Curse"
"242841733-0-162063","Roaring Opportunist's Axe","Roaring Opportunist's Axe"
"242841733-0-163392","Spell Parasite's Axe","Spell Parasite's Axe"
"242841733-0-101945","Prisoner's Axe","죄수의 도끼 (Prisoner's Axe)"
"242841733-0-155778","Ancient Dragonguard's Axe","Ancient Dragonguard's Axe"
"242841733-0-153116","Z'en's Axe","Z'en's Axe"
"242841733-0-90630","axe of the Onslaught","axe of the Onslaught"
"242841733-0-47809","Axe of the Seducer","Axe of the Seducer"
"242841733-0-142460","Dead-Water's Guile Axe","Dead-Water's Guile Axe"
"242841733-0-150084","False God's Axe","False God's Axe"
"242841733-0-146822","Frozen Watcher's Axe","Frozen Watcher's Axe"
"242841733-0-122899","War Maiden's Axe","War Maiden's Axe"
"242841733-0-107259","Axe of the Undaunted Unweaver","Undaunted Unweaver: 도끼"
"242841733-0-85291","axe of Nikulas","axe of Nikulas"
"242841733-0-113928","Axe of the Immortal Yokeda","Immortal Yokeda: 도끼"
"242841733-0-91967","axe of the Swift","axe of the Swift"
"242841733-0-143796","Might of the Lost Legion Axe","Might of the Lost Legion Axe"
"242841733-0-108591","Barkskin Axe","Barkskin Axe"
"242841733-0-162076","Roaring Opportunist's Axe","Roaring Opportunist's Axe"
"242841733-0-122878","War Maiden's Axe","War Maiden's Axe"
