"Location","Source","Target"
"242841733-0-79427","Dagger of the Pariah","Dagger of the Pariah"
"242841733-0-143767","Might of the Lost Legion Dagger","Might of the Lost Legion Dagger"
"242841733-0-51096","Dagger of Hist Bark","Dagger of Hist Bark"
"242841733-0-75069","Dagger of the Night Mother","Dagger of the Night Mother"
"242841733-0-99030","Swamp Raider's Dagger","Swamp Raider's Dagger"
"242841733-0-117479","Dagger of the Shield Breaker","Dagger of the Shield Breaker"
"242841733-0-151398","Perfected Nahviintaas's Dagger","Perfected Nahviintaas's Dagger"
"242841733-0-150069","False God's Dagger","False God's Dagger"
"242841733-0-90699","Dagger of the Onslaught","Dagger of the Onslaught"
"242841733-0-130446","Innate Axiom Dagger","Innate Axiom Dagger"
"242841733-0-128134","Blooddrinker Dagger","Blooddrinker: 단검"
"242841733-0-93729","Dagger of Cyrodiil's Ward","Cyrodiil's Ward: 단검"
"242841733-0-105493","Treasure Hunter's Dagger","Treasure Hunter's Dagger"
"242841733-0-142446","Dead-Water's Guile Dagger","Dead-Water's Guile Dagger"
"242841733-0-141115","Jailer's Dagger","Jailer's Dagger"
"242841733-0-80403","Dagger Of The Knightmare","The Knightmare: 단검"
"242841733-0-146808","Frozen Watcher's Dagger","Frozen Watcher's Dagger"
"242841733-0-162057","Roaring Opportunist's Dagger","Roaring Opportunist's Dagger"
"242841733-0-56774","Dagger of Kagrenac's Hope","Dagger of Kagrenac's Hope"
"242841733-0-137077","Relequen's Dagger","Relequen's Dagger"
"228378404-0-1663","The hollow reservoir within this dagger seems patterned after some kind of fang. It only stops dripping when sheathed.","이 단검 내부의 빈 공간은 어떤 송곳니를 본따 만들어진 것 같습니다. 방울져 떨어지는 독액은 단검을 칼집에 넣어야만 멈춥니다."
"242841733-0-110852","Dagger of the Worm Cult","Dagger of the Worm Cult"
"242841733-0-134801","Prophet's Dagger","예언자의 단검 (Prophet's Dagger)"
"242841733-0-153101","Z'en's Dagger","Z'en's Dagger"
"242841733-0-131770","Dagger of Glory","Dagger of Glory"
"242841733-0-88377","Dagger of Cyrodiil's Crest","Dagger of Cyrodiil's Crest"
"242841733-0-47815","Dagger of the Seducer","Dagger of the Seducer"
"242841733-0-149086","Undertaker's Dagger","Undertaker's Dagger"
"242841733-0-122821","War Maiden's Dagger","War Maiden's Dagger"
"242841733-0-107203","Hulking Draugr's Dagger","Hulking Draugr's Dagger"
"242841733-0-109861","Dagger of the Noble Duelist","Dagger of the Noble Duelist"
"242841733-0-54109","Dagger of Shalidor's Curse","Dagger of Shalidor's Curse"
"242841733-0-87042","Dagger of the Footman","Dagger of the Footman"
"242841733-0-79403","Dagger of the Pariah","Dagger of the Pariah"
"242841733-0-101909","Prisoner's Dagger","죄수의 단검 (Prisoner's Dagger)"
"242841733-0-54144","Dagger of Shalidor's Curse","Dagger of Shalidor's Curse"
"242841733-0-55476","dagger^n","dagger"
"242841733-0-55475","dagger^n","dagger"
"242841733-0-104180","Dagger of the Netch's Touch","Dagger of the Netch's Touch"
"242841733-0-75046","Dagger of the Shadow Dancer","Dagger of the Shadow Dancer"
"242841733-0-133501","The Asylum's Dagger","The Asylum's Dagger"
"242841733-0-76372","Pelinal's Dagger","Pelinal's Dagger"
"242841733-0-151377","Perfected Nahviintaas's Dagger","Perfected Nahviintaas's Dagger"
"242841733-0-99010","Swamp Raider's Dagger","Swamp Raider's Dagger"
"242841733-0-117499","Dagger of the Shield Breaker","Dagger of the Shield Breaker"
"242841733-0-128154","Blooddrinker Dagger","Blooddrinker Dagger"
"242841733-0-90678","Dagger of the Onslaught","Dagger of the Onslaught"
"242841733-0-89691","Dagger of the Sergeant","Dagger of the Sergeant"
"242841733-0-162036","Roaring Opportunist's Dagger","Roaring Opportunist's Dagger"
"242841733-0-79415","Dagger of the Pariah","Dagger of the Pariah"
"242841733-0-142426","Dead-Water's Guile Dagger","Dead-Water's Guile Dagger"
"242841733-0-163363","Spell Parasite's Dagger","Spell Parasite's Dagger"
"242841733-0-55463","Fire Maw's Fang","Burning Spellweave: Fire Maw's Fang"
"242841733-0-131796","Dagger of Succession","Succession: 단검"
"242841733-0-110873","Dagger of the Worm Cult","Dagger of the Worm Cult"
"242841733-0-155745","Daring Corsair's Dagger","Daring Corsair's Dagger"
"242841733-0-150048","False God's Dagger","False God's Dagger"
"242841733-0-46505","Dagger of Death's Wind","Dagger of Death's Wind"
"242841733-0-91994","Dagger of the Swift","Dagger of the Swift"
"242841733-0-87022","Dagger of the Footman","Dagger of the Footman"
"242841733-0-88357","Dagger of Cyrodiil's Crest","Cyrodiil's Crest: 단검"
"242841733-0-149066","Undertaker's Dagger","Undertaker's Dagger"
"242841733-0-108557","Barkskin Dagger","Barkskin Dagger"
"242841733-0-122842","War Maiden's Dagger","War Maiden's Dagger"
"242841733-0-109882","Dagger of the Noble Duelist","Dagger of the Noble Duelist"
"242841733-0-107223","Hulking Draugr's Dagger","Hulking Draugr's Dagger"
"242841733-0-55412","Fang of the Viper","The Viper[0]: 이빨"
"242841733-0-128174","Blooddrinker Dagger","Blooddrinker Dagger"
"242841733-0-75025","Dagger of the Shadow Dancer","Dagger of the Shadow Dancer"
"242841733-0-113912","Dagger of the Two-Fanged Snake","Dagger of the Two-Fanged Snake"
