"Location","Source","Target"
"242841733-0-75064","mace of the Night Mother","Night Mother: 철퇴"
"242841733-0-79422","mace of the Pariah","mace of the Pariah"
"242841733-0-117474","mace of the Shield Breaker","mace of the Shield Breaker"
"242841733-0-151393","Perfected Nahviintaas's Mace","Perfected Nahviintaas's Mace"
"242841733-0-51091","Hammer of Hist Bark","Hammer of Hist Bark"
"242841733-0-46500","Hammer of Death's Wind","Hammer of Death's Wind"
"242841733-0-80418","Mace Of The Knightmare","Mace Of The Knightmare"
"242841733-0-93724","mace of Cyrodiil's Ward","Cyrodiil's Ward: 철퇴"
"242841733-0-87057","mace of the Footman","mace of the Footman"
"242841733-0-150064","False God's Mace","False God's Mace"
"242841733-0-90694","mace of the Onslaught","mace of the Onslaught"
"242841733-0-142441","Dead-Water's Guile Mace","Dead-Water's Guile Mace"
"242841733-0-141110","Jailer's Mace","Jailer's Mace"
"242841733-0-109856","Mace of the Noble Duelist","Mace of the Noble Duelist"
"242841733-0-79438","mace of Trinimac's Valor","Trinimac's Valor: 철퇴"
"242841733-0-99025","Swamp Raider's Mace","Swamp Raider's Mace"
"242841733-0-122816","War Maiden's Mace","War Maiden's Mace"
"242841733-0-146803","Frozen Watcher's Mace","Frozen Watcher's Mace"
"242841733-0-162052","Roaring Opportunist's Mace","Roaring Opportunist's Mace"
"242841733-0-130441","Innate Axiom mace","Innate Axiom mace"
"242841733-0-149081","Undertaker's Mace","Undertaker's Mace"
"242841733-0-128129","Blooddrinker Mace","Blooddrinker: 철퇴"
"242841733-0-110847","Mace of the Worm Cult","Mace of the Worm Cult"
"242841733-0-137072","Relequen's Mace","Relequen's Mace"
"242841733-0-104175","Mace of the Netch's Touch","Mace of the Netch's Touch"
"242841733-0-88372","mace of Cyrodiil's Crest","mace of Cyrodiil's Crest"
"242841733-0-56769","Hammer of Kagrenac's Hope","Hammer of Kagrenac's Hope"
"242841733-0-151372","Perfected Nahviintaas's Mace","Perfected Nahviintaas's Mace"
"242841733-0-101904","Prisoner's Mace","죄수의 철퇴 (Prisoner's Mace)"
"242841733-0-117494","mace of the Shield Breaker","mace of the Shield Breaker"
"242841733-0-133503","The Asylum's Mace","The Asylum's Mace"
"242841733-0-75041","mace of the Shadow Dancer","mace of the Shadow Dancer"
"242841733-0-130476","Innate Axiom mace","Innate Axiom mace"
"242841733-0-150043","False God's Mace","False God's Mace"
"242841733-0-107218","Hulking Draugr's Mace","Hulking Draugr's Mace"
"242841733-0-90673","mace of the Onslaught","mace of the Onslaught"
"242841733-0-87037","mace of the Footman","mace of the Footman"
"242841733-0-109877","Mace of the Noble Duelist","Mace of the Noble Duelist"
"242841733-0-142421","Dead-Water's Guile Mace","Dead-Water's Guile Mace"
"242841733-0-54139","Hammer of Shalidor's Curse","Hammer of Shalidor's Curse"
"228378404-0-54885","This ancient hammer was made for decorated Yokudan heavy infantry.","This ancient hammer was made for decorated Yokudan heavy infantry."
"242841733-0-79410","mace of the Pariah","mace of the Pariah"
"242841733-0-99005","Swamp Raider's Mace","Swamp Raider's Mace"
"242841733-0-122837","War Maiden's Mace","War Maiden's Mace"
"242841733-0-162031","Roaring Opportunist's Mace","Roaring Opportunist's Mace"
"242841733-0-155740","Daring Corsair's Mace","Daring Corsair's Mace"
"242841733-0-149061","Undertaker's Mace","Undertaker's Mace"
"242841733-0-131791","Mace of Succession","Succession: 철퇴"
"242841733-0-89686","mace of the Sergeant","mace of the Sergeant"
