"Location","Source","Target"
"242841733-0-56863","Potent Nirncrux","강력한 넌크룩스 (Potent Nirncrux)"
"242841733-0-23165","Carnelian","홍옥수 (Carnelian)"
"228378404-0-16291","Can be used to enhance weapons.","무기를 강화하는데 사용됩니다."
"242841733-0-4486","Ruby","루비 (Ruby)"
"242841733-0-16291","Citrine","황수정 (Citrine)"
"228378404-0-56863","Can be used to enhance weapons.","무기를 강화하는 데 사용할 수 있습니다."
"242841733-0-813","Turquoise","터키옥 (Turquoise)"
"242841733-0-23204","Amethyst","자수정 (Amethyst)"
"242841733-0-23149","Fire Opal","화단백석 (Fire Opal)"
"242841733-0-23203","Chysolite","키솔라이트 (Chysolite)"
"242841733-0-810","Jade","비취 (Jade)"
"228378404-0-4486","Can be used to enhance weapons.","무기를 강화하는데 사용됩니다."
"228378404-0-23203","Can be used to enhance weapons.","무기를 강화하는데 사용됩니다."
"228378404-0-23204","Can be used to enhance weapons.","무기를 강화하는데 사용됩니다."
"228378404-0-23149","Can be used to enhance weapons.","무기를 강화하는데 사용됩니다."
"228378404-0-810","Can be used to enhance weapons.","무기를 강화하는 데 사용할 수 있습니다."
"228378404-0-23165","Can be used to enhance weapons.","무기를 강화하는데 사용됩니다."
"228378404-0-813","Can be used to enhance weapons.","무기를 강화하는 데 사용할 수 있습니다."
