"Location","Source","Target"
"242841733-0-143768","Might of the Lost Legion Bow","Might of the Lost Legion Bow"
"242841733-0-104160","Bow of the Netch's Touch","Bow of the Netch's Touch"
"242841733-0-151399","Perfected Nahviintaas's Bow","Perfected Nahviintaas's Bow"
"242841733-0-99031","Swamp Raider's Bow","Swamp Raider's Bow"
"242841733-0-155746","Daring Corsair's Bow","Daring Corsair's Bow"
"242841733-0-130447","Innate Axiom Bow","Innate Axiom Bow"
"242841733-0-105494","Treasure Hunter's Bow","Treasure Hunter's Bow"
"242841733-0-128135","Blooddrinker Bow","Blooddrinker: 활"
"242841733-0-162058","Roaring Opportunist's Bow","Roaring Opportunist's Bow"
"242841733-0-142447","Dead-Water's Guile Bow","Dead-Water's Guile Bow"
"242841733-0-146809","Frozen Watcher's Bow","Frozen Watcher's Bow"
"242841733-0-141116","Jailer's Bow","Jailer's Bow"
"242841733-0-137078","Relequen's Bow","Relequen's Bow"
"242841733-0-56775","Bow of Kagrenac's Hope","Bow of Kagrenac's Hope"
"242841733-0-54110","Bow of Shalidor's Curse","Bow of Shalidor's Curse"
"242841733-0-75070","Bow of the Night Mother","Bow of the Night Mother"
"242841733-0-110853","Bow of the Worm Cult","Bow of the Worm Cult"
"242841733-0-153102","Z'en's Bow","Z'en's Bow"
"242841733-0-131771","Bow of Glory","Bow of Glory"
"242841733-0-80404","Bow Of The Knightmare","The Knightmare: 활"
"242841733-0-47816","Bow of the Seducer","Bow of the Seducer"
"242841733-0-87043","Bow of the Footman","Bow of the Footman"
"242841733-0-149087","Undertaker's Bow","Undertaker's Bow"
"242841733-0-88378","Bow of Cyrodiil's Crest","Bow of Cyrodiil's Crest"
"242841733-0-117480","Bow of the Shield Breaker","Bow of the Shield Breaker"
"242841733-0-122822","War Maiden's Bow","War Maiden's Bow"
"242841733-0-150070","False God's Bow","False God's Bow"
"242841733-0-107204","Hulking Draugr's Bow","Hulking Draugr's Bow"
"242841733-0-79428","Bow of the Pariah","Bow of the Pariah"
"242841733-0-109862","Bow of the Noble Duelist","Bow of the Noble Duelist"
"242841733-0-99011","Swamp Raider's Bow","Swamp Raider's Bow"
"242841733-0-79404","Bow of the Pariah","Bow of the Pariah"
"242841733-0-76373","Pelinal's Bow","Pelinal's Bow"
"242841733-0-104181","Bow of the Netch's Touch","Bow of the Netch's Touch"
"242841733-0-75047","Bow of the Shadow Dancer","Bow of the Shadow Dancer"
"242841733-0-55474","bow^n","bow"
"242841733-0-55473","bow^n","bow"
"242841733-0-151378","Perfected Nahviintaas's Bow","Perfected Nahviintaas's Bow"
"242841733-0-46518","Bow of Death's Wind","Bow of Death's Wind"
"242841733-0-101910","Prisoner's Bow","죄수의 활 (Prisoner's Bow)"
"242841733-0-128155","Blooddrinker Bow","Blooddrinker Bow"
"242841733-0-90679","Bow of the Onslaught","Bow of the Onslaught"
"242841733-0-89692","Bow of the Sergeant","Bow of the Sergeant"
"242841733-0-162016","Roaring Opportunist's Bow","Roaring Opportunist's Bow"
"242841733-0-142427","Dead-Water's Guile Bow","Dead-Water's Guile Bow"
"242841733-0-55469","Erthas' Sunderflame Bow","Sunderflame: Erthas' Sunderflame Bow"
"242841733-0-162037","Roaring Opportunist's Bow","Roaring Opportunist's Bow"
"242841733-0-79416","Bow of the Pariah","Bow of the Pariah"
"242841733-0-163364","Spell Parasite's Bow","Spell Parasite's Bow"
"242841733-0-131797","Bow of Succession","Succession: 활"
"242841733-0-110874","Bow of the Worm Cult","Bow of the Worm Cult"
"242841733-0-150049","False God's Bow","False God's Bow"
"242841733-0-87023","Bow of the Footman","Bow of the Footman"
"242841733-0-91995","Bow of the Swift","Bow of the Swift"
"242841733-0-88358","Bow of Cyrodiil's Crest","Cyrodiil's Crest: 활"
"242841733-0-149067","Undertaker's Bow","Undertaker's Bow"
"242841733-0-107224","Hulking Draugr's Bow","Hulking Draugr's Bow"
"242841733-0-122843","War Maiden's Bow","War Maiden's Bow"
"242841733-0-108558","Barkskin Bow","Barkskin Bow"
"242841733-0-109883","Bow of the Noble Duelist","Bow of the Noble Duelist"
"242841733-0-56740","Bow of the Eyes of Mara","Bow of the Eyes of Mara"
"242841733-0-75026","Bow of the Shadow Dancer","Bow of the Shadow Dancer"
"242841733-0-162083","Roaring Opportunist's Bow","Roaring Opportunist's Bow"
"242841733-0-51050","Bow of Hist Bark","Bow of Hist Bark"
"242841733-0-158822","Unchained Aggressor's Bow","Unchained Aggressor's Bow"
"242841733-0-89672","Bow of the Sergeant","Bow of the Sergeant"
"242841733-0-101931","Prisoner's Bow","죄수의 활 (Prisoner's Bow)"
"242841733-0-128175","Blooddrinker Bow","Blooddrinker Bow"
"242841733-0-142487","Dead-Water's Guile Bow","Dead-Water's Guile Bow"
"242841733-0-141156","Jailer's Bow","Jailer's Bow"
"242841733-0-90658","Bow of the Onslaught","Bow of the Onslaught"
"242841733-0-97289","Bow of a Mother's Sorrow","Bow of a Mother's Sorrow"
"242841733-0-110895","Bow of the Worm Cult","Bow of the Worm Cult"
"242841733-0-130482","Innate Axiom Bow","Innate Axiom Bow"
"242841733-0-153144","Z'en's Bow","Z'en's Bow"
"242841733-0-133509","The Asylum's Bow","The Asylum's Bow"
"242841733-0-91974","Bow of the Swift","Bow of the Swift"
"242841733-0-44748","Ill Omen","Ill Omen"
"242841733-0-87003","Bow of the Footman","Bow of the Footman"
"242841733-0-108578","Barkskin Bow","Barkskin Bow"
"242841733-0-113913","Bow of the Two-Fanged Snake","Bow of the Two-Fanged Snake"
"242841733-0-122864","War Maiden's Bow","War Maiden's Bow"
"242841733-0-163399","Spell Parasite's Bow","Spell Parasite's Bow"
"242841733-0-75005","Bow of the Shadow Dancer","Bow of the Shadow Dancer"
"242841733-0-121558","Assassin's Bow","Assassin: 암살자의 활"
"242841733-0-128195","Blooddrinker Bow","Blooddrinker Bow"
"242841733-0-88316","Bow of Durok's Bane","Bow of Durok's Bane"
"242841733-0-100616","Spriggan's Bow","Spriggan's Bow"
"242841733-0-89652","Bow of the Sergeant","Bow of the Sergeant"
"242841733-0-85298","Bow of Nikulas","Bow of Nikulas"
"242841733-0-101952","Prisoner's Bow","죄수의 활 (Prisoner's Bow)"
"242841733-0-142467","Dead-Water's Guile Bow","Dead-Water's Guile Bow"
"242841733-0-141136","Jailer's Bow","Jailer's Bow"
"242841733-0-90637","Bow of the Onslaught","Bow of the Onslaught"
"242841733-0-146829","Frozen Watcher's Bow","Frozen Watcher's Bow"
"242841733-0-52399","Bow of Alessia's Bulwark","Bow of Alessia's Bulwark"
"242841733-0-51062","Bow of Hist Bark","Bow of Hist Bark"
"242841733-0-98598","Bow of the Vampire's Cloak","Bow of the Vampire's Cloak"
"242841733-0-97268","Bow of a Mother's Sorrow","Bow of a Mother's Sorrow"
"242841733-0-155785","Ancient Dragonguard's Bow","Ancient Dragonguard's Bow"
"242841733-0-162070","Roaring Opportunist's Bow","Roaring Opportunist's Bow"
"242841733-0-153123","Z'en's Bow","Z'en's Bow"
"242841733-0-91953","Bow of the Swift","The Swift: 활"
"242841733-0-125912","Impregnable Armor Bow^n","Impregnable Armor Bow"
"242841733-0-113935","Bow of the Immortal Yokeda","Immortal Yokeda: 활"
"242841733-0-76338","Pelinal's Bow","Pelinal's Bow"
"242841733-0-122885","War Maiden's Bow","War Maiden's Bow"
"242841733-0-150091","False God's Bow","False God's Bow"
"242841733-0-108598","Barkskin Bow","Barkskin Bow"
