"Location","Source","Target"
"242841733-0-143769","Might of the Lost Legion Inferno Staff","Might of the Lost Legion Inferno Staff"
"242841733-0-104161","Inferno Staff of the Netch's Touch","Inferno Staff of the Netch's Touch"
"242841733-0-122823","War Maiden's Inferno Staff","War Maiden's Inferno Staff"
"242841733-0-99032","Swamp Raider's Inferno Staff","Swamp Raider's Inferno Staff"
"242841733-0-130448","Innate Axiom Inferno Staff","Innate Axiom Inferno Staff"
"242841733-0-155747","Daring Corsair's Inferno Staff","Daring Corsair's Inferno Staff"
"242841733-0-110833","Inferno Staff of the Worm Cult","Inferno Staff of the Worm Cult"
"242841733-0-105495","Treasure Hunter's Inferno Staff","Treasure Hunter's Inferno Staff"
"242841733-0-128136","Blooddrinker Inferno Staff","Blooddrinker: 화염 스태프"
"242841733-0-79417","Inferno Staff of the Pariah","Inferno Staff of the Pariah"
"242841733-0-162038","Roaring Opportunist's Inferno Staff","Roaring Opportunist's Inferno Staff"
"242841733-0-162059","Roaring Opportunist's Inferno Staff","Roaring Opportunist's Inferno Staff"
"242841733-0-56776","Inferno Staff of Kagrenac's Hope","Inferno Staff of Kagrenac's Hope"
"242841733-0-142448","Dead-Water's Guile Inferno Staff","Dead-Water's Guile Inferno Staff"
"242841733-0-141117","Jailer's Inferno Staff","Jailer's Inferno Staff"
"242841733-0-137079","Relequen's Inferno Staff","Relequen's Inferno Staff"
"242841733-0-54111","Inferno Staff of Shalidor's Curse","Inferno Staff of Shalidor's Curse"
"228378404-0-1666","This staff smolders brightly in the darkness. If kept alight for too long, the bearer begins to crave roasted acorns.","이 지팡이는 어둠 속에서 밝게 타오릅니다. 불이 너무 오랫동안 붙어 있으면, 지팡이를 쥔 사람은 구운 도토리를 간절히 먹고 싶어지게 됩니다."
"242841733-0-129450","Plague Slinger Inferno Staff","Plague Slinger Inferno Staff"
"242841733-0-110854","Inferno Staff of the Worm Cult","Inferno Staff of the Worm Cult"
"242841733-0-153103","Z'en's Inferno Staff","Z'en's Inferno Staff"
"242841733-0-80405","Inferno Staff Of The Knightmare","The Knightmare: 화염 스태프"
"242841733-0-131772","Inferno Staff of Glory","Inferno Staff of Glory"
"242841733-0-75071","Inferno Staff of the Night Mother","Inferno Staff of the Night Mother"
"242841733-0-47817","Inferno Staff of the Seducer","Inferno Staff of the Seducer"
"242841733-0-87044","Inferno Staff of the Footman","Inferno Staff of the Footman"
"242841733-0-117481","Inferno Staff of the Shield Breaker","Inferno Staff of the Shield Breaker"
"242841733-0-88379","Inferno Staff of Cyrodiil's Crest","Inferno Staff of Cyrodiil's Crest"
"242841733-0-149088","Undertaker's Inferno Staff","Undertaker's Inferno Staff"
"242841733-0-146810","Frozen Watcher's Inferno Staff","Frozen Watcher's Inferno Staff"
"242841733-0-150071","False God's Inferno Staff","False God's Inferno Staff"
"242841733-0-107205","Hulking Draugr's Inferno Staff","Hulking Draugr's Inferno Staff"
"242841733-0-79429","Inferno Staff of the Pariah","Inferno Staff of the Pariah"
"242841733-0-109863","Inferno Staff of the Noble Duelist","Inferno Staff of the Noble Duelist"
"242841733-0-99012","Swamp Raider's Inferno Staff","Swamp Raider's Inferno Staff"
"242841733-0-79405","Inferno Staff of the Pariah","Inferno Staff of the Pariah"
"242841733-0-76374","Pelinal's Inferno Staff","Pelinal's Inferno Staff"
"242841733-0-104182","Inferno Staff of the Netch's Touch","Inferno Staff of the Netch's Touch"
"242841733-0-75048","Inferno Staff of the Shadow Dancer","Inferno Staff of the Shadow Dancer"
"242841733-0-90680","Inferno Staff of the Onslaught","Inferno Staff of the Onslaught"
"242841733-0-101911","Prisoner's Inferno Staff","죄수의 화염 지팡이 (Prisoner's Inferno Staff)"
"242841733-0-128156","Blooddrinker Inferno Staff","Blooddrinker Inferno Staff"
"242841733-0-89693","Inferno Staff of the Sergeant","Inferno Staff of the Sergeant"
"242841733-0-162017","Roaring Opportunist's Inferno Staff","Roaring Opportunist's Inferno Staff"
"242841733-0-34528","Stygian Cirterisse's Vampiric Staff","음침한 서테어리스의 뱀파이어 지팡이"
"242841733-0-142428","Dead-Water's Guile Inferno Staff","Dead-Water's Guile Inferno Staff"
"242841733-0-163365","Spell Parasite's Inferno Staff","Spell Parasite's Inferno Staff"
"242841733-0-110875","Inferno Staff of the Worm Cult","Inferno Staff of the Worm Cult"
"242841733-0-131798","Inferno Staff of Succession","Succession: 화염 스태프"
"242841733-0-151379","Perfected Nahviintaas's Inferno Staff","Perfected Nahviintaas's Inferno Staff"
"242841733-0-87024","Inferno Staff of the Footman","Inferno Staff of the Footman"
"242841733-0-149068","Undertaker's Inferno Staff","Undertaker's Inferno Staff"
"242841733-0-91996","Inferno Staff of the Swift","Inferno Staff of the Swift"
"242841733-0-108559","Barkskin Inferno Staff","Barkskin Inferno Staff"
"242841733-0-88359","Inferno Staff of Cyrodiil's Crest","Cyrodiil's Crest: 화염 스태프"
"242841733-0-150050","False God's Inferno Staff","False God's Inferno Staff"
"242841733-0-107225","Hulking Draugr's Inferno Staff","Hulking Draugr's Inferno Staff"
"242841733-0-122844","War Maiden's Inferno Staff","War Maiden's Inferno Staff"
"242841733-0-109884","Inferno Staff of the Noble Duelist","Inferno Staff of the Noble Duelist"
"242841733-0-56741","Inferno Staff of the Eyes of Mara","Inferno Staff of the Eyes of Mara"
"242841733-0-75027","Inferno Staff of the Shadow Dancer","Inferno Staff of the Shadow Dancer"
"242841733-0-51051","Inferno Staff of Hist Bark","Inferno Staff of Hist Bark"
"242841733-0-162084","Roaring Opportunist's Inferno Staff","Roaring Opportunist's Inferno Staff"
"242841733-0-97290","Inferno Staff of a Mother's Sorrow","Inferno Staff of a Mother's Sorrow"
"242841733-0-158823","Unchained Aggressor's Inferno Staff","Unchained Aggressor's Inferno Staff"
"242841733-0-89673","Inferno Staff of the Sergeant","Inferno Staff of the Sergeant"
"242841733-0-44759","Ruin","Ruin"
"242841733-0-101932","Prisoner's Inferno Staff","죄수의 화염 지팡이 (Prisoner's Inferno Staff)"
"242841733-0-128176","Blooddrinker Inferno Staff","Blooddrinker Inferno Staff"
"242841733-0-90659","Inferno Staff of the Onslaught","Inferno Staff of the Onslaught"
"242841733-0-142488","Dead-Water's Guile Inferno Staff","Dead-Water's Guile Inferno Staff"
"242841733-0-141157","Jailer's Inferno Staff","Jailer's Inferno Staff"
"242841733-0-110896","Inferno Staff of the Worm Cult","Inferno Staff of the Worm Cult"
"242841733-0-130483","Innate Axiom Inferno Staff","Innate Axiom Inferno Staff"
"242841733-0-153145","Z'en's Inferno Staff","Z'en's Inferno Staff"
"242841733-0-133510","The Asylum's Inferno Staff","The Asylum's Inferno Staff"
"242841733-0-91975","Inferno Staff of the Swift","Inferno Staff of the Swift"
"242841733-0-87004","Inferno Staff of the Footman","Inferno Staff of the Footman"
"242841733-0-122865","War Maiden's Inferno Staff","War Maiden's Inferno Staff"
"242841733-0-108579","Barkskin Inferno Staff","Barkskin Inferno Staff"
"242841733-0-128196","Blooddrinker Inferno Staff","Blooddrinker Inferno Staff"
"242841733-0-121559","Assassin's Inferno Staff","Assassin: 암살자의 화염 스태프"
"242841733-0-100617","Spriggan's Inferno Staff","Spriggan's Inferno Staff"
"242841733-0-88317","Inferno Staff of Durok's Bane","Inferno Staff of Durok's Bane"
"242841733-0-89653","Inferno Staff of the Sergeant","Inferno Staff of the Sergeant"
"242841733-0-85299","Inferno Staff of Nikulas","Inferno Staff of Nikulas"
"242841733-0-101953","Prisoner's Inferno Staff","죄수의 화염 지팡이 (Prisoner's Inferno Staff)"
"242841733-0-90638","Inferno Staff of the Onslaught","Inferno Staff of the Onslaught"
"242841733-0-142468","Dead-Water's Guile Inferno Staff","Dead-Water's Guile Inferno Staff"
"242841733-0-141137","Jailer's Inferno Staff","Jailer's Inferno Staff"
"242841733-0-51063","Inferno Staff of Hist Bark","Inferno Staff of Hist Bark"
"242841733-0-98599","Inferno Staff of the Vampire's Cloak","Inferno Staff of the Vampire's Cloak"
"242841733-0-97269","Inferno Staff of a Mother's Sorrow","Inferno Staff of a Mother's Sorrow"
"242841733-0-162071","Roaring Opportunist's Inferno Staff","Roaring Opportunist's Inferno Staff"
"242841733-0-153124","Z'en's Inferno Staff","Z'en's Inferno Staff"
"242841733-0-155786","Ancient Dragonguard's Inferno Staff","Ancient Dragonguard's Inferno Staff"
"242841733-0-23851","Staff of Nature's Accord","자연의 협약 로브"
"242841733-0-125913","Impregnable Armor Inferno Staff^n","Impregnable Armor Inferno Staff"
"242841733-0-113936","Inferno Staff of the Immortal Yokeda","Immortal Yokeda: 화염 스태프"
"242841733-0-108599","Barkskin Inferno Staff","Barkskin Inferno Staff"
"242841733-0-76339","Pelinal's Inferno Staff","Pelinal's Inferno Staff"
"242841733-0-150092","False God's Inferno Staff","False God's Inferno Staff"
"242841733-0-75006","Inferno Staff of the Shadow Dancer","Inferno Staff of the Shadow Dancer"
"242841733-0-122886","War Maiden's Inferno Staff","War Maiden's Inferno Staff"
"242841733-0-91954","Inferno Staff of the Swift","The Swift: 화염 스태프"
"242841733-0-146830","Frozen Watcher's Inferno Staff","Frozen Watcher's Inferno Staff"
"242841733-0-107267","Inferno Staff of the Undaunted Unweaver","Undaunted Unweaver: 화염 스태프"
"242841733-0-80497","Inferno Staff Of The Knightmare","Inferno Staff Of The Knightmare"
"242841733-0-113956","Inferno Staff of the Immortal Yokeda","Inferno Staff of the Immortal Yokeda"
"242841733-0-149905","Lokkestiiz's Inferno Staff","Lokkestiiz's Inferno Staff"
"242841733-0-100637","Spriggan's Inferno Staff","Spriggan's Inferno Staff"
"242841733-0-49616","Inferno Staff of Oblivion's Foe","Inferno Staff of Oblivion's Foe"
"242841733-0-45259","inferno staff^n","inferno staff"
"242841733-0-96839","Inferno Staff of the Wyrd Tree","Inferno Staff of the Wyrd Tree"
"242841733-0-95504","Inferno Staff of Martial Knowledge","Inferno Staff of Martial Knowledge"
"242841733-0-92477","Barkskin Inferno Staff","Barkskin Inferno Staff"
"242841733-0-91146","Inferno Staff of Almalexia's Mercy","Inferno Staff of Almalexia's Mercy"
"242841733-0-101974","Prisoner's Inferno Staff","죄수의 화염 지팡이 (Prisoner's Inferno Staff)"
"242841733-0-141197","Jailer's Inferno Staff","Jailer's Inferno Staff"
"242841733-0-144228","Spell Strategist Inferno Staff","Spell Strategist Inferno Staff"
"242841733-0-70203","Inferno Staff of Trials","Inferno Staff of Trials"
"242841733-0-80485","Inferno Staff Of The Knightmare","Inferno Staff Of The Knightmare"
"242841733-0-157545","Draugrkin Inferno Staff","Draugrkin Inferno Staff"
"242841733-0-84841","Inferno Staff of the Sun","Inferno Staff of the Sun"
"242841733-0-153187","Z'en's Inferno Staff","Z'en's Inferno Staff"
"242841733-0-54193","Inferno Staff of Hunding's Rage","Inferno Staff of Hunding's Rage"
"242841733-0-60899","Inferno Staff of the Armor Master","Inferno Staff of the Armor Master"
"242841733-0-156215","New Moon Acolyte's Inferno Staff","New Moon Acolyte's Inferno Staff"
"242841733-0-49604","Inferno Staff of Oblivion's Foe","Oblivion's Foe: 화염 스태프"
"242841733-0-146892","Inferno Staff of Scavenging Demise","Inferno Staff of Scavenging Demise"
"242841733-0-100657","Spriggan's Inferno Staff","Spriggan's Inferno Staff"
"242841733-0-149925","Lokkestiiz's Inferno Staff","Lokkestiiz's Inferno Staff"
"242841733-0-124603","Inventor's Guard Inferno Staff^n","Inventor's Guard Inferno Staff"
"242841733-0-150904","Perfected Yolnahkriin's Inferno Staff","Perfected Yolnahkriin's Inferno Staff"
"242841733-0-69231","Inferno Staff of Willpower","Inferno Staff of Willpower"
"242841733-0-107288","Inferno Staff of the Undaunted Unweaver","Inferno Staff of the Undaunted Unweaver"
"242841733-0-113976","Inferno Staff of the Immortal Yokeda","Inferno Staff of the Immortal Yokeda"
"242841733-0-112644","Ophidian Inferno Staff of Celerity","Ophidian Celerity: 오피디아인의 화염 스태프"
"242841733-0-157512","Cast-Off Inferno Staff","Cast-Off Inferno Staff"
"242841733-0-99094","Inferno Staff of the Hatchling's Shell","Inferno Staff of the Hatchling's Shell"
"242841733-0-45279","Thelas' Soul of Cyrodiil's Light","Thelas' Soul of Cyrodiil's Light"
"242841733-0-93791","Inferno Staff of Cyrodiil's Ward","Inferno Staff of Cyrodiil's Ward"
"242841733-0-79481","Inferno Staff of Trinimac's Valor","Inferno Staff of Trinimac's Valor"
"242841733-0-60864","Inferno Staff of the Armor Master","Inferno Staff of the Armor Master"
"242841733-0-91125","Inferno Staff of Almalexia's Mercy","Inferno Staff of Almalexia's Mercy"
"242841733-0-101995","Prisoner's Inferno Staff","죄수의 화염 지팡이 (Prisoner's Inferno Staff)"
"242841733-0-92457","Barkskin Inferno Staff","Barkskin: 화염 스태프"
"242841733-0-96819","Inferno Staff of the Wyrd Tree","Inferno Staff of the Wyrd Tree"
"242841733-0-69205","Inferno Staff of Willpower","Inferno Staff of Willpower"
"242841733-0-141177","Jailer's Inferno Staff","Jailer's Inferno Staff"
"242841733-0-50611","Inferno Staff of Torug's Pact","Inferno Staff of Torug's Pact"
"242841733-0-144207","Spell Strategist Inferno Staff","Spell Strategist Inferno Staff"
"242841733-0-80465","Inferno Staff Of The Knightmare","Inferno Staff Of The Knightmare"
"242841733-0-111325","Inferno Staff of the Scathing Mage","Scathing Mage: 화염 스태프"
"242841733-0-78162","Galerion's Inferno Staff","Galerion's Inferno Staff"
"242841733-0-125948","Impregnable Armor Inferno Staff^n","Impregnable Armor Inferno Staff"
"242841733-0-84820","Inferno Staff of the Sun","Inferno Staff of the Sun"
"242841733-0-153166","Z'en's Inferno Staff","Z'en's Inferno Staff"
"242841733-0-136600","Nocturnal's Favored Inferno Staff","Nocturnal's Favored Inferno Staff"
"242841733-0-158858","Unchained Aggressor's Inferno Staff","Unchained Aggressor's Inferno Staff"
"242841733-0-69218","Inferno Staff of Willpower","Inferno Staff of Willpower"
"242841733-0-100677","Spriggan's Inferno Staff","Spriggan's Inferno Staff"
"242841733-0-103704","Inferno Staff of the Undaunted Bastion","Inferno Staff of the Undaunted Bastion"
"242841733-0-146872","Inferno Staff of Scavenging Demise","Inferno Staff of Scavenging Demise"
"242841733-0-109003","Inferno Staff of Truth","Inferno Staff of Truth"
"242841733-0-121594","Assassin's Inferno Staff","Assassin's Inferno Staff"
"242841733-0-79469","Inferno Staff of Trinimac's Valor","Inferno Staff of Trinimac's Valor"
"242841733-0-113996","Inferno Staff of the Immortal Yokeda","Inferno Staff of the Immortal Yokeda"
"242841733-0-112664","Ophidian Inferno Staff of Celerity","Ophidian Inferno Staff of Celerity"
"242841733-0-46540","Inferno Staff of Twilight's Embrace","Twilight's Embrace: 화염 스태프"
"242841733-0-93771","Inferno Staff of Cyrodiil's Ward","Inferno Staff of Cyrodiil's Ward"
"242841733-0-47875","Inferno Staff of the Seducer","Inferno Staff of the Seducer"
"242841733-0-136635","Nocturnal's Favored Inferno Staff","Nocturnal's Favored Inferno Staff"
"242841733-0-99074","Inferno Staff of the Hatchling's Shell","Hatchling's Shell: 화염 지팡이"
"242841733-0-55490","inferno staff^n","inferno staff"
"242841733-0-91104","Inferno Staff of Almalexia's Mercy","Inferno Staff of Almalexia's Mercy"
"242841733-0-148626","Senche-raht's Inferno Staff","Senche-raht's Inferno Staff"
"242841733-0-156250","New Moon Acolyte's Inferno Staff","New Moon Acolyte's Inferno Staff"
"242841733-0-80445","Inferno Staff Of The Knightmare","Inferno Staff Of The Knightmare"
"242841733-0-109023","Inferno Staff of Truth","Inferno Staff of Truth"
"242841733-0-55489","inferno staff^n","inferno staff"
"242841733-0-111346","Inferno Staff of the Scathing Mage","Inferno Staff of the Scathing Mage"
"242841733-0-157587","Draugrkin Inferno Staff","Draugrkin Inferno Staff"
"242841733-0-46528","Inferno Staff of Death's Wind","Inferno Staff of Death's Wind"
"242841733-0-100697","Spriggan's Inferno Staff","Spriggan's Inferno Staff"
"242841733-0-72837","Eternal Hunt Inferno Staff","Eternal Hunt Inferno Staff"
"242841733-0-150944","Perfected Yolnahkriin's Inferno Staff","Perfected Yolnahkriin's Inferno Staff"
"242841733-0-162927","Perfect Inferno Staff of Kyne's Wind","Perfect Inferno Staff of Kyne's Wind"
"242841733-0-93751","Inferno Staff of Cyrodiil's Ward","Inferno Staff of Cyrodiil's Ward"
"242841733-0-123316","Vanguard's Challenge Inferno Staff^n","Vanguard's Challenge Inferno Staff"
"242841733-0-124645","Inventor's Guard Inferno Staff^n","Inventor's Guard Inferno Staff"
"242841733-0-112684","Ophidian Inferno Staff of Celerity","Ophidian Inferno Staff of Celerity"
"242841733-0-60829","Inferno Staff of the Armor Master","Inferno Staff of the Armor Master"
"242841733-0-79445","Inferno Staff of Trinimac's Valor","Trinimac's Valor: 화염 스태프"
"242841733-0-47899","Inferno Staff of the Seducer","Inferno Staff of the Seducer"
"242841733-0-92415","Inferno Staff of the Twin Sisters","Inferno Staff of the Twin Sisters"
"242841733-0-51903","Inferno Staff of the Song of Lamae","Inferno Staff of the Song of Lamae"
"242841733-0-102403","Blessed Inferno Staff","Blessed Inferno Staff"
"242841733-0-122014","Inferno Staff of Daedric Trickery","Inferno Staff of Daedric Trickery"
"242841733-0-72802","Eternal Hunt Inferno Staff","Eternal Hunt Inferno Staff"
"242841733-0-144249","Spell Strategist Inferno Staff","Spell Strategist Inferno Staff"
"242841733-0-80425","Inferno Staff Of The Knightmare","Inferno Staff Of The Knightmare"
"242841733-0-109043","Inferno Staff of Truth","Inferno Staff of Truth"
"242841733-0-78127","Galerion's Inferno Staff","Galerion's Inferno Staff"
