"Location","Source","Target"
"242841733-0-99033","Swamp Raider's Ice Staff","Swamp Raider's Ice Staff"
"242841733-0-122824","War Maiden's Ice Staff","War Maiden's Ice Staff"
"242841733-0-155748","Daring Corsair's Frost Staff","Daring Corsair's Frost Staff"
"242841733-0-130449","Innate Axiom Ice Staff","Innate Axiom Ice Staff"
"242841733-0-110834","Ice Staff of the Worm Cult","Ice Staff of the Worm Cult"
"242841733-0-105496","Treasure Hunter's Ice Staff","Treasure Hunter's Ice Staff"
"242841733-0-88380","Ice Staff of Cyrodiil's Crest","Ice Staff of Cyrodiil's Crest"
"242841733-0-104162","Ice Staff of the Netch's Touch","Ice Staff of the Netch's Touch"
"242841733-0-143770","Might of the Lost Legion Ice Staff","Might of the Lost Legion Ice Staff"
"242841733-0-79418","Ice Staff of the Pariah","Ice Staff of the Pariah"
"242841733-0-137080","Relequen's Ice Staff","Relequen's Ice Staff"
"242841733-0-128137","Blooddrinker Ice Staff","Blooddrinker: 냉기 스태프"
"242841733-0-162039","Roaring Opportunist's Frost Staff","Roaring Opportunist's Frost Staff"
"242841733-0-142449","Dead-Water's Guile Ice Staff","Dead-Water's Guile Ice Staff"
"242841733-0-141118","Jailer's Ice Staff","Jailer's Ice Staff"
"242841733-0-56777","Ice Staff of Kagrenac's Hope","Ice Staff of Kagrenac's Hope"
"242841733-0-54112","Ice Staff of Shalidor's Curse","Ice Staff of Shalidor's Curse"
"242841733-0-131773","Ice Staff of Glory","Ice Staff of Glory"
"242841733-0-79430","Ice Staff of the Pariah","Ice Staff of the Pariah"
"242841733-0-80406","Ice Staff Of The Knightmare","The Knightmare: 냉기 스태프"
"242841733-0-75072","Ice Staff of the Night Mother","Ice Staff of the Night Mother"
"242841733-0-153104","Z'en's Ice Staff","Z'en's Ice Staff"
"242841733-0-87045","Ice Staff of the Footman","Ice Staff of the Footman"
"242841733-0-107206","Hulking Draugr's Ice Staff","Hulking Draugr's Ice Staff"
"242841733-0-90681","Ice Staff of the Onslaught","Ice Staff of the Onslaught"
"242841733-0-117482","Ice Staff of the Shield Breaker","Ice Staff of the Shield Breaker"
"242841733-0-47818","Ice Staff of the Seducer","Ice Staff of the Seducer"
"242841733-0-149089","Undertaker's Frost Staff","Undertaker's Frost Staff"
"242841733-0-150072","False God's Frost Staff","False God's Frost Staff"
"242841733-0-146811","Frozen Watcher's Ice Staff","Frozen Watcher's Ice Staff"
"242841733-0-109864","Ice Staff of the Noble Duelist","Ice Staff of the Noble Duelist"
"242841733-0-129451","Plague Slinger Ice Staff","Plague Slinger Ice Staff"
"242841733-0-58500","Ice Staff of the Twice-Born Star","Ice Staff of the Twice-Born Star"
"242841733-0-76375","Pelinal's Ice Staff","Pelinal's Ice Staff"
"242841733-0-99013","Swamp Raider's Ice Staff","Swamp Raider's Ice Staff"
"242841733-0-104183","Ice Staff of the Netch's Touch","Ice Staff of the Netch's Touch"
"242841733-0-75049","Ice Staff of the Shadow Dancer","Ice Staff of the Shadow Dancer"
"242841733-0-122845","War Maiden's Ice Staff","War Maiden's Ice Staff"
"242841733-0-89694","Ice Staff of the Sergeant","Ice Staff of the Sergeant"
"242841733-0-131799","Ice Staff of Succession","Succession: 냉기 스태프"
"242841733-0-110855","Ice Staff of the Worm Cult","Ice Staff of the Worm Cult"
"242841733-0-162018","Roaring Opportunist's Frost Staff","Roaring Opportunist's Frost Staff"
"242841733-0-128157","Blooddrinker Ice Staff","Blooddrinker Ice Staff"
"242841733-0-88360","Ice Staff of Cyrodiil's Crest","Cyrodiil's Crest: 냉기 스태프"
"242841733-0-163366","Spell Parasite's Frost Staff","Spell Parasite's Frost Staff"
"242841733-0-142429","Dead-Water's Guile Ice Staff","Dead-Water's Guile Ice Staff"
"242841733-0-151380","Perfected Nahviintaas's Frost Staff","Perfected Nahviintaas's Frost Staff"
"242841733-0-110876","Ice Staff of the Worm Cult","Ice Staff of the Worm Cult"
"242841733-0-101912","Prisoner's Ice Staff","죄수의 냉기 지팡이 (Prisoner's Ice Staff)"
"242841733-0-149069","Undertaker's Frost Staff","Undertaker's Frost Staff"
"242841733-0-91997","Ice Staff of the Swift","Ice Staff of the Swift"
"242841733-0-90660","Ice Staff of the Onslaught","Ice Staff of the Onslaught"
"242841733-0-87025","Ice Staff of the Footman","Ice Staff of the Footman"
"242841733-0-150051","False God's Frost Staff","False God's Frost Staff"
"242841733-0-107226","Hulking Draugr's Ice Staff","Hulking Draugr's Ice Staff"
"242841733-0-34530","Prisoner Gnilokelo's Dread","Prisoner Gnilokelo's Dread"
"242841733-0-79406","Ice Staff of the Pariah","Ice Staff of the Pariah"
"242841733-0-109885","Ice Staff of the Noble Duelist","Ice Staff of the Noble Duelist"
"242841733-0-108560","Barkskin Ice Staff","Barkskin Ice Staff"
"242841733-0-56742","Ice Staff of the Eyes of Mara","Ice Staff of the Eyes of Mara"
