"Location","Source","Target"
"242841733-0-99035","Swamp Raider's Restoration Staff","Swamp Raider's Restoration Staff"
"242841733-0-79420","Restoration Staff of the Pariah","Restoration Staff of the Pariah"
"242841733-0-122826","War Maiden's Restoration Staff","War Maiden's Restoration Staff"
"242841733-0-162041","Roaring Opportunist's Restoration Staff","Roaring Opportunist's Restoration Staff"
"242841733-0-130451","Innate Axiom Restoration Staff","Innate Axiom Restoration Staff"
"242841733-0-149071","Undertaker's Restoration Staff","Undertaker's Restoration Staff"
"242841733-0-155750","Daring Corsair's Restoration Staff","Daring Corsair's Restoration Staff"
"242841733-0-128139","Blooddrinker Restoration Staff","Blooddrinker: 치유 스태프"
"242841733-0-110836","Restoration Staff of the Worm Cult","Restoration Staff of the Worm Cult"
"242841733-0-143772","Might of the Lost Legion Restoration Staff","Might of the Lost Legion Restoration Staff"
"242841733-0-104164","Restoration Staff of the Netch's Touch","Restoration Staff of the Netch's Touch"
"242841733-0-137082","Relequen's Restoration Staff","Relequen's Restoration Staff"
"242841733-0-105498","Treasure Hunter's Restoration Staff","Treasure Hunter's Restoration Staff"
"242841733-0-88382","Restoration Staff of Cyrodiil's Crest","Restoration Staff of Cyrodiil's Crest"
"242841733-0-56779","Restoration Staff of Kagrenac's Hope","Restoration Staff of Kagrenac's Hope"
"242841733-0-108520","Restoration Staff of the Dreugh King Slayer","Restoration Staff of the Dreugh King Slayer"
"242841733-0-54114","Restoration Staff of Shalidor's Curse","Restoration Staff of Shalidor's Curse"
"242841733-0-79432","Restoration Staff of the Pariah","Restoration Staff of the Pariah"
"242841733-0-47820","Restoration Staff of the Seducer","Restoration Staff of the Seducer"
"242841733-0-131775","Restoration Staff of Glory","Restoration Staff of Glory"
"242841733-0-134800","Prophet's Restoration Staff","예언자의 치유 지팡이 (Prophet's Restoration Staff)"
"242841733-0-80408","Restoration Staff Of The Knightmare","The Knightmare: 치유 스태프"
"242841733-0-117484","Restoration Staff of the Shield Breaker","Restoration Staff of the Shield Breaker"
"242841733-0-75074","Restoration Staff of the Night Mother","Restoration Staff of the Night Mother"
"242841733-0-150074","False God's Restoration Staff","False God's Restoration Staff"
"242841733-0-107208","Hulking Draugr's Restoration Staff","Hulking Draugr's Restoration Staff"
"242841733-0-87047","Restoration Staff of the Footman","Restoration Staff of the Footman"
"242841733-0-90683","Restoration Staff of the Onslaught","Restoration Staff of the Onslaught"
"242841733-0-142451","Dead-Water's Guile Restoration Staff","Dead-Water's Guile Restoration Staff"
"242841733-0-146813","Frozen Watcher's Restoration Staff","Frozen Watcher's Restoration Staff"
"242841733-0-141120","Jailer's Restoration Staff","Jailer's Restoration Staff"
"242841733-0-129453","Plague Slinger Restoration Staff","Plague Slinger Restoration Staff"
"242841733-0-109866","Restoration Staff of the Noble Duelist","Restoration Staff of the Noble Duelist"
"242841733-0-58502","Restoration Staff of the Twice-Born Star","Restoration Staff of the Twice-Born Star"
"242841733-0-122847","War Maiden's Restoration Staff","War Maiden's Restoration Staff"
"242841733-0-99015","Swamp Raider's Restoration Staff","Swamp Raider's Restoration Staff"
"242841733-0-76377","Pelinal's Restoration Staff","Pelinal's Restoration Staff"
"242841733-0-162020","Roaring Opportunist's Restoration Staff","Roaring Opportunist's Restoration Staff"
"242841733-0-89696","Restoration Staff of the Sergeant","Restoration Staff of the Sergeant"
