"Location","Source","Target"
"242841733-0-75066","Battle Axe of the Night Mother","Battle Axe of the Night Mother"
"242841733-0-79424","Battle Axe of the Pariah","Battle Axe of the Pariah"
"242841733-0-105490","Treasure Hunter's Battle Axe","Treasure Hunter's Battle Axe"
"242841733-0-151395","Perfected Nahviintaas's Battle Axe","Perfected Nahviintaas's Battle Axe"
"242841733-0-51093","Battle Axe of Hist Bark","Battle Axe of Hist Bark"
"242841733-0-46502","Battle Axe of Death's Wind","Battle Axe of Death's Wind"
"242841733-0-117476","Battle Axe of the Shield Breaker","Battle Axe of the Shield Breaker"
"242841733-0-90696","Battle Axe of the Onslaught","Battle Axe of the Onslaught"
"242841733-0-150066","False God's Battle Axe","False God's Battle Axe"
"242841733-0-109858","Battle Axe of the Noble Duelist","Battle Axe of the Noble Duelist"
"242841733-0-87059","Battle Axe of the Footman","Battle Axe of the Footman"
"242841733-0-128131","Blooddrinker Battle Axe","Blooddrinker: 전투도끼"
"242841733-0-142443","Dead-Water's Guile Battle Axe","Dead-Water's Guile Battle Axe"
"242841733-0-141112","Jailer's Battle Axe","Jailer's Battle Axe"
"242841733-0-93726","Battle Axe of Cyrodiil's Ward","Cyrodiil's Ward: 전투도끼"
"242841733-0-122818","War Maiden's Battle Axe","War Maiden's Battle Axe"
"242841733-0-80400","Battle Axe Of The Knightmare","The Knightmare: 전투도끼"
"242841733-0-162054","Roaring Opportunist's Battle Axe","Roaring Opportunist's Battle Axe"
"242841733-0-99027","Swamp Raider's Battle Axe","Swamp Raider's Battle Axe"
"242841733-0-146805","Frozen Watcher's Battle Axe","Frozen Watcher's Battle Axe"
"242841733-0-137074","Relequen's Battle Axe","Relequen's Battle Axe"
"242841733-0-56771","Battle Axe of Kagrenac's Hope","Battle Axe of Kagrenac's Hope"
"242841733-0-149083","Undertaker's Battle Axe","Undertaker's Battle Axe"
"242841733-0-130443","Innate Axiom Battle Axe","Innate Axiom Battle Axe"
"242841733-0-88374","Battle Axe of Cyrodiil's Crest","Battle Axe of Cyrodiil's Crest"
"242841733-0-110849","Battle Axe of the Worm Cult","Battle Axe of the Worm Cult"
"242841733-0-131767","Battle Axe of Glory","Battle Axe of Glory"
"242841733-0-54106","Battle Axe of Shalidor's Curse","Battle Axe of Shalidor's Curse"
"242841733-0-107200","Hulking Draugr's Battle Axe","Hulking Draugr's Battle Axe"
"242841733-0-104177","Battle Axe of the Netch's Touch","Battle Axe of the Netch's Touch"
"242841733-0-75043","Battle Axe of the Shadow Dancer","Battle Axe of the Shadow Dancer"
"242841733-0-79400","Battle Axe of the Pariah","Battle Axe of the Pariah"
"242841733-0-128151","Blooddrinker Battle Axe","Blooddrinker Battle Axe"
"242841733-0-117496","Battle Axe of the Shield Breaker","Battle Axe of the Shield Breaker"
"242841733-0-55472","battle axe^n","battle axe"
"242841733-0-54141","Battle Axe of Shalidor's Curse","Battle Axe of Shalidor's Curse"
"242841733-0-151374","Perfected Nahviintaas's Battle Axe","Perfected Nahviintaas's Battle Axe"
"242841733-0-130478","Innate Axiom Battle Axe","Innate Axiom Battle Axe"
"242841733-0-101906","Prisoner's Battle Axe","죄수의 전투 도끼 (Prisoner's Battle Axe)"
"242841733-0-90675","Battle Axe of the Onslaught","Battle Axe of the Onslaught"
"242841733-0-150045","False God's Battle Axe","False God's Battle Axe"
"242841733-0-87039","Battle Axe of the Footman","Battle Axe of the Footman"
"242841733-0-109879","Battle Axe of the Noble Duelist","Battle Axe of the Noble Duelist"
"242841733-0-142423","Dead-Water's Guile Battle Axe","Dead-Water's Guile Battle Axe"
"242841733-0-122839","War Maiden's Battle Axe","War Maiden's Battle Axe"
"242841733-0-162033","Roaring Opportunist's Battle Axe","Roaring Opportunist's Battle Axe"
"242841733-0-55464","Splitting Axe of the Titan","Sunderflame: Splitting Axe of the Titan"
"242841733-0-79412","Battle Axe of the Pariah","Battle Axe of the Pariah"
"242841733-0-99007","Swamp Raider's Battle Axe","Swamp Raider's Battle Axe"
"242841733-0-163360","Spell Parasite's Battle Axe","Spell Parasite's Battle Axe"
"242841733-0-149063","Undertaker's Battle Axe","Undertaker's Battle Axe"
"242841733-0-87019","Battle Axe of the Footman","Battle Axe of the Footman"
"242841733-0-131793","Battle Axe of Succession","Succession: 전투도끼"
"242841733-0-110870","Battle Axe of the Worm Cult","Battle Axe of the Worm Cult"
"242841733-0-155742","Daring Corsair's Battle Axe","Daring Corsair's Battle Axe"
"242841733-0-88354","Battle Axe of Cyrodiil's Crest","Cyrodiil's Crest: 전투도끼"
"242841733-0-91991","Battle Axe of the Swift","Battle Axe of the Swift"
"242841733-0-89688","Battle Axe of the Sergeant","Battle Axe of the Sergeant"
"242841733-0-104198","Battle Axe of the Netch's Touch","Battle Axe of the Netch's Touch"
"242841733-0-107220","Hulking Draugr's Battle Axe","Hulking Draugr's Battle Axe"
"242841733-0-108554","Barkskin Battle Axe","Barkskin Battle Axe"
"242841733-0-143764","Might of the Lost Legion Battle Axe","Might of the Lost Legion Battle Axe"
"242841733-0-75022","Battle Axe of the Shadow Dancer","Battle Axe of the Shadow Dancer"
"242841733-0-51058","Battle Axe of Hist Bark","Battle Axe of Hist Bark"
"242841733-0-128171","Blooddrinker Battle Axe","Blooddrinker Battle Axe"
"242841733-0-101927","Prisoner's Battle Axe","죄수의 전투 도끼 (Prisoner's Battle Axe)"
"242841733-0-158818","Unchained Aggressor's Battle Axe","Unchained Aggressor's Battle Axe"
"242841733-0-90654","Battle Axe of the Onslaught","Battle Axe of the Onslaught"
"242841733-0-142483","Dead-Water's Guile Battle Axe","Dead-Water's Guile Battle Axe"
"242841733-0-141152","Jailer's Battle Axe","Jailer's Battle Axe"
"242841733-0-56736","Battle Axe of the Eyes of Mara","Battle Axe of the Eyes of Mara"
"242841733-0-97285","Battle Axe of a Mother's Sorrow","Battle Axe of a Mother's Sorrow"
"242841733-0-51046","Battle Axe of Hist Bark","Battle Axe of Hist Bark"
"242841733-0-76369","Pelinal's Battle Axe","Pelinal's Battle Axe"
"242841733-0-153140","Z'en's Battle Axe","Z'en's Battle Axe"
"242841733-0-110891","Battle Axe of the Worm Cult","Battle Axe of the Worm Cult"
"242841733-0-89668","Battle Axe of the Sergeant","Battle Axe of the Sergeant"
"242841733-0-91970","Battle Axe of the Swift","Battle Axe of the Swift"
"242841733-0-100612","Spriggan's Battle Axe","Spriggan's Battle Axe"
"242841733-0-133506","The Asylum's Battle Axe","The Asylum's Battle Axe"
"242841733-0-108574","Barkskin Battle Axe","Barkskin Battle Axe"
"242841733-0-122860","War Maiden's Battle Axe","War Maiden's Battle Axe"
"242841733-0-75001","Battle Axe of the Shadow Dancer","Battle Axe of the Shadow Dancer"
"242841733-0-128191","Blooddrinker Battle Axe","Blooddrinker Battle Axe"
"242841733-0-113931","Battle Axe of the Immortal Yokeda","Immortal Yokeda: 전투도끼"
"242841733-0-162066","Roaring Opportunist's Battle Axe","Roaring Opportunist's Battle Axe"
"242841733-0-76334","Pelinal's Battle Axe","Pelinal's Battle Axe"
